QUEST_LV_0200_20150317_000001	Philip's Soldiers
QUEST_LV_0200_20150317_001211	Hal yang berharga dari Soldier (3)
QUEST_LV_0200_20150317_001212	Tinggalkan aku
QUEST_LV_0200_20150317_001213	Menyiapkan kayu bakar/#SITGROPESET2/3.5/TRACK_BEFORE
QUEST_LV_0200_20150317_001214	Serang Red Goblin
QUEST_LV_0200_20150317_001215	Memeriksa../MAKING/2/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001216	Notice/Giant Red Wood Goblin sangat marah!#5
QUEST_LV_0200_20150317_001217	Mengamankan Rute ke Gateway of Great King (1)
QUEST_LV_0200_20150317_001218	Menolak
QUEST_LV_0200_20150317_001219	Amankan area (1)
QUEST_LV_0200_20150317_001220	Mengamankan Rute ke Gateway of Great King (2)
QUEST_LV_0200_20150317_001221	Aku akan menyetujuinya
QUEST_LV_0200_20150317_001222	Aku tidak punya waktu untuk itu
QUEST_LV_0200_20150317_001223	Sedikit bantuan dari Patung Owl
QUEST_LV_0200_20150317_001224	Aku akan menyingkirkan itu untuk Kamu
QUEST_LV_0200_20150317_001225	Mengamankan Rute ke Gateway of Great King (3)
QUEST_LV_0200_20150317_001226	Aku akan menemukannya
QUEST_LV_0200_20150317_001227	Sepertinya berbahaya
QUEST_LV_0200_20150317_001228	Off untuk sebuah Journey
QUEST_LV_0200_20150317_001229	Cari pemandu 
QUEST_LV_0200_20150317_001230	Aku akan pergi ke Drieja swamps
QUEST_LV_0200_20150317_001231	Cepat pergi atau tetap disini bersama Aku
QUEST_LV_0200_20150317_001232	Notice/Kalahkan Ironbaum!/5
QUEST_LV_0200_20150317_001233	Pemilik kuburan
QUEST_LV_0200_20150317_001234	Apa ini ?
QUEST_LV_0200_20150317_001235	Commander Vacenin (1)
QUEST_LV_0200_20150317_001236	Aku akan membantu kamu
QUEST_LV_0200_20150317_001237	Tentang Katyn Forest
QUEST_LV_0200_20150317_001238	Kumpulkan Moss
QUEST_LV_0200_20150317_001239	Aku akan menggumpulkan moss
QUEST_LV_0200_20150317_001240	Kumpulkan discolored grass
QUEST_LV_0200_20150317_001241	Aku akan mengumpulkan discolored grass untuk kamu periksa
QUEST_LV_0200_20150317_001242	Kumpulkan Tree Bark
QUEST_LV_0200_20150317_001243	 Mari kita bersama-sama mengurusnya
QUEST_LV_0200_20150317_001244	Secret of the Tree Bark (4)
QUEST_LV_0200_20150317_001245	 Aku akan menyingkirkan Woodspirit
QUEST_LV_0200_20150317_001246	Forest of Fear
QUEST_LV_0200_20150317_001247	Aku akan memberikan Piece of Wing
QUEST_LV_0200_20150317_001248	Piece of Wing (1)
QUEST_LV_0200_20150317_001249	Delivering/MAKING/3/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150317_001250	Piece of Wing (2)
QUEST_LV_0200_20150317_001251	Menyarankan untuk mengantarkan wing.
QUEST_LV_0200_20150317_001252	Bonfire dari Patroli Route
QUEST_LV_0200_20150317_001253	Tidak ada waktu untuk itu
QUEST_LV_0200_20150317_001254	Bonfire dari Patroli Route (2)
QUEST_LV_0200_20150317_001255	Installing/FIRE/1.5/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150317_001256	Notice/Bonfire is lighted.#3
QUEST_LV_0200_20150317_001257	Bonfire dari Patroli Route (3)
QUEST_LV_0200_20150317_001258	Bonfire dari Patroli Route (4)
QUEST_LV_0200_20150317_001259	Commander Vacenin (2)
QUEST_LV_0200_20150317_001260	Kembali ke Camp
QUEST_LV_0200_20150317_001261	Aku beristirahat sebentar
QUEST_LV_0200_20150317_001262	Memorial Service (1)
QUEST_LV_0200_20150317_001263	Aku akan mengumpulkan sisanya
QUEST_LV_0200_20150317_001264	Tidak ada waktu untuk itu
QUEST_LV_0200_20150317_001265	About the owl statue
QUEST_LV_0200_20150317_001266	Completion of the Power of Soul (1)
QUEST_LV_0200_20150317_001267	Aku akan membawa the Soul Stone
QUEST_LV_0200_20150317_001268	Completion of the Power of Soul (2)
QUEST_LV_0200_20150317_001269	Aku akan purify the soul
QUEST_LV_0200_20150317_001270	Opening/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001271	Fleeing Meduja Larvae
QUEST_LV_0200_20150317_001272	Aku mengumpulkan Meduja Larvaes
QUEST_LV_0200_20150317_001273	Soul left behind
QUEST_LV_0200_20150317_001274	Aku akan mengalahkan monsters untuk kamu
QUEST_LV_0200_20150317_001275	Soul that fled
QUEST_LV_0200_20150317_001276	 Aku akan menemukan barang-barang dari pedagang
QUEST_LV_0200_20150317_001277	Forgotten Soul
QUEST_LV_0200_20150317_001278	Aku akan menemukan kembali the scroll
QUEST_LV_0200_20150317_001279	Lacak the Pilgrim
QUEST_LV_0200_20150317_001280	Aku akan menulis tulisan-tulisan dari Stele
QUEST_LV_0200_20150317_001281	Sea of Fire
QUEST_LV_0200_20150317_001282	Aku akan menyingkirkan Flame of Sequoia
QUEST_LV_0200_20150317_001283	Dukungan Pasukan barisan belakang
QUEST_LV_0200_20150317_001284	Aku akan mengurangi monster di sekitar
QUEST_LV_0200_20150317_001285	Maaf tapi aku tidak bisa membantu Kamu
QUEST_LV_0200_20150317_001286	Tentang Forest Road
QUEST_LV_0200_20150317_001287	Memorial Service (2)
QUEST_LV_0200_20150317_001288	Aku akan mendapatkan kembali keepstakes
QUEST_LV_0200_20150317_001289	Bantuan Aku sampai di sini
QUEST_LV_0200_20150317_001290	Memorial Service (3)
QUEST_LV_0200_20150317_001291	Dimana Aku bisa mendapatkan aroma  butterfly scent?
QUEST_LV_0200_20150317_001292	Prayer for the Soul
QUEST_LV_0200_20150317_001293	Dangerous Throneweaver (1)
QUEST_LV_0200_20150317_001294	Abaikan saja
QUEST_LV_0200_20150317_001295	Mengapa monster menghancurkan patung Owl's
QUEST_LV_0200_20150317_001296	Dangerous Throneweaver (2)
QUEST_LV_0200_20150317_001297	Aku akan mendapatkan akar Sakmoli
QUEST_LV_0200_20150317_001298	Jiwa terkendali
QUEST_LV_0200_20150317_001299	Aku akan memeriksa sekitar Nyelasve Shore
QUEST_LV_0200_20150317_001300	Semuanya akan baik-baik saja
QUEST_LV_0200_20150317_001301	Wrong Salvation (1)
QUEST_LV_0200_20150317_001302	Aku akan membujuk jiwa dan mengirim mereka ke sini.
QUEST_LV_0200_20150317_001303	Tentang jiwa yang hilang
QUEST_LV_0200_20150317_001304	Notice/!/Membujuk jiwa yang berkeliaran di Nelasve Shore dan membimbingnya kembali ke owl!{nl}Kamu harus berbicara dan membujuknya jika bertemu dengannya!#5
QUEST_LV_0200_20150317_001305	Wrong Salvation (1)
QUEST_LV_0200_20150317_001306	Aku akan pergi ke Amolarul Hills
QUEST_LV_0200_20150317_001307	Serang Gray Golem
QUEST_LV_0200_20150317_001308	Notice/!/Kalahkan Golem yang tiba-tiba muncul!#8
QUEST_LV_0200_20150317_001309	Notice/!/Sukses mengalahkan Gray Golem!#8
QUEST_LV_0200_20150317_001310	Misi terakhir (1)
QUEST_LV_0200_20150317_001311	Itu sangat disayangkan. Ayo kita bantu dia.
QUEST_LV_0200_20150317_001312	Itu sangat menyeramkan jadi tolak saja.
QUEST_LV_0200_20150317_001313	About the Soul
QUEST_LV_0200_20150317_001314	Misi terakhir (2)
QUEST_LV_0200_20150317_001315	Aku akan mengumpulkan Old Kepa Skins
QUEST_LV_0200_20150317_001316	Aku sedang sibuk , aku akan bantu setelah ini selesai.
QUEST_LV_0200_20150317_001317	Misi terakhir (3)
QUEST_LV_0200_20150317_001318	Aku akan mencobanya ke monster.
QUEST_LV_0200_20150317_001319	Perasaan Aku tidak enak.
QUEST_LV_0200_20150317_001320	Misi terakhir (4)
QUEST_LV_0200_20150317_001321	Kumpulkan Ellum Leaves
QUEST_LV_0200_20150317_001322	Misi terakhir (5)
QUEST_LV_0200_20150317_001323	Aku akan menyelesaikan misi itu.
QUEST_LV_0200_20150317_001324	Ini sepertinya berbahaya. Aku keluar.
QUEST_LV_0200_20150317_001325	Installing bait/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001326	Kendalikan Area of Kateen Forest
QUEST_LV_0200_20150317_001327	Tenang. Ini tidak bisa menjadi Deadborn.
QUEST_LV_0200_20150317_001328	Missing Troop(1)
QUEST_LV_0200_20150317_001329	Aku akan menemukan scout.
QUEST_LV_0200_20150317_001330	Aku minta maaf tapi aku tidak bisa.
QUEST_LV_0200_20150317_001331	Missing Troop(2)
QUEST_LV_0200_20150317_001332	Pertama aku akan membunuh monster.
QUEST_LV_0200_20150317_001333	Aku memerlukan sesuatu untuk bersiap-siap.
QUEST_LV_0200_20150317_001334	Dimana Supply Troop (1)
QUEST_LV_0200_20150317_001335	Aku menemukan pasukan persediaan
QUEST_LV_0200_20150317_001336	Dimana Supply Troop (2)
QUEST_LV_0200_20150317_001337	Aku akan membantu mengambil persediaan
QUEST_LV_0200_20150317_001338	Aku akan menunggu sampai semua persediaan yang akan diambil
QUEST_LV_0200_20150317_001339	Dimana Supply Troop (3)
QUEST_LV_0200_20150317_001340	Mission over mission
QUEST_LV_0200_20150317_001341	Aku akan membantu mengumpulkan kail
QUEST_LV_0200_20150317_001342	Mari kita tunggu sampai semuanya dikumpulkan
QUEST_LV_0200_20150317_001343	Kepemimpinan Philipas
QUEST_LV_0200_20150317_001344	Aku akan bekerja sama
QUEST_LV_0200_20150317_001345	Itu tidak adil
QUEST_LV_0200_20150317_001346	Pasukan ditinggalkan sendirian
QUEST_LV_0200_20150317_001347	Cari laporan
QUEST_LV_0200_20150317_001348	Lebih baik kembali dengan cepat.
QUEST_LV_0200_20150317_001349	Menghabiskan bersama-sama lalu
QUEST_LV_0200_20150317_001350	Aku akan mengumpulkan keepstakes
QUEST_LV_0200_20150317_001351	Disaster of Great Root Plain (1)
QUEST_LV_0200_20150317_001352	Mari kita ikuti ke Izdagingkas Road.
QUEST_LV_0200_20150317_001353	Aku butuh waktu untuk persiapan.
QUEST_LV_0200_20150317_001354	Disaster of Great Root Plain (2)
QUEST_LV_0200_20150317_001355	Aku akan bergabung dipertempuran
QUEST_LV_0200_20150317_001356	Aku butuh waktu untuk persiapan.
QUEST_LV_0200_20150317_001357	Kalahkan Big Blue Griba
QUEST_LV_0200_20150317_001358	Touching it/FIRE/2/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150317_001359	Notice/!/A Flock of Big Blue Griba appeared!#5
QUEST_LV_0200_20150317_001360	Gangguan dari monster menghalangi jalan.
QUEST_LV_0200_20150317_001361	Notice/!/Kalahkan monster yang menghalangi jalan!#8
QUEST_LV_0200_20150317_001362	Notice/!/Kalahkan monster yang menghalangi jalan!#8
QUEST_LV_0200_20150317_001363	Dendam dari seorang prajurit tak dikenal.
QUEST_LV_0200_20150317_001364	Trying on the necklace/MAKING/2/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150317_001365	Notice/!/Kalahkan werewolf {nl}yang tampaknya akan mengalahkan pemilik keepstake.!#5
QUEST_LV_0200_20150317_001366	Turut berduka cita/MAKING/2/TRACK_AFTER/None
QUEST_LV_0200_20150317_001367	Notice/Keepstake hilang bersama dengan kalungnya!
QUEST_LV_0200_20150317_001368	Dangerous Throneweaver (3)
QUEST_LV_0200_20150317_001369	Aku akan menyingkirkan Throneweaver
QUEST_LV_0200_20150317_001370	Aku butuh waktu untuk persiapan.
QUEST_LV_0200_20150317_001371	Placing bait/SITGROPE/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001372	Dilarang masuk
QUEST_LV_0200_20150317_001373	Request support
QUEST_LV_0200_20150317_001374	Aku akan menjaganya
QUEST_LV_0200_20150317_001375	Tetap bersembunyi
QUEST_LV_0200_20150317_001376	Menyambut tamu tak diundang
QUEST_LV_0200_20150317_001377	Glorious Road
QUEST_LV_0200_20150317_001378	Petrification Frost Forecast (1)
QUEST_LV_0200_20150317_001379	Aku akan memeriksanya.
QUEST_LV_0200_20150317_001380	Aku akan selalu siap.
QUEST_LV_0200_20150317_001381	Petrification Frost Forecast (2)
QUEST_LV_0200_20150317_001382	Aku akan menyingkirkan itu
QUEST_LV_0200_20150317_001383	Itu terlalu banyak
QUEST_LV_0200_20150317_001384	Petrification Frost Forecast (3)
QUEST_LV_0200_20150317_001385	Aku akan melakukannya kalau sudah aman
QUEST_LV_0200_20150317_001386	Checking/MAKING/1/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001387	Clean up workshop
QUEST_LV_0200_20150317_001388	Legal profit
QUEST_LV_0200_20150317_001389	Aku akan mengumpulkan itu
QUEST_LV_0200_20150317_001390	Hostile Extortion
QUEST_LV_0200_20150317_001391	Aku akan mencurinya.
QUEST_LV_0200_20150317_001392	Flower of Tears
QUEST_LV_0200_20150317_001393	Aku akan menemukannya.
QUEST_LV_0200_20150317_001394	Ini Jalannya
QUEST_LV_0200_20150317_001395	Aku akan menemukannya.
QUEST_LV_0200_20150317_001396	White Lie (1)
QUEST_LV_0200_20150317_001397	Aku akan mengumpulkannya.
QUEST_LV_0200_20150317_001398	White Lie (2)
QUEST_LV_0200_20150317_001399	Ini bukan waktunya
QUEST_LV_0200_20150317_001400	White Lie (3)
QUEST_LV_0200_20150317_001401	Semoga kamu beruntung
QUEST_LV_0200_20150317_001402	Ini bukan waktunya
QUEST_LV_0200_20150317_001403	Explaining/TALK/2/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001404	Bersihkan setelah kekacauan ini
QUEST_LV_0200_20150317_001405	record yang tidak perlu
QUEST_LV_0200_20150317_001406	Aku akan melindung kamu.
QUEST_LV_0200_20150317_001407	koleksi terakhir
QUEST_LV_0200_20150317_001408	Tentu, aku akan membantu
QUEST_LV_0200_20150317_001409	Itu akan sulit.
QUEST_LV_0200_20150317_001410	Into the hands (1)
QUEST_LV_0200_20150317_001411	Bantu
QUEST_LV_0200_20150317_001412	Into the hands (2)
QUEST_LV_0200_20150317_001413	Apa maksud kamu.
QUEST_LV_0200_20150317_001414	Into the hands (3)
QUEST_LV_0200_20150317_001415	Into the hands (4)
QUEST_LV_0200_20150317_001416	Itu bukan pertama.
QUEST_LV_0200_20150317_001417	Membujuk/TALK/2/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001418	Janitor (1)
QUEST_LV_0200_20150317_001419	Janitor (2)
QUEST_LV_0200_20150317_001420	Waktunya kembali
QUEST_LV_0200_20150317_001421	Aku akan mengurusnya
QUEST_LV_0200_20150317_001422	Persahabatan
QUEST_LV_0200_20150317_001423	Penangkapan Pencuri
QUEST_LV_0200_20150317_001424	Aku tidak ingin
QUEST_LV_0200_20150317_001425	Treading a Tail
QUEST_LV_0200_20150317_001426	Bold Thieves
QUEST_LV_0200_20150317_001427	Aku akan mengurusnya
QUEST_LV_0200_20150317_001428	Terjebak dalam keputusasaan
QUEST_LV_0200_20150317_001429	Menghapus/#SITGROPESET/2/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001430	Waktu yang hilang
QUEST_LV_0200_20150317_001431	Aku akan melakukannya
QUEST_LV_0200_20150317_001432	Pemulihan waktu
QUEST_LV_0200_20150317_001433	Menolak
QUEST_LV_0200_20150317_001434	Great Escape Portal (1)
QUEST_LV_0200_20150317_001435	Great Escape Portal (2)
QUEST_LV_0200_20150317_001436	Great Escape Portal (3)
QUEST_LV_0200_20150317_001437	Aku bersiap
QUEST_LV_0200_20150317_001438	Tunggu sebentar
QUEST_LV_0200_20150317_001439	Operating/ MAKING / 3 / TRACK_BEFORE / None
QUEST_LV_0200_20150317_001440	Uncomfortable Alliance
QUEST_LV_0200_20150317_001441	All the same (1)
QUEST_LV_0200_20150317_001442	All the same (2)
QUEST_LV_0200_20150317_001443	Delivering/ TALK / 0 / TRACK_BEFORE / None
QUEST_LV_0200_20150317_001444	Surviving Lie
QUEST_LV_0200_20150317_001445	Small Difference (1)
QUEST_LV_0200_20150317_001446	Small Difference (2)
QUEST_LV_0200_20150317_001447	Small Difference (3)
QUEST_LV_0200_20150317_001448	Small Difference (4)
QUEST_LV_0200_20150317_001449	Aku akan mendapatkannya
QUEST_LV_0200_20150317_001450	Checking/MAKING/1.5/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001451	Watchtower Maintenance
QUEST_LV_0200_20150317_001452	Mengungkap Kebenaran
QUEST_LV_0200_20150317_001453	Aku akan hancurkan
QUEST_LV_0200_20150317_001454	Words Left
QUEST_LV_0200_20150317_001455	The Great Chancellor
QUEST_LV_0200_20150317_001456	Intensified Rampage
QUEST_LV_0200_20150317_001457	Refreshing Work
QUEST_LV_0200_20150317_001458	Aku akan mengambilnya
QUEST_LV_0200_20150317_001459	Accident that Can't be Turned Back (1)
QUEST_LV_0200_20150317_001460	Accident that Can't be Turned Back (2)
QUEST_LV_0200_20150317_001461	Checking/ # SITGROPESET / 2 / TRACK_BEFORE / None
QUEST_LV_0200_20150317_001462	Magical Opinion (1)
QUEST_LV_0200_20150317_001463	Magical Opinion (2)
QUEST_LV_0200_20150317_001464	Kalis Ingin Kebenaran
QUEST_LV_0200_20150317_001465	Aku akan mengumpulkan
QUEST_LV_0200_20150317_001466	Nilai dari Alchemist
QUEST_LV_0200_20150317_001467	Spesimen yang menarik
QUEST_LV_0200_20150317_001468	Menerima
QUEST_LV_0200_20150317_001469	Hancurkan lab
QUEST_LV_0200_20150317_001470	Secret Trade (1)
QUEST_LV_0200_20150317_001471	Secret Trade (2)
QUEST_LV_0200_20150317_001472	Secret Trade (3)
QUEST_LV_0200_20150317_001473	Aku akan mengurusnya
QUEST_LV_0200_20150317_001474	Using scroll /MAKING/1.5/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001475	Pendukung Military
QUEST_LV_0200_20150317_001476	Aku masih ingin membantu
QUEST_LV_0200_20150317_001477	Terus pergi jalan
QUEST_LV_0200_20150317_001478	It's because of the Honey (1)
QUEST_LV_0200_20150317_001479	Aku akan memeriksa disekitar
QUEST_LV_0200_20150317_001480	Aku sibuk jadi Aku akan melewatinya
QUEST_LV_0200_20150317_001481	About the town
QUEST_LV_0200_20150317_001482	Notice/Fortunately, the bee hive is alright.#5
QUEST_LV_0200_20150317_001483	It's because of the Honey (2)
QUEST_LV_0200_20150317_001484	Aku akan melihatnya
QUEST_LV_0200_20150317_001485	Aku sudah cukup jadi hanya pergi jalan
QUEST_LV_0200_20150317_001486	Ini tentang monsters dan peternakan lebah
QUEST_LV_0200_20150317_001487	Ruined Brewery
QUEST_LV_0200_20150317_001488	Aku akan pergi sekarang
QUEST_LV_0200_20150317_001489	Harapan terakhir Brewer
QUEST_LV_0200_20150317_001490	Tenang
QUEST_LV_0200_20150317_001491	"
Tidak bisa tenang. Mari kita pergi."
QUEST_LV_0200_20150317_001492	Bicara tentang Savior lainnya
QUEST_LV_0200_20150317_001493	Checking/LOOK/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001494	Notice/Found the mead Dorgen asked you to bring.#5
QUEST_LV_0200_20150317_001495	Pembalasan yang manis
QUEST_LV_0200_20150317_001496	Aku akan mengalahkan monster sekitar sehingga meringankan.
QUEST_LV_0200_20150317_001497	Kamu telah membantu cukup sehingga meninggalkan tempat
QUEST_LV_0200_20150317_001498	Sparnas yang menyerang peternakan lebah
QUEST_LV_0200_20150317_001499	BiteRegina yang memakan semua madu
QUEST_LV_0200_20150317_001500	Tidak suka hal yang berbahaya
QUEST_LV_0200_20150317_001501	Aku akan mengurus monster di sekitar
QUEST_LV_0200_20150317_001502	Hati-hati dan jangan Kamu lengah saat jalan kembali
QUEST_LV_0200_20150317_001503	Frienship of Two Friends (1)
QUEST_LV_0200_20150317_001504	Aku akan meminta Kamu
QUEST_LV_0200_20150317_001505	Cheers up
QUEST_LV_0200_20150317_001506	Frienship of Two Friends (2)
QUEST_LV_0200_20150317_001507	Aku akan mencari perangkat bir dari Elite Chuparuca
QUEST_LV_0200_20150317_001508	Keraguan jika ia benar-benar tidak menyedot itu
QUEST_LV_0200_20150317_001509	Frienship of Two Friends (3)
QUEST_LV_0200_20150317_001510	Aku akan menyimpannya
QUEST_LV_0200_20150317_001511	Ini sudah diurus silahkan meninggalkan tempat
QUEST_LV_0200_20150317_001512	Tentang Mikolas and Cleopas
QUEST_LV_0200_20150317_001513	Objective of Monsters in Three Brooks (1)
QUEST_LV_0200_20150317_001514	Alasan di balik merekrut Saviors
QUEST_LV_0200_20150317_001515	Objective of Monsters in Three Brooks (2)
QUEST_LV_0200_20150317_001516	Aku akan memeriksa apakah monster benar-benar tertarik dengan aroma madu
QUEST_LV_0200_20150317_001517	Tentang Altar
QUEST_LV_0200_20150317_001518	Altar of Three Brooks (1)
QUEST_LV_0200_20150317_001519	Aku akan memeriksa Viciu Altar
QUEST_LV_0200_20150317_001520	Altar of Three Brooks (1)
QUEST_LV_0200_20150317_001521	Aku akan periksa
QUEST_LV_0200_20150317_001522	Checking the altar/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001523	Altar of Three Brooks (2)
QUEST_LV_0200_20150317_001524	 Akan lebih baik untuk menemui priest
QUEST_LV_0200_20150317_001525	Cyclops of the northern Three Brooks Altar
QUEST_LV_0200_20150317_001526	Tolong perbaiki Farmku
QUEST_LV_0200_20150317_001527	Aku akan menemukan peralatan Farm
QUEST_LV_0200_20150317_001528	Checking/LOOK_SIT/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001529	Aku suka ini sangat bagus
QUEST_LV_0200_20150317_001530	Aku mendapatkannya
QUEST_LV_0200_20150317_001531	Menabur ketakutan
QUEST_LV_0200_20150317_001532	Secret of the Farmland (2)
QUEST_LV_0200_20150317_001533	Aku akan mengurusnya
QUEST_LV_0200_20150317_001534	Abaikan itu
QUEST_LV_0200_20150317_001535	About the Seal
QUEST_LV_0200_20150317_001536	Secret of the Farmland (1)
QUEST_LV_0200_20150317_001537	Aku akan mengaktifkan Guardian Stone
QUEST_LV_0200_20150317_001538	Ayo kita tinggalkan
QUEST_LV_0200_20150317_001539	Tentang obat di  Three Brooks Woods
QUEST_LV_0200_20150317_001540	Activating/SITABSORB/2/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001541	Power dewelling on the bee tree branch
QUEST_LV_0200_20150317_001542	Aku akan mengumpulkan abu
QUEST_LV_0200_20150317_001543	Land with the Goddess' Powers(1)
QUEST_LV_0200_20150317_001544	Aku akan mengisi kekuatan jahat
QUEST_LV_0200_20150317_001545	Land with the Goddess' Powers(2)
QUEST_LV_0200_20150317_001546	Aku akan keluar, jangan khawatir
QUEST_LV_0200_20150317_001547	Beri aku waktu untuk mempersiapkan
QUEST_LV_0200_20150317_001548	Purifying the Seal Tower/ABSORB/2/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001549	Situasi Goddess Austeza
QUEST_LV_0200_20150317_001550	Dengarkan ceritanya
QUEST_LV_0200_20150317_001551	Kita istirahat sebentar
QUEST_LV_0200_20150317_001552	Identitas giant grass
QUEST_LV_0200_20150317_001553	Aku akan memeriksanya.
QUEST_LV_0200_20150317_001554	Tidak keberatan
QUEST_LV_0200_20150317_001555	Untuk kedatangan Bencana
QUEST_LV_0200_20150317_001556	Even the Hand of Scarecrow (1)
QUEST_LV_0200_20150317_001557	Even the Hand of Scarecrow (2)
QUEST_LV_0200_20150317_001558	Aku harus berdiri
QUEST_LV_0200_20150317_001559	Menolak
QUEST_LV_0200_20150317_001560	Installing/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001561	Notice/Set up the scarecrow but monsters are not reacting to it.#5
QUEST_LV_0200_20150317_001562	Setengah Madu setengah Rakasa
QUEST_LV_0200_20150317_001563	menghiburnya
QUEST_LV_0200_20150317_001564	Endazzled Saviors
QUEST_LV_0200_20150317_001565	Tanyakan bagaimana untuk mendapatkan kembali simbol
QUEST_LV_0200_20150317_001566	Mengatakan itu tidak berhubungan dengan Aku
QUEST_LV_0200_20150317_001567	Tentang Seal di Spring Cahaya Kayu
QUEST_LV_0200_20150317_001568	Simbol Goddess Austeja
QUEST_LV_0200_20150317_001569	Restoring/PRAY/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001570	Notice/Symbol of the Goddess's Austeza has been restored!#5
QUEST_LV_0200_20150317_001571	 Menyembuhkan penyelamat Comes First
QUEST_LV_0200_20150317_001572	Destroyed Seal Tower (1)
QUEST_LV_0200_20150317_001573	Aku akan mengembalikan segel
QUEST_LV_0200_20150317_001574	Mengapa segel hancur
QUEST_LV_0200_20150317_001575	Granting the power of Goddess/PRAY/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001576	Destroyed Seal Tower (2)
QUEST_LV_0200_20150317_001577	Chafer dari Spring Cahaya Woods
QUEST_LV_0200_20150317_001578	Orang yang menghancurkan Menara
QUEST_LV_0200_20150317_001579	Checking/LOOK_SIT/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001580	Kehilangan Luggage  dari Merchant
QUEST_LV_0200_20150317_001581	Aku akan menemukan kembali jadi jangan khawatir
QUEST_LV_0200_20150317_001582	Tentang endazzled Saviors
QUEST_LV_0200_20150317_001583	Mengamankan koridor yg aman
QUEST_LV_0200_20150317_001584	Aku akan menyingkirkan monster
QUEST_LV_0200_20150317_001585	Obat Terbuat dari Spring Cahaya Grass
QUEST_LV_0200_20150317_001586	Jangan khawatir, aku akan mendapatkannya
QUEST_LV_0200_20150317_001587	Abaikan saja
QUEST_LV_0200_20150317_001588	Kegagalan dan Sukses
QUEST_LV_0200_20150317_001589	Setiap langkah bersatu
QUEST_LV_0200_20150317_001590	Aku akan membantu menundukkan
QUEST_LV_0200_20150317_001591	Cerita di balik runtuhnya The Owl
QUEST_LV_0200_20150317_001592	Goddess PatungStatue of Goddess of Amolallul Slope Amolallul Slope
QUEST_LV_0200_20150317_001593	Threat of Fault Line (1)
QUEST_LV_0200_20150317_001594	Aku akan pergi melihat
QUEST_LV_0200_20150317_001595	Threat of Fault Line (2)
QUEST_LV_0200_20150317_001596	Aku akan menyimpan The Owl
QUEST_LV_0200_20150317_001597	Unsatisfied Hunger (1)
QUEST_LV_0200_20150317_001598	Unsatisfied Hunger (2)
QUEST_LV_0200_20150317_001599	Unsatisfied Hunger (3)
QUEST_LV_0200_20150317_001600	Unsatisfied Hunger (4)
QUEST_LV_0200_20150317_001601	Aku akan membuatnya lain waktu
QUEST_LV_0200_20150317_001602	Notice /!/Lylia meninggal .. {nl} Tolong buatkan sebuah makam untuknya # 3
QUEST_LV_0200_20150317_001603	Membuat makan untuk Lylia/SITGROPE/3/TRACK_BEFORE /None
QUEST_LV_0200_20150317_001604	Notice /Kamu membuat pemakaman untuk Lylia # 5
QUEST_LV_0200_20150317_001605	Endless Gluttony (1)
QUEST_LV_0200_20150317_001606	 Aku akan menemukan sesuatu untuk dimakan
QUEST_LV_0200_20150317_001607	Mengabaikannya dan pergi dengan cara Kamu
QUEST_LV_0200_20150317_001608	Endless Gluttony (2)
QUEST_LV_0200_20150317_001609	Sepertinya sesuatu yang berhubungan. Berikan kotak musik
QUEST_LV_0200_20150317_001610	Sesuatu yang tidak benar. Jangan menunjukkannya
QUEST_LV_0200_20150317_001611	Endless Gluttony (3)
QUEST_LV_0200_20150317_001612	Aku akan mendapatkan daun Nicotia untuk Kamu
QUEST_LV_0200_20150317_001613	Endless Gluttony (4)
QUEST_LV_0200_20150317_001614	Necklace of Lust
QUEST_LV_0200_20150317_001615	Digging a bunch of rotten meat/SITGROPE/3/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150317_001616	Argumen
QUEST_LV_0200_20150317_001617	Lanjutkan permintaan
QUEST_LV_0200_20150317_001618	Hanya pergi jalan
QUEST_LV_0200_20150317_001619	Can't be Taken Away (1)
QUEST_LV_0200_20150317_001620	Aku akan mengurus monster
QUEST_LV_0200_20150317_001621	Can't be Taken Away (2)
