QUEST_LV_0400_20161005_000001	Kedoran Alliance Merchant Alta
QUEST_LV_0400_20161005_000350	{nl}We all of our farmland to the monsters.{nl}Even if we manage to get it back, it won't be enough to feed us all.
QUEST_LV_0400_20161005_000351	{nl}It will only demoralize us even further.{nl}We won't be able to make it much more without the help from someone else.
QUEST_LV_0400_20161005_000352	You can't simply drink water from Michekan Forest because of the toxins.{nl}You'll suffer from stomache troubles if you do.
QUEST_LV_0400_20161005_000353	{nl}You have to drink it after purifying it with Randulin, but that's not easy to obtain either.{nl}You have to find it outside of the refugee camp where monsters are roaming around.
QUEST_LV_0400_20161005_000354	{nl}Nothing is easy here.
QUEST_LV_0400_20161005_000355	Wyatt
QUEST_LV_0400_20161005_000356	I did think that he was bringing more food than the others.{nl}I asked Waltas, but he simply said that he had found food at an empty shelter.
QUEST_LV_0400_20161005_000357	{nl}I didn't know anything back then.{nl}I never dreamed that he would be stealing for our baby...
QUEST_LV_0400_20161005_000358	{nl}Aurlelse defended my husband when he was discovered to be the theif.{nl}We would have been thrown out if it wasn't for him.
QUEST_LV_0400_20161005_000359	{nl}I am still thankful for Aurlelse and his actions.{nl}I am also sorry for all the people that were victims back then...{nl}
QUEST_LV_0400_20161005_000360	Waltas became a theif for our baby.{nl}I am not ashamed.
QUEST_LV_0400_20161005_000361	{nl}Aren't we in a situation where he had no other choice?
QUEST_LV_0400_20161005_000362	Waltas
QUEST_LV_0400_20161005_000363	Wyatt had to become a refugee late into her pregnancy, and had our baby as soon as we arrived here.{nl}There was only enough food to barely stave off starvation.
QUEST_LV_0400_20161005_000364	{nl}We managed to scrape by, but the baby was unable to be fed since Wyatt wasn't getting enough nutrition.{nl}The baby kept crying for food but there was none to give...I didn't know what to do.
QUEST_LV_0400_20161005_000365	{nl}That's why I stole food for my family...
QUEST_LV_0400_20161005_000366	{nl}However, my crimes were soon discovered by the rest of the people.{nl}Aurlelse defended me and my family just before I was beaten.
QUEST_LV_0400_20161005_000367	{nl}I am participating even more in order to right any wrongs and make up for my crimes.
QUEST_LV_0400_20161005_000368	We thought the food situation might get better since we managed to set up some farms but...{nl}We lost all of that to the monsters.
QUEST_LV_0400_20161005_000369	{nl}I'm worried that life might get even worse.
QUEST_LV_0400_20161005_000370	Ciatas
QUEST_LV_0400_20161005_000371	We've been able to manage until now, but we don't know when we'll meet our limits.
QUEST_LV_0400_20161005_000372	Of course I want to go and ask for help.{nl}But we don't know where we are and the monsters are crawling all over the place...
QUEST_LV_0400_20161005_000373	Rhupas
QUEST_LV_0400_20161005_000374	This place becomes really cold at night.{nl}You might even get frostbite if you don't wrap yourself up.
QUEST_LV_0400_20161005_000375	I don't know how we'll survive if we lose the farms.
QUEST_LV_0400_20161005_000376	Ohdette
QUEST_LV_0400_20161005_000377	Some people think that all we have to do is retake the farms but that's not true.{nl}We can't survive on the food from tha farms alone.
QUEST_LV_0400_20161005_000378	{nl}Monsters will keep raiding us since they know there's food in the camp.
QUEST_LV_0400_20161005_000379	We can't drive them out even if we arm everyone with weapons.{nl}They haven't been professionally trained.
QUEST_LV_0400_20161005_000380	Salewya
QUEST_LV_0400_20161005_000381	The people are getting worried.{nl}We somehow managed to get this far by sticking together, but there will be a time when that won't be enough...
QUEST_LV_0400_20161005_000382	{nl}That doesn't mean we have a way to survive if we leave this place.{nl}We don't have enough food to sustain the large population here moving at once either.
QUEST_LV_0400_20161005_000383	There are times when I wish this was all a dream.{nl}However, it feels more realistic every time I seem to wish that.
QUEST_LV_0400_20161005_000384	Daniels
QUEST_LV_0400_20161005_000385	Salewya wasn't always so dark.{nl}That happened after coming here.
QUEST_LV_0400_20161005_000386	{nl}It doesn't matter how much we tell her that we can overcome the difficulties here.
QUEST_LV_0400_20161005_000387	Salewya sometimes says that this whole life seems to be like a dream.{nl}That she'll wake up in a warm and comfortable bed...
QUEST_LV_0400_20161005_000388	{nl}I'm afraid she'll keep denying reality.
QUEST_LV_0400_20161005_000389	Hello there, are you trying to go in there?{nl}If so, could you please help me? It's a matter of life and death.
QUEST_LV_0400_20161005_000390	{nl}Please help!
QUEST_LV_0400_20161005_000391	Thank you so much for agreeing to help...{nl}I sent in a group of refugees that I organized into a group.{nl}None of them have been able to make it out even if it has been a few days.
QUEST_LV_0400_20161005_000392	I don't think that the legends written in that book are works of pure fiction.{nl}I don't know what we'll find but I will be able to solidify my position in the Merchant Alliance...
QUEST_LV_0400_20161005_000393	Mercenary Heranda
QUEST_LV_0400_20161005_000394	No! {nl}No!
QUEST_LV_0400_20161005_000395	{nl}No...
QUEST_LV_0400_20161005_000396	Who are you!{nl}Have you come to kill me as well?
QUEST_LV_0400_20161005_000397	{nl}It's a person...{nl}I don't recognize you though...
QUEST_LV_0400_20161005_000398	{nl}You have to be careful too!{nl}They're coming to get us!
QUEST_LV_0400_20161005_000399	{nl}Please deal with those monsters...{nl}Please!
QUEST_LV_0400_20161005_000400	No, no, it's over...{nl}We've all gone insane...
QUEST_LV_0400_20161005_000401	{nl}Why has this...{nl}Captain... Edeline...
QUEST_LV_0400_20161005_000402	You've dealt with all of the monsters?{nl}What are you talking about!
QUEST_LV_0400_20161005_000403	{nl}You're another illusion made from this curse as well...{nl}Of course...There couldn't be a person in this place could there...
QUEST_LV_0400_20161005_000404	{nl}Just leave me alone and go away...{nl}Please...
QUEST_LV_0400_20161005_000405	Who are you?{nl}You don't seem to be one of the Gigho Mercenaries...
QUEST_LV_0400_20161005_000406	{nl}Has Alta sent you to die in this cave as well?{nl}How did you get all the way in here?
QUEST_LV_0400_20161005_000407	Please find Heranda!{nl}She'll be taken by them if we don't hurry!
QUEST_LV_0400_20161005_000408	{nl}I'll explain to you later.
QUEST_LV_0400_20161005_000409	Oh no... Where could she have gone?{nl}What's that in your hands though?
QUEST_LV_0400_20161005_000410	These are records left by Heranda{nl}She must have fallen unconscious after suffering from illusions and fear.
QUEST_LV_0400_20161005_000411	{nl}I suppose it's lucky that Heranda left these here before she was cursed.{nl}I think I'll be able to make out where the others are after reading these.
QUEST_LV_0400_20161005_000412	{nl}She also mentions a creature that is hunting the people that have scattered due to the curse.{nl}We thought that we were save since we avoided the curse but...It seem we aren't out of the woods yet...
QUEST_LV_0400_20161005_000413	{nl}So they call this Ravinelarva outside of here.{nl}Could you deal with it to keep our people safe?
QUEST_LV_0400_20161005_000414	Thank you.{nl}I'll have to look for the location of the other members after reading Heranda's records a bit more.
QUEST_LV_0400_20161005_000415	My lover, Edeline, is the second in command of the Gigho Mercenaries.{nl}I was accompanying them because I was a bit worried about them.
QUEST_LV_0400_20161005_000416	{nl}I never thought that things would go so wrong...{nl}I am going to report Alta to the Merchant Alliance Headquarters when I get out of here with Edeline!
QUEST_LV_0400_20161005_000417	{nl}Alta drove people to die without telling them anything.{nl}It's not something that can be forgiven even if he didn't know about it...
QUEST_LV_0400_20161005_000418	I've been waiting with baited breath for you to return safely.{nl}I was worried that we'd be discovered.
QUEST_LV_0400_20161005_000419	I've been able to find where Heranda last saw the head of the Gigho Mercenaries from the records.{nl}After looking at their records... I think it's near the Novan Stone Pole Platform.
QUEST_LV_0400_20161005_000420	{nl}I'm sure that a lot of people will be there since he is the head of the Gigho Mercenaries!{nl}Edeline might be there as well.
QUEST_LV_0400_20161005_000421	{nl}Please find them and bring them back.{nl}I beg of you!
QUEST_LV_0400_20161005_000422	Commanding Officer Gigho
QUEST_LV_0400_20161005_000423	Who... are you...{nl}I've never seen you before...
QUEST_LV_0400_20161005_000424	{nl}Please help me...{nl}I've been badly wounded...
QUEST_LV_0400_20161005_000425	Have you found him?{nl}Please find them before they're all hunted down...
QUEST_LV_0400_20161005_000426	{nl}We're out of time!{nl}
QUEST_LV_0400_20161005_000427	Please... Please... I beg of you...{nl}Find my antidotes...
QUEST_LV_0400_20161005_000428	{nl}The others...They've all been captured and taken to the Vankas Stone Pole Platform...{nl}The same as Edeline...
QUEST_LV_0400_20161005_000429	{nl}Forget about those people... Save me instead...monster{nl}The antidotes...Monsters should be holding them...
QUEST_LV_0400_20161005_000430	Please... Please...{nl}At least save me...
QUEST_LV_0400_20161005_000431	Why have you returned by yourself?{nl}What about Edeline and the others?
QUEST_LV_0400_20161005_000432	{nl}It seems as if Gigho has gone just like Heranda...{nl}But I get that Edeline is at Vankas Stone Pole Platform.
QUEST_LV_0400_20161005_000433	Edeline...{nl}I can't believe that he could be thrown away like that after following Gigho for so long...
QUEST_LV_0400_20161005_000434	Why have you come back alone...Why!{nl}This necklace was my present to Edeline...
QUEST_LV_0400_20161005_000435	{nl}Ah...{nl}I'm sorry...
QUEST_LV_0400_20161005_000436	{nl}I didn't know that you've put your life at risk like that...{nl}I took my anger out on you.
QUEST_LV_0400_20161005_000437	I can't wait here for someone that won't return.{nl}Alta... We have to punish him.
QUEST_LV_0400_20161005_000438	{nl}Don't stop me!{nl}I'll go even if you try and stop me!
QUEST_LV_0400_20161005_000439	How did it come to this...{nl}How...
QUEST_LV_0400_20161005_000440	{nl}I'm finished if that priest reports me to headquarters!{nl}I feel sorry for my people but I have to make preparations...
QUEST_LV_0400_20161005_000441	{nl}Listen to me, we can't allow something similar to happen can we?{nl}Listen to me!
QUEST_LV_0400_20161005_000442	If what Celvica and you are saying is true, there must be some other record.{nl}We'd better find it.
QUEST_LV_0400_20161005_000443	{nl}It might be dangerous for you a bit but we need to uncover the truth. People's lives are at stake.{nl}Please, I beg of you.
QUEST_LV_0400_20161005_000444	Perhaps this is the legendary Alembique?{nl}What does that mean for me though...
QUEST_LV_0400_20161005_000445	This... will be extremely useful.{nl}It might be good enough to cover all of my mistakes...
QUEST_LV_0400_20161005_000446	{nl}I'll be able to explain everything if I fit everything to the legends of Alembique.{nl}Don't  you think?
QUEST_LV_0400_20161005_000447	It doesn't matter if the Kedoran Merchant Alliance is meant to search for the Goddess's arrangements...{nl}Their still merchants at heart so they'll listen to me if they know what they can get here...
QUEST_LV_0400_20161005_000448	{nl}Nobody has been here before so there will be research that can be performed on the monsters found here...{nl}That's why I want to ask if you'd be willing to deal with some of the monsters and get some of their remains for me.
QUEST_LV_0400_20161005_000449	Do I look like a capitalist and opportunist to you as well?{nl}If so, there isn't much that I can say...
QUEST_LV_0400_20161005_000450	{nl}Think of all of this as measures to keep any more people from getting hurt...
QUEST_LV_0400_20161005_000451	These stalactites seem to be harboring some sort of magical powers.{nl}The Alliance's researchers will have a field day with these.
QUEST_LV_0400_20161005_000452	{nl}I'm sure that they will be important materials that can be used to prevent any further loss of life!
QUEST_LV_0400_20161005_000453	I've been thinking after hearing from you and Celvica...
QUEST_LV_0400_20161005_000454	{nl}I can't stop but think that there's something in this cave that emits the strange aura.{nl}Maybe getting rid of those might be able to allow the surviving members to return?
QUEST_LV_0400_20161005_000455	{nl}I beleive that only you are capable of finishing this job.{nl}Since you don't seem to be affected by the curse at all.
QUEST_LV_0400_20161005_000456	I would like to help you but...{nl}You saw what happened to Heranda and Gigho right?
QUEST_LV_0400_20161005_000457	{nl}I might mistake you for a monster and start attacking you if I go in there...{nl}Of course I'm sure that I won't be a match for you but...
QUEST_LV_0400_20161005_000458	I feel like the aura has lessened a bit...{nl}What do you think?
QUEST_LV_0400_20161005_000459	Heranda! Is Heranda alive?{nl}Is Heranda okay?
QUEST_LV_0400_20161005_000460	{nl}This cave is cursed.{nl}People will go crazy if they aren't protected by divine energy like I am.
QUEST_LV_0400_20161005_000461	{nl}I have no idea why you're unaffected...{nl}There doesn't seem to be anything else that wants to attack us except the monsters.
QUEST_LV_0400_20161005_000462	{nl}Look at me, I've kept talking for too long.
QUEST_LV_0400_20161005_000463	{nl}People's lives depend on it.{nl}Please bring Heranda back here since you seem to be unaffected by the curse!
QUEST_LV_0400_20161005_000464	Celvica?{nl}Why?
QUEST_LV_0400_20161005_000465	{nl}Either way, she still hasn't come here...{nl}I'm glad you've made it though.
QUEST_LV_0400_20161005_000466	I assure you that this is not simply for my own benefit...
QUEST_LV_0400_20161005_000467	Leave me... alone...
QUEST_LV_0400_20161005_000468	The Cave of Legends : Revised Edition Volume 1
QUEST_LV_0400_20161005_000469	There have been many tales{nl}of mysterious locations{nl}long before written history.{nl}This book contains three{nl}of those wonderous locations.{nl}
QUEST_LV_0400_20161005_000470	The reasoning behind selecting{nl}the particular locations is as follows.{nl}{nl}The masses are only a little less interested{nl}about riches such as treasure and gold{nl}than they are about the Goddesses.{nl}{nl}We will start with the legends of Alembique.
QUEST_LV_0400_20161005_000471	Chapter 1 Legends of Alembique{nl}-{nl}There are tales of a cave named Alembique{nl}in the southern province of Kiren.{nl}{nl}It is said that a brilliant alchemist{nl}created many invaluable goods{nl}and occasionally invited people{nl}to show off to them.
QUEST_LV_0400_20161005_000472	Nobody seems to know the location{nl}of the mysterious Alembique Cave.{nl}{nl}However, older people in several villages{nl}tell their descendants of being invited to the cave,{nl}and not wanting to leave the place{nl}as they had experienced never before seen luxuries.{nl}{nl}Therefore, people from these villages{nl}have a habit of congratulating any people that have gone missing{nl}and hope that they will also be invited one day.
QUEST_LV_0400_20161005_000473	The Cave of Legends : Revised Edition Volume 2
QUEST_LV_0400_20161005_000474	The reasoning behind selecting{nl}the particular locations is as follows.{nl}{nl}The masses are only a little less interested{nl}about riches such as treasure and gold{nl}than they are about the Goddesses.{nl}{nl}We will now go on to the hidden Royal Mausoleum.
QUEST_LV_0400_20161005_000475	Chapter 2 : Legends of the Hidden Royal Mausoleum{nl}-{nl}The Great Woodlands have been used by the nobles and public alike{nl}as hunting grounds or refuge thanks to their lush vegetation.{nl}As such, it is an inevitability that people have experience.{nl}However, the funny thing is{nl}there is no account related to the royal family.{nl}According to some rumors,{nl}the reason for lack of accounts is because after Taniel II era.{nl}Many offerings were buried in the secret mausoleum.
QUEST_LV_0400_20161005_000476	What I am saying is that{nl}the Royalty seemed to leave this place alone{nl}as there was a secret place here.
QUEST_LV_0400_20161005_000477	To be frank, record of Taniel the Second's funeral{nl}are extremely sparse{nl}which lends extra credibility to these claims.{nl}That is because the other funerals{nl}had some sort of records{nl}no matter how small.{nl}However, even if these claims are true{nl}the Mausoleum will never see the light of day.
QUEST_LV_0400_20161005_000478	The location of the secret mausoleum remains hidden{nl}for it is almost impossible to avoid{nl}the gaze of  Goddess Medeina.{nl}That is why even if the rumors are true, it is likely that it will remain just a legend.
QUEST_LV_0400_20161005_000479	The Cave of Legends : Revised Edition Volume 3
QUEST_LV_0400_20161005_000480	The reasoning behind selecting{nl}the particular locations is as follows.{nl}{nl}The masses are only a little less interested{nl}about riches such as treasure and gold{nl}than they are about the Goddesses.{nl}{nl}We will continue with the legends of the Golden Veins of Barconsi.
QUEST_LV_0400_20161005_000481	Chapter 3 : The Golden Veins of Barconsi{nl}-{nl}There are tales that there is a legendary gold vein{nl}in the rural mountains of the Kingdom.{nl}It is said that a demon had found this vein{nl}and a hero defeated the demon before claiming it.
QUEST_LV_0400_20161005_000482	It is also said that the hero{nl}only took the vein to prevent the demon from using it{nl}and had no interest in using it for himself.{nl}That is why he buried the location forever.
QUEST_LV_0400_20161005_000483	The hero eventually passed away from old age{nl}and left no children leaving the gold{nl}up for anyone to take if they could find it.
QUEST_LV_0400_20161005_000484	However, there is something suspicious{nl}about this legend.{nl}There is no record of Barconsi,{nl}the hero who supposedly took the gold from the demon{nl}in any of the Kingdom's records.
QUEST_LV_0400_20161005_000485	As such, many people believe that{nl}this legend is fictional{nl}as there is no record of Barconsi.{nl}However, they do not try to explain{nl}why Barconsi's name is involved.{nl}Of course, there are also many people{nl}that keep searching for the gold.
QUEST_LV_0400_20161005_000486	Refugee Brandon
QUEST_LV_0400_20161005_000487	I should have listened when everyone was telling me off!{nl}This forest is dangerous!
QUEST_LV_0400_20161005_000488	I don't understand why that hunter would want to keep this forest for himself.
QUEST_LV_0400_20161005_000489	Umm, could you help me?
QUEST_LV_0400_20161005_000490	{nl}I barely managed to get out of a trap, but I hurt my leg and can't go any further.{nl}Please help me.
QUEST_LV_0400_20161005_000491	There's some Whitetailed Grass at Turas Lot... They say it will relieve pain.{nl}I think I'll manage to walk if I'm chewing on that.
QUEST_LV_0400_20161005_000492	There should be some in the surrounding area.{nl}Could you get some for me?
QUEST_LV_0400_20161005_000493	Thank you so much.{nl}I'm going to get out of here.
QUEST_LV_0400_20161005_000494	{nl}There seems to be a violent hunter that wants to claim this land as his own.{nl}I doubted that until I got caught in one of his traps.
QUEST_LV_0400_20161005_000495	{nl}From what I've heard, he's known to have tamed a beast in order to chase people off...{nl}You should avoid getting any deeper into the forest as well.
QUEST_LV_0400_20161005_000496	I thought you were simply a nosy adventurer, but you seem to be a cut above the rest.
QUEST_LV_0400_20161005_000497	Let me introduce myself.{nl}My name is Vilhelmas.
QUEST_LV_0400_20161005_000498	{nl}I used to be a member... Actually, let's forget about the past since it's not important.
QUEST_LV_0400_20161005_000499	{nl}Emmet Forest has only been recently discovered.{nl}It seems like a good place for refugees, so I was getting rid of the troublesome monsters.
QUEST_LV_0400_20161005_000500	{nl}There's also a beast here...
QUEST_LV_0400_20161005_000501	{nl}You know, the rumors are mostly true... Apart from those about me of course.{nl}I am on my way to get rid of that beast.
QUEST_LV_0400_20161005_000502	I appreciate the thought but... I'll have to see your skill before I'll allow it.{nl}I don't want there to be your blood on my hands.
QUEST_LV_0400_20161005_000503	Their saying that I tamed the beast to chase people off?{nl}That's really disheartening...
QUEST_LV_0400_20161005_000504	I never thought you would be a Revelator...{nl}Maybe the fact that you came here was also a plan of a Goddess or two.
QUEST_LV_0400_20161005_000505	I thought that you were skilled, but never thought that you were a Revelator.
QUEST_LV_0400_20161005_000506	As I told you before, this is a good place for people to live.{nl}This means that this is a good place for the refugees from the Old Capital.
QUEST_LV_0400_20161005_000507	{nl}First of all, the Kugheri must be removed in order for people to settle here.{nl}But we'll have to deal with the beast before we can tackle the Kugheri.
QUEST_LV_0400_20161005_000508	{nl}I was getting tired of tracking him because of the curse anyways.{nl}I'd appreciate it if you could help me a bit...
QUEST_LV_0400_20161005_000509	{nl}Of course, the beast is more than capable, which means that there will be casualties if you're not strong enough.{nl}Would you mind if I test your skills?
QUEST_LV_0400_20161005_000510	It wasn't long after I started dealing with the Kugheri.{nl}One of the demons came crashing through Emmet Forest.
QUEST_LV_0400_20161005_000511	{nl}I don't care what a demon would come here for.{nl}I simply took care of it.
QUEST_LV_0400_20161005_000512	{nl}It was relatively easy defeating it.{nl}But there were complications.
QUEST_LV_0400_20161005_000513	{nl}He cursed me when he was cornered.{nl}My sight is severely hindered due to that stupid curse.
QUEST_LV_0400_20161005_000514	{nl}Anyways, he put a red gem through himself after that.{nl}He started to transform after that.
QUEST_LV_0400_20161005_000515	{nl}I'm sure you might have guessed from listening up to this point, but the beast is the demon.{nl}I realized at once that the demon was much more dangerous than before.
QUEST_LV_0400_20161005_000516	{nl}Of course, he had a bit of fear left for me and ran as well.{nl}The long and boring fight between the two of us has been dragging on ever since then.
QUEST_LV_0400_20161005_000517	{nl}Tracking that thing with this curse wasn't easy.{nl}Having limited vision as a hunter is  almost a death sentance.
QUEST_LV_0400_20161005_000518	{nl}I put up warnings to ward people away but refugees kept coming in despite of my efforts.{nl}I think I'll be able to settle this fight once and for all with your help though.
QUEST_LV_0400_20161005_000519	{nl}Please, lend me your strength.
QUEST_LV_0400_20161005_000520	Very good.{nl}Try dealing with the Kugheri of this forest.{nl}If you are able to deal with them, you might be good enough to take on the beast with me.
QUEST_LV_0400_20161005_000521	Please prove your skills by dealing with the Kugheri.
QUEST_LV_0400_20161005_000522	Hmm... You are definitely skilled.{nl}I think I'll be able to defeat the beast if I fight with you.
QUEST_LV_0400_20161005_000523	{nl}You're a bit too good...{nl}You're not just the average traveler are you? What are you?
QUEST_LV_0400_20161005_000524	So you're the...!{nl}Now I understand your skill.
QUEST_LV_0400_20161005_000525	{nl}Well then Revelator, you should help me out with a problem I have here.
QUEST_LV_0400_20161005_000526	I think we'll give that idea a try since I have someone to help me now.{nl}I think we'll be able to critically injure the beast.
QUEST_LV_0400_20161005_000527	{nl}The plan is to plant a trap where he normally travels and then for me to hit the beast with a poison arrow.{nl}I'll have to gather ingredients for the poison, but I can't do this alone.
QUEST_LV_0400_20161005_000528	{nl}The first ingredient for the poison can be taken from the Kugheri.{nl}I can't see them until I get near them, but they run if I get too close.
QUEST_LV_0400_20161005_000529	{nl}Could you gather the ingredients for me?
QUEST_LV_0400_20161005_000530	Thank you.{nl}You'll be able to get the poison from Kugheri Tots.
QUEST_LV_0400_20161005_000531	{nl}They seem to have poison for protection purposes when they're young, but simply taking that poison won't be enough.{nl}The poison will become much more potent if you spray them with this stimulant.
QUEST_LV_0400_20161005_000532	{nl}Defeat them and bring me the enhanced poison sacks.
QUEST_LV_0400_20161005_000533	Approach the Kugheri Tots and defeat them after spraying them with stimulant.{nl}Take the poison sacks from them after defeating them.
QUEST_LV_0400_20161005_000534	Good job.{nl}You'll have to move with me for the next ingredient.
QUEST_LV_0400_20161005_000535	The next ingredient is the Yellow Wolfsbane.
QUEST_LV_0400_20161005_000536	{nl}However, we can't use any flower.{nl}Only a professional will be able to see which flower can be used.
QUEST_LV_0400_20161005_000537	{nl}I'll decide which flowers can be used since you won't be able to tell the difference.{nl}All you have to do is lead me to the flowers since I can't see where they are.
QUEST_LV_0400_20161005_000538	They should be growing near Saalmas Falls.{nl}We should get moving at once.
QUEST_LV_0400_20161005_000539	Thank you.{nl}I'll start mixing the poison.
QUEST_LV_0400_20161005_000540	We have enough ingredients for the poison now.{nl}However...{nl}I seem to be fresh out of materials for the traps.
QUEST_LV_0400_20161005_000541	{nl}The Kugheri Sommi always carry paralysis poison to use on small animals.{nl}It can be used on larger targets if you have enough of it.
QUEST_LV_0400_20161005_000542	{nl}Could you gather the poison from them?
QUEST_LV_0400_20161005_000543	Thank you.{nl}I'll be making other preparations.
QUEST_LV_0400_20161005_000544	Bring me paralysis poison gathered from the Kugheri Sommi.
QUEST_LV_0400_20161005_000545	That took longer than expected.{nl}Let's go and finish the trap.
QUEST_LV_0400_20161005_000546	We're all set to go.{nl}I just have to install this.
QUEST_LV_0400_20161005_000547	I tracked the beast and mixed the poison while you were gathering the poison for the trap.{nl}He leaves a red trail behind him. It may be a bit faint for you to see.
QUEST_LV_0400_20161005_000548	{nl}I think it's because of the red gem he put through himself.{nl}Anyways, I found a small trail where he frequently goes by.
QUEST_LV_0400_20161005_000549	{nl}I think we should install the trap on the way up to Saalmas Falls from Tredhalai Stream.{nl}I'll be hiding at Visuobene Falls and hit him with the poison arrow as soon as he is trapped.
QUEST_LV_0400_20161005_000550	{nl}It should be enough to critically injure the beast.{nl}All you have to do is install the trap where I just described.
QUEST_LV_0400_20161005_000551	Make sure to install it exactly where I described.{nl}I won't be able to hit him if it's not in the correct place.
QUEST_LV_0400_20161005_000552	Go and install the trap before the beast goes through.
QUEST_LV_0400_20161005_000553	I'll have to rest here for a bit.{nl}Vaighe Hill is a dead end so we won't have to worry too much. 
QUEST_LV_0400_20161005_000554	{nl}You'll have to end it by yourself.{nl}It should have been weakened considerably because of the poison arrow.
QUEST_LV_0400_20161005_000555	Don't worry about me and go after it!{nl}Before it can recover!
QUEST_LV_0400_20161005_000556	He's gone to a dead end.{nl}This is the opportune moment to finish it!
QUEST_LV_0400_20161005_000557	We should recover all of the traps we set to catch the beast.{nl}We can't have people like you stepping on them now can we?
QUEST_LV_0400_20161005_000558	May the Goddess bless your journey.{nl}I hope you will be able to succeed in your mission.
QUEST_LV_0400_20161005_000559	I won't be caught out by the Kugheri even if I am wounded.{nl}Hurry after him and finish the job.
QUEST_LV_0400_20161005_000560	Yes...{nl}The long fight has finally come to an end.
QUEST_LV_0400_20161005_000561	{nl}I don't know when this would have ended if it wasn't for you.{nl}I think my eyesight is returning now that the beast is gone.
QUEST_LV_0400_20161005_000562	{nl}I owe you.{nl}I would appreciate it if you could stay behind and help me clean this place up...
QUEST_LV_0400_20161005_000563	{nl}I'm sure you have your mission as Revelator.{nl}I don't know how I'll repay you for the help you gave.
QUEST_LV_0400_20161005_000564	{nl}Farewell then.{nl}I wish you the best on your journey.
QUEST_LV_0400_20161005_000565	Anyone who goes beyond this point will put their life at risk.{nl}Go back while you still can.
QUEST_LV_0400_20161005_000566	I advise you to be careful as there are violent Kugheri and armed traps.
QUEST_LV_0400_20161005_000567	Refugee Mylija
QUEST_LV_0400_20161005_000568	I came here after hearing that it was okay, but I think it was a bad decision on my part.{nl}Monsters are crawling everywhere... People are fighting amongst each other...
QUEST_LV_0400_20161005_000569	I can't beliece that it's been four years since Medzio Diena and they're still fighting over stupid land.
QUEST_LV_0400_20161005_000570	At least they're talking to each other instead of simply fighting.{nl}I wish we could know who to rely on soon.
QUEST_LV_0400_20161005_000571	I hope that everything will be finished without bloodshed.{nl}I'm a bit worried that there may be complications since they don't exactly have a good history together.
QUEST_LV_0400_20161005_000572	I am thankful that the argument is over since they've decided to help us even if they haven't decided the winner.
QUEST_LV_0400_20161005_000573	Thank you for your help Traveler.{nl}This was all thanks to you.
QUEST_LV_0400_20161005_000574	Ah, it's you...{nl}Could you help us out?
QUEST_LV_0400_20161005_000575	{nl}The food we've brought with us is long gone...{nl}We've asked the lords supposed to be ruling this region, but they are too busy squabbling between themselves to help us.
QUEST_LV_0400_20161005_000576	{nl}Since you seem to be capable of dealing with some monsters, we have no choice but to ask you...{nl}Could you please gather some tailfruit from the Yellow Leafnuts after dealing with them?
QUEST_LV_0400_20161005_000577	Thank you.{nl}I think all that's left to eat around these parts are the tailfruits from the Leafnuts.
QUEST_LV_0400_20161005_000578	Please gather some tailfruit from the Yellow Leafnuts in the surrounding area.
QUEST_LV_0400_20161005_000579	Thank you so much.{nl}We'll manage for a while with these but... I hope that they'll decide who will rule this region as soon as possible...
QUEST_LV_0400_20161005_000580	Refugee Greg
QUEST_LV_0400_20161005_000581	We came all the way here for help but have to fend for ourselves...{nl}This makes this place exactly like anywhere else.
QUEST_LV_0400_20161005_000582	How could they be squabbling over land in such situations...{nl}I guess I can't expect any better from nobles can I...
QUEST_LV_0400_20161005_000583	Well, at least they're better than the average noble.{nl}It seems like they've caught on to the situation after being attacked by monsters.
QUEST_LV_0400_20161005_000584	I heard that you were the reason behind their sudden agreement.{nl}I don't know how I will repay you for this.
QUEST_LV_0400_20161005_000585	Monsters are attacking us refugees a few times every single day.{nl}What's the use of having a lot of soldiers nearby.{nl}They're all busy protecting their lords.
QUEST_LV_0400_20161005_000586	{nl}Even worse, they don't care if the refugees here die or not.{nl}All they seem to care about is getting more land under their boots.
QUEST_LV_0400_20161005_000587	{nl}That's why we have to look for ways to look after ourselves.{nl}I'm sorry, but could you please get us some strong branches from the nearby area?
QUEST_LV_0400_20161005_000588	{nl}We're planning on having them as weapons.{nl}I will have to stay here in order to carve their points to use as weapons.
QUEST_LV_0400_20161005_000589	Thank you so much for offering your help.{nl}We've already taken this much from the surrounding area, so you'll have to look over at Collegia Crossing for more.
QUEST_LV_0400_20161005_000590	{nl}There's always monsters near branches, so please be careful out there.
QUEST_LV_0400_20161005_000591	Be wary of monsters when collecting branches.
QUEST_LV_0400_20161005_000592	Thank you.{nl}They all look very sturdy.
QUEST_LV_0400_20161005_000593	{nl}However, they are still just tree branches... We won't last long with these.{nl}We need the fighting between the two lords to end soon...
QUEST_LV_0400_20161005_000594	{nl}Only the Goddess will know if they'll care about us even if it does end soon.
QUEST_LV_0400_20161005_000595	I saw you helping Greg.
QUEST_LV_0400_20161005_000596	{nl}I've seen you helping us out and dealing with monsters with ease...{nl}You don't seem to be just an ordinary traveler.
QUEST_LV_0400_20161005_000597	{nl}We... we'll have to leave this place if the lords don't stop arguing soon.{nl}However, we are afraid of going into Emmet Forest because of the warnings and strange rumors about the place.
QUEST_LV_0400_20161005_000598	{nl}In other words, we don't have anywhere to go.{nl}So, please, could you find it in your heart to go and mediate?
