QUEST_LV_0400_20161005_000001	케도라 상단원 알타
QUEST_LV_0400_20161005_000307	위킨스
QUEST_LV_0400_20161005_000308	여기 온 지 얼마 안됐을 때였어요.{nl}왈타스씨가 부인과 아기를 위해 사람들의 물건을 훔치는 일이 있었어요.
QUEST_LV_0400_20161005_000309	{nl}왈타스씨는 베풀 줄만 알던 사람이었어요 이전에는..{nl}그런 모습을 보곤, 상황이 사람을 만든다는 걸 깨닫게 됐어요.
QUEST_LV_0400_20161005_000310	왈타스씨가 남의 물건을 빼앗었던 모습은 어느정도 이해가 돼요.
QUEST_LV_0400_20161005_000311	{nl}그때 당시에 이와트 부인이 막 아이를 낳았거든요.{nl}하지만 먹을 것이 없다보니 이와트씨의 젖이 나오지 않았어요.
QUEST_LV_0400_20161005_000312	{nl}남편인 왈타스씨 입장에선 산모와 아기를 위해서 먹을게 더 많이 필요했던 거죠.
QUEST_LV_0400_20161005_000313	미유스
QUEST_LV_0400_20161005_000314	피난처에 있는 사람들 모두 커티스 아저씨와 아우랠스 아저씨와 네이글스에게 고마워하고 있어요.{nl}그들이 있었기에 이곳에서 생활이 그나마 이 정도 유지된다고 생각해요.
QUEST_LV_0400_20161005_000315	생활이 조금이나마 나아지긴 했지만 그래도 아직은 많이 어려워요.{nl}힘이 있는 사람들에게 도움을 받지 않는 이상, 더 나아지지 않을 거예요.
QUEST_LV_0400_20161005_000316	리엘
QUEST_LV_0400_20161005_000317	엄마가.. 나 추울까봐 이불을 다 나한테 주셨어요.{nl}그러니까 감기 걸리지..맨날 기침하고..
QUEST_LV_0400_20161005_000318	{nl}천막만 꿰매면 찬바람이 덜 들어올테니, 꿰맬 실을 구하러 갔던 거예요.{nl}촌 안을 다 돌아다녀도 그런 실로 쓸만한 게 없었어요.
QUEST_LV_0400_20161005_000319	{nl}커티스 아저씨가, 여기 저 위쪽으로 가면 풀섶에 나방이 고치를 만든대요.{nl}그 고치를 구해 삶으면 진짜 튼튼한 실이 된다고 했어요.
QUEST_LV_0400_20161005_000320	엄마한테 말 못했어요..{nl}실 구하러 밖에 나가겠다고 하면 못나가게 할 게 뻔하니까..
QUEST_LV_0400_20161005_000321	{nl}근데 그러면 안되는 거였어요..{nl}제가 잘못되기라도 했으면 엄마가 너무 슬퍼하셨을테니까요..
QUEST_LV_0400_20161005_000322	여기 오고 나서부터 엄만 늘 밤에 악몽을 꾸세요.{nl}주무시면서 줄곧 아빠 이름을 부르면서 가지 말라고 해요.
QUEST_LV_0400_20161005_000323	{nl}그러다 막 울면서 깨세요.{nl}그걸 보면 너무 마음이 아파요.
QUEST_LV_0400_20161005_000324	엄마, 아빠와 함께 식탁에 앉아서 감자 만두를 먹던 때가 기억나요.{nl}군침도는 감자 만두의 향..
QUEST_LV_0400_20161005_000325	{nl}멀리서 들려오는 아이에게 밥 먹으라고 외치던 부모님의 목소리들..{nl}딱딱하지만 앉아 있으면 마음이 편안했던 식탁 의자들까지..
QUEST_LV_0400_20161005_000326	이 곳에 도착했을 때는 정말 모든 것이 막막하기만 했습니다.{nl}사람들은 모두 지쳐있고 생활에 필요한 물건들은 없고 몬스터의 위협까지..
QUEST_LV_0400_20161005_000327	{nl}그런 상황에도 우리가 지금까지 올 수 있었던 건 아우랠스의 행동 덕분입니다.
QUEST_LV_0400_20161005_000328	{nl}먹을 것이 귀할 때 식량이 도둑 맞은 사건이 있었습니다.{nl}저를 비롯한 몇 명의 사람들이 그 피해자였죠.
QUEST_LV_0400_20161005_000329	{nl}피해자들은 범인을 찾겠다고 단단히 벼르고 있었고 저 또한 범인을 절대 가만두지 않으려고 했죠.{nl}왈타스가 범인이란 것을 알게 되었을 때 저와 피해자들은 그를 때리려고 했습니다.
QUEST_LV_0400_20161005_000330	{nl}그 때 아우랠스가 자신의 식량을 내놓으며 왈타스를 감싸주었습니다.{nl}자신의 아기가 젖을 먹지 못하고 있다면 누구나 그랬을 것이라면서..
QUEST_LV_0400_20161005_000331	{nl}그리고 어려울 때일수록 서로 힘을 합쳐서 상황을 극복해 나가야 한다며 모두를 설득했습니다.{nl}그의 행동과 말에 스스로 한없이 부끄러워지면서.. 정신이 번쩍 나더군요.
QUEST_LV_0400_20161005_000332	{nl}어려운 상황에서 내 것을 지키기만 한다고 상황이 나아지진 않는다는 걸 깨달은 거죠.{nl}그래서 상황을 극복하기 위해서 사람들과 힘을 모아 행동했습니다.
QUEST_LV_0400_20161005_000333	{nl}행동의 결과로, 완전히 풍족하진 않지만 그래도 조금씩은 나아지고 있습니다.{nl}그 때 아우랠스가 그렇게 나서지 않았다면 이곳에 사람은 없었을지도 모릅니다.
QUEST_LV_0400_20161005_000334	네이글스처럼 용맹하고 적극적인 청년이 없었다면 이곳을 몬스터에게서 지키는 사람은 아무도 없었을 겁니다.{nl}직접 방책을 만들고 무기를 찾아낸 것도 네이글스가 한 일입니다.
QUEST_LV_0400_20161005_000335	네이글스
QUEST_LV_0400_20161005_000336	커티스 아저씨가 있었기에 우리가 지금까지 이곳에서 생활 할 수 있었던 거예요.
QUEST_LV_0400_20161005_000337	커티스 아저씨가 사람들을 위해서 일하시는 모습을 보고, 내가 할 일은 없을까 생각했어요.{nl}그래서 늘 마을을 위협하는 몬스터들을 어떻게 해야 하나 고민해봤어요.
QUEST_LV_0400_20161005_000338	{nl}그리고 이 주변에 혹시 무기로 쓸 만한 것을은 없나 찾아 보았어요.{nl}놀랍게도 한쪽 구석에 다 허물어져 가는 창고 같은 곳이 있었고.. 그 안에는 창이 있더군요.
QUEST_LV_0400_20161005_000339	{nl}창을 저 같이 젊은 청년들에게 주고 그들에게 이곳을 지키도록 했어요.{nl}그리고 몬스터들이 쉽게 들어오지 못하도록 방책을 만들었어요.
QUEST_LV_0400_20161005_000340	{nl}방책 만들 재료가 부족해서, 방책은 부실하게 만들 수 밖에 없었어요.{nl}그래도 효과는 있었어요!
QUEST_LV_0400_20161005_000341	헤르스
QUEST_LV_0400_20161005_000342	비록 이 곳 생활이 전보다 많이 나아지긴 했어도 그래도 안심할 수 없어요.{nl}도움을 받지 않는 이상 이렇게 생활 하는데도 한계가 올거에요.
QUEST_LV_0400_20161005_000343	다른 마을에 도움을 요청하러 나가고 싶어도 그럴 수가 없어요.{nl}몬스터도 위협적이지만 식량 문제가 제일 커요.
QUEST_LV_0400_20161005_000344	{nl}우리가 대삼림 지대 어느 정도까지 들어왔는지를 전혀 가늠할 수 없거든요.{nl}몇일 분량의 식량을 가져가야 안전하게 다른 마을에 당도할지 알 수 없잖아요.
QUEST_LV_0400_20161005_000345	드레이스
QUEST_LV_0400_20161005_000346	농경지를 몬스터에게 빼앗기니 식량이 제대로 분배가 안되고 있어요.{nl}몬스터에게서 농경지를 되찾고 싶어도 그럴 수가 없어요.
QUEST_LV_0400_20161005_000347	농경지를 되찾지 않으면 분명 식량 가지고 분쟁이 생길 거예요.
QUEST_LV_0400_20161005_000348	파디야
QUEST_LV_0400_20161005_000349	방책을 세워도 몬스터들은 쳐들어와요.{nl}청년들이 무기를 들고 이 곳을 지키고 있어도 마찬가지로 쳐들어와요.
QUEST_LV_0400_20161005_000350	{nl}겨우겨우 개척한 농경지마저 몬스터한테 뺏기고 말았죠.{nl}농경지를 되찾는다고 해도 거기서 나올 농작물의 양은 뻔해요.
QUEST_LV_0400_20161005_000351	{nl}절대로 이 곳 피난민들의 배를 모두 채울 만큼 나오지 않아요.{nl}어딘가, 누군가의 도움을 받지 않는 이상 이 곳의 생활은 분명 한계가 있어요.
QUEST_LV_0400_20161005_000352	미쉐칸 숲의 물은 흰나무의 독성 때문에 그냥 마시면 안돼요.{nl}그냥 마셨다간 복통에 시달리게 돼요.
QUEST_LV_0400_20161005_000353	{nl}란둘린 초를 이용해서 정수해 마셔야 하는데.. 란둘린 초를 쉽게 구할 수 있는 것도 아니예요.{nl}촌 밖으로 나가야 구할 수 있는데, 촌 밖은 몬스터로 가득하죠.
QUEST_LV_0400_20161005_000354	{nl}뭐 하나도 쉽게 되는 게 없어요 여기선.
QUEST_LV_0400_20161005_000355	이와트
QUEST_LV_0400_20161005_000356	가져오는 식량이 어쩐지, 다른 사람들보다 많다고 생각되긴 했었어요.{nl}그래서 왈타스에게 물어봤지만, 비어 있는 피난처 창고에서 가지고 왔다고만 말했어요.
QUEST_LV_0400_20161005_000357	{nl}그 때는 몰랐죠.{nl}남편이 갓난 아기와 저를 위해서 도둑질을 한다는 것을..
QUEST_LV_0400_20161005_000358	{nl}남편의 도둑질이 발각되어 모든 이들에게 뭇매를 맞을 때 아우랠스씨가 그 이를 감싸주셨어요.{nl}아우랠스씨가 없었으면 우린 이 촌에서 추방당했을 거예요.
QUEST_LV_0400_20161005_000359	{nl}지금도 아우랠스씨에겐 늘 감사하고 있어요.{nl}그리고 피해를 입은 분들께도 너무 죄송스럽기만 해요..{nl}
QUEST_LV_0400_20161005_000360	왈타스가 도둑질을 한 건 저와 아기 때문이에요.{nl}부끄럽지 않아요.
QUEST_LV_0400_20161005_000361	{nl}그이가 그렇게 할 수 밖에 없는 상황에 우리가 놓인 거 아닌가요?
QUEST_LV_0400_20161005_000362	왈타스
QUEST_LV_0400_20161005_000363	이와트는 만삭의 몸으로 피난길을 나섰고, 이 곳에 도착하자마자 아기를 낳았어요.{nl}그런데 이곳엔 식량따위 없었고 각자가 입에 풀칠 할 만큼의 식량만 가지고 있었죠.
QUEST_LV_0400_20161005_000364	{nl}별로 없는 식량으로 버티긴 했지만 이와트가 제대로 먹지 못하니 아이에게 물릴 젖이 나오질 않더군요.{nl}아이는 배고프다고 우는데 식량은 없고.. 정말 미치겠더라고요.
QUEST_LV_0400_20161005_000365	{nl}그래서 아이와 이와트에게 먹이려고 식량을 훔쳤어요..
QUEST_LV_0400_20161005_000366	{nl}하지만 얼마 안가 도둑질이 발각되고 말았어요.{nl}사람들에게 뭇매를 맞기 직전에 아우랠스씨가 저희 가족을 감싸주셨죠.
QUEST_LV_0400_20161005_000367	{nl}사람들에게 사과를 하고 지은 죄를 씻기 위해 더 적극적으로 이 곳 개척에 참여하고 있어요.
QUEST_LV_0400_20161005_000368	겨우겨우 농경지를 만들었고, 이제야 좀 식량이 여유로워지나 했는데..{nl}몬스터한테 농경지를 빼앗겨버리고 말았죠.
QUEST_LV_0400_20161005_000369	{nl}생활이 더 어려워질까 걱정이에요.
QUEST_LV_0400_20161005_000370	시타스
QUEST_LV_0400_20161005_000371	사람들과 힘을 모아서 지금까지의 생활을 유지할 수 있었지만 언제 한계에 부딪칠지 몰라요.
QUEST_LV_0400_20161005_000372	지원을 요청하러 나가고 싶죠, 당연히.{nl}하지만 지금 여기가 어디인지도 확실치 않고, 몬스터들도 저리 득시글 거리니..
QUEST_LV_0400_20161005_000373	루파스
QUEST_LV_0400_20161005_000374	이곳은 밤이 되면 정말로 춥습니다. {nl}꽁꽁 싸매지 않으면 동상에 걸릴 수도 있죠.
QUEST_LV_0400_20161005_000375	몬스터에게서 농경지를 빼앗겨 버리니 앞으로 생활이 막막하기만 합니다.
QUEST_LV_0400_20161005_000376	오데트
QUEST_LV_0400_20161005_000377	사람들은 농경지만 되찾으면 된다고 생각을 하는데 큰 오산이에요.{nl}이 곳의 농경지에서 나오는 농작물만으로는 충분하지 않거든요.
QUEST_LV_0400_20161005_000378	{nl}몬스터들도 촌에 먹을 것이 있다는 걸 알고 있으니 계속 쳐들어올 거라구요.
QUEST_LV_0400_20161005_000379	이 곳에 있는 청년들에게 무기를 쥐어줘도 몬스터들을 몰아낼 순 없어요.{nl}그들은 전문적으로 싸움을 배운 사람들이 아니니깐요.
QUEST_LV_0400_20161005_000380	살뤼야
QUEST_LV_0400_20161005_000381	사람들이 그러더군요.{nl}지금까지 서로 힘을 모아서 어떻게든 살아봤지만 계속 이 곳에서 사는건 힘들거라고..
QUEST_LV_0400_20161005_000382	{nl}그렇다고 당장 여길 떠날 수도 없어요.{nl}이 많은 사람들이 여길 떠나려면 꼭 필요한 식량같은 것이 저희한테는 없어요.
QUEST_LV_0400_20161005_000383	이렇게 열악한 생활이 모두 꿈이길 바랄 때가 있어요.{nl}하지만 바라면 바랄 수록 더욱 지금 상황이 더 또렷해지면서 힘들게 느껴져요.
QUEST_LV_0400_20161005_000384	다니엘스
QUEST_LV_0400_20161005_000385	원래 살뤼야는 이렇게 성격이 어둡지 않았어요.{nl}여기 와서 저렇게 됐어요.
QUEST_LV_0400_20161005_000386	{nl}그녀에서 이런 열악한 환경은 얼마든 극복할 수 있다고 말을 해도 소용이 없어요.
QUEST_LV_0400_20161005_000387	살뤼야가 가끔씩 이 곳의 이런 생활이 전부 꿈일 거 같다는 말을 해요.{nl}이러다 깨끗하고 넓고 아늑한 침대에서 잠을 깰 거라고..
QUEST_LV_0400_20161005_000388	{nl}그녀가 이렇게 계속 현실을 부정할까봐 걱정이에요.
QUEST_LV_0400_20161005_000389	이보게, 지금 이 안으로 들어가려고 하는 겐가?{nl}그럼 내 부탁 좀 들어주게.. 인명이 달린 급한 일이라네.
QUEST_LV_0400_20161005_000390	{nl}제발 도와주게!
QUEST_LV_0400_20161005_000391	돕겠다고 나서주니 정말 고맙네..{nl}얼마 전에 내가 피난민들을 모집해 용병단을 꾸려 이 안에 들여 보냈네.{nl}그런데 며칠이 지나도 돌아오지 않고 있어.
QUEST_LV_0400_20161005_000392	난 그 책에 적혀있는 전설들이 허무맹랑한 이야기가 아닐거라고 생각한다네.{nl}무엇을 발견할 수 있을 지는 몰라도 발견만 할 수 있다면 상단 내의 내 입지도 올라가겠지..
QUEST_LV_0400_20161005_000393	용병 헤란다
QUEST_LV_0400_20161005_000394	안 돼! {nl}안 돼!
QUEST_LV_0400_20161005_000395	{nl}안 돼..
QUEST_LV_0400_20161005_000396	누구냐! {nl}너도 날 죽이러 온 건가?
QUEST_LV_0400_20161005_000397	{nl}사람이네.. {nl}그런데 넌 우리 단원이 아닌거 같은데..
QUEST_LV_0400_20161005_000398	{nl}너도 조심해야해! {nl}녀석들이 우릴 잡으러 오고 있어!
QUEST_LV_0400_20161005_000399	{nl}제발 저 몬스터들 좀 처리해줘.. {nl}부탁이야!
QUEST_LV_0400_20161005_000400	아냐아냐 끝났어.. {nl}모두 미쳐버린거야..
QUEST_LV_0400_20161005_000401	{nl}어째서 이런 일이..{nl}단장님.. 에델린..
QUEST_LV_0400_20161005_000402	녀석들을 처치했다고? {nl}아직 저렇게 많은데 무슨 소리야!
QUEST_LV_0400_20161005_000403	{nl}너도 이 저주가 만든 환상이겠구나..{nl}하긴 이런 곳에 사람이 있을 리가 없지..
QUEST_LV_0400_20161005_000404	{nl}날 내버려두고 더 깊은 곳으로 사라져버려.. {nl}제발..
QUEST_LV_0400_20161005_000405	당신은 누구죠? {nl}기고 용병단원은 아닌거 같은데..
QUEST_LV_0400_20161005_000406	{nl}알타라는 작자가 우리처럼 자기 대신 동굴에서 죽어줄 사람을 보낸건가요?{nl}그 보다 여기까진 어떻게 온거죠?
QUEST_LV_0400_20161005_000407	어서 헤렌다를 찾아주세요!{nl}그대로 두면 녀석들에게 잡혀갈 거예요!
QUEST_LV_0400_20161005_000408	{nl}설명은 나중에 해줄게요.
QUEST_LV_0400_20161005_000409	이럴 수가.. 그 사이에 사라져버린 건가요?{nl}그런데 뭘 들고 오신건가요?
QUEST_LV_0400_20161005_000410	이건.. 헤란다가 남긴 기록들이군요.{nl}저주에 걸리면 환영과 환청에 시달리고 공포감에 정신을 잃게 되나 봐요.
QUEST_LV_0400_20161005_000411	{nl}헤란다가 저주에 걸리기 전에 이런 걸 남겨 놔서 다행이에요.{nl}이걸 읽어보니 그가 마지막으로 단원들과 헤어진 곳을 알겠어요.
QUEST_LV_0400_20161005_000412	{nl}그리고 저주 때문에 뿔뿔히 흩어진 사람들을 사냥하는 생물이 있다고 적혀있네요.{nl}저주를 피했다고 안심했는데.. 이대론 저도 무사할 수 없겠군요..
QUEST_LV_0400_20161005_000413	{nl}이 생물은 바깥에서 러바인러바라고 불리는 생물이군요.{nl}저와 단원들의 안전을 위해 러바인러바를 처치해주실 수 있나요?
QUEST_LV_0400_20161005_000414	감사합니다.{nl}저는 헤란다의 기록에서 제 연인과 다른 단원들의 위치를 좀 더 알아봐야겠어요.
QUEST_LV_0400_20161005_000415	제 연인 에델린은 기고 용병단의 부단장이에요.{nl}그가 걱정되서 저는 꺼림칙하지만 도와주기 위해 동행했죠.
QUEST_LV_0400_20161005_000416	{nl}그런데 일이 이렇게 꼬여버릴 거라곤 생각도 못 했어요..{nl}에델린만 찾으면 이 곳을 나가 케도라 상단 본부에 알타를 고발할 겁니다!
QUEST_LV_0400_20161005_000417	{nl}알타는 아무것도 모른채로 사람들을 사지로 내몰았습니다.{nl}몰랐다고 용서받을 일이 아니라구요..
QUEST_LV_0400_20161005_000418	당신이 무사히 돌아오길 숨죽여 기다리고 있었습니다.{nl}녀석들에게 발견될지도 모르니까요.
QUEST_LV_0400_20161005_000419	헤란다가 남긴 기록에서 기고 단장과 마지막으로 헤어진 곳을 찾았습니다.{nl}그들이 기록한 지도를 봤을 때.. 여기서 위쪽으로 올라가면 나오는 노반 석주대 주변이군요.
QUEST_LV_0400_20161005_000420	{nl}기고는 용병단의 우두머리니까 그를 따라간 단원들이 많을 거예요!{nl}그리고 에델린도 있을 수 있구요.
QUEST_LV_0400_20161005_000421	{nl}그들을 찾아서 이 곳으로 데려와 주세요.{nl}부탁드려요!
QUEST_LV_0400_20161005_000422	단장 기고
QUEST_LV_0400_20161005_000423	너는.. 누구지.. {nl}처음보는 얼굴이군..
QUEST_LV_0400_20161005_000424	{nl}제발 날 도와줘.. {nl}녀석들에게 당했어..
QUEST_LV_0400_20161005_000425	아직 그를 찾지 못한 건가요?{nl}그들이 몬스터들에게 사냥당하기 전에 어서 찾아주세요..
QUEST_LV_0400_20161005_000426	{nl}시간이 없단 말이에요!{nl}
QUEST_LV_0400_20161005_000427	제발.. 제발.. 부탁이야..{nl}내 해독제를 찾아줘..
QUEST_LV_0400_20161005_000428	{nl}다른 단원들은.. 녀석들에게 반카스 석주대로 모두 잡혀갔어..{nl}에델린도.. 마찬가지야..
QUEST_LV_0400_20161005_000429	{nl}가망없는 녀석들 말고.. 날 살려줘 제발..{nl}해독제는.. 주변 몬스터들이 가져갔어..
QUEST_LV_0400_20161005_000430	제발.. 제발..{nl}나라도 살려..줘..
QUEST_LV_0400_20161005_000431	어째서 혼자 돌아오시는 건가요?{nl}에델린은.. 다른 단원들은요?
QUEST_LV_0400_20161005_000432	{nl}기고 단장도 헤란다처럼 사라져버린거군요..{nl}하지만 에델린이 반카스 석주대에 있다는 건 알겠어요.
QUEST_LV_0400_20161005_000433	에델린..{nl}그렇게 믿고 따르던 단장인데 위험해지니 자기 목숨을 먼저 구걸하다니..
QUEST_LV_0400_20161005_000434	어째서 혼자 오는거에요.. 왜!{nl}이 목걸이는 제가 에델린에게 선물해 준건데..
QUEST_LV_0400_20161005_000435	{nl}아..{nl}죄송해요..
QUEST_LV_0400_20161005_000436	{nl}목숨을 걸고 에델린의 행방을 찾아주셨는데..{nl}당신에게 분풀이를 하고 말았네요.
QUEST_LV_0400_20161005_000437	이 곳에서 돌아오지 못할 사람을 기다리고 있을 순 없어요.{nl}알타.. 그 사람을 벌 해야해요.
QUEST_LV_0400_20161005_000438	{nl}말리지 마세요!{nl}말려도 갈 거예요!
QUEST_LV_0400_20161005_000439	어째서 이렇게 돼 버린 겐가..{nl}왜..
QUEST_LV_0400_20161005_000440	{nl}저 프리스트가 본부에 이 사실을 알리면 난 끝장이야!{nl}단원들에겐 미안하지만 뭔가 대책을 세워야 해..
QUEST_LV_0400_20161005_000441	{nl}이보게, 여기서 이런일이 또 벌어지면 안되지 않겠는가.{nl}내 이야기를 좀 더 들어보게!
QUEST_LV_0400_20161005_000442	셀베카와 자네 말대로라면 누군가 또 기록을 남겼을거야.{nl}우린 그걸 찾는 게 좋을거 같아..
QUEST_LV_0400_20161005_000443	{nl}자네가 좀 위험할 수도 있겠지만 또 다른 희생자들을 막으려면 진실을 알아야 해!{nl}그러니 좀 찾아봐 줄 수 있겠나?
QUEST_LV_0400_20161005_000444	어쩌면 여기가 그 전설 속 알렘빅이 아닌게 아닐까?{nl}그럼 난 어떻게 되는거지..
QUEST_LV_0400_20161005_000445	이건.. 굉장히 유용하겠어.{nl}어쩌면 이 모든 실수를 덮어버릴 수 있을 정도로 말이야..
QUEST_LV_0400_20161005_000446	{nl}알렘빅 전설에 이 이야기를 끼워 맞추면 얼추 모든 게 설명이 될 거 같아.{nl}안 그런가?
QUEST_LV_0400_20161005_000447	아무리 케도라 상단이 여신의 안배를 찾아 돌아다니는 집단이어도..{nl}그 본질은 상인이니 여기서 구해가는 것들이면 솔깃 할거야..
QUEST_LV_0400_20161005_000448	{nl}그리고 여긴 아무도 안 와본 곳이니 몬스터들에게서 나오는 걸로 연구도 이뤄질 수 있고..{nl}그래서 말인데 몬스터들을 처치하고 녀석들에게서 뭐라도 좀 얻어다 줄 수 있겠나?
QUEST_LV_0400_20161005_000449	자네도 내가 속물이나 기회주의자 처럼 보이나?{nl}그렇게 보인다면 뭐라 변명할 말이 없네만..
QUEST_LV_0400_20161005_000450	{nl}모든 건 또 다른 희생자를 내지 않기위해서라고 생각해주게..
QUEST_LV_0400_20161005_000451	이 종유석 덩어리들은 뭔가 마법적인 힘이 있는 것 같구만.{nl}상단의 연구자들에게 좋은 표본이 되겠어.
QUEST_LV_0400_20161005_000452	{nl}분명 또 다른 희생자들을 내지 않기위한 귀중한 자료가 될 걸세!
QUEST_LV_0400_20161005_000453	자네나 셀베카의 이야기를 들으면서 생각해 본 게 있네만..
QUEST_LV_0400_20161005_000454	{nl}이 동굴의 이상한 분위기를 내는 뭔가가 있다는 생각이 드는구먼.{nl}그걸 찾아서 파괴하면 혹시 살아있을지도 모를 단원들이 제정신을 차리고 출구를 찾아 나오지 않을까?
QUEST_LV_0400_20161005_000455	{nl}이 일은 오직 자네만 할 수 있어 보이는구먼.{nl}자넨 저주에 영향을 전혀 안 받는 것 같아 보이니 말일세.
QUEST_LV_0400_20161005_000456	나도 도와주고 싶지만..{nl}헤란다나 기고가 그렇게 된걸 자네도 봤잖은가?
QUEST_LV_0400_20161005_000457	{nl}내가 저 안으로 들어가면 자네가 몬스터인줄 알고 공격할지도 모를일이고..{nl}물론 내가 자네를 공격해봤자 상대도 안 되겠지만..
QUEST_LV_0400_20161005_000458	아주 조금이지만 꺼림칙했던 기운이 가시는 느낌이 드네..{nl}자넨 좀 어떤가?
QUEST_LV_0400_20161005_000459	헤란다! 헤란다가 살아있나요?{nl}상태가 이상하진 않던가요?
QUEST_LV_0400_20161005_000460	{nl}이 동굴은 저주받았어요.{nl}저처럼 이렇게 신성력으로 보호받지 못 하면 미쳐버리고 말아요.
QUEST_LV_0400_20161005_000461	{nl}당신이 어째서 멀쩡한지는 모르겠군요..{nl}한 패라고 하기엔 몬스터들 말고는 우리에게 해를 끼치는 것들이 없으니까요.
QUEST_LV_0400_20161005_000462	{nl}설명이 길어졌네요.
QUEST_LV_0400_20161005_000463	{nl}사람의 목숨이 달린 일입니다.{nl}당신은 이 저주로부터 자유로운 것 같으니 헤란다를 찾아서 이리로 데려와주세요!
QUEST_LV_0400_20161005_000464	셀베카?{nl}왜?
QUEST_LV_0400_20161005_000465	{nl}어쨌든 그녀는 아직 오지 않았네만..{nl}자네는 살아있어서 다행이구먼.
QUEST_LV_0400_20161005_000466	절대 내 욕심이나 채우자고 이러는 게 아닐세..
QUEST_LV_0400_20161005_000467	날.. 내버려둬..
QUEST_LV_0400_20161005_000468	전설 속 동굴 : 개정판 제 1권
QUEST_LV_0400_20161005_000469	왕국의 역사가 기술되기 한참{nl}이전부터 이 땅에는 신비롭고{nl}경이로운 장소에 대한 이야기들이{nl}존재해왔습니다.{nl} 이 책은 그중에서도 잘 알려진{nl}전설 속의 장소 중에서{nl}세 군데에 대한 이야기를{nl}담고 있습니다.
QUEST_LV_0400_20161005_000470	수 없이 많은 전설 중{nl}이후 기록될 장소들을 선정한{nl}이유는 다음과 같습니다.{nl}{nl} 보물과 황금이라는 부에 관한{nl}민중들의 관심은 여신에 대한{nl}믿음을 조금 밑돌 정도로{nl}지대하기 때문입니다.{nl}{nl} 이제 이 세가지 이야기 중{nl}알렘빅 전설에 대해 간략하게{nl}소개하도록 하겠습니다.
QUEST_LV_0400_20161005_000471	제 1장 알렘빅 전설{nl}-{nl}왕국 남부 키렌 지방에는{nl}알렘빅 동굴이란 장소에 관한{nl}이야기가 전해집니다. {nl} {nl}과거에 어떤 뛰어난 연금술사가{nl}자신의 역량을 모두 집중하여{nl}금은보화와 함께 값진 유물들을{nl}만들어 냈으며 이것을 자랑하기{nl}위해 밖에서 가끔 사람을{nl}초대한다는 이야기입니다.
QUEST_LV_0400_20161005_000472	알렘빅 동굴이 있는 장소를{nl}아는 사람은 없다고 합니다.{nl}{nl} 하지만 인근 마을에 사는 연로한{nl}사람들은 그들의 자손들에게{nl}사라진 사람들이 연금술사에게{nl}초청을 받고 그를 만나러 갔으며,{nl}그곳에서 나오기 싫을 정도로{nl}호화로운 삶과 장수를 누리고{nl}있다고 이야기합니다.{nl}{nl}따라서 이 마을에서는 분명치{nl}않은 사유로 사람이 사라질 경우{nl}그들의 부재를 슬퍼하기 보단{nl}자신도 언젠가 초대받길 고대하며{nl}실종자들의 행복을 기리는 정서가{nl}만연해 있습니다.
QUEST_LV_0400_20161005_000473	전설 속 동굴 : 개정판 제 2권
QUEST_LV_0400_20161005_000474	수 없이 많은 전설 중{nl}이후 기록될 장소들을 선정한{nl}이유는 다음과 같습니다.{nl}{nl} 보물과 황금이라는 부에 관한{nl}민중들의 관심은 여신에 대한{nl}믿음을 조금 밑돌 정도로{nl}지대하기 때문입니다.{nl}{nl} 이제 이 세가지 이야기 중{nl}숨겨진 왕릉 대해 간략하게{nl}소개하도록 하겠습니다.
QUEST_LV_0400_20161005_000475	제 2장 : 숨겨진 왕릉 전설{nl}-{nl}대삼림지대는 예로부터 그 울창한{nl}삼림 덕분에 평시에는 귀족들의{nl}사냥터를 제공하고, 비상시에는{nl}귀족은 물론 일반 백성의 피난처로{nl}쓰이곤 했습니다.{nl}따라서 곳곳에 그런 사람들이{nl}겪은 이야기가 있는 것은{nl}당연합니다.
	
{nl}그런데 이상하게도 왕실과 관련된{nl}이야기는 없는데 그 이유가{nl}타니엘 2세 시대에 이곳에{nl}비밀 왕릉을 만든 후 엄청난{nl}부장품을 함께 묻었기 때문이라는{nl}소문이 있습니다.	
QUEST_LV_0400_20161005_000476	즉 왕실에서는 선대 국왕의{nl}비밀영묘가 있기에 외려 이곳에 관심을{nl}두지 않는 척 했다는 말입니다.
QUEST_LV_0400_20161005_000477	사실 역대 다른 국왕과 달리{nl}타니엘 2세의 공식 장례 기록은{nl}부실하기 때문에 이 소문은 상당한{nl}신빙성을 지녔습니다.{nl}역대의 국왕들께서는 화장이든{nl}매장이든 상관없이 확실한 기록이{nl}남아있기 때문입니다.{nl}하지만 이 소문이 사실이라도{nl}그 무덤이 세상에 모습을 드러낼{nl}날은 오지 않을 것 같습니다.
QUEST_LV_0400_20161005_000478	
	
아무리 깊은 숲속에서 몰래{nl}왕릉의 위치를 캐고 다니고 싶어도{nl}대삼림지대를 돌보시는 {nl}메데이나 여신의눈을{nl}피하기는 어렵기 때문입니다.{nl}그러므로 이 소문은 설령{nl}사실이라도 영원히 전설로만{nl}남을 것 같습니다.	
QUEST_LV_0400_20161005_000479	전설 속 동굴 : 개정판 제 3권
