QUEST_20150317_000001	Please select the user requiring a quest update.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20150317_001044	Employee Brendon	직원 브렌든				
QUEST_20150317_001045	I will show you the registered requests so far. {nl}You know that a day has to pass in order to receive a request again, even if you give up on it, right?	그 동안 접수된 의뢰 리스트를 보여드리지요.{nl}한 번 수락한 의뢰는 포기해도 하루가 지나야 다시 받을 수 있다는건 물론 아시겠죠?				
QUEST_20150317_001046	(Temporary) Request Manager	(임시)의뢰매니저				
QUEST_20150317_001047	Select Request Start/End	의뢰시작/종료 선택				(임시)의뢰매니저
QUEST_20150317_001048	Employee Ramda	직원 람다				
QUEST_20150317_001049	The requests I look over are somewhat different from other requests. {nl}I promise there are clear rewards for you and your party members.	내가 중개하는 의뢰들은 다른 의뢰들과는 좀 다르다오.{nl}당신이나 당신의 파티원들에게 확실한 보상을 약속해 줄 수 있지.				
QUEST_20150317_001050	Great Merchant Gilliam	대상 길리엄				
QUEST_20150317_001051	Are you ready to start the next stage?	다음 단계를 시작 하시겠소?				대상 길리엄
QUEST_20150317_001052	Officer	행정관				
QUEST_20150317_001053	I will guide you to where I believe your abilities are most needed.	여러분들의 능력에 따라 도움이 필요한 곳을 안내해 드리고 있습니다.				
QUEST_20150317_001054	There was a sudden increase of monsters in West Siauliai Woods. {nl}We need your help, urgently.	샤울레이 서쪽 숲에 몬스터가 급격히 불어났다고 합니다.{nl}빠른 지원을 부탁드리겠습니다.				
QUEST_20150317_001055	Vubbes are pouring out of the Crystal Mine. {nl}The Miner's Village needs your help.	수정광산에서 부베들이 쏟아져 나오고 있다고 합니다.{nl}광산 마을을 안전하게 지켜내기 위해선 당신의 도움이 필요합니다.				
QUEST_20150317_001056	A wicked aura has descended upon Silverstream Gorge, signaling an invasion by demons. {nl}Scouts and Paladin followers have been blocking their advance, but desperately need your help.	은수협곡이 사악한 기운으로 물들고, 마족들이 침공을 시작했다고 합니다.{nl}파수꾼과 팔라딘 추종자들이 막아내고 있지만, 당신의 도움이 절실한 상황입니다.				
QUEST_20150317_001057	Monsters are attacking the Tenet Church. {nl}Paladin followers are blocking their attacks, but they will soon fall without any help.	테넷 성당에 마족들이 공격을 감행하고 있습니다.{nl}팔라딘 추종자들이 막아내곤 있지만, 도움 없이는 버티기 힘들 것입니다.				
QUEST_20150317_001058	Strange things are happening at Grass Brookside. {nl}All the villagers have gone missing and monsters now occupy the village.	풀가람 터에 괴이한 사건들이 벌어지고 있습니다.{nl}마을 사람들이 전부 실종되고, 몬스터들이 그 자리를 차지하고 있다는군요.				
QUEST_20150317_001059	There's a dark aura forming at Gate Route. {nl}If we don't get rid of that aura, thorny vines will cover the forest.	관문로에서 사악한 기운이 또아리를 틀고 있습니다.{nl}만약 사악한 기운을 없애지 못한다면, 가시덩굴이 온 숲을 뒤덮을 것입니다.				
QUEST_20150317_001060	Please help the historians at Gateway of Great King. {nl}Monsters are chasing them since they've found a clue about Medzio Diena.	대왕의 관문에 있는 사학자들을 도와 주십시오.{nl}신수의 날의 실마리를 찾는 그들을 몬스터들이 노리고 있습니다.				
QUEST_20150317_001061	Zachariel, the Great King's tomb is being ruined by a horde. {nl}The tomb will be destroyed by the demons if you don't fight them.	자카리엘 대왕의 왕릉이 사악한 무리에 의해 더럽혀지고 있습니다.{nl}당신의 지원이 없다면, 왕릉은 곧 마족에게 함락될 것입니다.				
QUEST_20150317_001062	Monsters are obstructing the entrance at High Crooked Road. {nl}If these monsters are not taken care of, then the cities and villages will be isolated.	높이굽은 길에 몬스터들이 들어앉아 통행을 방해하고 있습니다.{nl}몬스터들을 처리하지 못한다면 모든 도시와 마을은 고립될 것입니다.				
QUEST_20150317_001063	Demons have invaded Mage Tower. {nl}We need your help quickly.	마법사의 탑에 마족의 침공이 시작되었다고 합니다.{nl}빠른 지원을 부탁드립니다.				
QUEST_20150317_001064	We need help at the entrance of Kateen Forest. {nl}We should be able to take the forest back from the monsters, but we'll need more support and manpower.	카틴 숲 입구에 지원이 필요합니다.{nl}몬스터에게서 숲을 되찾으려 하지만 보급과 병력이 많이 부족한 상황입니다.				
QUEST_20150317_001065	We need support to clear a path from Soul Peak to Gateway of Great King. {nl}Please assist us.	영혼고개에서 대왕의 관문으로 길을 뚫는 데 지원이 필요합니다.{nl}지원을 부탁드립니다.				
QUEST_20150317_001066	There's been a disaster at the Starving Demon's Way. {nl}Please send assistance quickly.	큰아귀 길에 재앙이 휩쓸고 지나갔다고 합니다.{nl}신속한 지원을 부탁드립니다.				
QUEST_20150317_001067	The Great Cathedral is being ruined by a menacing horde. {nl}The Cathedral will soon collapse without your support.	대성당이 사악한 무리에 의해 더럽혀지고 있습니다.{nl}당신의 지원이 없다면, 대성당은 곧 마족에게 함락될 것입니다.				
QUEST_20150317_001068	168 [Siauliai50_1, 47_4]	168 [샤울레이50_1, 47_4]				
QUEST_20150317_001069	171 [Farmland47]	171 [농장지대47]				
QUEST_20150317_001070	178 [Demon Prison]	178 [마족감옥]				
QUEST_20150317_001071	189 [Farmland49]	189 [농장지대49]				
QUEST_20150317_001072	196 [Demon Prison54_1]	196 [마족감옥54_1]				
QUEST_20150317_001073	198 [Siauliai46]	198 [샤울레이46]				
QUEST_20150317_001074	208 [Thorn Forest39]	208 [가시숲39]				
QUEST_20150317_001075	217 [Catacomb38_2, 04, 38_1, 02]	217 [카타콤38_2, 04, 38_1, 02]				
QUEST_20150317_001076	226 [Area of Ruins37_1, 2, 3]	226 [유적지대37_1, 2, 3]				
QUEST_20150317_001077	Monsters are advancing toward the cursed limestone city. {nl}The dispatched troops are doing whatever they can to resist, but the curse is making the situation dire.	과거에 석화의 저주를 받은 도시에 몬스터들이 밀려들어오고 있습니다.{nl}파견된 병사들이 어떻게든 막아내고 있지만 저주 때문에 힘든 상황입니다.				
QUEST_20150317_001078	245 [Fortress of the Land]	245 [대지의 요새]				
QUEST_20150317_001079	Revelation of Mage Tower	마법사의 탑의 계시				
QUEST_20150317_001080	This is an old story of Fedimian before the Goddess Statue was built.	먼 옛날 페디미안에 여신상이 없던 시절의 일입니다.				페디미안의 은화
QUEST_20150317_001081	A long time ago, the people of Fedimian were quite normal, {nl}not much different from the ordinary people of the rest of the world. {nl}However, the people of Fedimian did differ from their worldly peers in one aspect.	{nl}옛날 페디미안의 사람들은 세상의 여느 사람들과 다른 점이 없는 보통 사람들이었습니다. {nl}그렇지만 페디미안의 옛 사람들은 한 가지 점에서는 다른 곳의 사람과는 무척 달랐습니다. 				페디미안의 은화
QUEST_20150317_001082	The people of Fedimian were very cautious.{nl}In the sense that they take the word 'cautious' much more seriously. {nl}These people were as cautious around fire as they were without.	페디미안의 사람들은 모두가 조심스러운 사람들이었습니다.{nl}페디미안의 사람들이 조심스럽다는 뜻은 그들이 말을 조심한다거나, 불이 날까 봐 조심한다거나 하는 것과는 달랐습니다.				페디미안의 은화
QUEST_20150317_001083	The Fedimians were modest about this with others. {nl}Even those who stayed at Fedimian for a while could not pick up the trait.	{nl}페디미안 사람들은 한 가지 일에 남들과 다른 조심성을 발휘했습니다. {nl}그리고 그 조심성은 심지어 페디미안에 잠시 머무르는 사람도 따를 수밖에 없는 조심성이었습니다.{nl}				페디미안의 은화
QUEST_20150317_001084	Thanks to this behavior, the people of Fedimian fared better during tough times, {nl}as they were able to sense danger coming.	페디미안의 사람들은 철들 무렵에는 누구나 그 조심성을 갖게 되었고, 덕분에 그 일에 관해서는 무척 빨리 철이 들기도 했습니다.				페디미안의 은화
QUEST_20150317_001085	Because of this, no few words were said about the cautiousness of the Fedimian people.	{nl}그럼, 이제 페디미안의 모든 사람을 조심스럽게 만드는 것이 무엇인지 말할 차례로군요.{nl}{nl}				페디미안의 은화
QUEST_20150317_001086	In Fedimian, if someone dropped money on the ground, it would be gone forever. {nl}In a world where money mostly consists of silver coins, {nl}only the creditors would know exactly how much money has been lost in this manner.	페디미안에서는 누군가 돈을 땅에 떨어뜨리면 그것은 영원히 사라집니다. {nl}그때나 지금이나 세상의 돈은 은화가 대부분이었기 때문에 사람들이 잃어버린 은화가 얼마나 되는지는 오직 여신만이 아실 일이었습니다.{nl}				페디미안의 은화
QUEST_20150317_001087	Why money disappears into the ground at Fedimian remains unknown. {nl}Some people believe the Goddess Zemyna absorbs any money that makes contact with her area. {nl}Most commoners, however, believe this was done to reduce the demand of silver coins from creditors.	{nl}페디미안에서 땅에 떨어진 돈이 사라지는 정확한 이유는 모릅니다. {nl}어떤 사람들은 제미나 여신께서 자신의 영역에 접촉한 돈을 가져가신다고 말하기도 합니다. {nl}그렇지만 대개의 사람들은 여신께서 은화를 원하실 리가 없기에 말도 안 된다고 생각합니다. {nl}				페디미안의 은화
QUEST_20150317_001088	By believing that the goddess herself takes the silver,{nl}the people found it pointless to try and dig it up in her grounds. {nl}The fact that you can offer silver coins at Fedimian as tribute to her reinforces this idea.	사실 여신께서 은화를 탐내신다면 인간들은 애초에 땅에서 금은보석을 캐낼 수도 없을 테니 그것은 맞는 말 같습니다.{nl}더구나 제미나 여신께서 굳이 페디미안에서만 은화를 거두실 이유는 더더욱 없다고 여겨집니다. {nl}				페디미안의 은화
QUEST_20150317_001089	In any case, the fact that one could lose money by dropping it on Fedimian soil {nl}has made Fedimians very careful in handling their money.	아무튼, 까닭이 무엇이든 페디미안에서는 그런 일이 일어나고 사람들은 행여라도 돈을 땅에 떨어뜨리지 않도록 언제나 조심합니다.	   {nl}				페디미안의 은화
QUEST_20150317_001090	However, as much as one tries to be careful, mistakes still happen. {nl}More so with the case of young girls. {nl}One day, it happened to a girl named Aiste.	{nl}그러나 아무리 조심하더라도 실수는 일어나기 마련입니다. {nl}더구나 아직 나이 어린 소녀라면 더욱 그렇지요. {nl}어느 날 아이스테(Aiste)라는 이름의 소녀에게 일어난 일도 그렇게 일어난 일이었습니다.{nl}				페디미안의 은화
QUEST_20150317_001091	Normally, when one drops silver coins on the ground, it would scatter about on the road, {nl}and then disappear without a trace. {nl}{nl}Fedimians usually curse their own carelessness and move on, {nl}but Aiste was different: she wondered why and how it happened.	{nl}말할 것도 없이 은화를 땅에 떨어뜨렸고, 잠깐은 길 위를 굴렀지만, 언제나 그랬던 것처럼 간 곳 없이 사라졌습니다. {nl}페디미안의 사람들은 이럴 때 보통 자신의 부주의를 탓하며 곧 포기하지만, 아이스테는 달랐습니다. {nl}왜냐하면 아이스테는 페디미안에서 은화가 사라지는 신비를 모르는 유일한 어린아이였기 때문입니다. {nl}{nl}				페디미안의 은화
QUEST_20150317_001092	To find out what happened, Aiste began inspecting the area she lost her coins at. {nl}In her search she came across a beggar beside the deep end of the canal.	그래서 아이스테는 은화를 잃어버리자 그것이 굴러가서 숨었다고 여겨지는 곳을 찾기 시작했습니다.{nl}한참을 찾던 아이스테가 마주친 것은 하수구 근처의 구석진 벽틈에 있던 거지였습니다. {nl}				페디미안의 은화
QUEST_20150317_001093	Aiste asked the elderly beggar, {nl}'Did you by any chance pick up the silver coins I dropped? {nl}{nl}Would you return them to me?{nl}I worked very hard everyday for those coins and really need them.'	아이스테는 나이 든 거지에게 부탁했습니다.{nl}“혹시 제가 땅에 떨어뜨린 은화를 주우셨나요? 그랬다면 돌려주시면 좋겠어요. 그건 오늘 제가 하루 종일 일해서 번 돈이에요. 저는 그 돈이 꼭 필요해요.”{nl}				
QUEST_20150317_001094	The beggar was taken aback. Aiste was asking for the impossible. {nl}After all, finding dropped coins in Fedimian was unthinkable. {nl}The old beggar was about to explain this to Aiste, but instead remarked, {nl}'I've also lost coins in this area. It would be nice if you looked for mine as you searched for yours.'	{nl}나이 든 거지는 아이스테의 말에 어처구니 없었습니다. {nl}페디미안에서 떨어진 은화를 찾을 생각을 하다니 말도 안 되는 일이었기 때문입니다.{nl}나이 든 거지는 아이스테에게 설명을 하려다가 문득 귀찮아서 이렇게 말했습니다.{nl}“나도 근처에 은화를 떨어뜨리고 못 찾았다. 네가 찾다가 내 것도 찾으면 좋겠다.”{nl}				
QUEST_20150317_001095	Almost immediately, the beggar felt guilty of the mocking words he blurted out. He apologized to Aiste.	{nl}거의 농담 삼아 이 말을 내뱉은 거지는 문득 나이 어린 아이스테에게 미안한 마음이 들어서 이런 말을 했습니다.{nl}				페디미안의 은화
QUEST_20150317_001096	Why don't you go to where you work and explain what happened to them? Make sure you look lost.' The beggar then hesitantly added, {nl}'In the meantime, I'll be looking for your silver coins here.'	네가 일한 곳에 가서 사정을 말하고 부탁하면 어떨까?”{nl}그리고 망설이듯이 덧붙였습니다.{nl}“네 은화는 내가 여기서 계속 찾아보마.”{nl}{nl}				
QUEST_20150317_001097	Upon hearing the beggar's words, Aiste thanked the beggar, and went on to follow his advice. {nl}Through his selfless act, the beggar suddenly felt a revived sense of responsibility. He looked toward the silhouette of the leaving Aiste, his heart heavy and warm from this experience.	그 말을 듣자 아이스테는 거지에게 고맙다는 말을 연신하고는 충고에 따라 걸어갔습니다. {nl}거지는 자신도 모르게 불쑥 솟아난 친절한 마음 때문에 한 말에 책임감이 생겼지만, 멀어져 가는 아이스테의 뒷모습을 보자 그것이 그렇게 무겁게 느껴지지는 않았습니다.{nl}				페디미안의 은화
QUEST_20150317_001098	Aiste went to the orchards at the outskirts of Fedimian where she worked. {nl}While one could just pick fruit from the trees there, it was also important to take the fruit that fell on the ground.	{nl}아이스테는 페디미안 외곽의 과수원으로 갔습니다. {nl}그날 아이스테가 일한 곳이 과수원이었기 때문입니다. {nl}과수원에서는 나무에서 열매를 따기도 했지만, 땅에 떨어진 열매를 줍는 일도 중요했어요. {nl}				페디미안의 은화
QUEST_20150317_001099	Smaller hands worked better for picking fruits, so young children were often hired at the orchards. {nl}Some orchards took it a step further: hiring monkeys, whose hands were smaller than that of children, to pick fruit. Monkeys did work more effectively than children, but often ate the fruit they picked. Thus, most owners relied on hiring children.	열매 줍는 일은 손이 작은 사람이 유리하기 때문에 나이 어린 아이도 일꾼으로 받아주었답니다. {nl}심지어 어떤 곳에서는 사람보다 손이 작은 원숭이를 사용하는 곳도 있었는데, 원숭이는 어린이보다 훨씬 일을 잘하지만, 주운 열매를 자기가 먹는 일이 많아서 과수원 주인들은 말귀를 알아듣는 어린 아이도 곧잘 고용했습니다.{nl}				페디미안의 은화
QUEST_20150317_001100	Returning, Aiste visited the orchard she worked at and explained her situation to the orchard owner. {nl}Unfortunately, the owner was not in a good mood, having just had a quarrel with his wife. {nl}He, like all other Fedimians, knew about the phenomenon, and saw no reason to give Aiste more money.	아무튼, 아이스테는 과수원 주인을 찾아가 사정을 설명했습니다. {nl}그러나 주인은 마침 아내와 다투고 기분이 좋지 않았고, 페디미안에서 땅에 떨어진 은화가 어떻게 되는지 알고 있었기 때문에 아이스테가 다른 일로 돈을 써버리고는 자신에게 억지를 부린다고 생각했습니다.{nl} {nl}				페디미안의 은화
QUEST_20150317_001101	And so he said, {nl}'Just as you've been able to pick up all my fruit, you should be able to find your lost money at Fedimian, so do not tell me to give you a second pay.' {nl}The orchard owner's cold words brought tears to the girl's eyes. {nl}The sight broke his heart, but even so, he did not want to give her any more money.	그래서 그는 이렇게 말했습니다.{nl}“과수원에 떨어진 나무열매가 하나 남김 없이 주워지는 것처럼, 페디미안에 떨어진 네 돈도 다시 주울 수 있다. 그러니 네 삯을 두 번 달라고 말하지 말아라.”{nl}아이스테는 과수원 주인의 서운한 말에 눈물이 글썽해졌습니다. {nl}과수원 주인은 그 모습에 마음이 약간 흔들렸지만, 돈을 다시 주고 싶지는 않았습니다. {nl}				
QUEST_20150317_001102	He was soon overtaken by guilt and said, {nl}'If you really need that money, you should go to the silversmith's.'	그래서 마음을 모질게 먹고 이렇게 말했습니다.{nl}“네가 정말 은화가 필요하다면, 은장이에게 가서 부스러기라도 얻어보려무나.”{nl}{nl}				
QUEST_20150317_001103	Aiste set towards the silversmith's place as soon as she heard those words. {nl}Fortunately, the house was located outside Fedimian walls. {nl}Had it been inside, the silversmith ran the risk of losing his money and silverware to the soil.	그 말에 아이스테는 할 수 없이 발걸음을 은장이 집으로 돌렸습니다. {nl}다행히 은장이의 집도 페디미안의 외곽에 있었습니다. {nl}페디미안의 성내에 있다면, 실수로 자기가 깎는 은화나 은세공품을 땅에 떨어뜨리면 곤란하니까 말입니다. 				페디미안의 은화
QUEST_20150317_001104	It is for this reason that he lives on the outskirts of Fedimian. {nl}Aiste knocked on the front door and explained her situation to him as soon as he answered.	그래서 혹시라도 있을 실수에 대비하기 위해 은장이들은 모두 페디미안의 외곽에 살았습니다. {nl}아이스테는 은장이 집의 문을 두드렸고, 문가로 나온 은장이에게 사정을 설명했습니다.{nl}				페디미안의 은화
QUEST_20150317_001105	The silversmith, after hearing Aiste's story, stated, {nl}'Even for children it is foolish to be so careless. How could you not know that all money that falls on Fedimian soil disappears, never to be found again?'	은장이는 아이스테의 말을 듣고 이렇게 말했습니다.{nl}“아무리 어리다지만, 어리석구나. 페디미안에서 땅에 떨어진 돈은 모두 사라진다는 사실을 모르다니.”{nl}{nl}				
QUEST_20150317_001106	Aiste was surprised by what the silversmith said and grew sad. {nl}After a while she asked, {nl}'Then why is it that such a cruel thing happens?'	아이스테는 그 말에 놀랐고 이어지는 은장이의 설명에 더 슬퍼졌습니다. {nl}그래서 결국 이렇게 물었습니다.{nl}“왜 그런 일이 일어나는 것일까요?”{nl}{nl}				
QUEST_20150317_001107	Even the silversmith did not know the true answer, so he improvised, {nl}'Goddess Zemyna must be taking them.'	은장이도 그 이유를 모르기 때문에 그냥 떠오르는 대로 이렇게 말했습니다.{nl}“제미나 여신께서 가져가시든가 하겠지.”{nl}{nl}				
QUEST_20150317_001108	Hearing those words, Aiste replied, {nl}'Then I will just have to go ask the goddess.' {nl}The silversmith was astounded and replied, {nl}'While you're at it, why don't you ask the goddess to return my silverware?'	그 말을 듣고 아이스테가 말했습니다.{nl}“그럼 제미나 여신께 가서 부탁해야겠군요.”{nl}은장이는 그 말에 어이가 없어서 이렇게만 말했습니다.{nl}“그럴 생각이라면 내가 떨어뜨린 옛날에 떨어뜨린 은세공품도 돌려달라고 한번 같이 부탁해보렴.”{nl}{nl}				
QUEST_20150317_001109	The silversmith did not take to heart his own words, but Aiste did. {nl}She immediately set out to do as she said. The silversmith felt sorry for Aiste, {nl}but did not have the courage to call her back as she faded into the distance.	은장이는 진심을 담아 한 말이 아니었지만, 아이스테는 진심으로 은장이의 말에 그렇게 하겠다고 대답하고 떠났습니다. 은장이는 그제야 아이스테에게 미안한 마음이 들었지만, 겸연쩍은 마음 때문에 멀어지는 아이스테를 부를 용기까지는 없었습니다.{nl}{nl}				페디미안의 은화
QUEST_20150317_001110	An exhausted Aiste soon arrived at Zemyna's Goddess Statue. {nl}She prostrated herself before it and prayed to the Goddess Statue, her head completely down. {nl}'Oh, Goddess. Please return my lost silver coins.' {nl}Soon, while offering her prayers, Aiste could no longer hold in her sadness and she finally wept.	아이스테는 많이 지쳤지만, 제미나 여신상을 찾아갔습니다. {nl}제미나 여신상 앞에 엎드린 아이스테는 여신께 간절히 기도했습니다.{nl}“제발, 제가 잃어버린 은화를 돌려주세요.” {nl}그런 기도를 올리면서 아이스테는 그간 참았던 눈물을 흘렸습니다. {nl}				
QUEST_20150317_001111	How long did she pray crying? {nl}Suddenly, Aiste heard a voice addressed to her. {nl}'My child, have you come to take back what you have lost?'	얼마나 울고 얼마나 기도했을까요?{nl}아이스테는 문득 자신에게 응답하는 목소리를 들었습니다. {nl}“나의 아이야. 네 것을 되찾고 싶다고?”{nl}{nl}				
QUEST_20150317_001112	Aiste knew in her heart that it was Goddess Zemyna that was addressing her. {nl}She stopped crying, cleared her voice and replied so.	아이스테는 자신에게 말을 걸고 있는 분이 제미나 여신이란 사실을 알았습니다. 그래서 울음을 그치고 메인 목을 가다듬어 그렇다고 대답했습니다.{nl}				페디미안의 은화
QUEST_20150317_001113	The goddess' voice was heard again. {nl}'Aiste, what you're asking of me is not by a method I approve of. Where I reign there is no harvest nor fruits for those who do not work.'	여신의 목소리가 다시 들려왔습니다.{nl}“아이스테야, 지금 네가 내게 원하는 일은 내가 좋아하는 방식이 아니란다. 내가 다스리는 대지는 수고하지 않은 농부에게 곡식과 과일을 내주지 않는단다.”{nl}{nl}				
QUEST_20150317_001114	But I worked very hard today!'	“하지만 저는 오늘 열심히 일했는데요.”{nl}				
QUEST_20150317_001115	I know. So instead, I will give you and the others a chance. Look under your feet.'	“알고 있단다. 그러니 네게 그리고 네 이웃들에게 기회를 주도록 하겠다. 네 발 밑을 보려무나.”{nl}{nl}				
QUEST_20150317_001116	The goddess' voice faded with those words, and Aiste found silver coins under her feet. {nl}She looked to where she had left her silvers and found that the tears she shed had transformed into coins.{nl}Aiste was very happy, and made sure to pick up all the silver before leaving.	그 말과 함께 여신의 음성은 그쳤지만, 아이스테는 발 밑에서 몇 개의 은화를 볼 수 있었습니다. {nl}아이스테는 그 은화가 놓인 땅을 보고 그것들이 모두 자신이 흘린 눈물이 변한 은화란 것을 알 수 있었습니다. {nl}아이스테는 너무나 기뻐서 그 은화들을 모두 주웠습니다. {nl}그리고 걸음을 옮겼지요.{nl}				페디미안의 은화
QUEST_20150317_001117	After a number of steps, Aiste thought about the silversmith, {nl}and, again, went to his house and knocked on his door. {nl}As if the silversmith was waiting for her return, he opened the door immediately and said. {nl}'I'm sorry. I regret sending you away like that. I'll give you some silver. {nl}This time, be careful not to drop any and get home safely.'	몇 걸음 걷던 아이스테는 은장이 아저씨가 생각났습니다. {nl}그래서 다시 그 집으로 가서 문을 두들겼지요. {nl}그러자 은장이 아저씨는 기다렸다는 듯이 나와서 말했습니다.{nl}“미안하다. 너를 그렇게 보내고 후회했다. 내가 은화를 몇 개 주마. 이번에는 떨어뜨리지 않도록 조심해서 집으로 가렴.”{nl}{nl}				
QUEST_20150317_001118	As the silversmith held out his silver coins, Aiste shook her head and said,{nl}'No thank you, the goddess returned all my coins. On top of that, she gave me even more. {nl}I remembered you saying you had also lost silver, so I came to give you my extra coins. You don't need to give me yours.'	그러면서 은장이 아저씨가 은화를 꺼내주자 아이스테는 고개를 저으며 말했습니다.{nl}“아니에요. 여신께서 제 은화 한 개를 돌려주셨어요. 거기다 더 주셨답니다. 그래서 저는 아저씨가 은을 잃어버렸다는 말이 생각나서 남은 것을 드릴까 해서 왔어요. 지금 주시려는 은화는 필요 없어요.”{nl}{nl}				
QUEST_20150317_001119	At first, the silversmith was skeptical about the coins being returned, {nl}so he was surprised when Aiste showed him genuine coins. After thinking for a while, the silversmith said, {nl}'Then how about this. You give me what you want while you accept what I was about to give you. {nl}Isn't that fair? On top of that I'll give you a pouch to carry your extra silver.'	은장이는 여신께서 은화를 돌려주셨다는 말에 반신반의했지만, 아이스테가 내미는 은화는 진짜여서 놀랐습니다. 은장이는 잠시 생각하다가 이렇게 말했습니다.{nl}“그러면 이렇게 하자 너는 내게 주려던 것을 주고 너는 내가 주려던 것을 받는 거야. 어떠냐? 그러면 공평하지? 그리고 늘어난 은화를 담을 주머니도 하나 주마.”{nl}				
QUEST_20150317_001120	Aiste obliged and gave her extra coins to the silversmith. {nl}After this, the silversmith gave Aiste a bag of coins.	그래서 아이스테와 은장이는 같은 양의 은화를 교환했습니다. {nl}그리고 아이스테는 은장이 아저씨가 준 주머니에 하나에서 여럿으로 늘어난 은화들을 넣었습니다.{nl}{nl}				페디미안의 은화
QUEST_20150317_001121	After leaving the silversmith's house, {nl}Aiste suddenly remembered that the old beggar must still be looking for her lost coins and worried for him. {nl}On her way to the beggar, she met the orchard owner again. {nl}Upon seeing Aiste, the orchard owner was overjoyed. {nl}'I was looking for you. I'm sorry for sending you off earlier. As an apology, I'll give you your salary again. {nl}Please be careful not to lose it this time.'	은장이 아저씨를 작별하고 집으로 가던 아이스테는 문득 거지 아저씨가 아직도 자기 돈을 찾고 있을까 걱정이 되었습니다. {nl}그래서 그곳으로 가는 도중에 과수원 주인을 만났어요. {nl}과수원 주인은 아이스테를 발견하고는 크게 기뻐하여 말했습니다.{nl}“너를 찾고 있었다. 사실은 너를 그렇게 보내고 미안했거든…. 사과하는 의미로 네 품삯을 다시 주마. 이번에는 잃어버리지 않도록 조심해라.”{nl}{nl}				
QUEST_20150317_001122	The orchard owner took out a large amount of coins, more than what Aiste's salary was, and handed it to her. {nl}However, Aiste shook her head and said, {nl}'Goddess Zemyna already returned my money to me. The silversmith also helped me, so now I actually have too much. {nl}Here, take a look.'	그리고는 원래 품삯보다 많은 은화를 꺼내주려 했습니다. {nl}그러나 아이스테는 고개를 저으며 말했어요.{nl}“제미나 여신께서 제 돈을 돌려주셨어요. 게다가 은장이 아저씨도 도와주셔서 지금은 너무 많아요. 그러니까 고맙지만 괜찮아요. 자, 보세요.”{nl}{nl}				
QUEST_20150317_001123	Saying that, Aiste opened the bag of coins she got from the silversmith and showed the orchard owner. {nl}The orchard owner was extremely surprised, as the amount of money she got from the goddess and the silversmith surpassed the amount he had.	그렇게 말하며 아이스테는 은장이 아저씨에게서 받은 은화주머니를 열어 과수원 주인에게 보여주려다 깜짝 놀랐습니다.{nl}여신상 앞에서 주운 은화와 은장이에게 받은 은화보다 훨씬 많은 은화가 들어있었기 때문입니다.{nl}				페디미안의 은화
QUEST_20150317_001124	Disregarding the amount Aiste had shown him, the orchard owner said, {nl}'Well, even so, I would be ashamed for not giving you my due, so please just take it.' {nl}After saying this, the orchard owner stuffed his coins into Aiste's bag and left. {nl}By the time Aiste could muster up the energy to call the orchard owner, he was too far away.	아이스테가 늘어난 은화 때문에 아무 말도 못 하는 사이 과수원 주인이 이렇게 말했습니다.{nl}“아무튼, 이걸 안 주면 내가 부끄러우니 꼭 받아주렴.” {nl}{nl}그렇게 말하고는 말릴 틈도 없이 열린 은화주머니에 돈을 던지듯 강제로 집어 넣고는 가버렸습니다.{nl}아이스테가 정신을 차렸을 때는 과수원 주인은 이미 너무 멀리 가서 아이스테는 그를 부를 수가 없었습니다. {nl}				
QUEST_20150317_001125	She hesitated for a moment but then set her mind on the beggar. {nl}After a bit of walking, Aiste arrived at where they met. The old beggar spotted her first and hurried over to her. {nl}He showed her the silver coins he was clenching onto and said, 'Look! I found your lost silver.' {nl}Aiste received the beggar's silver and then showed the beggar her bag and said, {nl}'Look, I found your silver coins too.'	잠시 머뭇거리던 아이스테는 가던 대로 거지 아저씨에게 가기로 하고 걸음을 옮겼습니다.{nl}아이스테가 거지 아저씨를 만났던 곳에 가까이 갔을 때; 거지는 아이스테를 먼저 발견하고는 그녀에게 허겁지겁 달려오더니 손가락으로 꼭 잡은 은화를 보여주면서 말했습니다.{nl}“봐라. 내가 네 은화를 찾아냈단다.”{nl}{nl}				
QUEST_20150317_001126	Even though the beggar was exhausted, he cupped his hands to get his coins back. {nl}Seeing this, Aiste was brought to the brink of tears. {nl}She wondered how much begging the beggar had to do to give her her coins back. {nl}With a heavy heart, Aiste gave the old beggar the coins.	비록 거지 아저씨는 남루한 옷차림에 은화를 쥔 손가락은 때가 가득했지만, 아이스테는 그 모습을 보고 눈물이 왈칵 쏟아지려는 것을 간신히 참았습니다.{nl}{nl}거지 아저씨가 그 은화를 얻기 위해 얼마나 많은 구걸을 했을까 라는 생각이 들었기 때문입니다. {nl}고생해서 구걸한 은화를 찾아낸 은화라고 주려는, 거지 아저씨 때문에 마음이 아파서 아이스테는 그 은화를 소중하게 받아 들었습니다.{nl}{nl}				페디미안의 은화
