ETC_20150317_000001	케파
ETC_20150317_001761	수리 할 아이템이 없습니다.
ETC_20150317_001762	불가능한 종류의 아이템입니다.
ETC_20150317_001763	 착용 가능
ETC_20150317_001764	거래에 필요한 포텐셜이 부족합니다.
ETC_20150317_001765	아이템을 선택해 주세요.
ETC_20150317_001766	선택한 아이템을 소모하여 독을 제조하시겠습니까?
ETC_20150317_001767	같은 지역 내에서 사용 할 수 없습니다.
ETC_20150317_001768	아이템 버프 중
ETC_20150317_001769	계열
ETC_20150317_001770	컴패니언 장비
ETC_20150317_001771	수리 완료
ETC_20150317_001772	컴패니언방어구
ETC_20150317_001773	컴패니언무기
ETC_20150317_001774	헬멧
ETC_20150317_001775	재사용 대기 시간 : {Sec}초
ETC_20150317_001776	무기 장착 시 효과
ETC_20150317_001777	보조 장비 장착 시 효과
ETC_20150317_001778	상의, 하의 장착 시 효과
ETC_20150317_001779	부츠 장착 시 효과
ETC_20150317_001780	글러브 장착 시 효과
ETC_20150317_001781	최대 공격력
ETC_20150317_001782	최소 공격력
ETC_20150317_001783	방어율
ETC_20150317_001784	회피율
ETC_20150317_001785	화염공격력
ETC_20150317_001786	스킬능력치
ETC_20150317_001787	무게 : {All}/{Max}
ETC_20150317_001788	무게 ({Rate}%)
ETC_20150317_001789	소켓 추가 불가
ETC_20150317_001790	토너먼트 챔피언
ETC_20150317_001791	토너먼트 준우승
ETC_20150317_001792	토너먼트 {Auto_1}강 랭커
ETC_20150317_001793	위험 HP: {Auto_1}% 회복아이템 사용!
ETC_20150317_001794	회복아이템을 사용했습니다.
ETC_20150317_001795	{Auto_1} 사용 시 영구히 최대 기력 {Auto_2} 증가
ETC_20150317_001796	타기
ETC_20150317_001797	내리기
ETC_20150317_001798	쓰다듬기
ETC_20150317_001799	정보
ETC_20150317_001800	컴패니언과 거리가 멉니다.
ETC_20150317_001801	컴패니언을 데려갈 PC를 선택해주세요.
ETC_20150317_001802	[{Name}] 컴패니언과 함께 있습니다.
ETC_20150317_001803	컴패니언 분양에 성공했습니다.
ETC_20150317_001804	이름엔 공백이 들어갈 수 없습니다.
ETC_20150317_001805	함께하는 중
ETC_20150317_001806	먹이를 주기 위해선 컴패니언에서 내려주세요.
ETC_20150317_001807	물리 공격력
ETC_20150317_001808	물리 방어력
ETC_20150317_001809	마운트시 방어력 추가
ETC_20150317_001810	마운트시 회피 추가
ETC_20150317_001811	마운트시 HP보너스
ETC_20150317_001812	힘
ETC_20150317_001813	체력
ETC_20150317_001814	물기
ETC_20150317_001815	그로울
ETC_20150317_001816	파울링
ETC_20150317_001817	{Stat}을(를) {Silver}실버를 주고 올리겠습니까?
ETC_20150317_001818	명중률
ETC_20150317_001819	치명타
ETC_20150317_001820	민첩
ETC_20150317_001821	앉은 상태에선 컴패니언을 탈 수 없습니다.
ETC_20150317_001822	착용가능한 컴패니언이 아닙니다.
ETC_20150317_001823	마운트시 물리공격력 추가
ETC_20150317_001824	마운트시 마법공격력 추가
ETC_20150317_001825	컴패니언의 공격력 {Value}추가
ETC_20150317_001826	컴패니언의 HP {Value}추가
ETC_20150317_001827	컴패니언의 방어력 {Value}추가
ETC_20150317_001828	컴패니언의 명중률 {Value}추가
ETC_20150317_001829	소환된 컴패니언이 없습니다.
ETC_20150317_001830	우선 컴패니언에서 내려주세요.
ETC_20150317_001831	휴면
ETC_20150317_001832	활동
ETC_20150317_001833	먹이를 가지고 있지 않습니다.
ETC_20150317_001834	먹이주기
ETC_20150317_001835	이 컴패니언은 이 먹이를 먹지 않습니다.
ETC_20150317_001836	컴패니언 분양에 성공했습니다. 숙소에서 기다리고 있습니다.
ETC_20150317_001837	스킬 사용중에는 컴패니언을 탈 수 없습니다.
ETC_20150317_001838	어디에 모닥불을 피워볼까?
ETC_20150317_001839	장작 아이템이 없습니다.
ETC_20150317_001840	확인
ETC_20150317_001841	예
ETC_20150317_001842	아니오
ETC_20150317_001843	메세지
ETC_20150317_001844	[공지]
ETC_20150317_001845	꽉 참
ETC_20150317_001846	로그아웃
ETC_20150317_001847	{ul}아이템!{/}
ETC_20150317_001848	사냥 횟수
ETC_20150317_001849	출현 지역
ETC_20150317_001850	회
ETC_20150317_001851	데미지
ETC_20150317_001852	{ul}최대 공격!{/}
ETC_20150317_001853	{ul}최대 피해!{/}
ETC_20150317_001854	레벨
ETC_20150317_001855	획득 개수
ETC_20150317_001856	획득 몬스터
ETC_20150317_001857	상점 구매
ETC_20150317_001858	상점 판매
ETC_20150317_001859	치트키
ETC_20150317_001860	거래
ETC_20150317_001861	장비 변경
ETC_20150317_001862	제작
ETC_20150317_001863	주머니
ETC_20150317_001864	패키지
ETC_20150317_001865	길드 의뢰
ETC_20150317_001866	여관주인
ETC_20150317_001867	룰렛
ETC_20150317_001868	위
ETC_20150317_001869	종료시간
ETC_20150317_001870	%v명
ETC_20150317_001871	지역
ETC_20150317_001872	획득
ETC_20150317_001873	계승
ETC_20150317_001874	시작
ETC_20150317_001875	참여
ETC_20150317_001876	아이템을 얻었습니다
ETC_20150317_001877	악세서리
ETC_20150317_001878	세트
ETC_20150317_001879	제작법
ETC_20150317_001880	액티브 스킬
ETC_20150317_001881	패시브 스킬
ETC_20150317_001882	1. 판매를 촉진할 문구를 작성합니다.
ETC_20150317_001883	2. 개인 판매할 아이템을 아래 슬롯에 넣습니다.
ETC_20150317_001884	1. 구매를 촉진할 문구를 작성합니다.
ETC_20150317_001885	2. 구매할 아이템을 추가합니다.
ETC_20150317_001886	생활
ETC_20150317_001887	검찰관 이벤트
ETC_20150317_001888	돌발 이벤트
ETC_20150317_001889	단발 이벤트
ETC_20150317_001890	획득함
ETC_20150317_001891	이미 가지고 있습니다.
ETC_20150317_001892	필드보스등장!
ETC_20150317_001893	아이템
ETC_20150317_001894	지도
ETC_20150317_001895	업적
ETC_20150317_001896	마이크
ETC_20150317_001897	미션
ETC_20150317_001898	다른 캐릭터
ETC_20150317_001899	참가취소
ETC_20150317_001900	{Auto_1}강
ETC_20150317_001901	결승
ETC_20150317_001902	토너먼트 PVP가 열렸습니다.
ETC_20150317_001903	닫힘
ETC_20150317_001904	선물점수 +{Auto_1}!
ETC_20150317_001905	선물점수 +{Auto_1}
ETC_20150317_001906	보상
ETC_20150317_001907	경험치
ETC_20150317_001908	(상성공격)
ETC_20150317_001909	모험일지 등록이 필요합니다. 앉아서 a키 눌러보면 갱신해줄까?
ETC_20150317_001910	[{Auto_1}] 칭호를 사용 할 수 있습니다.
ETC_20150317_001911	특성
ETC_20150317_001912	{@st59}클릭하면 상세정보가 나옵니다{/}
ETC_20150317_001913	다음 레벨업은 동일 클래스 전직이 필요합니다.
ETC_20150317_001914	스킬 포인트를 사용해 스킬 레벨을 올립니다.
ETC_20150317_001915	장착 정보
ETC_20150317_001916	사용 안함
ETC_20150317_001917	사용
ETC_20150317_001918	각자 획득
ETC_20150317_001919	순서대로 획득
ETC_20150317_001920	랜덤하게 분배
ETC_20150317_001921	균등 분배
ETC_20150317_001922	레벨 차등
ETC_20150317_001923	모두 보기
ETC_20150317_001924	전사
ETC_20150317_001925	마법사
ETC_20150317_001926	궁수
ETC_20150317_001927	성직자
ETC_20150317_001928	정보 보기
ETC_20150317_001929	채널
ETC_20150317_001930	{Channel}채널로 이동하시겠습니까?
ETC_20150317_001931	가격
ETC_20150317_001932	의 숙소
ETC_20150317_001933	채널이 닫혀있습니다.
ETC_20150317_001934	NXP 상점
ETC_20150317_001935	방어
ETC_20150317_001936	전방 사격!
ETC_20150317_001937	집합!
ETC_20150317_001938	돌격!
ETC_20150317_001939	후퇴!
ETC_20150317_001940	철수!
ETC_20150317_001941	{@st45w3}{s18}{Auto_1} 실버{/}
ETC_20150317_001942	{@st42b}완료 시 {Auto_1} 레벨 달성
ETC_20150317_001943	{@st54}{b}보상{/}
ETC_20150317_001944	일 
ETC_20150317_001945	시간 
ETC_20150317_001946	분 
ETC_20150317_001947	초 
ETC_20150317_001948	 퀘스트는 
ETC_20150317_001949	후에 시작하실 수 있습니다
ETC_20150317_001950	{@st41}당첨 보상{/}
ETC_20150317_001951	{@st41}놓친 보상{/}
ETC_20150317_001952	여는 중
ETC_20150317_001953	보물 상자 보상 리스트가 없습니다.
ETC_20150317_001954	번 째 보상 설정이 잘 못 되어있습니다.
ETC_20150317_001955	나무뿌리 수정을 파괴하면 스태미나가 회복됩니다!
ETC_20150317_001956	클래스
ETC_20150317_001957	{@st41b}칭호 :{/} 
ETC_20150317_001958	{@st41b}{Auto_1} 업적 점수 :{/} {s20}{ol}{#FFFF00}{Auto_2}{/}
ETC_20150317_001959	{@st41b}NPC 모험 점수 : {/}
ETC_20150317_001960	구입가
ETC_20150317_001961	판매가
ETC_20150317_001962	보석을 장착하려면 SHIFT + 좌클릭
ETC_20150317_001963	소켓 보너스
ETC_20150317_001964	보석을 소켓에 넣어주십시오
ETC_20150317_001965	더 이상 공간이 없습니다
ETC_20150317_001966	결정하시겠습니까?
ETC_20150317_001967	귓속말
ETC_20150317_001968	장착하려면 오른쪽 버튼 클릭
ETC_20150317_001969	판매하려면 오른쪽 버튼 클릭
ETC_20150317_001970	해제하려면 오른쪽 버튼 클릭
ETC_20150317_001971	레벨 이상
ETC_20150317_001972	수리 비용
ETC_20150317_001973	{Auto_1} 아이템을 {Auto_2}개 소비하였습니다
ETC_20150317_001974	아이템 등급
ETC_20150317_001975	진행 가능
ETC_20150317_001976	진행 중
ETC_20150317_001977	완료
ETC_20150317_001978	성공
ETC_20150317_001979	{Auto_1}의 {Auto_2}
ETC_20150317_001980	다른 캐릭터가 소유권을 가지고 있습니다
ETC_20150317_001981	개수를 입력하십시오. ({Auto_1} ~ {Auto_2})
ETC_20150317_001982	불가능한 조합입니다
ETC_20150317_001983	선택 해제
ETC_20150317_001984	포인트를 사용하여 {Auto_1}의 능력치를 올리시겠습니까?
ETC_20150317_001985	포인트를 사용하여 능력치를 올리시겠습니까?
ETC_20150317_001986	포인트를 사용하여 스킬을 배우시겠습니까?
ETC_20150317_001987	사용 가능 스킬 포인트
ETC_20150317_001988	카테고리
ETC_20150317_001989	패시브
ETC_20150317_001990	스킬 강화
ETC_20150317_001991	사용가능
ETC_20150317_001992	모두
ETC_20150317_001993	포인트
ETC_20150317_001994	슬롯이 부족합니다.
ETC_20150317_001995	퀘스트 목록
ETC_20150317_001996	모험일지를 획득하였습니다
ETC_20150317_001997	{#000000}일지에 기록되지 않은 아이템
ETC_20150317_001998	일지에 기록되지 않은 몬스터
ETC_20150317_001999	랜스 마스터리
ETC_20150317_002000	사격술
ETC_20150317_002001	전술 행동
ETC_20150317_002002	신체 단련
ETC_20150317_002003	해당 DLC 아이템은 3시간뒤 수령 가능합니다.
ETC_20150317_002004	증가 없음
ETC_20150317_002005	잃어버린
ETC_20150317_002006	글러브
ETC_20150317_002007	부츠
ETC_20150317_002008	왼손
ETC_20150317_002009	오른손
ETC_20150317_002010	양손
ETC_20150317_002011	바디
ETC_20150317_002012	벨트
ETC_20150317_002013	강화 잠재력
ETC_20150317_002014	소요비용 : {Auto_1}
ETC_20150317_002015	소요시간
ETC_20150317_002016	{Auto_1}일
ETC_20150317_002017	{Auto_1}시간
ETC_20150317_002018	{Auto_1}분
ETC_20150317_002019	{Auto_1}초
ETC_20150317_002020	{Auto_1}년 {Auto_2}월 {Auto_3}일 {Auto_4}시 {Auto_5}분 {Auto_6}초
ETC_20150317_002021	완료일
ETC_20150317_002022	돌려받기
ETC_20150317_002023	환불 : {Auto_1}
ETC_20150317_002024	시간추가
ETC_20150317_002025	아이템 가져오기
ETC_20150317_002026	{Auto_1}월 {Auto_2}일
ETC_20150317_002027	기록 갱신 실패
ETC_20150317_002028	용병 궁수
ETC_20150317_002029	{Auto_1}개 남음
ETC_20150317_002030	{Auto_1}님이 적군 타워를 파괴하였습니다. 팀에게 코인이 지급됩니다.
ETC_20150317_002031	{Auto_1}님에게 아군 타워를 파괴당하였습니다.
ETC_20150317_002032	{Auto_1}가 등장하였습니다. 처치 시 많은 보상이 주어집니다.
ETC_20150317_002033	{Auto_1}님이 {Auto_2}을(를) 처$A치하$B였습$C니다.
ETC_20150317_002034	공성지원병들이 소환됩니다.
ETC_20150317_002035	시간단축
ETC_20150317_002036	클래스 레벨이 {Auto_1}에 도달하였습니다
ETC_20150317_002037	{Auto_1}로 전직할 수 있습니다.
ETC_20150317_002038	{Auto_1}에게 가시오
ETC_20150317_002039	{Auto_1} {Auto_2}마리
ETC_20150317_002040	피격 {Auto_1}회
ETC_20150317_002041	무피격
ETC_20150317_002042	오버킬
ETC_20150317_002043	메인
ETC_20150317_002044	서브
ETC_20150317_002045	보상획득!!!
ETC_20150317_002046	{Giver}이(가) {Target}에게 주는 선물
ETC_20150317_002047	개수
ETC_20150317_002048	받기
ETC_20150317_002049	구매
ETC_20150317_002050	마켓을 구경한다
ETC_20150317_002051	[시작 불가능]
ETC_20150317_002052	[시작가능]
ETC_20150317_002053	[진행]
ETC_20150317_002054	[완료대기]
ETC_20150317_002055	[완료]
ETC_20150317_002056	반복
ETC_20150317_002057	나무 진액 수거
ETC_20150317_002058	제단에 검은눈 마이즈의 피 올리는 중
ETC_20150317_002059	끈적한 염료 완성!
ETC_20150317_002060	의식 완료
ETC_20150317_002061	베껴간다.
ETC_20150317_002062	그만둔다.
ETC_20150317_002063	신전의 제구를 발견했습니다!
ETC_20150317_002064	이 제구는 파손되어서 도움이 될 것 같지 않습니다.
ETC_20150317_002065	오염원 정화 중
ETC_20150317_002066	오염원이 정화되었습니다.
ETC_20150317_002067	2초 뒤 보스가 광역폭발을 사용합니다!
ETC_20150317_002068	HighBube_Spear:하이 부베:130
ETC_20150317_002069	arburn_pokubu_green:초록 포쿠본:131
ETC_20150317_002070	미듀쟈 유충이 자폭하려 합니다!
ETC_20150317_002071	클라페다 미션 참여
ETC_20150317_002072	페디미안 미션 참여
ETC_20150317_002073	오염의 원인인 머레지나를 처치해야{nl}연못을 정화할 수 있습니다.
ETC_20150317_002074	오염원 제거 중
ETC_20150317_002075	오염원을 제거했습니다!
ETC_20150317_002076	먼저 주변의 몬스터를 제거하여 오염원을 약화시키세요.
ETC_20150317_002077	기절한 검은 마이즈
ETC_20150317_002078	수거통에서 피비린내가 나서 못쓸 것 같다.
ETC_20150317_002079	나른초를 획득했습니다!
ETC_20150317_002080	찾는 중
ETC_20150317_002081	쓸 만한 폭약을 찾았습니다!
ETC_20150317_002082	나무통의 상태가 이상합니다!{nl}나무통에서 멀리 떨어지세요!
ETC_20150317_002083	양동이를 획득했습니다
ETC_20150317_002084	이미 양동이를 가지고 있습니다
ETC_20150317_002085	긴 줄을 획득했습니다
ETC_20150317_002086	이미 긴 줄을 가지고 있습니다
ETC_20150317_002087	우물 안에서 무언가 썩은 냄새가 납니다
ETC_20150317_002088	안내를 받는다
ETC_20150317_002089	괜찮다고 한다
ETC_20150317_002090	제단 주변에 몬스터가 있어서 확인할 수 없습니다!
ETC_20150317_002091	씨 뿌리는 중
ETC_20150317_002092	인벤토리 공간이 부족합니다!
ETC_20150317_002093	아무것도 발견하지 못했습니다.
ETC_20150317_002094	이미 주변에 봄볕초가 있습니다.
ETC_20150317_002095	봄볕초를 발견했습니다!
ETC_20150317_002096	제단에 물 올리는 중
ETC_20150317_002097	제단에 나무 진액 올리는 중
ETC_20150317_002098	제단에 검은눈 마이즈의 피 올리기
ETC_20150317_002099	제단에 물 올리기
ETC_20150317_002100	제단에 나무 진액 올리기
ETC_20150317_002101	의식이 완료된 제단
ETC_20150317_002102	나무 진액 수거 통이 비었습니다.
ETC_20150317_002103	계시자!{nl}네 얼굴을 반드시 기억하겠다!
ETC_20150317_002104	캐는 중
ETC_20150317_002105	약초를 획득했습니다!
ETC_20150317_002106	아무것도 캐지 못했습니다
ETC_20150317_002107	여신상에 경배하는 중
ETC_20150317_002108	여신상에 경배를 마쳤습니다
ETC_20150317_002109	정화를 위한 기도 중
ETC_20150317_002110	사악한 기운 속에서 사악한 망령이 출몰했습니다!{nl}60초 안에 처치해야 합니다!
ETC_20150317_002111	아무 일도 일어나지 않았습니다
ETC_20150317_002112	여신상을 청소 하는 중
ETC_20150317_002113	여신상이 깨끗해 졌습니다!
ETC_20150317_002114	여신상 관리가 필요합니다!
ETC_20150317_002115	주변의 할로우벤터를 먼저 처치하세요
ETC_20150317_002116	기분 나쁜 진동이 느껴 집니다. 코델리어에게 가 봅시다.
ETC_20150317_002117	몬스터가 폭발하려고 합니다.
ETC_20150317_002118	상자 여는 중
ETC_20150317_002119	오벨리스크 동력원
ETC_20150317_002120	에고 힘들다!
ETC_20150317_002121	허리가 아파서 꼼짝도 못하겠네!
ETC_20150317_002122	헉.. 헉
ETC_20150317_002123	내 고향 나무도 이렇게 단단했지!
ETC_20150317_002124	으라챠아!
ETC_20150317_002125	어이쿠야!
ETC_20150317_002126	대체 언제 교대하는 거야?
ETC_20150317_002127	에라잇! 미운 놈 생각하면서 나무 베기!
ETC_20150317_002128	가까이 오지 말라고! 다쳐!
ETC_20150317_002129	아이고야 힘들구나~
ETC_20150317_002130	숨겨진 책상
ETC_20150317_002131	제미나
ETC_20150317_002132	아우슈리네
ETC_20150317_002133	바카리네
ETC_20150317_002134	정답! 잘 가!
ETC_20150317_002135	틀렸잖아. 한 번 더 도전!
ETC_20150317_002136	샤펜스타
ETC_20150317_002137	블링스타
ETC_20150317_002138	이런, 틀렸네. 기회는 많으니까 다시 해 봐.
ETC_20150317_002139	우스카
ETC_20150317_002140	커닝햄
ETC_20150317_002141	맞습니다!
ETC_20150317_002142	틀렸지만 실망하긴 이르지요.
ETC_20150317_002143	낱장 찾는 중
ETC_20150317_002144	마법사의 책 낱장을 찾았습니다!
ETC_20150317_002145	낱장을 찾지 못했습니다
ETC_20150317_002146	감성적인 부엉이 조각상
ETC_20150317_002147	소드마스터가 나타났습니다! 주변을 살펴 보세요
ETC_20150317_002148	위저드마스터가 나타났습니다! 주변을 살펴 보세요
ETC_20150317_002149	아처마스터가 나타났습니다! 주변을 살펴 보세요
ETC_20150317_002150	클레릭마스터가 나타났습니다! 주변을 살펴 보세요
ETC_20150317_002151	Dandel:단델:51/Dandel:단델:51/Dandel:단델:51/zigri_purple:검은 지그리:54
ETC_20150317_002152	틈새에서 나온 웬디고
ETC_20150317_002153	페디미안은 어떤 곳?
ETC_20150317_002154	신성지구와 상업지구
ETC_20150317_002155	중앙 제미나 여신상
ETC_20150317_002156	노인의 정체
ETC_20150317_002157	페디미안의 음식
ETC_20150317_002158	봉인 해제를 위해 소환된 자카리엘의 수호자에게 말을 걸어 보세요!
ETC_20150317_002159	스테이터스 포인트가 추가 되었습니다!
ETC_20150317_002160	아무 일도 일어나지 않았습니다!
ETC_20150317_002161	상자를 발로 찼더니 붉은 부베 투사가 나타났습니다!
ETC_20150317_002162	협곡 아말라스를 구했습니다!
ETC_20150317_002163	협곡 아말라스에 중독되어 정신이 아득해 졌습니다!
ETC_20150317_002164	봉인 해제!
ETC_20150317_002165	봉인을 보호하는 데 실패했습니다{nl}다시 봉인해제를 시도해 보세요!
ETC_20150317_002166	보물상자를 열자 호그마들이 몰려 오기 시작했습니다!
ETC_20150317_002167	스크롤을 사용할 호그마 전투 대장이 없습니다
ETC_20150317_002168	다른 이벤트 퀘스트 중에는 사용 하실 수 없습니다
ETC_20150317_002169	아무 것도 아닌 모양이다
ETC_20150317_002170	별 반응이 없다
ETC_20150317_002171	여기 왜 이런 것이 있을까
ETC_20150317_002172	계속 살펴봐도 별 소용이 없을 것 같다
ETC_20150317_002173	그냥 가던 길이나 계속 가야겠다
ETC_20150317_002174	부서진 조각상을  살펴 보는 중
ETC_20150317_002175	낡은 목걸이를 주웠습니다!
ETC_20150317_002176	목걸이를 다시 버렸습니다!
ETC_20150317_002177	살펴 보는 중
ETC_20150317_002178	제자리에 두는 중
ETC_20150317_002179	사연이 있어 보이는 유품이다
ETC_20150317_002180	목걸이를 저 무명용사의 무덤에 걸어줘야 할 것 같다
ETC_20150317_002181	보물 상자 주변으로 몬스터들이 출현했습니다!
ETC_20150317_002182	패인 곳을 살펴 보는 중
ETC_20150317_002183	귀한 송로버섯을 채취했습니다!
ETC_20150317_002184	불씨가 50% 남아 있습니다!
ETC_20150317_002185	불씨가 40% 남아 있습니다!
ETC_20150317_002186	불씨가 30% 남아 있습니다!
ETC_20150317_002187	불씨가 20% 남아 있습니다!
ETC_20150317_002188	불씨가 10% 남아 있습니다!
ETC_20150317_002189	나무화살을 획득했습니다! 불씨에 넣어 불을 유지하세요!
ETC_20150317_002190	나무 화살을 던져 넣는 중
ETC_20150317_002191	돌기둥을 조사 하는 중
ETC_20150317_002192	대왕의 눈을 바라보는 중
ETC_20150317_002193	봉인을 해제 하는 중
ETC_20150317_002194	소환된 자카리엘의 부하를 통해 봉인을 푸세요!
ETC_20150317_002195	가짜 봉인이었습니다!
ETC_20150317_002196	이미 찾은 기둥입니다!
ETC_20150317_002197	갈대의 연한 줄기를 채취 하는 중
ETC_20150317_002198	갈대의 연한 줄기를 채취 하였으나 갈대잎에 베어 버리고 말았습니다!
ETC_20150317_002199	갈대잎에 베인 상처에서 출혈이 일어납니다!
ETC_20150317_002200	무덤을 만들어 준다
ETC_20150317_002201	릴리야의 무덤을 만드는 중
ETC_20150317_002202	오르골을 버리는 중
ETC_20150317_002203	오르골을 있던 자리에 버렸습니다
ETC_20150317_002204	풀더미를 뒤지는 중
ETC_20150317_002205	풀더미에서 오르골이 나왔습니다!
ETC_20150317_002206	어린 잎 채취 중
ETC_20150317_002207	아셀루의 어린 잎을 채취 했습니다!
ETC_20150317_002208	아셀루의 뿌리에서 케파리가 튀어 나왔습니다!
ETC_20150317_002209	식량무지를 헤치는 중
ETC_20150317_002210	음식찌꺼기가 떨어졌습니다{nl}이쉬플라쉬 광장의 그 식량무지에서 음식찌꺼기를 더 구해 오세요
ETC_20150317_002211	빵을 던질 몬스터가 없습니다
ETC_20150317_002212	파괴 중
ETC_20150317_002213	나태의 나무뿌리 수정의 기운 때문에 이동 속도가 느려졌습니다!{nl}이 기운을 없애려면 네바싱가스 가도의 나무뿌리 수정을 없애야 합니다!
ETC_20150317_002214	해체 중
ETC_20150317_002215	수정의 핵을 해체 하는 데 실패 했습니다
ETC_20150317_002216	수정의 핵을 해체 하는 데 성공하여 스태미나를 얻었습니다!
ETC_20150317_002217	수정의 핵이 이상반응을 일으켜 낡은 누덕 갈고리가 출현했습니다!
ETC_20150317_002218	부적조각들이 합해져서 부적 1장이 되었습니다!
ETC_20150317_002219	변형된 나무뿌리 수정 해체에 성공 했습니다!
ETC_20150317_002220	잘못된 나무뿌리 수정을 건드려서 기절하고 말았습니다!
ETC_20150317_002221	잘못된 나무뿌리 수정을 건드려서 잠들어 버렸습니다!
ETC_20150317_002222	잘못된 나무뿌리 수정을 건드려서 잠시 이동속도가 느려집니다!
ETC_20150317_002223	잘못된 나무뿌리 수정을 건드려서 얼어버렸습니다!
ETC_20150317_002224	가만 두지 않겠어! 이 나쁜 자식들!
ETC_20150317_002225	배신자들.. 용서치 않겠다! 내 이 뼈가 다 부서지더라도 복수를..!!
ETC_20150317_002226	영혼을 달래는 중
ETC_20150317_002227	그래요.. 다 부질 없는 짓.. 
ETC_20150317_002228	다 필요없어! 용서 할 수 없어!
ETC_20150317_002229	네놈도 용서 못 해!!!
ETC_20150317_002230	꽃을 따는 중
ETC_20150317_002231	꽃을 획득 했습니다!
ETC_20150317_002232	제단에 꽃을 올려 놓는 중
ETC_20150317_002233	배신자들을 증오하지만.. 이제는 돌아가야겠지요..
ETC_20150317_002234	속박된 영혼을 달래 주었으나, 분노에 잠식당하여 몬스터로 변했습니다!
ETC_20150317_002235	놈들.. 놈들을 용서 할 수 없어!
ETC_20150317_002236	내가 지옥을 가더라도 그놈들은 용서하지 않는다!
ETC_20150317_002237	같은 동료였던 우리를.. 배신했다고!
ETC_20150317_002238	순례자 릴리야*
ETC_20150317_002239	버리는 중
ETC_20150317_002240	지도를 다시 버렸습니다!
ETC_20150317_002241	먼지 더미를 뒤지는 중
ETC_20150317_002242	지도를 획득했습니다! 마우스 오른쪽 버튼으로 사용 해 보세요!
ETC_20150317_002243	지도를 통에 넣는 중
ETC_20150317_002244	지도를 회수 통에 넣었습니다
ETC_20150317_002245	다시 지도를 줍는 중
ETC_20150317_002246	통에 넣었던 지도를 다시 회수했습니다!
ETC_20150317_002247	성소의 축복을 받아, 30초 동안 좀 더 빨리 달릴 수 있게 되었습니다!
ETC_20150317_002248	100 실버를 헌금하려고 한다
ETC_20150317_002249	500 실버를 헌금하려고 한다
ETC_20150317_002250	1000 실버를 헌금하려고 한다
ETC_20150317_002251	40 실버를 헌금하려고 한다
ETC_20150317_002252	50 실버를 헌금하려고 한다
ETC_20150317_002253	예정대로 100실버를 헌금했습니다
ETC_20150317_002254	예정대로 500실버를 헌금했습니다
ETC_20150317_002255	예정대로 1000실버를 헌금했습니다
ETC_20150317_002256	예정대로 40실버를 헌금했습니다
ETC_20150317_002257	예정대로 50실버를 헌금했습니다
ETC_20150317_002258	성소의 축복을 받아, 공격력이 강해 집니다!
ETC_20150317_002259	이슬 채취 중
ETC_20150317_002260	이슬을 구하는 데 성공했습니다!
ETC_20150317_002261	주변에서 휘장을 찢어 삼킨 몬스터가 감지되었습니다!{nl}신앙의 표식을 V 키로 사용 하세요!
ETC_20150317_002262	성소를 저주하는 뇌옥투사
ETC_20150317_002263	신앙의 표식의 힘에 의해 성소를 저주하는 뇌옥투사가 나타났습니다!
ETC_20150317_002264	성소의 축복을 받아, 10초 동안 강하게 공격 할 수 있게 되었습니다!
ETC_20150317_002265	성소의 축복을 받아, 10초 동안 신성의 기운을 받습니다!
ETC_20150317_002266	여신상에 경배 한다
ETC_20150317_002267	워프를 이용 한다
ETC_20150317_002268	경배 중
ETC_20150317_002269	헌화에 쓰일 꽃을 꺾는 중
ETC_20150317_002270	꽃을 구했습니다!
ETC_20150317_002271	꽃의 향기에 취했습니다!
ETC_20150317_002272	구입한다
ETC_20150317_002273	10실버를 헌금한다
ETC_20150317_002274	10실버를 헌금했습니다!
ETC_20150317_002275	성소의 축복을 받아, 10초 동안 회복 속도가 빨라 집니다!
ETC_20150317_002276	묘비에 맺힌 이슬 채취 중
ETC_20150317_002277	이슬을 채취 하는 데 성공했습니다!
ETC_20150317_002278	가죽 주머니에 이슬을 모두 담았습니다!
ETC_20150317_002279	뿌리를 파헤치는 중
ETC_20150317_002280	붉은 트리암블로
ETC_20150317_002281	갈대의 뿌리에서 붉은 트리암블로가 나타났습니다!
ETC_20150317_002282	뿌리독에 쏘여 기절했습니다!
ETC_20150317_002283	몬스터 각질을 획득했습니다!
ETC_20150317_002284	항아리 설치 하는 중
ETC_20150317_002285	수액 담는 중
ETC_20150317_002286	알 수 없는 기둥에서 문양석 조각이 떨어져 나왔습니다!
ETC_20150317_002287	다시 음식 찌꺼기를 5개 구했습니다!
ETC_20150317_002288	유인 성공!
ETC_20150317_002289	다른 몬스터들이 곰팡이 냄새를 맡고 몰려 듭니다!
ETC_20150317_002290	캑터스벨의 나태의 수렁을 밟아서 이동 속도가 느려졌습니다!
ETC_20150317_002291	오염 자국을 밟아서 잠시 기절 상태에 빠졌습니다!
ETC_20150317_002292	살려줘! 날 내보내 줘! 이 놈을 죽여!
ETC_20150317_002293	반응이 없습니다! 다시 시도해 보세요
ETC_20150317_002294	꽃의 뿌리에서 몬스터가 출현했습니다!
ETC_20150317_002295	갈대 잎에 쓸려 상처를 입었습니다!
ETC_20150317_002296	아무 것도 얻지 못했습니다!
ETC_20150317_002297	성소의 휘장을 구했습니다!
ETC_20150317_002298	성소의 휘장을 구하지 못했습니다!
ETC_20150317_002299	휘장 트리거
ETC_20150317_002300	뿌리 기생 트리암블로
