ETC_20150317_000001	$Kepa
ETC_20150317_002390	$Deadborn in Saltistter? That doesn't make any sense.
ETC_20150317_002391	Prerequisite: 
ETC_20150317_002392	Level or higher
ETC_20150317_002393	Level or below
ETC_20150317_002394	Rank
ETC_20150317_002395	Rank or higher
ETC_20150317_002396	Rank below
ETC_20150317_002397	Male characters only
ETC_20150317_002398	Female characters only
ETC_20150317_002399	Item
ETC_20150317_002400	Item needed
ETC_20150317_002401	 required
ETC_20150317_002402	Subquest Conditions{nl}
ETC_20150317_002403	You have not completed the pre-requisite of this quest. You cannot proceed with the party.
ETC_20150317_002404	{memo X}Murky energy is flowing out. Run away.
ETC_20150317_002405	{memo X}Successfully destroyed the Demon Summoner
ETC_20150317_002406	{memo X}Destroy spell purifier
ETC_20150317_002407	Insane Panto
ETC_20150317_002408	{memo X}Failed to protect the purifying altar
ETC_20150317_002409	{memo X}Successfully defeated Gaigalas! {nl} Cut off the root of Bramble.
ETC_20150317_002410	{memo X}Successfully defeated Molich! {nl} Cut off the root of Bramble.
ETC_20150317_002411	{memo X}Successfully defeated the root of Bramble. Defeat Gaigalas.
ETC_20150317_002412	{memo X}Successfully defeated the root of Bramble. Defeat Molich.
ETC_20150317_002413	{memo X}Successfully purified murky force
ETC_20150317_002414	{memo X}Failed to protect royal tombstone lantern!
ETC_20150317_002415	{memo X}The Corrupt Vikaras exploded!
ETC_20150317_002416	{memo X}The Corrupt Vikaras is about to explode
ETC_20150317_002417	{memo X}Failed to prevent destroying the royal tombstone!
ETC_20150317_002418	About when the Great Cathedral was built
ETC_20150317_002419	About Naktis
ETC_20150317_002420	{memo X}Soul of integer won!
ETC_20150317_002421	{memo X}It's transformed souls.
ETC_20150317_002422	{memo X}Essence of souls scattered in the air like dust.
ETC_20150317_002423	Turn on 1
ETC_20150317_002424	Turn on 2
ETC_20150317_002425	Turn on 3
ETC_20150317_002426	Turn on 4
ETC_20150317_002427	Turn on 5
ETC_20150317_002428	Turn on 6
ETC_20150317_002429	Checking the Essence
ETC_20150317_002430	Checking the Scripture
ETC_20150317_002431	{memo X}Scripture won!
ETC_20150317_002432	{memo X}It is a too old and dirty bible.
ETC_20150317_002433	It is very helpful even if it is old
ETC_20150317_002434	I ask the position of the device
ETC_20150317_002435	$The relic matches the altar!
ETC_20150317_002436	{memo X}You will not be able to put the Holy relics at home.
ETC_20150317_002437	Insert the Holy Relic of Mercy
ETC_20150317_002438	Insert the Holy Relic of Salvation
ETC_20150317_002439	{memo X}Already waiting for the soul of the bishop Aurelius.
ETC_20150317_002440	Checking
ETC_20150317_002441	You found the item underground
ETC_20150317_002442	Nothing was found
ETC_20150317_002443	Type
ETC_20150317_002444	Attribute
ETC_20150317_002445	$x{Count} obtained
ETC_20150317_002446	{memo X}Found the reference related with Naktis
ETC_20150317_002447	{memo X}Failed to find the reference related with Naktis
ETC_20150317_002448	{memo X}Obtained the herb!
ETC_20150317_002449	Device seems to be open
ETC_20150317_002450	{memo X}Use a key.
ETC_20150317_002451	{memo X}Just leave it
ETC_20150317_002452	{memo X}Open the device to use the key.
ETC_20150317_002453	{memo X}I know the place what you want to find.
ETC_20150317_002454	{memo X}I know the place what the stuff hidden by human.
ETC_20150317_002455	There is a chance to impress Naktis
ETC_20150317_002456	{memo X}We have to hurry to find.
ETC_20150317_002457	{memo X}Now is the time.
ETC_20150317_002458	{memo X}Successfully persuaded.
ETC_20150317_002459	I'll be there first!
ETC_20150317_002460	{memo X}Transformation success!{nl}Leak the information to Naktis's subordinates.
ETC_20150317_002461	{memo X}Drinking potion of transformation
ETC_20150317_002462	{memo X}OK..
ETC_20150317_002463	Unseal device
ETC_20150317_002464	Unsealing device
ETC_20150317_002465	I use the red key
ETC_20150317_002466	Use a blue key
ETC_20150317_002467	Use a purple key
ETC_20150317_002468	Use a green key
ETC_20150317_002469	Use a yellow key
ETC_20150317_002470	Beads begin to glow
ETC_20150317_002471	{memo X}There is no key.
ETC_20150317_002472	Tips on solving the secret
ETC_20150317_002473	$Method for obtaining the Holy Relic
ETC_20150317_002474	About relics
ETC_20150317_002475	{memo X}Ask about a second device
ETC_20150317_002476	{memo X}Navigation of next device
ETC_20150317_002477	{memo X}The herb is rotten.
ETC_20150317_002478	{memo X}Checking the contents.
ETC_20150317_002479	{memo X}Check the contents related with the herb
ETC_20150317_002480	{memo X}It's not related with the herb.
ETC_20150317_002481	{memo X}Naktis's subordinates has destroyed the pot.
ETC_20150317_002482	{memo X}Doubt about the durability of Mayvern's device
ETC_20150317_002483	$Naktis' Servants
ETC_20150317_002484	{memo X}Whereabouts of last key
ETC_20150317_002485	Whereabouts of Naktis
ETC_20150317_002486	$The orbs and keys
ETC_20150317_002487	{memo X}Absorbed the weak Stone Frost.
ETC_20150317_002488	Collecting
ETC_20150317_002489	{memo X}Collected petrified flower!
ETC_20150317_002490	{memo X}Covering
ETC_20150317_002491	{memo X}Covered with fragrant stone powder!
ETC_20150317_002492	{memo X}The monster is already covered with fragrant stone powder.
ETC_20150317_002493	Low level Ice Wall
ETC_20150317_002494	{memo X}Used low level ice wall scroll. {nl} Damage the monsters as much as you can!
ETC_20150317_002495	Using Scroll
ETC_20150317_002496	Retrieved the stolen materials!
ETC_20150317_002497	Checking Portal
ETC_20150317_002498	It seems to be working!
ETC_20150317_002499	{memo X}There is no sign of it working at all.
ETC_20150317_002500	Attaching propaganda
ETC_20150317_002501	Attached the kingdom propaganda!
ETC_20150317_002502	{memo X}Information about the Royal Army recruitment has been posted. {nl} It's hanging high up on the wall.
ETC_20150317_002503	Destroyed the record of insurgents!
ETC_20150317_002504	{memo X}Obtained damaged propaganda.
ETC_20150317_002505	Covering the smell
ETC_20150317_002506	{memo X}Covered the supplies with monster's odor.
ETC_20150317_002507	{memo X}Odor of this monster was already covered on supplies.
ETC_20150317_002508	Used the bomb!
ETC_20150317_002509	{memo X}Retrieved the records.
ETC_20150317_002510	Warping
ETC_20150317_002511	You.. Everyone must die!
ETC_20150317_002512	It won't end like that!
ETC_20150317_002513	View Collection
ETC_20150317_002514	View Adventure Journal
ETC_20150317_002515	I'll make a donation
ETC_20150317_002516	{memo X}I see the request
ETC_20150317_002517	{memo X}Another player is already harvesting.
ETC_20150317_002518	{memo X}Using Scroll..
ETC_20150317_002519	{memo X}Setting up Jar of Fire..
ETC_20150317_002520	{memo X}Opening the box..
ETC_20150317_002521	{memo X}Already found the Jewel of Prominence
ETC_20150317_002522	{memo X}Found the Jewel of Prominence
ETC_20150317_002523	$Information on the Central Purifier on the 1st Floor
ETC_20150317_002524	$Information on the Passage Purifier on the 1st Floor
ETC_20150317_002525	$Information on the Auxiliary Purifier on the 2nd Floor
ETC_20150317_002526	{memo X}You defeated Bearkaras. {nl} Find useful parts from the spare purifier.
ETC_20150317_002527	$Information on the Main Purifier on the 2nd Floor
ETC_20150317_002528	$The compass is not responding
ETC_20150317_002529	{memo X}The Purifier here works well.
ETC_20150317_002530	{memo X}You can hear machines working from across. {nl}There may be lubricants in District 5.
ETC_20150317_002531	{memo X}The sound of the machine is getting clearer. {nl} There may be lubricants in District 5.
ETC_20150317_002532	$Checking Compass
ETC_20150317_002533	{memo X}Found lubricant. {nl} Go back and repair the Magic Supply Device.
ETC_20150317_002534	{memo X}All Purifier Pipes are working. {nl} Reactivate Purifiers circulation.
ETC_20150317_002535	{memo X}Found all parts needed for repairs. {nl} Return to the main purifier and fix it.
ETC_20150317_002536	{memo X}The Magic is slowly leaking out from the Jewel of Prominence. {nl} It's better to quickly find and remove the cause.
ETC_20150317_002537	{memo X}Stand in front of the valve to check it.
ETC_20150317_002538	{memo X}Please proceed after defeating the Bearkaras.
ETC_20150317_002539	Found the parts! {nl} Return to the purifier at the entrance and fix it.
ETC_20150317_002540	Parts Found!{nl} Return to the central purifier and fix it.
ETC_20150317_002541	{memo X}You defeated the Stone Whale that was interrupting your search. {nl} Find the remaining parts of the main purifier.
ETC_20150317_002542	Operating the Guardian Stone
ETC_20150317_002543	The Guardian Stone's energy has been released!
ETC_20150317_002544	The Guardian Stone has not been charged yet
ETC_20150317_002545	The Guardian Stone's energy has been charged
ETC_20150317_002546	Drawing out Oil
ETC_20150317_002547	{memo X}No more reference related with Naktis.
ETC_20150317_002548	{memo X}Re-collecting a priest's book..
ETC_20150317_002549	{memo X}Re-collecting a Mayvern's key..
ETC_20150317_002550	{memo X}Obtained Mayvern's key!
ETC_20150317_002551	{memo X}Naktis' subordinates are being too disrupting!
ETC_20150317_002552	{memo X}Using a key of Mayvern..
ETC_20150317_002553	Experimental Matsum
ETC_20150317_002554	$Pouring the Acidic Solution
ETC_20150317_002555	$Using the Magic Crystal
ETC_20150317_002556	$Recovering the Holy Relic
ETC_20150317_002557	$Relic not detected
ETC_20150317_002558	$Detecting a Relic
ETC_20150317_002559	{memo X}Use Magic Scroll
ETC_20150317_002560	There was no reaction
ETC_20150317_002561	The monster fainted
ETC_20150317_002562	The monster exploded
ETC_20150317_002563	{memo X}Mise to prove that you are the person clearly
ETC_20150317_002564	{memo X}Door is opened. Please won the revelation
ETC_20150317_002565	And about in the paint of the meat
ETC_20150317_002566	{memo X}Need more meats
ETC_20150317_002567	{memo X}Feel hunger and have a headache
ETC_20150317_002568	{memo X}I'm full
ETC_20150317_002569	Giving the meat to the Pilgrim
ETC_20150317_002570	{memo X}Running the device
ETC_20150317_002571	Additional damage {Auto_1}!
ETC_20150317_002572	Absorption Physical {Auto_1}!
ETC_20150317_002573	Absorption SP {Auto_1}!
ETC_20150317_002574	Decreased cooldown by {Auto_1} seconds
ETC_20150317_002575	Shield Hitter {Auto_1}!
ETC_20150317_002576	Critical!
ETC_20150317_002577	Immunity!
ETC_20150317_002578	Provoke!
ETC_20150317_002579	Reflection Damage!
ETC_20150317_002580	Additional Auto_1} %% damage!
ETC_20150317_002581	Reduce {Auto_1} %% damage!
ETC_20150317_002582	Remove Shield!
ETC_20150317_002583	Counter!!
ETC_20150317_002584	Attribute Weapon Attack + {Auto_1}%
ETC_20150317_002585	Break Ice Rim Blow
ETC_20150317_002586	Break Rim Blow
ETC_20150317_002587	Adjust Rim Blow
ETC_20150317_002588	Close Shot Penalty
ETC_20150317_002589	Carve
ETC_20150317_002590	Leave Guild
ETC_20150317_002591	Party Request
ETC_20150317_002592	Failed to create a party
ETC_20150317_002593	The name of the party already exists
ETC_20150317_002594	Leave the party
ETC_20150317_002595	Questionnaire title is too long
ETC_20150317_002596	Question
ETC_20150317_002597	Vote
ETC_20150317_002598	Set of access rights
ETC_20150317_002599	Cannot join anymore
ETC_20150317_002600	The party has acquired {Auto_1} EXP
ETC_20150317_002601	Party level has increased to {Auto_1}
ETC_20150317_002602	{Auto_1} Party Raid has started {nl} Press the button to join
ETC_20150317_002603	Joined {Auto_1}'s party
ETC_20150317_002604	Created {Auto_1} party
ETC_20150317_002605	{Inviter} has invited you to a party.{nl}Would you like to join?
ETC_20150317_002606	{PC} is already a member of a party
ETC_20150317_002607	You are not a member of a party
ETC_20150317_002608	Do you want to leave this party?
ETC_20150317_002609	Your party leader wants to disband the party {nl} Are you sure you want to disband the party?
ETC_20150317_002610	The party has been disbanded
ETC_20150317_002611	{@st41b} If you are not a member of a party, check the information below to create a new one {/}
ETC_20150317_002612	{@st41} Words of thanks {/}
ETC_20150317_002613	{@st41} Name {/}
ETC_20150317_002614	{@st43} Party Settings {/}
ETC_20150317_002615	{@st41} Member Limit {/}
ETC_20150317_002616	{@st41b} Max {/}
ETC_20150317_002617	{@st41} Entry Limit{/}
ETC_20150317_002618	{@st41} Password {/}
ETC_20150317_002619	{@st41} Preferred Class {/}
ETC_20150317_002620	{@st41b} Random {/}
ETC_20150317_002621	{@st41b} Warrior only {/}
ETC_20150317_002622	{@st41b} Wizard only {/}
ETC_20150317_002623	{@st41b} Archer only {/}
ETC_20150317_002624	{@st41b} Cleric only {/}
ETC_20150317_002625	{@st41b} Sorcerer only {/}
ETC_20150317_002626	{@st41b} Public {/}
ETC_20150317_002627	{@st41b} Private {/}
ETC_20150317_002628	My Page
ETC_20150317_002629	Last Visit
ETC_20150317_002630	Open board and logout
ETC_20150317_002631	iCoin cycle
ETC_20150317_002632	You do not have any iCoin to give.
ETC_20150317_002633	Enter the amount of iCoin you want to gift.
ETC_20150317_002634	{Auto_2} ~ {Auto_1} ea
ETC_20150317_002635	You received {Count} iCoin as a gift from {Giver}.
ETC_20150317_002636	I gifted {Count} iCoin to {Receiver}.
ETC_20150317_002637	{Giver} has not enough iCoin to gift.
ETC_20150317_002638	{Receiver} can no longer receive iCoin for today.
ETC_20150317_002639	Fluid body of {Auto_1}
ETC_20150317_002640	You do not have enough iCoin.
ETC_20150317_002641	The mike cannot exceed {MaxByte} bytes.
ETC_20150317_002642	This party does not exist.
ETC_20150317_002643	Expel
ETC_20150317_002644	Leave
ETC_20150317_002645	Party Info
ETC_20150317_002646	Make Party Leader
ETC_20150317_002647	has declined the party request.
ETC_20150317_002648	Do you want to join this party?
ETC_20150317_002649	The mike cannot exceed {MaxLen} characters.
ETC_20150317_002650	You are already in a party
ETC_20150317_002651	You are currently not in a party.
ETC_20150317_002652	All
ETC_20150317_002653	There are not enough party members.
ETC_20150317_002654	Available time of next quest
ETC_20150317_002655	Quest can be progressed.
ETC_20150317_002656	Reconnection wait time
ETC_20150317_002657	Party Quest is possible.
ETC_20150317_002658	Only the party leader can do this.
ETC_20150317_002659	{memo X}All members must come to {MapName} to begin the Quest.
ETC_20150317_002660	Not all members are not together.
ETC_20150317_002661	Members of party quest have been met. The quest will be available after a certain time.
ETC_20150317_002662	has left.
ETC_20150317_002663	Normal
ETC_20150317_002664	Shout
ETC_20150317_002665	Party
ETC_20150317_002666	To {Who} and {Count} others
ETC_20150317_002667	Chat Room List
ETC_20150317_002668	This user does not exist.
ETC_20150317_002669	Party Quest Area
ETC_20150317_002670	This user does not exist or is offline.
ETC_20150317_002671	Enter the player's team name to invite.
ETC_20150317_002672	{TargetName} and {Count} others
ETC_20150317_002673	Start Auction
ETC_20150317_002674	Failed to start an auction
ETC_20150317_002675	Another auction is in progress
ETC_20150317_002676	No bidder
ETC_20150317_002677	The auction has been canceled
ETC_20150317_002678	{Auto_2} won the bid with {Auto_1} silver
ETC_20150317_002679	The auction has ended
ETC_20150317_002680	You earned {Auto_1} silver from the auction
ETC_20150317_002681	Already the highest bidder
ETC_20150317_002682	Bidding complete
ETC_20150317_002683	Do you want to bid?
ETC_20150317_002684	You received the item from the auction.
ETC_20150317_002685	Your item from the auction has been sold.
ETC_20150317_002686	Received money from the expired auction
ETC_20150317_002687	The auction has ended.
ETC_20150317_002688	Placed an item for auction!
ETC_20150317_002689	{Bidder} is the highest bidder for {ItemName}.{/}
ETC_20150317_002690	You are currently the highest bidder of {Auto_1}.{/}
ETC_20150317_002691	{ItemName} was put up for auction in {MapName}.
ETC_20150317_002692	{PC} has won {ItemName} from the auction.
ETC_20150317_002693	You cannot bid higher than the buyout price.
ETC_20150317_002694	Confirm purchase?
ETC_20150317_002695	Do you want to adopt this companion?
ETC_20150317_002696	Seller
ETC_20150317_002697	Sell Quantity
ETC_20150317_002698	Unit Price
ETC_20150317_002699	Total Price
ETC_20150317_002700	Quantity
ETC_20150317_002701	Your selling price must be at least 0 Silver.
ETC_20150317_002702	Your selling quantity must be higher than 0.
ETC_20150317_002703	Your item has been successfully added to the Market.
ETC_20150317_002704	You have successfully purchased an item from the Market. {nl} Please check if you've received the item.
ETC_20150317_002705	$There are too many search results. Use detailed search queries to narrow down your search.
ETC_20150317_002706	$Are you sure you want to cancel adding the item?
ETC_20150317_002707	$Your item has successfully been canceled from the Market. {nl} Please check if you've received the item.
ETC_20150317_002708	$An equipped item cannot be added.
ETC_20150317_002709	$Private
ETC_20150317_002710	$Confirm
ETC_20150317_002711	$Price: Low to High
ETC_20150317_002712	$Price: High to Low
ETC_20150317_002713	$Newly Listed
ETC_20150317_002714	Price entered must be at least 1.
ETC_20150317_002715	Only skills that consume items are possible.
ETC_20150317_002716	Keep out! The stones should be delivered as soon as possible.
ETC_20150317_002717	Bleeding Arrow
ETC_20150317_002718	Penetrating Arrow
ETC_20150317_002719	Explosive Arrow
ETC_20150317_002720	$[Craftable]
ETC_20150317_002721	Stamina
ETC_20150317_002722	Attack
ETC_20150317_002723	Attacking Speed
ETC_20150317_002724	Critical Rate
ETC_20150317_002725	Durability
ETC_20150317_002726	{memo X}Splash
ETC_20150317_002727	Accuracy
ETC_20150317_002728	Critical Resistance
ETC_20150317_002729	{memo X}Splash Defense
ETC_20150317_002730	INT
ETC_20150317_002731	SPR
ETC_20150317_002732	Skill Attack
ETC_20150317_002733	Magic Resistance
ETC_20150317_002734	Dugout Attack
ETC_20150317_002735	Rim Attack
ETC_20150317_002736	Magic Attack
ETC_20150317_002737	Magic Defense
ETC_20150317_002738	Creates an additional slot when equipped
ETC_20150317_002739	Gender
ETC_20150317_002740	$Maximum Socket(s)
ETC_20150317_002741	$Sell to Shop
ETC_20150317_002742	$Trade with Player
ETC_20150317_002743	Enhance Potential
ETC_20150317_002744	Sell Price to Shop
ETC_20150317_002745	Equip Level
ETC_20150317_002746	Equip Class
ETC_20150317_002747	Piercing
ETC_20150317_002748	Slashing
ETC_20150317_002749	Striking
ETC_20150317_002750	Increase Range
ETC_20150317_002751	Increase range of Slashing
ETC_20150317_002752	Attack Range
ETC_20150317_002753	Attack Angle
ETC_20150317_002754	Block Rate
ETC_20150317_002755	Repeated Hit
ETC_20150317_002756	Rear Attack Range
ETC_20150317_002757	Use specific skill
ETC_20150317_002758	$Possible
ETC_20150317_002759	$Unavailable
ETC_20150317_002760	$Critical Attack
ETC_20150317_002761	$Critical Defense
ETC_20150317_002762	$Tradable
ETC_20150317_002763	$Untradeable
ETC_20150317_002764	$Potion Recovery Rate
ETC_20150317_002765	$SP Recovery
ETC_20150317_002766	$Unable to sell
ETC_20150317_002767	$Fire Property Attack
ETC_20150317_002768	$Ice Property Attack
ETC_20150317_002769	$Poison Property Attack
ETC_20150317_002770	$Holy Property Attack
ETC_20150317_002771	$Dark Property Attack
ETC_20150317_002772	$Movement Speed
ETC_20150317_002773	$HP Recovery
ETC_20150317_002774	$Attack on Plant Type Targets
ETC_20150317_002775	$Attack on Beast Type Targets
ETC_20150317_002776	$Attack on Devil Type Targets
ETC_20150317_002777	$Attack on Mutant Type Targets
ETC_20150317_002778	$Wind Property Attack
ETC_20150317_002779	$Fire Property Resistance
ETC_20150317_002780	$Ice Property Resistance
ETC_20150317_002781	$Poison Property Resistance
ETC_20150317_002782	$Lightning Property Resistance
ETC_20150317_002783	$Holy Property Resistance
ETC_20150317_002784	$Dark Property Resistance
ETC_20150317_002785	$AoE Attack Ratio
ETC_20150317_002786	$AoE Defense Ratio
ETC_20150317_002787	2% chance of additional damage by +300 when attacking
ETC_20150317_002788	3% chance of receiving continuous damage amounting to 20% of max HP when attacked
ETC_20150317_002789	4% chance of additional resistance +100 of all when attacked by magic
ETC_20150317_002790	$Lightning Property Attack
ETC_20150317_002791	$Knockback Power
ETC_20150317_002792	$Attack on Small Type Targets
ETC_20150317_002793	$Attack on Medium Type Targets
ETC_20150317_002794	$Attack on Large Type Targets
ETC_20150317_002795	$Block
ETC_20150317_002796	$Block Penetration
ETC_20150317_002797	$Attack on Cloth Armor Targets
ETC_20150317_002798	$Attack on Leather Armor Targets
ETC_20150317_002799	$Attack on Plate Armor Targets
ETC_20150317_002800	$Attack on Ghost Armor Targets
ETC_20150317_002801	{memo X}Magic Penetration
ETC_20150317_002802	$Item EXP
ETC_20150317_002803	Shooting Distance
ETC_20150317_002804	Speed
ETC_20150317_002805	$Attack on Insect Type Targets
ETC_20150317_002806	$Earth Property Attack
ETC_20150317_002807	$Earth Property Resistance
ETC_20150317_002808	Physical Damage when mounted
ETC_20150317_002809	Magic Damage when mounted
ETC_20150317_002810	Pierce Defense
ETC_20150317_002811	Slash Defense
ETC_20150317_002812	Strike Defense
ETC_20150317_002813	Maximum Carry Weight
ETC_20150317_002814	Very Easy
ETC_20150317_002815	Easy
ETC_20150317_002816	Normal
ETC_20150317_002817	Hard
ETC_20150317_002818	Very Hard
ETC_20150317_002819	{S22}{ol}Next Quest Level: {Auto_1}
ETC_20150317_002820	Area: 
ETC_20150317_002821	${@st45w3}{s18}x{Auto_2} {Auto_1} {/}
ETC_20150317_002822	{@st41}Reward Received:
ETC_20150317_002823	{@st64} Approach the NPC and use 
ETC_20150317_002824	Space Bar
ETC_20150317_002825	 to start a conversation
ETC_20150317_002826	Give up quest
ETC_20150317_002827	$Abandon
ETC_20150317_002828	$Warp to Completion Point
ETC_20150317_002829	$Objective: 
ETC_20150317_002830	$Warrior Type
ETC_20150317_002831	{memo X}Wizard Type
ETC_20150317_002832	{memo X}Archer Type
ETC_20150317_002833	{memo X}Cleric Type
ETC_20150317_002834	$Sorcerer Type
ETC_20150317_002835	$Human Type
ETC_20150317_002836	$Devil Type
ETC_20150317_002837	$Plant Type
ETC_20150317_002838	$Beast Type
ETC_20150317_002839	$Mutant Type
ETC_20150317_002840	$Object
ETC_20150317_002841	$Insect Type
ETC_20150317_002842	$Cloth
ETC_20150317_002843	$Leather
ETC_20150317_002844	$Metal
ETC_20150317_002845	$Chain
ETC_20150317_002846	$Ghost
ETC_20150317_002847	{memo X}This mercenary already belongs to somebody else.
ETC_20150317_002848	{memo X}The mercenary's level is higher than the PC's level.
ETC_20150317_002849	{memo X}The mercenary has been hired.
ETC_20150317_002850	{memo X}The mercenary was let go.
ETC_20150317_002851	{memo X}This mercenary is already hired.
ETC_20150317_002852	{memo X}The theme of your Barracks has been changed.
ETC_20150317_002853	You have successfully changed your team name.
ETC_20150317_002854	You have failed to change your team name.
ETC_20150317_002855	Enter your team name. Your team name will be the name seen by other players.
ETC_20150317_002856	This team name already exists.
ETC_20150317_002857	Collection Effect
ETC_20150317_002858	List of acquired
ETC_20150317_002859	Full list
ETC_20150317_002860	You already have this collection
ETC_20150317_002861	Collection
ETC_20150317_002862	A collection has been added.
ETC_20150317_002863	{memo X}Only through the NPC can be registered.
ETC_20150317_002864	Obtain {Auto_2} from {Auto_1}
ETC_20150317_002865	#NAME?
ETC_20150317_002866	explored
ETC_20150317_002867	{Auto_1} Quest(s) cleared
ETC_20150317_002868	{Auto_1} NPC(s) met
ETC_20150317_002869	Score {Category}
ETC_20150317_002870	Rank
ETC_20150317_002871	Adventure
ETC_20150317_002872	Exploration
ETC_20150317_002873	Collection acquired {Auto_1}
ETC_20150317_002874	Achievements earned {Auto_1}
ETC_20150317_002875	Mission cleared {Auto_1}
ETC_20150317_002876	Adventure Ranking
ETC_20150317_002877	Collection completed {Auto_1}
ETC_20150317_002878	Contents
ETC_20150317_002879	Set items
ETC_20150317_002880	Acquired
ETC_20150317_002881	Score earned
ETC_20150317_002882	Boss
ETC_20150317_002883	Date
ETC_20150317_002884	Click to go to the item page.
ETC_20150317_002885	Recent
ETC_20150317_002886	Help
ETC_20150317_002887	Enter your friend's team name
ETC_20150317_002888	Already in your Friends List
ETC_20150317_002889	You have a new friend request.
ETC_20150317_002890	Received requests
ETC_20150317_002891	Sent requests
ETC_20150317_002892	Declined requests
ETC_20150317_002893	Friends who are registered to TOS
ETC_20150317_002894	Friends who do not play TOS
ETC_20150317_002895	Someone you may know
ETC_20150317_002896	were together
ETC_20150317_002897	Formed party
ETC_20150317_002898	Traded
ETC_20150317_002899	Block List
ETC_20150317_002900	Played together {Count} time(s)
ETC_20150317_002901	Formed a party together {Count} time(s)
ETC_20150317_002902	Traded {Count} time(s)
ETC_20150317_002903	Already in your block list.
ETC_20150317_002904	Please enter the name of the team to block.
ETC_20150317_002905	The name of your group is too long.
ETC_20150317_002906	The contents of your memo is too long.
ETC_20150317_002907	Memo Settings
ETC_20150317_002908	{memo X}Group Settings ??
ETC_20150317_002909	Enter Memo
ETC_20150317_002910	Group Settings
ETC_20150317_002911	Friend Request
ETC_20150317_002912	Your friend request has been sent.
ETC_20150317_002913	New Group
ETC_20150317_002914	Block
ETC_20150317_002915	Remove Group
ETC_20150317_002916	Change Group Name
ETC_20150317_002917	Are you sure you want to delete your group?
ETC_20150317_002918	Unblock
ETC_20150317_002919	The friend request was not sent.
ETC_20150317_002920	Initial payment
ETC_20150317_002921	$More Info
ETC_20150317_002922	Position
ETC_20150317_002923	Rank
ETC_20150317_002924	{From} wants to trade with you.
ETC_20150317_002925	The trade request was declined.
ETC_20150317_002926	The trade was canceled.
ETC_20150317_002927	The trade was successful.
ETC_20150317_002928	Send a trade request to {To}.
ETC_20150317_002929	No save point specified
ETC_20150317_002930	You have an item with less than 30% durability remaining.
ETC_20150317_002931	You have an item with 0% durability.
ETC_20150317_002932	This equipped item cannot be consumed.
ETC_20150317_002933	This enhanced item cannot be consumed.
ETC_20150317_002934	Your enhanced item will be consumed. Are you sure you want to proceed?
ETC_20150317_002935	The field boss will appear in a while
ETC_20150317_002936	This is a preparation function.
ETC_20150317_002937	{@st59} Share this quest with your party members
ETC_20150317_002938	{@st59} This quest is currently shown to party members
ETC_20150317_002939	{Name}'s Quest
ETC_20150317_002940	Searching...
ETC_20150317_002941	Match found.
ETC_20150317_002942	Waiting for entry
ETC_20150317_002943	Moving
ETC_20150317_002944	Game in progress
ETC_20150317_002945	{memo X}PvP Shop
ETC_20150317_002946	Size
ETC_20150317_002947	Defense type
ETC_20150317_002948	Element attributes
ETC_20150317_002949	Rating
ETC_20150317_002950	Attack Attribute
ETC_20150317_002951	Enable attack type
ETC_20150317_002952	Moving Type
ETC_20150317_002953	Small
ETC_20150317_002954	Medium
ETC_20150317_002955	Large
ETC_20150317_002956	Extra Large
ETC_20150317_002957	Ghost
ETC_20150317_002958	No Attribute
ETC_20150317_002959	Fire
ETC_20150317_002960	Water
ETC_20150317_002961	Lightning
ETC_20150317_002962	Poison
ETC_20150317_002963	Dark
ETC_20150317_002964	Holy
ETC_20150317_002965	Earth
ETC_20150317_002966	NA
ETC_20150317_002967	Slash
ETC_20150317_002968	Pierce
ETC_20150317_002969	Strike
ETC_20150317_002970	Magic
ETC_20150317_002971	Physical
ETC_20150317_002972	Distant
ETC_20150317_002973	Fixation
ETC_20150317_002974	Ground-based
ETC_20150317_002975	Airborne Type
ETC_20150317_002976	Elite
ETC_20150317_002977	Last login: {Year} year(s) ago
ETC_20150317_002978	Last login: {Month} month(s) ago
ETC_20150317_002979	Last login: {Day} day(s) ago
ETC_20150317_002980	Last login: {Hour} hour(s) ago
ETC_20150317_002981	Last login: {Min} minute(s) ago
ETC_20150317_002982	Last login: just now
ETC_20150317_002983	Temporary space
ETC_20150317_002984	{Auto_1} HP was recovered
ETC_20150317_002985	{Auto_1} SP was recovered
ETC_20150317_002986	Join
ETC_20150317_002987	... Followed me!?!?
ETC_20150317_002988	Type is whoever is near me!
ETC_20150317_002989	I wonder who would win ~
ETC_20150317_002990	Random Game, my favorite + _ +
ETC_20150317_002991	Ahhhhhh~~
ETC_20150317_002992	Nice! It's over
ETC_20150317_002993	GREATER FEVER! Additional attack and EXP has been applied!
ETC_20150317_002994	FEVER TIME!! Additional attack has been applied!
ETC_20150317_002995	Box of
ETC_20150317_002996	Full Room
ETC_20150317_002997	The enhancement was successful.
ETC_20150317_002998	It has been reset because the enhancement failed..
ETC_20150317_002999	Reward
ETC_20150317_003000	Received
ETC_20150317_003001	Combining
ETC_20150317_003002	Write
ETC_20150317_003003	Already obtained:
ETC_20150317_003004	You must complete the West Siauliai Woods quest in order to progress
ETC_20150317_003005	Found an Archaeologist's Token!
ETC_20150317_003006	{memo X}Did not find anything.
ETC_20150317_003007	{memo X}Tombstone of Lydia Schaffen completed. {nl} Let's read the tombstone again.
ETC_20150317_003008	{memo X}You do not have enough tombstone pieces.
ETC_20150317_003009	Quest completed!
