ITEM_20150317_000001	없음_helmet
ITEM_20150317_000838	우보코 스태프
ITEM_20150317_000839	마법사들의 취향의 다양성을 보여줍니다.
ITEM_20150317_000840	스태그 스태프
ITEM_20150317_000841	장식부분은 마법적으로 형성시킵니다.
ITEM_20150317_000842	지오매트리 스태프
ITEM_20150317_000843	마법적의미를 수학적으로 표현하여 지팡이에 결합한 것입니다.
ITEM_20150317_000844	데몬 스태프
ITEM_20150317_000845	일부 마법사들은 마족의 힘을 복속시켜 다룰 수 있다고 믿었고 일정 부분 성공하기도 했습니다. 
ITEM_20150317_000846	스톰 스태프
ITEM_20150317_000847	고대로부터 전해져온 제조법에 기반한 지팡이입니다. 아직도 일부 마법사들은 이 지팡이에 숨겨진 효능이 있을 것이라 생각합니다.
ITEM_20150317_000848	우든 스태프
ITEM_20150317_000849	헤비 우든 스태프
ITEM_20150317_000850	오크 스태프
ITEM_20150317_000851	헤비 스태프
ITEM_20150317_000852	헤비 쥬 스태프
ITEM_20150317_000853	헤비 우보코 스태프
ITEM_20150317_000854	던켈 쥬 스태프
ITEM_20150317_000855	던켈 데몬 스태프
ITEM_20150317_000856	던켈 우든 스태프
ITEM_20150317_000857	던켈 오크 스태프
ITEM_20150317_000858	던켈 스태프
ITEM_20150317_000859	던켈 우보코 스태프
ITEM_20150317_000860	스틸 스태프
ITEM_20150317_000861	헤비 스틸 스태프
ITEM_20150317_000862	스퀘어 스태프
ITEM_20150317_000863	헤비 스퀘어 스태프
ITEM_20150317_000864	메이지 스태프
ITEM_20150317_000865	아크 메이지 스태프
ITEM_20150317_000866	아크 데몬 스태프
ITEM_20150317_000867	멜리나스 스태프
ITEM_20150317_000868	장비를 합쳐서 상승효과를 더 높이는 연구의 초보적 성과물입니다. 
ITEM_20150317_000869	마기 스태프
ITEM_20150317_000870	마법의 언어가 이 지팡이를 차가운 기운을 이용해 담금질합니다.
ITEM_20150317_000871	루다스 스태프
ITEM_20150317_000872	모든 마법에 보편성을 지니도록 하기 위해 균형잡힌 제조법에 의해 만들어집니다.
ITEM_20150317_000873	살타스 스태프
ITEM_20150317_000874	전대의 파이로맨서 마스터는 연금술에 의한 속성 강화를 연구했습니다. 이로써 그가 원한대로 가비야 여신의 부담이 줄었는지는 확실치 않습니다.
ITEM_20150317_000875	케미니스 스태프
ITEM_20150317_000876	크리오맨서 마스터는 이것의 제조법을 고원지대의 숨겨진 장소에서 발견한 고대의 비법을 바탕으로 만들었다고 합니다.
ITEM_20150317_000877	카르스토 스태프
ITEM_20150317_000878	일설에 의하면 이 제조법이 세상에 알려지자 그것을 검토한 크로노맨서 마스터가 한숨을 쉬었다고 합니다. 
ITEM_20150317_000879	엑스펙타 스태프
ITEM_20150317_000880	사용자나 제조자가 무엇을 하든 이 지팡이가 제조되는 순간 파이로맨서 마스터는 그것을 감지할 수 있다고 합니다. 
ITEM_20150317_000881	임페르니 스태프
ITEM_20150317_000882	평범한 재료도 잘 사용하면 좋은 효과를 기대할 수 있음을 보여주는 장비입니다.
ITEM_20150317_000883	웰시 스태프
ITEM_20150317_000884	블랙마켓 관련자들은 이런 종류의 무기를 잘 만든지만, 임페르니 스태프에 관해서는 비교적 근래에 제조에 성공했습니다.
ITEM_20150317_000885	매직 우든 스태프
ITEM_20150317_000886	세상에는 강한 마력보다 풍족한 마력을 추구하는 마법사도 있습니다.
ITEM_20150317_000887	스미스 스태프
ITEM_20150317_000888	장비에 마력을 넣는 방식은 참 여러가지라는 점을 보여줍니다.
ITEM_20150317_000889	클라비스 스태프
ITEM_20150317_000890	이 장비로 유명해진 사람은 아직 없습니다. 당신이 처음이 되길 바랍니다.
ITEM_20150317_000891	디오 스태프
ITEM_20150317_000892	트레시 스태프
ITEM_20150317_000893	세스타스 스태프
ITEM_20150317_000894	드라트 스태프
ITEM_20150317_000895	아스턴 스태프
ITEM_20150317_000896	데비 스태프
ITEM_20150317_000897	프리마 스태프
ITEM_20150317_000898	캔들 스태프
ITEM_20150317_000899	윗부분의 불은 꺼질 수도 있습니다. 그러나 연소할 물질이 다 타서 그런 경우는 없습니다.
ITEM_20150317_000900	아우드라
ITEM_20150317_000901	크리오맨서 마스터는 농담삼아 파이로맨서 마스터에게 이것을 들고 맨손인 자신에게 빙계마법으로 도전하라고 했다는 말이 있습니다.
ITEM_20150317_000902	선플라워
ITEM_20150317_000903	이 지팡이의 제조법에는 가비야 여신뿐 아니라 사울레 여신의 도움을 얻는 방법도 기록되어 있습니다.
ITEM_20150317_000904	말레딕
ITEM_20150317_000905	전설에 의하면 이 지팡이는 마계의 원형이 있다고 합니다. 이 세계에 나타나는 것들은 그 투영에 불과하다고 합니다.
ITEM_20150317_000906	말레둠
ITEM_20150317_000907	일부 마법사들이 말레딕의 원형을 추구하는 과정에 더 강력한 말레둠 지팡이를 만드는데 성공했습니다.
ITEM_20150317_000908	채퍼리션 스태프
ITEM_20150317_000909	아르카 스태프
ITEM_20150317_000910	전하는 이야기에 따르면 아가일라 플러리가 마법사의 탑을 건설하던 시절에 이런 지팡이를 사용했다고 합니다.
ITEM_20150317_000911	라가노스 혼
ITEM_20150317_000912	오래전 봉인된 하우벅이란 마왕이 마계의 비밀을 노출했으며 그 비밀을 바탕으로 아가일라 플러리가 이 지팡이의 제조법을 창안해냈습니다.
ITEM_20150317_000913	라이트 글로브
ITEM_20150317_000914	장갑
ITEM_20150317_000915	이것이 당신에게 두 번째 생명을 줄 수도 있습니다.
ITEM_20150317_000916	라이트 부츠
ITEM_20150317_000917	신발
ITEM_20150317_000918	왕국의 여러 지역과 지형에서 착용되는 신발입니다. 아무 것도 안 신으면 곤란합니다.
ITEM_20150317_000919	라이트 팬츠
ITEM_20150317_000920	하의
ITEM_20150317_000921	이것도 없이 행로에 오르는 모험가는 없습니다.
ITEM_20150317_000922	라이트 아머
ITEM_20150317_000923	상의[가죽]
ITEM_20150317_000924	적절한 방어력을 제공한다면 무슨 가죽으로 만들어졌는지는 물을 필요가 없습니다.
ITEM_20150317_000925	퀼트 글로브
ITEM_20150317_000926	가벼운 소재지만 저가의 가죽제품과 비슷한 방어력을 제공합니다. 즉, 가벼운 만큼 장점이 있습니다.
ITEM_20150317_000927	퀼트 부츠
ITEM_20150317_000928	당신의 발걸음을 가볍게 합니다.
ITEM_20150317_000929	퀼트 팬츠
ITEM_20150317_000930	고원지대에서는 다른 옷을 구하십시오. 춥습니다.
ITEM_20150317_000931	퀼트 아머
ITEM_20150317_000932	보기보다는 단단합니다.
ITEM_20150317_000933	레더 글로브
ITEM_20150317_000934	소문이지만, 식물재앙 이후 가죽공급이 늘어났다고 합니다.
ITEM_20150317_000935	레더 부츠
ITEM_20150317_000936	가시 숲을 방문하실 예정이라면 꼭 하나 장만하십시오.
ITEM_20150317_000937	레더 팬츠
ITEM_20150317_000938	무겁긴 하지만, 하체에 안정감을 줍니다.
ITEM_20150317_000939	레더 아머
ITEM_20150317_000940	취향에 따라 장식하거나 특성을 부여하기 좋습니다.
ITEM_20150317_000941	하드 레더 글로브
ITEM_20150317_000942	더 강화된 가죽갑옷을 제작하려면 몬스터로부터 나온 재료가 필요합니다.
ITEM_20150317_000943	하드 레더 부츠
ITEM_20150317_000944	너무 뻣뻣해 가끔 착용자의 발이 상한다고 합니다.
ITEM_20150317_000945	하드 레더 팬츠
ITEM_20150317_000946	당신을 든든히 받쳐줍니다.
ITEM_20150317_000947	하드 레더 아머
ITEM_20150317_000948	제조 과정에서 들어가는 재료 덕분에 세월이 지나도 강인함을 잃지 않습니다.
ITEM_20150317_000949	체인 글로브
ITEM_20150317_000950	소재가 강해져서 좋은 점은 향상의 여지가 많다는 것입니다.
ITEM_20150317_000951	체인 부츠
ITEM_20150317_000952	생각보다는 통기성이 좋지 않습니다.
ITEM_20150317_000953	체인 팬츠
ITEM_20150317_000954	중간 고리 하나가 끊어졌다고 전체를 풀어서 수리할 필요는 없습니다.
ITEM_20150317_000955	체인 메일
ITEM_20150317_000956	상의[판금]
ITEM_20150317_000957	곧이 곧대로 믿을 필요는 없지만, 제조자는 판금 같은 방어력을 제공한다고 말합니다.
ITEM_20150317_000958	마크 글로브
ITEM_20150317_000959	더 좋은 재료 덕분에 일반 체인 글로브에 비해 향상성이 더 좋아졌습니다.
ITEM_20150317_000960	마크 부츠
ITEM_20150317_000961	고리의 맞물림 구조가 좋아서 생각보다는 발이 편하다고 합니다.
ITEM_20150317_000962	마크 팬츠
ITEM_20150317_000963	전투시 부상 감소를 위해서라면 이 정도의 무게는 감당해야 합니다.
ITEM_20150317_000964	마크 튜닉
ITEM_20150317_000965	판금 수준의 내구력과 방어도를 자랑합니다.
ITEM_20150317_000966	포레스트 레더 글로브
ITEM_20150317_000967	식믈재앙 이후 몬스터로부터 나온 재료들이 방어구에 이용되었는데 이 장비도 그러합니다.
ITEM_20150317_000968	포레스트 레더 부츠
ITEM_20150317_000969	식물형 몬스터에게서 마법적 속성을 밝혀서 갑옷에 적용하는 일은 진전이 있었습니다. 
ITEM_20150317_000970	포레스트 레더 팬츠
ITEM_20150317_000971	식물 몬스터에게서도 동물 못지 않은 가죽같은 외피를 얻을 수 있으며 이를 방어구에 적용한 산물입니다.
ITEM_20150317_000972	포레스트 레더 아머
ITEM_20150317_000973	비슷한 방어력의 신발에 비해 가벼운 편입니다.
ITEM_20150317_000974	그리마 팬츠
ITEM_20150317_000975	식물의 섬유가 아닌 목질의 재료가 들어가지만, 착용감이 나쁘지는 않습니다.
ITEM_20150317_000976	그리마 로브
ITEM_20150317_000977	상의[천]
ITEM_20150317_000978	천옷 정도의 방어력을 예상했다면 가죽 이상의 방어력에 놀랄 수 있습니다. 
ITEM_20150317_000979	베리스 글로브
ITEM_20150317_000980	곤충에 대한 혐오만 없다면 손의 보호는 물론 무기를 쥐는 데도 좋은 장비입니다.
ITEM_20150317_000981	베리스 부츠
ITEM_20150317_000982	검사들의 신발은 이 신발처럼 단단해야 합니다. 비단 적때문이 아니라 자기 무기가 자기 발에 떨어질 경우도 대비하는 편이 좋습니다.
ITEM_20150317_000983	베리스 팬츠
ITEM_20150317_000984	몇몇 검사들은 이 장비에 들어간 재료가 적의 혈육을 부를 것이라 믿습니다.
ITEM_20150317_000985	베리스 튜닉
ITEM_20150317_000986	곤충형 몬스터의 갑피를 강화해 판금갑옷 이상의 방어력을 갖추게 한 장비입니다.
ITEM_20150317_000987	스케일 글로브
ITEM_20150317_000988	뛰어난 은신과 빠른 회피 속성을 부여한다고 믿어지고 있습니다.
ITEM_20150317_000989	스케일 부츠
ITEM_20150317_000990	방어력보다는 마법회피의 능력 때문에 사람들이 택하곤 합니다.
ITEM_20150317_000991	스케일 레깅스
ITEM_20150317_000992	식물재앙후 불행중 다행인 것은 몬스터의 재활용법을 발견했다는 점입니다.
ITEM_20150317_000993	스케일 메일
ITEM_20150317_000994	어떤 몬스터의 재료는 가열 등을 통해 다른 소재로 변합니다. 이런 과정을 거쳐 지금의 편안한 베리스 부츠가 나옵니다.
ITEM_20150317_000995	포레스트 팬츠
ITEM_20150317_000996	처음 착용할 때 남은 가시가 있는지 확인하십시오.
ITEM_20150317_000997	포레스트 로브
ITEM_20150317_000998	이 가벼운 옷은 놀랍게도 어떤 동물의 가공전의 가죽보다 단단합니다. 
ITEM_20150317_000999	클라이다 건틀릿
ITEM_20150317_001000	검사들이 실전에서 즐겨 착용하는 장비입니다.
ITEM_20150317_001001	클라이다 그리브
ITEM_20150317_001002	전통방식의 스케일 부츠에 핵을 추가해 강화한 신발입니다.
ITEM_20150317_001003	클라이다 스커트
ITEM_20150317_001004	이전에는 이 명칭은 재료가 아니라 완성품의 모양 때문에 붙여진 이름이었습니다. 지금은 이 스케일 레깅스처럼 사정이 다릅니다.
ITEM_20150317_001005	클라이다 메일
ITEM_20150317_001006	외양과 소재 등의 장점 때문에 대개의 검사들은 이 갑옷을 한번 정도는 이용하기 마련입니다.
ITEM_20150317_001007	하드 베리스 글로브
ITEM_20150317_001008	딱히 증거는 없지만, 몬스터를 바탕으로 만든 장비들은 더 나은 단단함을 지닌다고 생각됩니다.
ITEM_20150317_001009	하드 베리스 부츠
ITEM_20150317_001010	일부 그리바들이 이 신발에서 동족의 향취를 감지할 수 있다고 합니다.
ITEM_20150317_001011	하드 베리스 팬츠
ITEM_20150317_001012	식물재앙 이후 이 장비처럼 새로운 소재의 갑주들이 전통적인 장비를 대체하고 있습니다. 
ITEM_20150317_001013	하드 베리스 튜닉
ITEM_20150317_001014	일설에 의하면 부베족이 인간보다 먼저 이 제조법을 발견했다고 합니다. 가벼운 소재에 비해 무척 단단합니다.
ITEM_20150317_001015	헤비 스케일 글로브
ITEM_20150317_001016	괜찮은 방어력 상승 때문에 검사들이 애용합니다.
ITEM_20150317_001017	헤비 스케일 부츠
ITEM_20150317_001018	가끔 착용자의 발을 얽히게 하지만 방어력에 있어서는 그만한 가치를 합니다.
ITEM_20150317_001019	헤비 스케일 레깅스
ITEM_20150317_001020	몇 년 전만 해도 부유한 검사들만 착용하던 고급 무장이었습니다.
ITEM_20150317_001021	헤비 스케일 메일
ITEM_20150317_001022	단단한 갑주의 역할 뿐 아니라 적의 무기를 흘려주는 일도 가끔 생기는 좋은 갑주입니다.
ITEM_20150317_001023	리갈 팬츠
ITEM_20150317_001024	희박한 확률이지만 가끔 사람이 석화되는 부작용이 있다고 합니다.
ITEM_20150317_001025	리갈 로브
ITEM_20150317_001026	방어력은 그저 그런 수준이지만 마법회피 능력 때문에 착용하는 사람이 적지 않습니다.
ITEM_20150317_001027	래그 팬츠
ITEM_20150317_001028	착용시 생명의 기운이 강해졌다고 느낀다면, 기분탓이 아닙니다. 사실이 그렇습니다.
ITEM_20150317_001029	래그 아머
ITEM_20150317_001030	전투 중에 벗지 마십시오. 당신의 생명이 몸에만 있지 않습니다.
ITEM_20150317_001031	마이너 글로브
ITEM_20150317_001032	마이너 부츠
ITEM_20150317_001033	마이너 팬츠
ITEM_20150317_001034	마이너 아머
ITEM_20150317_001035	조악한 하드 레더 글로브
ITEM_20150317_001036	조악한 하드 레더 부츠
ITEM_20150317_001037	조악한 하드 레더 팬츠
ITEM_20150317_001038	조악한 하드 레더 아머
ITEM_20150317_001039	조악한 체인 글로브
ITEM_20150317_001040	조악한 체인 부츠
ITEM_20150317_001041	조악한 체인 팬츠
ITEM_20150317_001042	조악한 체인 메일
ITEM_20150317_001043	조악한 스틸 체인 글로브
ITEM_20150317_001044	조악한 스틸 체인 부츠
ITEM_20150317_001045	조악한 스틸 체인 팬츠
ITEM_20150317_001046	조악한 스틸 체인 메일
ITEM_20150317_001047	브리간딘 글로브
ITEM_20150317_001048	민첩하면서 정확한 동작을 원하는 사람들이 자주 착용합니다.
ITEM_20150317_001049	브리간딘 부츠
ITEM_20150317_001050	신어보면 소음이 적게 난다는 사실을 알 수 있습니다.
ITEM_20150317_001051	브리간딘 팬츠
ITEM_20150317_001052	향상성이 좋고 요령을 아는 사람이라면 다양한 방법으로 활용하는 방어구입니다.
ITEM_20150317_001053	브리간딘 아머
ITEM_20150317_001054	미니번의 방어력은 죽어서는 이렇게 큰 도움이 됩니다. 
ITEM_20150317_001055	플레이트 건틀릿
ITEM_20150317_001056	전통적인 방식으로 만든 장비 가운데는 가장 좋은 장비에 들어갑니다.
ITEM_20150317_001057	플레이트 그리브
ITEM_20150317_001058	요즘들어 몬스터의 뼈와 금속을 융화심킬 방법을 발견하면서 이전의 플레이트 그리브보다 성능이 향상되었습니다. 
ITEM_20150317_001059	플레이트 레깅스
ITEM_20150317_001060	이 방식의 제조법은 근래의 것이 아닙니다. 다만 예전부터 재료의 수급은 어려웠습니다.
ITEM_20150317_001061	플레이트 아머
ITEM_20150317_001062	식물재앙 이전만 해도 왕실근위대의 기본 갑주였습니다. 
ITEM_20150317_001063	헤비 퀼트 팬츠
ITEM_20150317_001064	헤비 퀼트 아머
ITEM_20150317_001065	부베 팬츠
ITEM_20150317_001066	부베 아머
ITEM_20150317_001067	판토 팬츠
ITEM_20150317_001068	판토 아머
ITEM_20150317_001069	어콜라이트 글로브
ITEM_20150317_001070	갑옷과 같은 단단함은 없지만 가볍고 편안합니다.
ITEM_20150317_001071	어콜라이트 부츠
ITEM_20150317_001072	어콜라이트 팬츠
ITEM_20150317_001073	어콜라이트 로브
ITEM_20150317_001074	스틸 체인 글로브
ITEM_20150317_001075	스틸 체인 부츠
ITEM_20150317_001076	스틸 체인 팬츠
ITEM_20150317_001077	스틸 체인 메일
ITEM_20150317_001078	강화 레더 아머
ITEM_20150317_001079	던켈 퀼트 글로브
ITEM_20150317_001080	던켈 퀼트 부츠
ITEM_20150317_001081	던켈 퀼트 팬츠
ITEM_20150317_001082	던켈 퀼트 아머
ITEM_20150317_001083	던켈 코튼 글로브
ITEM_20150317_001084	주문을 사용하는 직종들이 즐겨 착용합니다.
ITEM_20150317_001085	던켈 코튼 부츠
ITEM_20150317_001086	던켈 코튼 팬츠
ITEM_20150317_001087	뛰어난 마법 방어력 속성을 부여한다고 믿어지고 있습니다.
ITEM_20150317_001088	던켈 코튼 로브
ITEM_20150317_001089	마법 방어력의 능력 때문에 사람들이 택하곤 합니다.
ITEM_20150317_001090	던켈 하드 레더 글로브
ITEM_20150317_001091	던켈 하드 레더 부츠
ITEM_20150317_001092	던켈 하드 레더 팬츠
ITEM_20150317_001093	던켈 하드 레더 아머
ITEM_20150317_001094	던켈 링 글로브
ITEM_20150317_001095	던켈 링 부츠
ITEM_20150317_001096	던켈 링 팬츠
ITEM_20150317_001097	던켈 링 메일
ITEM_20150317_001098	링 글로브
ITEM_20150317_001099	링 부츠
ITEM_20150317_001100	링 팬츠
ITEM_20150317_001101	링 메일
ITEM_20150317_001102	손가락
ITEM_20150317_001103	카브라 부츠
ITEM_20150317_001104	크림슨 레더 아머
ITEM_20150317_001105	포쿠부 아머
ITEM_20150317_001106	카펜터 글로브
ITEM_20150317_001107	테넷 체인 팬츠
ITEM_20150317_001108	테넷 체인 메일
ITEM_20150317_001109	잘리아 레더 글로브
ITEM_20150317_001110	잘리아 레더 부츠
ITEM_20150317_001111	잘리아 레더 팬츠
ITEM_20150317_001112	잘리아 레더 아머
ITEM_20150317_001113	프로바 글로브
ITEM_20150317_001114	프로바 로브
ITEM_20150317_001115	스터디드 글로브
ITEM_20150317_001116	스터디드 부츠
ITEM_20150317_001117	스터디드 팬츠
ITEM_20150317_001118	스터디드 아머
ITEM_20150317_001119	인섹트 건틀릿
ITEM_20150317_001120	인섹트 그리브
ITEM_20150317_001121	인섹트 스커트
ITEM_20150317_001122	인섹트 메일
ITEM_20150317_001123	프로타스 부츠
ITEM_20150317_001124	프로타스 트라우저
ITEM_20150317_001125	레드 베리스 글로브
ITEM_20150317_001126	레드 베리스 튜닉
ITEM_20150317_001127	라이트 플레이트 레깅스
ITEM_20150317_001128	라이트 플레이트 아머
ITEM_20150317_001129	헤비 그리마 글로브
ITEM_20150317_001130	헤비 그리마 부츠
ITEM_20150317_001131	헤비 그리마 로브
ITEM_20150317_001132	포쿠본 레더 팬츠
ITEM_20150317_001133	포쿠본 레더 아머
ITEM_20150317_001134	드레이크 레더 글로브
ITEM_20150317_001135	드레이크 레더 부츠
ITEM_20150317_001136	드레이크 레더 레깅스
ITEM_20150317_001137	드레이크 레더 튜닉
ITEM_20150317_001138	실버 플레이트 건틀릿
ITEM_20150317_001139	실버 플레이트 그리브
ITEM_20150317_001140	실버 플레이트 레깅스
ITEM_20150317_001141	실버 플레이트 아머
ITEM_20150317_001142	와일드 레더 글로브
ITEM_20150317_001143	헤비 부츠
ITEM_20150317_001144	카프리아 글로브
ITEM_20150317_001145	추종자의 레더 아머
ITEM_20150317_001146	머미가스트 메일
ITEM_20150317_001147	베조 부츠
ITEM_20150317_001148	미엔 부츠
ITEM_20150317_001149	아콘 핸즈
ITEM_20150317_001150	아콘이 사용하던 장갑입니다.
ITEM_20150317_001151	라바인피드 부츠
ITEM_20150317_001152	라바인피드의 독을 입힌 장화입니다. 독에 대한 강한 내성을 제공합니다.
ITEM_20150317_001153	네펜더스 글로브
ITEM_20150317_001154	네펜터스의 줄기로 만든 장갑입니다.
ITEM_20150317_001155	쉬나임 그리브
ITEM_20150317_001156	쉬나임 파편을 덧댄 신발입니다.
ITEM_20150317_001157	카프리선 글로브
ITEM_20150317_001158	이런 전례없는 마법 장비는 이 족속이 근래에 강력한 세력의 후원을 받고 있다는 의혹을 키우고 있습니다.
ITEM_20150317_001159	카프리선 부츠
ITEM_20150317_001160	신는 것만으로 몸이 가벼워지는 듯합니다.
ITEM_20150317_001161	카프리선 팬츠
ITEM_20150317_001162	마법 방어력을 시험하기 일부러 맞지는 마십시오.
ITEM_20150317_001163	카프리선 아머
ITEM_20150317_001164	어떤 소재로 만들어졌는지 알 수 없지만, 쓸만합니다.
ITEM_20150317_001165	디오 글로브
ITEM_20150317_001166	디오 샌들
ITEM_20150317_001167	디오 팬츠
ITEM_20150317_001168	디오 로브
ITEM_20150317_001169	디오 레더 글로브
ITEM_20150317_001170	디오 레더 부츠
ITEM_20150317_001171	디오 레더 팬츠
ITEM_20150317_001172	디오 레더 아머
ITEM_20150317_001173	디오 체인 건틀릿
ITEM_20150317_001174	디오 체인 부츠
ITEM_20150317_001175	디오 체인 팬츠
ITEM_20150317_001176	디오 체인 메일
ITEM_20150317_001177	트레시 글로브
ITEM_20150317_001178	트레시 샌들
ITEM_20150317_001179	트레시 팬츠
ITEM_20150317_001180	트레시 로브
ITEM_20150317_001181	트레시 레더 글로브
ITEM_20150317_001182	트레시 레더 부츠
ITEM_20150317_001183	트레시 레더 팬츠
ITEM_20150317_001184	트레시 레더 아머
ITEM_20150317_001185	트레시 체인 글로브
ITEM_20150317_001186	트레시 체인 부츠
ITEM_20150317_001187	트레시 체인 팬츠
ITEM_20150317_001188	트레시 체인 메일
ITEM_20150317_001189	세스타스 글로브
ITEM_20150317_001190	세스타스 샌들
ITEM_20150317_001191	세스타스 팬츠
ITEM_20150317_001192	세스타스 로브
ITEM_20150317_001193	세스타스 레더 글로브
ITEM_20150317_001194	세스타스 레더 부츠
ITEM_20150317_001195	세스타스 레더 팬츠
ITEM_20150317_001196	세스타스 레더 아머
ITEM_20150317_001197	세스타스 체인 글로브
ITEM_20150317_001198	세스타스 체인 부츠
ITEM_20150317_001199	세스타스 체인 팬츠
ITEM_20150317_001200	세스타스 체인 메일
ITEM_20150317_001201	드라트 글로브
ITEM_20150317_001202	드라트 샌들
ITEM_20150317_001203	드라트 팬츠
ITEM_20150317_001204	드라트 로브
ITEM_20150317_001205	드라트 레더 글로브
ITEM_20150317_001206	드라트 레더 부츠
ITEM_20150317_001207	드라트 레더 팬츠
ITEM_20150317_001208	드라트 레더 아머
ITEM_20150317_001209	드라트 건틀릿
ITEM_20150317_001210	드라트 그리브
ITEM_20150317_001211	드라트 플레이트 레깅스
ITEM_20150317_001212	드라트 플레이트 아머
ITEM_20150317_001213	아스턴 글로브
ITEM_20150317_001214	아스턴 샌들
ITEM_20150317_001215	아스턴 팬츠
ITEM_20150317_001216	아스턴 로브
ITEM_20150317_001217	아스턴 레더 글로브
ITEM_20150317_001218	아스턴 레더 부츠
ITEM_20150317_001219	아스턴 레더 팬츠
ITEM_20150317_001220	아스턴 레더 아머
ITEM_20150317_001221	아스턴 건틀릿
ITEM_20150317_001222	아스턴 그리브
ITEM_20150317_001223	아스턴 플레이트 레깅스
ITEM_20150317_001224	아스턴 플레이트 아머
ITEM_20150317_001225	데비 글로브
ITEM_20150317_001226	데비 샌들
ITEM_20150317_001227	데비 팬츠
ITEM_20150317_001228	데비 로브
ITEM_20150317_001229	데비 레더 글로브
ITEM_20150317_001230	데비 레더 부츠
ITEM_20150317_001231	데비 레더 팬츠
ITEM_20150317_001232	데비 레더 아머
ITEM_20150317_001233	데비 건틀릿
ITEM_20150317_001234	데비 그리브
ITEM_20150317_001235	데비 플레이트 레깅스
ITEM_20150317_001236	데비 플레이트 아머
ITEM_20150317_001237	프리마 글로브
ITEM_20150317_001238	프리마 샌들
ITEM_20150317_001239	프리마 팬츠
ITEM_20150317_001240	프리마 로브
ITEM_20150317_001241	프리마 레더 글로브
ITEM_20150317_001242	프리마 레더 부츠
ITEM_20150317_001243	프리마 레더 팬츠
ITEM_20150317_001244	프리마 레더 아머
ITEM_20150317_001245	프리마 건틀릿
ITEM_20150317_001246	프리마 그리브
ITEM_20150317_001247	프리마 플레이트 레깅스
ITEM_20150317_001248	프리마 플레이트 아머
ITEM_20150317_001249	툼 글로브
ITEM_20150317_001250	툼 레더 글로브
ITEM_20150317_001251	툼 건틀릿
ITEM_20150317_001252	워커
ITEM_20150317_001253	포 마인 아머
ITEM_20150317_001254	광부들의 수백년의 지혜와 경험이 낳은 제조법으로 만들어 졌습니다.
ITEM_20150317_001255	리에나 팬츠
ITEM_20150317_001256	리에나 로브
ITEM_20150317_001257	리에나 레더 팬츠
ITEM_20150317_001258	리에나 레더 아머
ITEM_20150317_001259	리에나 플레이트 레깅스
ITEM_20150317_001260	리에나 플레이트 아머
ITEM_20150317_001261	부베 투사 건틀릿
ITEM_20150317_001262	실드 크래셔
ITEM_20150317_001263	바인 글로브
ITEM_20150317_001264	바인 부츠
ITEM_20150317_001265	바인 팬츠
ITEM_20150317_001266	바인 로브
ITEM_20150317_001267	세인트 로브
ITEM_20150317_001268	소울 체이서 글로브
ITEM_20150317_001269	소울 체이서 부츠
ITEM_20150317_001270	소울 체이서 팬츠
ITEM_20150317_001271	소울 체이서 아머
ITEM_20150317_001272	본 건틀릿
ITEM_20150317_001273	본 그리브
ITEM_20150317_001274	본 스커트
ITEM_20150317_001275	본 아머
ITEM_20150317_001276	쉐이드 핸즈
ITEM_20150317_001277	쉐이드 러너
ITEM_20150317_001278	쉐이드 스커트
ITEM_20150317_001279	쉐이드 댄서
ITEM_20150317_001280	로카스 레더 아머
ITEM_20150317_001281	로카스 메일
ITEM_20150317_001282	로카스 로브
ITEM_20150317_001283	윈드 러너
ITEM_20150317_001284	자카리엘 하트
ITEM_20150317_001285	히드라 트라우저
ITEM_20150317_001286	밴시 베일
ITEM_20150317_001287	상의[유령]
ITEM_20150317_001288	없음_Neck
ITEM_20150317_001289	마우스 오른쪽 버튼 클릭으로 장착
ITEM_20150317_001290	HP 목걸이
ITEM_20150317_001291	목걸이
ITEM_20150317_001292	SP 목걸이
ITEM_20150317_001293	STA 목걸이
ITEM_20150317_001294	판토 목걸이
ITEM_20150317_001295	뼈 목걸이
ITEM_20150317_001296	호그마 가죽 목걸이
ITEM_20150317_001297	이상한 부적
ITEM_20150317_001298	방어력 목걸이
ITEM_20150317_001299	노비스 네클리스
ITEM_20150317_001300	이런 장비가 이토록 저가라는 사실만으로도 초보자들에게는 축복입니다.
ITEM_20150317_001301	부베 탈리스만
ITEM_20150317_001302	부베에 대한 공격이 가끔 효과가 없던 이유입니다. 
ITEM_20150317_001303	츄파카브라 네클리스
ITEM_20150317_001304	츄파카브라의 이빨들은 가끔 달그락 거리며 자기들끼리 속삭인다는 소문이 있습니다. 사실이야 어쨌건 마력이 담긴 것은 틀림없습니다.
ITEM_20150317_001305	우든 네클리스
ITEM_20150317_001306	물건을 든 동안에는 갑자기 벗지 않는 것이 좋습니다.
ITEM_20150317_001307	아이언 네클리스
ITEM_20150317_001308	가벼워진 느낌이 들겠지만, 실제로 날씬해진 것은 아닙니다.
ITEM_20150317_001309	스틸 네클리스
ITEM_20150317_001310	전투에서는 작은 차이가 삶과 죽음을 가릅니다. 이 목걸이를 차서 후회할 일은 없습니다.
ITEM_20150317_001311	탈리스만
ITEM_20150317_001312	애석하게도 공부할 때는 그다지 도움이 안 됩니다.
ITEM_20150317_001313	클라페다 체인
ITEM_20150317_001314	이 목걸이는 착용자의 영혼에서 힘을 끌어냅니다.
