QUEST_20160310_003823	3. Make them think the monks ran away and abandoned the monastery.{nl}-{nl}4. Teach the hopeless villagers about the great deed of the Order of the Tree of Truth.	3. 수도사들이 수도원을 버리고 도망갔다는 생각이 들도록 꾸밀 것.{nl}-{nl}4. 절망에 빠진 마을 주민들에게 진리의 나무 교단의 위대한 뜻을 전할 것.				수상한 쪽지	
QUEST_20160310_003824	The grace of the Divine Tree has fallen upon you to save you from starvation!{nl}	신수께서 여러분의 굶주림을 달래주기 위해 권능을 내리셨습니다!{nl}				도미니카스	
QUEST_20160310_003825	The power of the tree will multiply your crops and feed your people!	그 힘으로 이 식량을 모두 배불리 먹을 수 있게 늘려보이겠습니다!				도미니카스	
QUEST_20160310_003826	What are all these bugs...{nl}This must be the wrath of the Divine Tree!{nl}	신수께서 내린 힘이 어떻게 벌레로..{nl}신수께서 노하신 것이 분명합니다!{nl}				도미니카스	
QUEST_20160310_003827	Someone among us must doubt the might of the Divine Tree!{nl}Who, I ask, dares to think of such sacrilege!{nl}	누군가 신수의 권능을 의심하는 자가 이 곳에 있는 것 같습니다!{nl}누가 그런 불경한 생각을 가지고 계신 겁니까!{nl}				도미니카스	
QUEST_20160310_003828	...Ever since they came the demons became difficult to control.	..확실히 누군가가 오고 나서 부터 마족들도 제어가 잘 안되긴 하더군요.				도미니카스	
QUEST_20160310_003829	It was you!{nl}You are the one who dares to doubt the might of the Divine Tree!	저 자입니다! {nl}저 자가 신수의 권능을 부정하는 불경한 자입니다!				도미니카스	
QUEST_20160310_003830	Imprisoned Monk	갇힌 수도사					
QUEST_20160310_003831	There is a monk imprisoned inside the Principal Laboratory!	본원 연구실에 갇힌 수도사를 찾았다!				갇힌 수도사	
QUEST_20160310_003832	There seems to be no one here.	여긴 아무도 없는 것 같다.				갇힌 수도사	
QUEST_20160310_003833	Black Wall	검은 벽					
QUEST_20160310_003834	This area seems hard to ignore.	여긴 그냥 지나갈 수 없을 것 같다.				검은 벽	
QUEST_20160310_003835	I was expecting you to come.{nl}The old abbot must have told you about the statues...{nl}	네 녀석이 이리로 올 거란 건 예상하고 있었다.{nl}수도원장 늙은이가 우상 얘길 했을 테니 말이다..{nl}				도미니카스	
QUEST_20160310_003836	I knew you were a Revelator from the beginning.{nl}My mind control powers didn't work on you...{nl}	네가 계시자라는 것도 처음부터 알고 있었지.{nl}내가 사용하는 세뇌의 힘이 너에게는 통하지 않았으니까..{nl}				도미니카스	
QUEST_20160310_003837	But I was careless.{nl}I didn't think you'd break through my barrier so easily... You're no ordinary fool.	하지만 내가 방심했다.{nl}결계까지 그렇게 쉽게 뚫을 줄은.. 역시 여간내기가 아니였어.				도미니카스	
QUEST_20160310_003838	The curse to multiply the crops is ready.{nl}But I can't have you around and risk you ruining our plans.{nl}	이미 식물 폭주의 주술은 완성되었다.{nl}하지만 네 녀석을 더 이상 놔뒀다간 우리의 계획이 망가지겠어.{nl}				도미니카스	
QUEST_20160310_003839	This is the judgment of the Divine Tree!{nl}Be doomed, you and the monastery!!	이단에겐 신수의 심판 뿐이다!{nl}수도원과 함께 먹혀버려라!!				도미니카스	
QUEST_20160310_003840	I may have failed once, but I won't be deterred!{nl}You just wait and see.	한번 실패했다고 해서 기죽을 내가 아니야!{nl}더 열심히 노력할테니까 지켜봐줘.				루시엔 윈터스푼	
QUEST_20160310_003841	This time... I know I received help but...{nl}Vaidotas... I really hate him...	이번엔.. 도움을 받긴 했지만..{nl}바이도타스 따위.. 정말 밉다..				루시엔 윈터스푼	
QUEST_20160310_003842	I was definitely possessed by something...{nl}I felt like I was in a dream...	뭔가에 홀렸던 게 분명합니다..{nl}꿈을 꾼 것 같은 기분이에요..				마을 주민 제임스	
QUEST_20160310_003843	To think I spread demon blood all over the monastery...{nl}I need to help the monks clean it now...	제가 수도원에 마족의 피를 뿌리고 다녔다니..{nl}수도사님들을 도와서 수도원 청소를 해야겠군요..				마을 주민 제임스	
QUEST_20160310_003844	Thank you for saving us from the Order of the Tree of Truth. {nl}The power of the goddesses was corrupted, they said; what a ridiculous idea...	진리의 나무 교단으로부터 저희를 구해주셔서 정말 감사합니다.{nl}여신의 힘이 오염되었다니, 이 얼마나 바보같은 소리처럼 들렸을까요..				마을 주민 던컨	
QUEST_20160310_003845	Lucienne helped us a lot, too.{nl}She was the one who released Dominikas.{nl}	당신 말고도 저 루시엔님께서도 저희를 도와주셨어요.{nl}도미니카스가 건 현혹을 완전히 풀어주셨지요.{nl}				마을 주민 던컨	
QUEST_20160310_003846	I'm going to take care of the village now... and the monastery.{nl}There's really nothing I can say to the monks.	이제 마을도 다시 가꾸고.. 수도원 일도 도와야겠어요.{nl}정말 수도사님들껜 할 말이 없죠.				마을 주민 던컨	
QUEST_20160310_003847	The crops never multiplied like Dominikas said.{nl}Did the curse not work?	도미니카스가 말한 식물 폭주는 일어나지 않았다.{nl}주술은 실패한 걸까?				PC	
QUEST_20160310_003848	Suspicious Pouch	수상한 주머니					
QUEST_20160310_003849	A strange smell fills the air.	이상한 냄새가 코를 찌른다.				수상한 주머니	
QUEST_20160310_003850	I will try to find what I can.{nl}Let's talk again later.	저도 여러가지를 알아보고 있겠습니다.{nl}조금 있다가 다시 이야기하지요.				상인 시모나스	
QUEST_20160310_003851	It seems we're getting close to finding an solution.{nl}You've been very helpful.	슬슬 해결 방법을 찾아가는 것 같군요.{nl}잘 부탁드립니다.				상인 시모나스	
QUEST_20160310_003852	Will you look at the corals around the area where this Agnim came from?{nl}It'll be a great help to the refugees.	이 아그님을 얻은 곳 인근의 산호를 조사해 주시겠어요?{nl}난민분들에게 큰 도움이 될 겁니다.				상인 펠리시아	
QUEST_20160310_003853	We used to get by even with the occasional tribute.{nl}But now... with the extra tribute to pay to the Lord Lieutenant, we can barely survive.{nl}	이전엔 약간의 공물이면 그럭 저럭 먹고 살 만 했어.{nl}하지만 지금은.. 영주 대리인이 바라는 추가 공물까지 마련하려면 목숨을 걸어야 하네.{nl}				촌장 프레제	
QUEST_20160310_003854	Everything was wrong.{nl}I need to get away...	다 틀렸어.{nl}여길 떠나야 할 거야..				촌장 프레제	
QUEST_20160310_003855	Something strange that happened recently?{nl}Sigh, don't even mention it.{nl}	최근에 있었던 이상한 일이요?{nl}어휴, 말도 마세요.{nl}				난민 살랴모나스	
QUEST_20160310_003856	I thought it smelled like rotten fish at first.{nl}Didn't you smell it?{nl}	전 처음엔 무슨 물고기 썩는 냄새인 줄 알았다니까요?{nl}못 맡아 보셨어요?{nl}				난민 살랴모나스	
QUEST_20160310_003857	Anyways, it never smelled like that when a monster died.{nl}Then one day it started to smell weird and suddenly it was crowded with monsters. Really.	하긴, 몬스터가 적었을 땐 그런 냄샌 안 났었어요.{nl}어느샌가 이상한 냄새가 나기 시작하더니, 몬스터가 들끓더라고요. 나, 참.				난민 살랴모나스	
QUEST_20160310_003858	Something strange that happened recently?{nl}	최근에 있었던 이상한 일이요?{nl}				난민 렐렌	
QUEST_20160310_003859	I don't know...{nl}Other than the sea by my town drying out because of Medzio Diena, not really.{nl}	글쎄요..{nl}고향 앞바다가 신수의 날 때문에 육지로 뒤집어 진 것보다 새삼 놀랄 일도 없는데요.{nl}				난민 렐렌	
QUEST_20160310_003860	Well, if anything...{nl}The Lord Lieutenant is suddenly acting all bossy and important, does that count?	뭐.. 굳이 말씀 드리자면.. {nl}영주 대리인 녀석이 갑자기 배를 내밀면서 으스대기 시작했다는 것 정도일까요?				난민 렐렌	
QUEST_20160310_003861	A strange smell fills the air. Shall we investigate?	이상한 냄새가 난다. 조사해 볼까?				수상한 주머니	
QUEST_20160310_003862	A strange smell fills the air. The pouch could be around here.	이상한 냄새가 난다. 여기에 주머니가 있을 것 같다				수상한 주머니	
QUEST_20160323_003863	I want to know how my family is doing but I'm scared of the monsters so I can't go back.{nl}I really regret running away.	가족들의 안부가 궁금하지만 몬스터가 너무 무서워서 다시 돌아갈 수 없어요.{nl}집을 뛰쳐 나온게 너무 후회돼요.	QUEST_LV_0100_20150317_002152	I really want to know how my family is doing, but I'm too scared of the monsters to go back. {nl}I just ran out of the house and now I regret it a lot.	가족들의 안부가 궁금하지만 몬스터가 너무 무서워서 다시 돌아갈 수 없어요.{nl}집을 뛰쳐 나온게 너무 후회되요.	리리아나	
QUEST_20160323_003864	You say you brought some Rune Stones?{nl}	룬 스톤을 찾아오셨다고요?{nl}	QUEST_20160224_003655	You've come here in search of the Rune Stone?{nl}	룬 스톤을 찾아오셨다구요?{nl}	크로노맨서 마스터	
QUEST_20160323_003865	You expect me to just sign your petition?{nl}No. You should at least pay me...	연판장 서명요? 그런 걸 그냥 달라고요? {nl}안돼요. 돈이라도 주시던가..	QUEST_20150323_001547	My signature for the petition? You think I'd just give it to you? No. At least pay me for it or something...	연판장 서명요? 그런 걸 그냥 달라구요? 안돼요. 돈이라도 주시던가..	농민	
QUEST_20160323_003866	Yes, I'm aware of what Horacius is doing.{nl}I knew this day would come. I'll gladly sign my name.	호라치우스의 일이라고요. 그 일 말이군요. {nl}이 날이 올 줄 알았습니다. 기꺼이 서명 해 드려야죠 당연히.	QUEST_20150323_001559	The plan of Horacius? You must be talking about that thing. I knew this day would come. I'll definitely give you my signature. 	호라치우스의 일이라구요. 그 일 말이군요. 이 날이 올 줄 알았습니다. 기꺼이 서명 해 드려야죠 당연히.	농민	
QUEST_20160323_003867	Kalejimas. Such a delightful word!	칼레이마스. 이 얼마나 유쾌한 단어인가!	QUEST_20150317_000752	Kalejimas. How sweet the word is!	칼레지마스. 이 얼마나 유쾌한 단어인가!	국왕 카듀멜의 파편	
QUEST_20160323_003868	(A warning sign is visible.)	경고문이 보인다				경고문	
QUEST_20160323_003869	Now you just need to find the food stolen by the ferrets and coat it with some red water.{nl}They hid the food in between the fruit baskets.{nl}	이제 페릿 근거지에서 훔쳐간 식량을 찾아 붉은 물로 살짝 양념만 쳐주면 돼요.{nl}페릿들은 훔쳐간 식량을 과일 바구니 사이에 숨겨놓는 답니다.{nl}	QUEST_20151022_002870	Find the ferret's hideout and season the stolen food with the crimson water.{nl}The ferrets hide the stolen foods between the fruit baskets.{nl}	이제 페릿 근거지에서 훔쳐간 식량을 찾아 붉은 물로 살짝 양념만 쳐주면 되요.{nl}페릿들은 훔쳐간 식량을 과일 바구니 사이에 숨겨놓는 답니다.{nl}	마을 주민	
QUEST_20160323_003870	Find something to throw at the monsters.	주위 몬스터로부터 던질 만한 것을 구해봐야겠다.				PC	
QUEST_20160323_003871	Try throwing something.	무엇을 던져볼까?				선택	
QUEST_20160323_003872	(There is no reaction.)	별 반응이 없는 것 같다.				PC	
QUEST_20160323_003873	Kabbalist Lutas	카발리스트 루타스					
QUEST_20160323_003874	Ah! Sorry!{nl}That hidden magic circle is made to catch monsters, I didn't know it would catch people!{nl}	앗! 죄송해요! {nl}몬스터를 묶어두려고 숨겨둔 마법진인데 사람이 걸릴 줄이야!{nl}				카발리스트 루타스	
QUEST_20160323_003875	Just a moment.{nl}I'll disable it in a second.	잠시만요. {nl}금방 해제해 드릴게요.				카발리스트 루타스	
QUEST_20160323_003876	Oh my...{nl}The earthquake is getting stronger.{nl}	이런..{nl}점점 지진이 심해지는 것 같아요.{nl}				카발리스트 루타스	
QUEST_20160323_003877	I'll quickly draw up a magic circle.{nl}Meanwhile, protect me from the monsters so I can concentrate.	제가 최대한 빠르게 마법진을 그릴게요.{nl}그 동안 제가 마법진에만 집중할 수 있도록 절 지켜주세요.				카발리스트 루타스	
QUEST_20160323_003878	W-What's this?!{nl}No!!	이.. 이게 뭐야! {nl}안돼!!				카발리스트 루타스	
QUEST_20160323_003879	The magic circle should disappear if its magic core is destroyed. Try and throw something at it.	마법진 가운데 마력핵을 부수면 마법진이 사라지지 않을까? 뭔가 던질 수 있는 걸 찾아보자.				PC	
QUEST_20160329_003880	Thorough Preparations	철저한 준비					
QUEST_20160329_003881	I wish you good luck.	무운을 빈다고 한다					
QUEST_20160329_003882	Stubborn	고집쟁이					
QUEST_20160329_003883	I'll try and help.	일단 도와주겠다고 한다					
QUEST_20160329_003884	Let's go somewhere safe.	안전한 곳으로 가라고 한다					
QUEST_20160329_003885	Little by Little, a History Book	티끌 모아 역사책					
QUEST_20160329_003886	Curiosity at the End of the Cliff	벼랑끝에 선 호기심					
QUEST_20160329_003887	I don't think I can help you.	돕기힘들다고 한다					
QUEST_20160329_003888	Strong Beliefs	오롯한 신념					
QUEST_20160329_003889	Try Your Best	최선을 다하여					
QUEST_20160329_003890	Let's wait for a while.	조금 더 지켜보자고 한다					
QUEST_20160329_003891	Fallen Days	무너진 일상					
QUEST_20160329_003892	I'll make sure it's safe.	안심시켜주겠다고 한다					
QUEST_20160329_003893	I think you should hide better.	좀 더 잘 숨는게 좋겠다고 한다					
QUEST_20160329_003894	Cure-all Medicine	만병통치약					
QUEST_20160329_003895	Spirit-carrying Monster	영혼을 삼킨 몬스터					
QUEST_20160329_003896	Fading Spirit	사라져가는 영혼					
QUEST_20160329_003897	Collect Antidote Sample	해독제 표본 수집					
QUEST_20160718_003898	Select the user who requires NPC Hide/Unhide.	NPC Hide/UnHide 수정이 필요한 유저를 선택해주세요.				GM	
QUEST_20160718_003899	Essence Purifier	정수 변환기					
QUEST_20160718_003900	Use Fire Crystal	화염 결정 사용				정수 변환기	
QUEST_20160718_003901	Select Ally to Summon	소환할 아군 선택				정수 변환기	
QUEST_20160718_003902	Select Destination for Ally	이동할 아군 위치 선택				정수 변환기	
QUEST_20160718_003903	Event Reward Volunteer	이벤트 보상 지원병					
QUEST_20160718_003904	Thank you for participating in the defense against Warpulis' raid.	워퓰리스의 습격 방어에 참여해주셔서 감사드립니다.				이벤트 보상 지원병	
QUEST_20160718_003905	I have nothing more to give you at the moment.	더 지원해 드릴 게 없습니다.				이벤트 보상 지원병	
QUEST_20160718_003906	Event Helper	이벤트 도우미					
QUEST_20160718_003907	Thank you for participating in the event.{nl}After the joining period is over, follow the gestures around me.{nl}Press	이벤트에 참여해주셔서 감사드립니다.{nl}모집시간이 끝난 후 제 주변에서 제스쳐를 따라해주세요.{nl}단축키 				이벤트 도우미	
QUEST_20160718_003908	to open the Macro UI and click the gestures to use them.	로 매크로 창을 열어서 제스쳐를 클릭하시면 사용하실 수 있습니다.				이벤트 도우미	
QUEST_20160718_003909	Cannot participate while the event is going on.{nl}Please, join our next event.	이벤트 진행중에는 참가 하실 수 없습니다.{nl}다음 이벤트에 참여해주세요.				이벤트 도우미	
QUEST_20160718_003910	Thorny Vines Forest Dungeon	가시 덩굴 숲					
QUEST_20160718_003911	Thorny Vines Forest Dungeon (Recommended Lv : 175){nl}Only you and your party members can enter together.{nl}Do you want to enter?	가시 덩굴 숲(권장레벨:175)으로, 당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.{nl}입장하시겠습니까?	QUEST_20151001_002461	Thorny Vines Forest Dungeon (Recommended Lv : 175){nl}Only you and your party members can enter together.{nl}Do you want to enter?	가시 덩쿨 숲(권장레벨:175)으로, 당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.{nl}입장하시겠습니까?	가시 덩굴 숲	
QUEST_20160718_003912	Thank you for participating in the event.	이벤트에 참여해주셔서 감사드립니다.				이벤트 도우미	
QUEST_20160718_003913	You have not participated in this event.{nl}Join us next time when there is another event.	이벤트에 참여하시지 않았습니다.{nl}다음 이벤트에 참여해주세요.				이벤트 도우미	
QUEST_20160718_003914	You failed the event.{nl}Please, try the next one.	이벤트를 성공하지 못하셨습니다.{nl}다음 이벤트에 참여해주세요.				이벤트 도우미	
QUEST_20160718_003915	Do the gesture near the Event Helper!{nl}Do you wish to stop participating in the event?	이벤트 도우미 근처에서 제스쳐를 사용하셔야합니다!{nl}이벤트를 종료하시겠습니까?				이벤트 도우미	
QUEST_20160718_003916	STR is vital for a Swordsman-type class.{nl}Invest stat points in it and increase your physical attack and critical attack. On top of that, you can carry more items with you.	검사 계열이라면 역시 힘이죠.{nl}힘에 투자하면 물리 공격력과 치명타 공격력을 올릴 수 있고, 좀 더 많은 물건을 들고 다닐 수 있습니다.{nl}				정찰병	
QUEST_20160718_003917	But you can increase your DEX or your CON.{nl}DEX increases accuracy, evasion rate and critical Rrate.{nl}Increasing CON means increased max HP and HP recovery.{nl}It is also good for block and critical resistance.{nl}	하지만 민첩한 몸놀림이나 강한 체력을 키울수도 있어요.{nl}민첩은 명중, 회피, 치명타 발생 확률을 높여주거든요.{nl}체력을 올려 최대 HP를 늘리고 회복력도 증가시켜 보세요.{nl}블럭과 치명타 저항에도 체력이 좋지요.{nl}				이주민 브로펜	
QUEST_20160718_003918	{nl}Think careful about what path you will take.	{nl}앞으로 무엇이 될 지 먼저 따져보는 게 좋을 겁니다.				이주민 브로펜	
QUEST_20160718_003919	INT is an essential stat for a Wizard-type class.{nl}INT increases magic attack.{nl}	마법사 계열이라면 역시 지능이죠.{nl}지능은 마법 공격력을 높여 주니까요.{nl}				이주민 브로펜	
QUEST_20160718_003920	However, you shouldn't forget SPR if you want to cast more spells.{nl}You'll have to choose between being balanced or specialized.	{nl}하지만 마법을 자주 사용하려면 정신도 잊지 말아야 합니다.{nl}마법을 많이 사용할 수 있도록 최대 SP를 높여 주고, SP 회복력도 증가시켜 주거든요.{nl}잘 선택하셔야 해요.{nl}				정찰병	
QUEST_20160718_003921	Having high STR is a must for an Archer-type class.{nl}STR increases your physical attack and critical attack.{nl}	궁수 계열이라면 역시 힘이죠.{nl}힘은 물리 공격력과 치명타 공격력을 높여 주죠.{nl}				이주민 브로펜	
QUEST_20160718_003922	{nl}But DEX is almost equally important. It increases Hit Probability, Evasion Rate and Critical Rate.{nl}Think carefully about what path you will take.	{nl}하지만 민첩에 투자하면 명중, 회피, 치명타 확률을 높여줍니다.{nl}앞으로 무엇이 될 지 먼저 따져보는 게 좋을 겁니다.{nl}				정찰병	
QUEST_20160718_003923	INT is an essential stat for a Cleric-type class.{nl}INT increases magic attack.{nl}	성직자 계열이라면 역시 지능이죠.{nl}지능은 마법 공격력을 높여주거든요.{nl}하지만 강한 힘이나 정신력이 필요할 수도 있어요.{nl}				이주민 브로펜	
QUEST_20160718_003924	STR increases physical attack, critical attack and the amount of items you can carry.{nl}SPR is good for increasing your max SP and SP recovery.{nl}Think carefully about what path you will take.{nl}	{nl}힘을 올려서 물리 공격력, 치명타 공격력을 올리고 소지 무게도 늘려 보는 것도 좋겠죠.{nl}최대 SP와 SP 회복력을 올려 주는 정신력이 필요할 수도 있을 거구요.{nl}앞으로 무엇이 될 지 먼저 따져보는 게 좋을 거예요.{nl}				이주민 브로펜	
QUEST_20160718_003925	I no longer have the strength to carry on, but will write this for anyone who has made it past this area. {nl}Naktis... it's funny that I yearn for a curse on the Monarch of Curses.	손가락을 꿈쩍할 기력도 없지만 이 땅을 지나게 될 누군가를 위해 이 글을 남긴다.{nl}나크티스.. 저주의 군주에게 저주를 바란다는 것도 참 웃긴 일이겠지.{nl}	QUEST_20150323_001426	I no longer have the strength to carry on, but will write this for anyone who has made it past this area. {nl}Naktis... it's funny that I yearn for a curse on the Monarch of Curses.	손가락을 꿈쩍할 기력도 없다만 이 땅을 지나게 될 누군가를 위해 이 글을 남긴다.{nl}나크티스.. 저주의 군주에게 저주를 바란다는 것도 참 웃긴 일이겠지.{nl}	바스러져 가는 쪽지	
QUEST_20160718_003926	What was he trying to protect with this gigantic Royal Mausoleum? {nl}The answer must be inside, but the bleak atmosphere the interior exudes makes me hesitate to enter.	이토록 큰 왕릉을 지어서까지 지키고 싶어했던것은 무엇이란 말이던가.{nl}그 답은 왕릉 안에 있을 것이지만, 왕릉 내부에서 흘러 나오는 스산한 공기는 발걸음을 망설이게 한다.	QUEST_20150511_002013	What was he trying to protect with this gigantic Royal Mausoleum? {nl}The answer must be inside, but the bleak atmosphere the interior exudes makes me hesitate to enter.	이토록 큰 왕릉을 지어서까지 지키고 싶어했던것은 무엇이란 말이던가.{nl}그 답은 왕릉 안에 있을 것이다만, 왕릉 내부에서 흘러 나오는 스산한 공기는 발걸음을 망설이게 한다.	바키스의 연구 자료(1)	
QUEST_20160718_003927	What was he trying to protect with this gigantic Royal Mausoleum? {nl}The answer must be inside, but the bleak atmosphere the interior exudes makes me hesitate to enter.	이토록 큰 왕릉을 지어서까지 지키고 싶어했던것은 무엇이란 말이던가.{nl}그 답은 왕릉 안에 있을 것이지만, 왕릉 내부에서 흘러 나오는 스산한 공기는 발걸음을 망설이게 한다.{nl}	QUEST_20150511_002025	What was he trying to protect with this gigantic Royal Mausoleum? {nl}The answer must be inside, but the bleak atmosphere the interior exudes makes me hesitate to enter.	이토록 큰 왕릉을 지어서까지 지키고 싶어했던것은 무엇이란 말이던가.{nl}그 답은 왕릉 안에 있을 것이다만, 왕릉 내부에서 흘러 나오는 스산한 공기는 발걸음을 망설이게 한다.{nl}	완성된 바키스의 연구 자료	
QUEST_20160718_003928	A new disaster is brewing in this prison.{nl}The demons are invading through the dimensional crack, {nl}and are trying to take over this prison as a new base.{nl}	이 수감소에서는 새로운 재앙이 움트고 있습니다.{nl}마족들은 계속해서 전이의 틈새로 넘어와 이 수감소를 새로운 거점으로 만들려 하고 있지요.{nl}	QUEST_20151016_002707	A new disaster is brewing in this prison.{nl}The demons are invading through the dimensional crack, {nl}and are trying to take over this prison as a new base.{nl}	이 수감소에서는 새로운 재앙이 움트고 있습니다.{nl}마족들은 계속해서 전이의 틈새로 넘어와 이 수감소를 새로운 거점으로 만드려 하고 있지요.{nl}	여신 바카리네	
QUEST_20160718_003929	I am truly sorry.{nl}But this is the only way for us to survive.	미안하네.. 우리가 살려면 이 방법 밖에 없네.				부대장 탈른	
QUEST_20160718_003930	I'm sorry... {nl}I'm so sorry.	정말 미안하네.				부대장 탈른	
QUEST_20160718_003931	The fear of demons made us forget who we truly are.{nl}	우린 마족들이 두렵다는 이유로 우리들이 누구인지 잊고 있었다.{nl}				부대장 탈른	
QUEST_20160718_003932	The courage and mercy from this traveler here reawakened our sense of duty once more.{nl}	오늘 여기 있는 여행자의 용맹과 자비가 우리들의 사명이 무엇인지 다시금 일깨워주었다.{nl}				부대장 탈른	
QUEST_20160718_003933	Soldiers of the kingdom!{nl}Raise your arms and shields, for we are the sodliers whose duty is to crush the demons!	왕국의 병사들이여! {nl}왕국군으로서 마족을 무찌르고 우리들의 사명을 다하자!				부대장 탈른	
QUEST_20160718_003934	We will fight them on our site.{nl}Guylens, Delyn, Herntas! Polish our weapons and prepare our base for battle.{nl}	우린 우리들의 주둔지에서 마족들을 상대할 것이다.{nl}가일렌스, 델린, 해른타스는 병기 손질과 주둔지를 정비하라.{nl}				부대장 탈른	
QUEST_20160718_003935	Callans!{nl}Prepare our bombs.	칼란스! {nl}부대에 남은 폭탄을 정비하라.				부대장 탈른	
QUEST_20160718_003936	Hyrance, Kuijlen and Heulen will spread disinformation to the demons.{nl} Tell them that the Revelator is stronger than expected and we require re-inforcement.	하이란스와 카일른, 하일른은 마족에게 목표가 예상보다 강력하니 지원이 필요하다고 거짓 정보를 알려라.				부대장 탈른	
QUEST_20160718_003937	The signal of the detector is weak.	탐지기의 신호가 약하다.				탐지기	
QUEST_20160718_003938	The detector has spotted something.	탐지가가 미묘하게 광석에 반응하는 것 같다.				탐지기	
QUEST_20160718_003939	The detector is reacting to the ore.	탐지지가 광석에 반응하기 시작하는 것 같다.				탐지기	
QUEST_20160718_003940	The detector has found the ore.	탐지기가 광석을 감지해낸 것 같다.				탐지기	
QUEST_20160718_003941	The ore is not far off.	광석이 멀리 있지 않는 것 같다.				탐지기	
QUEST_20160718_003942	The ore is nearby.	이 근처에 광석이 있는 것 같다.				탐지기	
QUEST_20160718_003943	On your feet, soldiers!	일어나라. 병사들이여!				부대장 탈른	
QUEST_20160718_003944	Village Priest Arntas	마을 사제 아른타스					
QUEST_20160718_003945	Here, take these orbs. One is for the detecting and the other one is for absorbing.{nl}I will be gathering up the divine energy in Dhalvin Rendevous.	여기 탐지 구슬과 흡수의 보주입니다.{nl}저는 달빈 집결지에서 신성력을 모을테니 맞은 편을 부탁드리겠습니다.				마을 사제 아른타스	
QUEST_20160718_003946	A traveler to such a harsh and cold place like this? How odd.	이렇게 춥고 험한 곳에 여행자라니..				병사 가일랜스	
QUEST_20160718_003947	{nl}This place is far from hospitable for the unprepared traveler.	{nl}준비되지 않는 여행자에겐 이곳은 무척 험한 곳입니다.				병사 가일랜스	
QUEST_20160718_003948	Go over the bridge and keep going straight. You will meet Squadron Leader Talon. Speak with Talon and get the supplies for your journey.	다리 건너 쭉 직진해 들어가시면 부대장 탈른님이 계시니 탈른님께 얘기하시고 여행에 필요한 물품을 지원 받으십시오.				병사 가일랜스	
QUEST_20160718_003949	Supply Soldier Herntas	보급병 해른타스					
QUEST_20160718_003950	Ah! A traveler.{nl}You are just in luck. We were gathering up the supplies for the oncoming travelers.{nl}	여행자시군요.{nl}마침 여행자가 올 때 지원해드릴 물품을 정리 중 있었습니다.{nl}				보급병 해른타스	
QUEST_20160718_003951	Here you go. I hope, these will help you on your journey.	여기있습니다. 고원을 여행하는데 큰 도움이 될 겁니다.				보급병 해른타스	
QUEST_20160718_003952	This plateau is not a friendly place for humans.	인간에겐 고원은 너무 험한 곳이야.				보급병 해른타스	
QUEST_20160718_003953	Supply Soldier Delyn	보급병 델린					
QUEST_20160718_003954	We had no choice.	우리도 어쩔 수 없었어요.				보급병 델린	
QUEST_20160718_003955	The soldiers' morale is down.{nl}They're afraid the demons will do something.	병사들의 사기가 많이 떨어져 있네.{nl}아무래도 마족이 우릴 가만히 놔두지 않을거란 두려움 때문이겠지.				부대장 탈른	
QUEST_20160718_003956	Use this scroll against monsters.	이 스크롤을 몬스터에게 사용하세요.				위저드 튤리스	
QUEST_20160718_003957	As you approach the statue, you feel a bit nauseous.	조각상에 다가갈수록 속이 점점 메스꺼워진다.				위저드 튤리스	
QUEST_20160718_003958	You feel nauseous and disgusted.	속이 메스껍고 역겹다.				위저드 튤리스	
QUEST_20160718_003959	Black stones are at Dvejoti Cliff.{nl}The cliff is infested with monsters, so be careful.	검은 돌은 드베요티 절벽에 있습니다.{nl}절벽엔 몬스터가 많으니 조심하십시오.				마을 주민 아르기스	
QUEST_20160718_003960	I will be making the Purification Sphere.	정화의 구를 만들기 시작하겠습니다.				마을 사제 칼레임스	
QUEST_20160718_003961	Thank you so much for clearing out the monsters.	몬스터 수를 줄여주신다니 정말 감사해요.				마을 주민 에밀스	
QUEST_20160718_003962	You can hear an unknown whisper.	정체를 알 수 없는 속삭임이 들린다				부대장 빌라스	
QUEST_20160718_003963	You cannot see the storage building.	창고 건물은 보이지 않는다.				위저드 튤리스	
QUEST_20160718_003964	Without the black wall, we wouldn't have been trapped here.	검은 벽만 아니였어도 완전히 고립되진 않았을 텐데..				정찰병 보아스	
QUEST_20160718_003965	We must find a way to penetrate that black wall.	어떻게든 저 검은 벽을 뚫을 수 있는 방법을 찾아야 합니다.				정찰병 보아스	
QUEST_20160718_003966	Free Dungeon Gimmick	프리던전 기믹					
QUEST_20160718_003967	The air seems to have been purified.	공기가 정화되는것 같다.				프리던전 기믹	
QUEST_20160718_003968	Mysterious Device	정체불명의 장치					
QUEST_20160718_003969	To operate the device, it seems like you need a piece of an orb.	장치를 작동시키려면 구슬 조각이 필요 해보인다				정체불명의 기둥	
QUEST_20160718_003970	The light from the device is directing you to somewhere.	장치에서 나온 빛이 어디론가 인도하는거 같다.				정체불명의 기둥	
QUEST_20160718_003971	You are unable to pick up the orb.	구슬이 주워지지 않는다.				구슬	
QUEST_20160718_003972	The device is not working.	장치가 작동하지 않는다.				정체불명의 기둥	
QUEST_20160718_003973	Wizard's Soul	마법사 영혼					
QUEST_20160718_003974	The wizard who owns this grave has appeared.	무덤의 주인인 마법사 영혼이 나타났다				마법사 영혼	
