ETC_20150317_005001	이미 향나는 돌가루가 묻어있습니다!
ETC_20150317_005944	{nl} {nl}특성은 상황에 맞춰 키거나 끌 수 있습니다.{nl} {nl}
ETC_20150317_005945	모험일지
ETC_20150317_005946	모험일지를 통해 게임플레이 진행도를 확인하거나 캐릭터 랭킹을 확인할 수 있습니다.
ETC_20150317_005947	{img F4 40 40}키를 사용해서 모험일지 창을 이용할 수 있습니다.
ETC_20150317_005948	{nl} {nl}모험일지의 각 목록별로 갱신된 캐릭터의 점수와 랭킹을 확인할 수 있습니다.{nl} {nl}
ETC_20150317_005949	모험일지의 달성 보상은 도시에 위치한
ETC_20150317_005950	바이보라의 날개
ETC_20150317_005951	NPC에게서 받을 수 있습니다.
ETC_20150317_005952	다른 플레이어와 파티를 맺고 함께 게임을 진행할 수 있습니다.
ETC_20150317_005953	파티를 맺고자하는 캐릭터에게 다가가 마우스 우클릭 후
ETC_20150317_005954	파티초대
ETC_20150317_005955	를 선택하여 파티에 파티를 생성할 수 있습니다.
ETC_20150317_005956	파티 생성은 파티에 속하지 않았을 때만 생성 가능합니다.{nl}상대방이 파티 초대를 수락하면 초대와 함께 자동으로 파티가 생성됩니다.
ETC_20150317_005957	파티에 초대된 캐릭터의 정보는 좌측 상단의 파티원 초상화를 우클릭 후
ETC_20150317_005958	파티정보
ETC_20150317_005959	를 통해 확인할 수 있습니다.
ETC_20150317_005960	혹은 단축키 {img F6 25 25}키를 사용하여 빠르게 확인할 수 있습니다.
ETC_20150317_005961	파티 정보의
ETC_20150317_005962	탭에서 파티를 좀 더 효과적으로 관리할 수 있습니다.
ETC_20150317_005963	파티 가입조건과 아이템 분배 규칙, 경험치 분배 규칙, 퀘스트 공유를 설정할 수 있습니다.
ETC_20150317_005964	파티원들의 초상화를 클릭하여 파티원들을 관리할 수 있습니다.
ETC_20150317_005965	파티를 떠나고 싶다면
ETC_20150317_005966	를 선택하여 파티에서 나갈 수 있습니다.
ETC_20150317_005967	전투
ETC_20150317_005968	몬스터 정보
ETC_20150317_005969	몬스터를 바라보거나 다가가면 몬스터 정보창을 확인할 수 있습니다.
ETC_20150317_005970	몬스터 정보 창에서 해당 몬스터의 레벨과 이름, 체력 상황을 확인할 수 있습니다.
ETC_20150317_005971	특정 클레스는 몬스터의 정보를 추가로 확인할 수 있습니다.
ETC_20150317_005972	소모된 HP/SP/스태미나는 아래 기능을 통해 회복할 수 있습니다.
ETC_20150317_005973	[자연회복] :
ETC_20150317_005974	스탯을 기준으로
ETC_20150317_005975	체력회복속도
ETC_20150317_005976	에 비례하여 회복
ETC_20150317_005977	자연회복은 다른 회복 방법에 비해 매우 느리게 회복되지만 별도의 조작이나 조건이 필요하지 않습니다.
ETC_20150317_005978	[포션회복] : 사용한 포션에 따라 HP/SP/스태미나를 즉시 회복시켜 줍니다.
ETC_20150317_005979	포션 사용 시 재사용 대기시간이 있습니다.
ETC_20150317_005980	[나무뿌리 수정 파괴] : 나무뿌리 수정을 파괴하면 스태미나가 회복됩니다.
ETC_20150317_005981	나무뿌리 수정은 필드 곳곳에 무작위로 생성됩니다.
ETC_20150317_005982	[휴식모드 활용] : 휴식모드에서 모닥불을 추가로 사용하면 더 빠르게 회복할 수 있습니다.
ETC_20150317_005983	휴식모드시 자연회복보다 더 빠르게 회복되지만 모닥불을 키면 더 빠르게 회복됩니다.
ETC_20150317_005984	강력한 마무리 공격으로 몬스터를 처치하면 오버킬이 발동됩니다.
ETC_20150317_005985	캐릭터의 강력한 공격스킬로 몬스터의 남은 HP보다 많은 데미지를 줄 경우 오버킬이 발생됩니다.
ETC_20150317_005986	나무뿌리 수정을 파괴하면 스태미나를 회복할 수 있습니다.
ETC_20150317_005987	필드 곳곳에서 나무뿌리 수정을 찾을 수 있습니다.
ETC_20150317_005988	나무뿌리 수정을 파괴하면 주변의 모든 플레이어의 스태미나가 회복됩니다
ETC_20150317_005989	오버히트
ETC_20150317_005990	특정 스킬은 일정 횟수 이상 연속으로 사용하면 오버히트가 발동합니다.
ETC_20150317_005991	오버히트가 발동되면 해당스킬에 쿨타임이 생기고 잠시 동안 사용할 수 없습니다.
ETC_20150317_005992	아이콘 하단의 게이지가 충전되면 오버히트가 발생합니다.
ETC_20150317_005993	오버히트가 발생하지 않도록 사용가능한 스킬들을 혼용하면 강력한 공격을 쏟아부을 수 있습니다.
ETC_20150317_005994	다 수의 스킬을 사용하여 오버히트 발생을 억제할 수 있다.
ETC_20150317_005995	오버히트가 발동하면 일정 시간 동안 해당 스킬을 사용할 수 없습니다.
ETC_20150317_005996	일정 시간이 지나면 해당 스킬의 사용 횟수가 다시 초기화 됩니다.
ETC_20150317_005997	아이템 제작
ETC_20150317_005998	제작서를 습득하면 유용한 아이템을 제작할 수 있습니다.
ETC_20150317_005999	를 습득하면 자동으로 제작가능한 목록에 추가됩니다.
ETC_20150317_006000	제작서는 몬스터를 처치하거나 상인에게 구입 혹은 퀘스트 보상을 통해 입수할 수 있습니다.
ETC_20150317_006001	{nl} {nl}제작을 시작하기 위해선 {img insert 40 40}키를 눌러 휴식모드로 전환한 후
ETC_20150317_006002	버튼을 눌러 시작할 수 있습니다.
ETC_20150317_006003	제작하고자 하는 아이템의 재료가 충족되어야 제작을 진행할 수 있습니다.
ETC_20150317_006004	인벤토리에 제작에 필요한 아이템이 충분하다면 휴식 모드에서
ETC_20150317_006005	버튼을 눌러서 아이템 제작을 진행할 수 있습니다.
ETC_20150317_006006	제조가 완료되면 인벤토리에 제작된 아이템이 들어옵니다.
ETC_20150317_006007	상점이용
ETC_20150317_006008	상인 NPC에게 물건을 사거나 팔 수 있습니다.
ETC_20150317_006009	도시와 필드를 여행하다보면 상인 NPC를 찾을 수 있습니다
ETC_20150317_006010	안전지역에 자리잡고 있는 상인 NPC를 찾아보세요.{nl} {nl}
ETC_20150317_006011	하단의 아이템 거래창을 통해 NPC와 아이템을 거래 할 수 있습니다.{nl} {nl}[구입] : 구입하고자 하는 아이템을 우클릭하여 종류 및 수량을 정한 뒤 정산{nl}[판매] : 인벤토리에 판매하고자 하는 아이템을 마우스 우클릭하여 종류와 수량을 정한 뒤 정산{nl} {nl}
ETC_20150317_006012	{img Shift 45 45}키를 누른 채로 마우스 우클릭하여 한 번에 많은 수량을 거래할 수 있습니다.{nl} {nl}
ETC_20150317_006013	상점에 판매한 아이템은 재매입 할 수 있습니다.
ETC_20150317_006014	{nl} {nl}실수로 판매한 아이템은 마우스를 우클릭하여 판매한 아이템을 재매입 할 수 있습니다.{nl} {nl}
ETC_20150317_006015	스테이터스 포인트 분배
ETC_20150317_006016	레벨업을 통해 얻은 스테이터스포인트를 사용하여 캐릭터의 능력치를 성장시킬 수 있습니다.
ETC_20150317_006017	{img F1 40 40}키를 사용하여 캐릭터 정보창을 열면 캐릭터의 스테이터스 정보를 확인할 수 있습니다.
ETC_20150317_006018	스테이터스 포인트를 힘/체력/지능/정신/민첩에 투자하여 캐릭터를 성장시킬 수 있습니다.{nl} {nl} 힘 :물리 공격력, 치명타 공격력 증가{nl} {nl}체력 : 최대 HP, HP회복력, 블럭, 치명타 저항, 소지 제한 무게 증가{nl} {nl}지능 : 마법 공격력, 블럭 관통 증가{nl} {nl}정신 : 최대 SP, SP회복력 증가{nl} {nl}민첩 : 명중, 회피, 치명타 발생확률 증가{nl}
ETC_20150317_006019	스테이터스에 포인트를 투자하면 해당 스테이터스를 성장시킬 수 있습니다.
ETC_20150317_006020	투자할 스테이터스의 효과는 하단
ETC_20150317_006021	탭에서 실시간으로 확인할 수 있습니다.
ETC_20150317_006022	편의기능
ETC_20150317_006023	워프 기능을 이용하면 빠르게 원하는 지역으로 이동할 수 있습니다.
ETC_20150317_006024	대도시의
ETC_20150317_006025	여신상
ETC_20150317_006026	혹은
ETC_20150317_006027	을 활성화 시키면 다른 지역에서 해당 지역으로 워프할 수 있습니다
ETC_20150317_006028	여신상을 활성화 시키기 위해선 여신상 주변에 접근해야 합니다.
ETC_20150317_006029	바카리네 여신상을 이용하면 활성화시킨 여신상이 있는 지역으로 빠르게 이동할 수 있습니다.
ETC_20150317_006030	워프 주문서를 사용하면 즉시 워프 기능을 사용할 수 있습니다.
ETC_20150317_006031	워프 주문서로 이동할 수 있는 지역은 활성화된 여신상이 있는 지역으로 제한됩니다.
ETC_20150317_006032	워프 주문서를 다시 사용하면 마지막으로 워프 주문서를 사용한 장소로 빠르게 돌아갈 수 있습니다.
ETC_20150317_006033	워프 주문서는 상점이나 퀘스트의 보상으로 획득할 수 있습니다.
ETC_20150317_006034	돌아가기 버튼을 이용하면 쉽게 퀘스트를 완료할 수 있습니다.
ETC_20150317_006035	퀘스트를 완료하면 지령창 UI에
ETC_20150317_006036	버튼이 활성화 됩니다.
ETC_20150317_006037	되돌아가기 버튼
ETC_20150317_006038	({img questinfo_return 40 40})을 클릭하면 완료 NPC가 위치한 지역으로 순간이동할 수 있습니다.
ETC_20150317_006039	혹은 단축키
ETC_20150317_006040	백스페이스
ETC_20150317_006041	키를 사용하여도
ETC_20150317_006042	를 사용할 수 있습니다.
ETC_20150317_006043	필드 이벤트
ETC_20150317_006044	여신상에 경배를 드리면 이로운 효과를 얻을 수 있습니다.
ETC_20150317_006045	여신상에 경배를 올리면 각각의 여신상마다 이로운 효과를 줍니다.
ETC_20150317_006046	세계 각 지역에 남아있는 여신상들은 모두 특별한 힘을 갖고 있습니다.
ETC_20150317_006047	을 이용하면 지역간의 워프기능을 사용할 수 있습니다.
ETC_20150317_006048	워프 기능을 사용하기 위해선 해당 지역의
ETC_20150317_006049	을 활성화 시켜야 합니다.
ETC_20150317_006050	에게서 캐릭터의 스테이터스 포인트를 얻을 수 있습니다.
ETC_20150317_006051	보물 상자
ETC_20150317_006052	에서 특별한 아이템을 얻을 수 있습니다.
ETC_20150317_006053	필드 곳곳에 숨겨져있는
ETC_20150317_006054	를 찾을 수 있습니다.
ETC_20150317_006055	보물 상자는 여러 단계가 존재하며 특별한 아이템을 얻을 수 있습니다.
ETC_20150317_006056	1단계 보물 상자는 별도의 조건 없이 상자에 가까히 다가가 {img SPACE 40 40}키를 누르면 상자를 열고 보상을 받을 수 있습니다.
ETC_20150317_006057	2단계 보물 상자부터는 보물 상자의 단계에 맞는 열쇠 아이템을 사용해야 상자를 열 수 있습니다.
ETC_20150317_006058	의 열쇠는 퀘스트 진행을 통해서만 획득할 수 있습니다.
ETC_20150317_006059	장비 강화
ETC_20150317_006060	장비를 강화하면 장비의 기본 성능을 올릴 수 있습니다.
ETC_20150317_006061	{img F2 40 40}키를 사용하여 인벤토리를 열고
ETC_20150317_006062	아이템에 {img mouseclick_right 40 40}하면 장비 강화를 시작할 수 있습니다.
ETC_20150317_006063	아이템은 상인NPC에게 구입하거나 몬스터를 사냥해서 얻을 수 있습니다.
ETC_20150317_006064	모루를 사용한 뒤 장착 중이거나 소지중인 장비를 선택하면 강화창이 등장합니다.
ETC_20150317_006065	장비 강화창에서
ETC_20150317_006066	버튼을 클릭하면 캐릭터 근처에
ETC_20150317_006067	가 생성 됩니다. 이때
ETC_20150317_006068	를 세 번 타격하면 강화가 완료됩니다.
ETC_20150317_006069	장비 강화에 성공하면 해당 장비의 주요 포인트가 상승하며
ETC_20150317_006070	이 감소하지 않습니다.
ETC_20150317_006071	만약 강화에 실패하면 해당 장비의 강화 효과가 모두 초기화 되며
ETC_20150317_006072	이 1 포인트 감소합니다.
ETC_20150317_006073	수집
ETC_20150317_006074	덱을 습득하여 콜렉션을 완성하면 유용한 효과를 얻을 수 있습니다.
ETC_20150317_006075	콜렉션은
ETC_20150317_006076	덱
ETC_20150317_006077	아이템을 통해서 활성화 시킬 수 있습니다.
ETC_20150317_006078	아이템은 다양한 경로로 습득할 수 있으며 사용하면
ETC_20150317_006079	에 추가됩니다.
ETC_20150317_006080	등록된
ETC_20150317_006081	은 {img F8 40 40} 키를 사용하여 확인할 수 있습니다.
ETC_20150317_006082	완성하고자 하는
ETC_20150317_006083	의 정보를 선택하면 완성하는데 필요한 아이템 정보를 확인할 수 있습니다.
ETC_20150317_006084	를 활성화시키기 위해선 해당 콜렉션이 요구하는 아이템을 획득하여 해당 슬롯에 장착해야 합니다.
ETC_20150317_006085	인벤토리에 콜렉션에 맞는 아이템이 있다면 해당 콜렉션의 빈 슬롯으로 아이템을 드래그하여 장착하세요.
ETC_20150317_006086	완성된 콜렉션은 하단의
ETC_20150317_006087	를 캐릭터에게 부여합니다.
ETC_20150317_006088	오직 완성된 콜렉션에서만
ETC_20150317_006089	를 얻을 수 있습니다.
ETC_20150317_006090	마우스 {img mouseclick_right 40 40}을 누르면 슬롯에서 아이템을 제거할 수 있습니다
ETC_20150317_006091	아이템을 슬롯에서 제거하면 해당 효과가 사라집니다. 제거된 아이템은 인벤토리에 들어갑니다.
ETC_20150317_006092	상성
ETC_20150317_006093	몬스터들은 원소 속성과 방어 속성을 한 가지씩 가지고 있습니다.
ETC_20150317_006094	원소 속성은 다음과 같은 상성을 갖고 있습니다.
ETC_20150317_006095	속성으로
ETC_20150317_006096	속성의 몬스터를 공격하면 효과적입니다.
ETC_20150317_006097	방어 속성은 다음과 같은 상성을 갖고 있습니다.
ETC_20150317_006098	타입의 스킬로
ETC_20150317_006099	천 방어구
ETC_20150317_006100	타입의 몬스터를 공격하면 효과적입니다.
ETC_20150317_006101	장비 수리
ETC_20150317_006102	내구도가 감소한 장비는 대장장이에게 수리를 부탁할 수 있습니다.
ETC_20150317_006103	내구도가 0이 된 장비는 더 이상 사용할 수 없습니다.
ETC_20150317_006104	수리창을 통해 내구도가 감소한 아이템들을 수리할 수 있습니다.{nl}수리하려는 아이템을 선택한 후
ETC_20150317_006105	를 클릭하면 선택한 아이템들의 내구도가 최대치로 회복됩니다.
ETC_20150317_006106	장비마다 정해진 수리비용이 청구되며 보통 높은 랭크의 아이템은 더 많은 수리비용이 청구됩니다.
ETC_20150317_006107	장비에 젬을 추가하여 유용한 효과를 추가할 수 있습니다.
ETC_20150317_006108	소지중인 장비에 소켓이 있다면 젬을 끼워넣을 수 있습니다.
ETC_20150317_006109	장비에 따라 소켓이 없을 수도 있습니다.
ETC_20150317_006110	젬 소켓이 없는 장비는 대장장이 NPC에게 부탁하여 소켓을 뚫을 수 있습니다.
ETC_20150317_006111	소켓 추가에는 실버가 필요 합니다.
ETC_20150317_006112	인벤토리의 젬을 마우스 우클릭하면 젬을 부착할 수 있는 아이템의 아이콘이 활성화 됩니다.
ETC_20150317_006113	아이템을 선택하면 해당 아이템의 소켓에 젬이 부착됩니다.
ETC_20150317_006114	부착된 젬은 아이템 툴팁에서 확인할 수 있습니다.
ETC_20150317_006115	이미 아이템에 부착된 젬은
ETC_20150317_006116	소켓 관리
ETC_20150317_006117	젬 추출
ETC_20150317_006118	을 통해 다시 제거할 수 있습니다.
ETC_20150317_006119	제거 시, 포텐셜이 소모되니 주의하세요.
ETC_20150317_006120	부활
ETC_20150317_006121	부활 기능을 사용하면 죽은 캐릭터를 다시 되살려 낼 수 있습니다.
ETC_20150317_006122	HP가 0 이된 캐릭터는 죽게되며
ETC_20150317_006123	상태가 됩니다.
ETC_20150317_006124	상태에선 부활방법을 선택할 수 있습니다.
ETC_20150317_006125	습득한 무기에 매직 어뮬렛을 달아 유용한 효과를 추가할 수 있습니다.
ETC_20150317_006126	장비 중
ETC_20150317_006127	와
ETC_20150317_006128	아이템에 매직 어뮬렛을 부착할 수 있습니다.
ETC_20150317_006129	매직 어뮬렛을 부착할 수 있는 슬롯은 장비마다 다를 수 있습니다.
ETC_20150317_006130	부착된 매직 어뮬렛은 제거할 수 없습니다.
ETC_20150317_006131	매직 어뮬렛은 강화할 수 없습니다.
ETC_20150317_006132	매직 어뮬렛은 필드의 몬스터를 처치하여 습득할 수 있습니다.
ETC_20150317_006133	모닥불을 사용하여 빠르게 체력을 회복하거나 제작, 젬 조합 등 여러가지를 할 수 있습니다.
ETC_20150317_006134	휴식모드 상태에서
ETC_20150317_006135	모닥불 설치
ETC_20150317_006136	기능을 사용하면 모닥불을 설치 할 수 있습니다.
ETC_20150317_006137	모닥불을 사용하기 위해선 인벤토리에 재료가 있어야 합니다. {nl}{img key1 40 40} ~ {img key9 40 40} 숫자키를 사용하여 위치를 지정할 수 있습니다.{nl}모닥불의 재료는 도시에 위치한
ETC_20150317_006138	NPC를 통해 구입할 수 있습니다.
ETC_20150317_006139	모닥불은 캐릭터 주변에 위치를 선택하여 설치할 수 있습니다.
ETC_20150317_006140	장작 넣기
ETC_20150317_006141	조리 하기
ETC_20150317_006142	흩어진 보급품
ETC_20150317_006143	보급품 상자 회수방법
ETC_20150317_006144	첫 보급품 상자는 동쪽 숲에 흩어져 있습니다.
ETC_20150317_006145	상자 앞에서 {img SPACE 40 40}키를 사용하면 보급품 상자를 회수할 수 있습니다.
ETC_20150317_006146	컴패니언
ETC_20150317_006147	컴패니언 활용
ETC_20150317_006148	컴패니언을 분양받아 육성하면 전투와 이동에 도움을 받을 수 있습니다.
ETC_20150317_006149	컴패니언은 도시에 위치한 컴패니언 상인에게 분양받을 수 있습니다.
ETC_20150317_006150	컴패니언 상인은 분양뿐만 아니라 컴패니언 전용 아이템 판매와 훈련을 도와줍니다.{nl}※컴패니언은 한 번에 한 마리만 데리고 다닐 수 있습니다.{nl}{nl}
ETC_20150317_006151	분양비용이 충분하다면 바로 컴패니언을 분양받을 수 있습니다.
ETC_20150317_006152	분양 시 컴패니언에게 이름을 지어줄 수 있습니다.{nl}{nl}
ETC_20150317_006153	분양된 컴패니언은 직접 탑승할 수도 있고 캐릭터를 따라다닐 수도 있습니다.
ETC_20150317_006154	컴패니언에게 다가간 후 {img Alt 40 40} + {img arrowkey_up 40 40}키를 사용하면 탑승할 수 있으며 {img Alt 40 40} + {img arrowkey_down 40 40}키를 이용하여 내릴 수 있습니다.{nl}{nl}
ETC_20150317_006155	{img F9 40 40}키를 사용하면 현재 따라다니고 있는 컴패니언의 정보를 확인할 수 있습니다.
ETC_20150317_006156	컴패니언의 경험치가 쌓이면 레벨이 상승합니다.{nl} {nl}컴패니언의 모든 활동은 컴패니언의
ETC_20150317_006157	를 사용합니다.{nl} {nl}{nl}
ETC_20150317_006158	버튼을 누르면 현재 데리고 다니는 컴패니언을 해제할 수 있습니다.{nl} {nl}다시 따라다니게 하려면
ETC_20150317_006159	을 누르세요.{nl}{nl}
ETC_20150317_006160	컴패니언은
ETC_20150317_006161	훈련
ETC_20150317_006162	을 통해 더 강하게 육성할 수 있습니다.
ETC_20150317_006163	컴패니언 상인이 제공하는
ETC_20150317_006164	기능을 사용하여 컴패니언의 특성을 훈련시킬 수 있습니다.{nl}{nl}
ETC_20150317_006165	컴패니언의 활동으로 소모된 스태미나는 컴패니언에게 먹이를 주어 회복시킬 수 있습니다.
ETC_20150317_006166	컴패니언 먹이는 도시의 컴패니언 상인이 판매하고 있습니다.
ETC_20150317_006167	던전
ETC_20150317_006168	던전은 매우 위험하지만 특별한 보상이 기다리고 있습니다.
ETC_20150317_006169	던전에 등장하는 몬스터들은 캐릭터를 발견하면 먼저 공격해 옵니다.{nl}파티원을 모집해서 도전해 보세요!
ETC_20150317_006170	던전에서 캐릭터가 죽었을 때
ETC_20150317_006171	가까운 지역에서 부활
ETC_20150317_006172	을 선택하면 던전 입구로 이동합니다.{nl}던전 깊숙히 들어왔다면 항상 조심하세요!
ETC_20150317_006173	젬은 던전 몬스터와 보스 몬스터를 사냥해서 구할 수 있습니다{nl}캐릭터가 죽으면 때때로 젬을 잃어버릴 수 있습니다. 조심하세요
ETC_20150317_006174	장비
ETC_20150317_006175	서브웨폰
ETC_20150317_006176	소비
ETC_20150317_006177	컴패니언장비
ETC_20150317_006178	사용안함[인벤에서 안보임]
ETC_20150317_006179	스프레이 - 검정
ETC_20150317_006180	아이템을 조합하여 다른 아이템 제작
ETC_20150317_006181	스프레이 - 빨강
ETC_20150317_006182	스프레이 - 하얀
ETC_20150317_006183	스프레이 - 주황
ETC_20150317_006184	스프레이 - 노랑
ETC_20150317_006185	스프레이 - 초록
ETC_20150317_006186	레드 젬
ETC_20150317_006187	던전에서 발견되는 보석입니다. 소켓에 장착하여 장비를 강화할 수 있으며, 마력을 충전하면 더 큰 힘을 발휘합니다. 마우스 오른쪽 클릭 후, 원하는 장비를 선택하여 장착합니다.
ETC_20150317_006188	블루 젬
ETC_20150317_006189	그린 젬
ETC_20150317_006190	옐로우 젬
ETC_20150317_006191	테스트 젬
ETC_20150317_006192	클로
ETC_20150317_006193	컴패니언 무기
ETC_20150317_006194	이 분야의 장비들은 대장장이와 장제사의 재능이 모두 요구됩니다. 그런 점에서 간단한 클로라도 제조가 단순하지 않습니다.
ETC_20150317_006195	아이언 클로
ETC_20150317_006196	마성을 지닌 몇몇 야수는 철에 민감하므로 제조에 비법이 관련됩니다.
ETC_20150317_006197	스틸 클로
ETC_20150317_006198	조금 더 내구력이 강한 쇠로 만듭니다. 그외에는 아이언 클로와 비슷합니다.
ETC_20150317_006199	포레스트 클로
ETC_20150317_006200	신수의 날 이후 식물몬스터의 퇴치를 기원하는 뜻이 담겨 있습니다.
ETC_20150317_006201	로카스 클로
ETC_20150317_006202	이 클로의 제조법은 실전되었다가 대왕의 관문 일대의 고고학자들에 의해 재발견된 후 다시 만들어지고 있습니다.
ETC_20150317_006203	투스
ETC_20150317_006204	이가 빠진 경우에도 물 수 있도록 도와줍니다.
ETC_20150317_006205	아이언 투스
ETC_20150317_006206	이 종류의 아이템은 본래 낱개로도 쓰일 수 있도록 만들어졌습니다.
ETC_20150317_006207	스틸 투스
ETC_20150317_006208	착용시키면 더 용맹성을 드러내도록 만들어졌습니다.
ETC_20150317_006209	실버 팽
ETC_20150317_006210	입이 아닌 곳에 사용하지 않도록 하십시오.
ETC_20150317_006211	티타늄 클로
ETC_20150317_006212	주인의 신뢰를 받고 있다는 확실한 증거로 볼 수 있습니다.
ETC_20150317_006213	헤비 티타늄 클로
ETC_20150317_006214	더 가벼운 소재를 사용했지만, 성능을 위해 무게는 유지되었습니다.
ETC_20150317_006215	컴패니언 코트
ETC_20150317_006216	컴패니언 방어구
ETC_20150317_006217	보온용이라 생각하는 사람도 있지만, 사실이 아닙니다.
ETC_20150317_006218	컴패니언 퀼트 코트
ETC_20150317_006219	보통 코트에 비해 내구력과 성능 향상 가능성이 높습니다.
ETC_20150317_006220	컴패니언 헤비 퀼트 코트
ETC_20150317_006221	질겨서 선원들이 돛으로 쓰인다는 말이 있을 정도입니다.
ETC_20150317_006222	컴패니언 레더 아머
ETC_20150317_006223	몬스터 가죽을 길들인 몬스터에게 씌우는 일도 있다고 합니다.
ETC_20150317_006224	컴패니언 헤비 레더 아머
ETC_20150317_006225	안장과 일체형인 제품이 있지만 그리 편안하진 않습니다.
ETC_20150317_006226	컴패니언 체인 메일
ETC_20150317_006227	고리가 끊어질 경우 떨어진 고리를 삼키지 않도록 길들여야 합니다.
ETC_20150317_006228	컴패니언 스틸 체인 메일
ETC_20150317_006229	파손시 전체를 풀고 다시 엮을 필요 없이 수리가 가능하다고 합니다.
ETC_20150317_006230	컴패니언 스케일 메일
ETC_20150317_006231	털이 너무 많은 종류에 착용시 통풍에 신경을 쓸 필요가 있습니다.
ETC_20150317_006232	컴패니언 헤비 스케일 메일
ETC_20150317_006233	빨리 움직여도 비늘 떨리는 소리는 나지 않습니다.
ETC_20150317_006234	컴패니언 플레이트 아머
ETC_20150317_006235	의외로 저렴한 소재로 만들어진 아머도 존재합니다.
ETC_20150317_006236	컴패니언 풀 플레이트 아머
ETC_20150317_006237	시야와 움직임에 방해가 되지 않도록 착용시키십시오
ETC_20150317_006238	{s18}{#001100}퀘스트 완료시에 돌아가기 버튼을 눌러 NPC에게 순간이동 할 수 있습니다.{/}
ETC_20150317_006239	{s18}{#001100}상점을 이용해 아이템을 구입할 수 있습니다.{/}
ETC_20150317_006240	{s18}{#001100}빛이 반짝이는 곳을 공격하거나 대화할 경우 아이템을 획득할 수 있습니다.{/}
ETC_20150317_006241	{s18}{#001100}나무뿌리 수정을 부셔서 부족한 스태미나를 회복할 수 있습니다.{/}
ETC_20150317_006242	{s18}{#001100}공격하여 많은 양의 경험치를 얻을 수 있습니다.{/}
ETC_20150317_006243	{s18}{#001100}트레저 몬스터를 공격하면 아이템이 떨어집니다!!!{/}
ETC_20150317_006244	{s18}{#001100}붉은 깃발 NPC의 근처에서 Space키를 눌러 퀘스트를 진행할 수 있습니다.{/}
ETC_20150317_006245	{s18}{#001100}콜렉션에 아이템을 모아 능력치를 올릴 수 있습니다.{/}
ETC_20150317_006246	소드맨은 강한 맷집과 다양한 무기를 이용해 가까이 몰려든 적을 상대하는 전사입니다.
ETC_20150317_006247	하이랜더
ETC_20150317_006248	하이랜더는 양손검을 사용하는 강인한 전사입니다. 적을 다른 적이나 지형에 충돌시킬 수 있어 다수의 적을 상대하기에 유리합니다.
ETC_20150317_006249	펠타스타
ETC_20150317_006250	펠타스타는 방패를 사용해 적의 공격을 막아내거나, 적을 도발하여 유인하는 방어형 전사입니다.
ETC_20150317_006251	창을 사용하는 하플라이트는 사정거리가 길고, 중형급 이상의 크고 강한 적을 상대할 때 보너스를 획득합니다.
ETC_20150317_006252	센츄리온
ETC_20150317_006253	진영을 갖춘 뒤 전투를 지휘하는 클래스
ETC_20150317_006254	바바리안
ETC_20150317_006255	승리를 위해선 형식에 구애받지 않고 무엇이든 하는 바바리안은 저돌적이고 호전적인 전사입니다.
ETC_20150317_006256	캐터프랙트
ETC_20150317_006257	양손창을 전문적으로 사용하는 캐터프랙트는 적들의 방어선을 돌파하여 분쇄시키는 기병 클래스입니다.
ETC_20150317_006258	커세어
ETC_20150317_006259	도펠죌트너
ETC_20150317_006260	로델레로
ETC_20150317_006261	로델레로는 적을 기습하여 와해시키는 전투의 전문가입니다. 방패를 이용한 방어기술은 원거리 공격을 막아내는데 효과적입니다.
ETC_20150317_006262	스콰이어
ETC_20150317_006263	시노비
ETC_20150317_006264	마법을 사용하여 상대의 공격을 저지하거나 자신을 보호하는 위저드는 광역 공격을 하는 클래스로, 하나의 대상에 강력한 공격을 퍼붓거나, 다수의 적에게 광역 공격을 할 수 있습니다.
ETC_20150317_006265	파이로맨서
ETC_20150317_006266	불을 다루는 파이로맨서는 강력한 화염 지속 마법을 사용하여 다수의 적을 제압합니다.
ETC_20150317_006267	크리오맨서
ETC_20150317_006268	빙한을 다루는 크리오맨서는 강력한 마법으로 적을 얼리거나 얼음 장벽으로 적을 가둬 동료을 보조합니다.
ETC_20150317_006269	사이코키노
ETC_20150317_006270	사이코 키노는 염동력을 사용하여 중력을 조작할 수도 있고 적을 끌어당기거나 던져버릴 수 있습니다.
ETC_20150317_006271	알케미스트
ETC_20150317_006272	악령을 소환하고 자유자재로 부리는 클래스
ETC_20150317_006273	링커
ETC_20150317_006274	링커는 동료을 서로 연결하여 받는 피해량을 줄이거나, 적군을 묶어서 적에게 주는 피해량을 증폭시킬 수 있습니다.
ETC_20150317_006275	크로노맨서
ETC_20150317_006276	시마도사
ETC_20150317_006277	네크로맨서
ETC_20150317_006278	몬스터의 데드파츠를 축적하고 사용하는 클래스
ETC_20150317_006279	쏘마터지
ETC_20150317_006280	쏘마터지는 대상의 속성과 형태를 변화시키는 마법을 구사합니다. 적을 작게 변형시키거나 동료의 신체를 강화시켜 전투에 도움을 줍니다.
ETC_20150317_006281	엘레멘탈리스트
ETC_20150317_006282	엘리멘탈리스트는 원소의 힘을 다루는 마법사입니다. 강력한 공격 마법을 갖고 있지만 스킬을 재사용하기까지 시간이 필요하므로 동료와의 협력이 중요합니다
ETC_20150317_006283	미믹
ETC_20150317_006284	도사
ETC_20150317_006285	아처는 활과 다양한 보조 장비를 활용하여 원거리 전투와 이동 공격에 강한 클래스 입니다.
ETC_20150317_006286	헌터
