QUEST_LV_0100_20150317_000001	Sentinel	경계병
QUEST_LV_0100_20150317_006320	Check the portal at Grassy Brookside	풀가람 터의 포탈 확인
QUEST_LV_0100_20150317_006321	The residents were demons in disguise. Run to the portal at Grassy Brookside.	마을 사람들의 정체는 마족이었습니다. 풀가람 터의 포탈로 도망치세요.
QUEST_LV_0100_20150317_006322	Defeat Demon Resident	마족 주민 처치
QUEST_LV_0100_20150317_006323	Go to the old well	낡은 우물로 가기
QUEST_LV_0100_20150317_006324	Check the old well at Indigo Tree Plateau.	쪽빛나무 고원에 낡은 우물을 확인하세요.
QUEST_LV_0100_20150317_006325	Look for something to put in the old well	낡은 우물 속에 넣어볼만한 물건 찾기
QUEST_LV_0100_20150317_006326	There is something in the old well but you can't see it clearly. Look for something that you can use to get the thing out of the well. 	낡은 우물 안쪽에 무언가 보이지만 잘 알 수 없습니다. 우물 안쪽에 넣어서 물건을 꺼낼 수 있을만한 것들을 찾아보세요.
QUEST_LV_0100_20150317_006327	Use the long rope and bucket to get the thing out of the well.	낡은 우물로 가서 긴 줄과 양동이를 이용해 우물 안의 물건을 꺼내보세요.
QUEST_LV_0100_20150317_006328	Go to Dvyni Wetland	드뷔니 습지로 가기
QUEST_LV_0100_20150317_006329	Look for the Strongly Scented Soul Flower in Dvyni Wetland.	드뷔니 습지에 핀 향기가 강한 영혼의 꽃을 살펴보세요.
QUEST_LV_0100_20150317_006330	Go to Saknele Cliff	사크넬레 절벽기슭으로 가기
QUEST_LV_0100_20150317_006331	Examine the Suspicious Greenery at Saknele Cliff.	사크넬레 절벽기슭에 수상한 풀더미를 살펴보세요.
QUEST_LV_0100_20150317_006332	Defeat the Iltiswort that was disguised as Greenery.	풀더미로 위장하고 있던 일티스워트를 처치하세요.
QUEST_LV_0100_20150317_006333	Beholder's Careful Trick	주시자의 간계 조심하기
QUEST_LV_0100_20150317_006334	The mysterious Beholder appeared to try and shake your belief in the goddess. 	의문의 주시자가 나타나 여신의 믿음을 흔드려고 하고 있습니다. 일단 무슨 말을 하려는 지나 들어 봅시다.
QUEST_LV_0100_20150317_006335	Believer Jurga says there are more things to do other than making the stimulant. Talk to Believer Jurga.	신도 유르가는 각성제를 완성하는 것 말고도 할 일이 많다고 합니다. 신도 유르가와 대화해 보세요.
QUEST_LV_0100_20150317_006336	Destroy Bramble's roots.	브람블의 뿌리 파괴하기
QUEST_LV_0100_20150317_006337	Jurga says we must destroy the roots placed to heal Bramble's wound. The roots are in Sviesa Hill Areas and Tankinta Vacant Lot.	신도 유르가는 브람블이 상처를 회복하기 위해 박아 놓은 뿌리를 파괴하자고 합니다. 그 뿌리는 각각 스비에서 구릉지와 탄킨타 공터에 있다고 합니다.
QUEST_LV_0100_20150317_006338	Removed all of Bramble's roots. Talk to Believer Jurga.	브람블의 뿌리를 모두 제거했습니다. 신도 유르가와 대화하세요.
QUEST_LV_0100_20150317_006339	Seems like the Item Merchant has something left to say. Talk to the Item Merchant.	도구 상인은 아직 더 할 말이 남아있는 것 같습니다. 도구 상인과 대화해 보세요.
QUEST_LV_0100_20150317_006340	Talk to the Accessory Merchant	악세서리 상인과 대화
QUEST_LV_0100_20150317_006341	The Accessory Merchant has given the Revelator an accessory gift. Please accept it graciously.	악세서리 상인은 계시자들에게 악세서리를 선물로 주고 있었습니다. 감사히 받아주세요.
QUEST_LV_0100_20150317_006342	Listen to Gustas Jonas for the next step.	구스타스 요나스에게서 다음 행동에 대한 이야기를 들으세요.
QUEST_LV_0100_20150317_006343	Meet Morkus Jonas in Overlong Bridge Valley	긴다리 계곡의 모르쿠스 요나스 만나기
QUEST_LV_0100_20150317_006344	You'll know what to do next when you meet Morkus Jonas in Overlong Bridge Valley.	긴다리 계곡의 모르쿠스 요나스에게 가면 다음 해야 할 일을 알 수 있을 것입니다.
QUEST_LV_0100_20150317_006345	Goddess Saule says that Bramble stole the revelation in the Thorn Forest. Move to the Thorn Forest.	사울레 여신은 가시숲에 있는 브람블에게 계시를 빼앗겼다고 합니다. 가시숲으로 이동하세요.
QUEST_LV_0100_20150317_006346	Goddess Saule says that the revelation has been stolen by Bramble in Fallen Worry Forest. Go find the revelation at the Fallen Worry Forest past Gate Route and Spineheart Dale.	사울레 여신은 가시숲의 낙우림에 있는 브람블에게 계시를 빼앗겼다고 합니다. 관문로와 가시마음골을 지나 낙우림으로 계시를 찾으러 가세요.
QUEST_LV_0100_20150317_006347	Fallen Worry Forest	낙우림
QUEST_LV_0100_20150317_006348	Talk to Soldier Jace	병사 제이스와 대화
QUEST_LV_0100_20150317_006349	Talk to Soldier Jace.	병사 제이스와 대화하세요.
QUEST_LV_0100_20150317_006350	Retrieving Soldiers' Mementos	병사들의 유품 찾아오기
QUEST_LV_0100_20150317_006351	The Vubbes stole the deceased soldiers' mementos. Get them back from the Vubbes so that the soldiers can rest in peace.	부베들이 죽은 병사들의 유품을 가져갔다고 합니다. 병사들이 편히 눈을 감을 수 있도록 부베들에게서 유품을 되찾아오세요.
QUEST_LV_0100_20150317_006352	Collected all the mementos. Bring them to Soldier Jace.	유품을 전부 모은 것 같습니다. 병사 제이스에게 가져다주세요.
QUEST_LV_0100_20150317_006353	Defeat Vubbe and get %s	부베를 처치해서 %s 구하기
QUEST_LV_0100_20150317_006354	Defeat Vubbe Thief	부베 약탈자를 처치
QUEST_LV_0100_20150317_006355	Talk to Soldier Edgar	병사 에드가와 대화
QUEST_LV_0100_20150317_006356	Edgar seems to be in trouble. Talk to him.	병사 에드가가 상당히 곤란한 듯 보입니다. 에드가와 대화하세요.
QUEST_LV_0100_20150317_006357	Retrieve the stolen food supplies from the Vubbes	부베가 약탈한 식량 되찾기
QUEST_LV_0100_20150317_006358	Edgar says the Vubbes stole all the food supplies. Go and get it back from the Vubbes.	병사 에드가의 말로는 부베가 당장 먹을 식량까지 전부 약탈해갔다고 합니다. 부베가 약탈한 식량을 되찾아 오세요.
QUEST_LV_0100_20150317_006359	This much food seems enough. Bring it back to Soldier Edgar.	이 정도 식량이면 넉넉할 것 같습니다. 병사 에드가에게 식량을 전해 주세요.
QUEST_LV_0100_20150317_006360	Defeat Vubbes and retrieve %s	부베를 처치해서 %s 되찾기
QUEST_LV_0100_20150317_006361	Talk to the Miners' Village mayor.	광산 마을 촌장과 대화하세요.
QUEST_LV_0100_20150317_006362	Go do Leaf Veil Plateau	너울 고원으로 이동
QUEST_LV_0100_20150317_006363	Miners' Village	광산 마을
QUEST_LV_0100_20150317_006364	is found at the further right of the 	의 쌍둥이 다리에서 아래쪽으로 내려가면 나오는 
QUEST_LV_0100_20150317_006365	Silverstream Gorge	은수 협곡
QUEST_LV_0100_20150317_006366	which is located below the twin bridge of 	에서 오른쪽으로 더 들어가면 
QUEST_LV_0100_20150317_006367	Leaf Veil Plateau	너울고원
QUEST_LV_0100_20150317_006368	is able go to there.	으로 갈 수 있습니다.
QUEST_LV_0100_20150317_006369	Leaf Veil Plateau	너울 고원
QUEST_LV_0100_20150317_006370	Go to Fedimian	페디미안으로 이동
QUEST_LV_0100_20150317_006371	Please go to the Fedimian.	페디미안으로 이동하세요.
QUEST_LV_0100_20150317_006372	Along the clearly, I think be prepared depending on the Fedimian before going to the Mage Tower.	계시를 따라 마법사의 탑으로 가기 전에 페디미안에 들러 준비하는 것이 좋겠습니다.
QUEST_LV_0100_20150317_006373	Fedimian	페디미안
QUEST_LV_0100_20150317_006374	Go to Stone Pole Platform	석주대로 이동
QUEST_LV_0100_20150317_006375	Morcus Jonas says that you can hear what happens next from Rolandas Jonas at Stone Pole Platform.	모르쿠스 요나스는 석주대의 롤란다스 요나스에게로 가면 다음 이야기를 들을 수 있다고 합니다.
QUEST_LV_0100_20150317_006376	Meet Rolandas Jonas	롤란다스 요나스 만나기
QUEST_LV_0100_20150317_006377	Meet Rolandas Jonas as Morcus Jonas suggested.	모르쿠스 요나스의 말 대로 석주대의 롤란다스 요나스를 만나 보세요.
QUEST_LV_0100_20150317_006378	Talk to the Pharmacist Lady	약사 아가씨와 대화
QUEST_LV_0100_20150317_006379	Looks like healer lady has something to say. Talk to her. 	약사 아가씨가 무언가 할 말이 있는 것 같습니다. 다가가 이야기를 해 보세요.
QUEST_LV_0100_20150317_006380	Give medicinal ingredients to Pharmacist Lady	약 재료 건네 주기
QUEST_LV_0100_20150317_006381	The Pharmacist Lady needs Yukopus leaves and Kepa stem to use as treatment for injured people.	약사 아가씨가 이 곳 부상자의 치료에 쓰일 약재로 유코푸스의 잎과 케파 줄기를 필요로 하는 것 같습니다.
QUEST_LV_0100_20150317_006382	Pharmacist's Favor	약사 아가씨의 부탁
QUEST_LV_0100_20150317_006383	Give the Yukopus leaves and Kepa Stems that the Pharmacist Lady requested. 	약사 아가씨의 부탁대로 유코푸스의 잎과 케파 줄기를 건네 줍시다.
QUEST_LV_0100_20150317_006384	Ask the Pharmacist Lady if she needs anything else.	약사 아가씨에게 더 필요한 것은 없는지 물어 보세요.
QUEST_LV_0100_20150317_006385	Get medicinal ingredients	약 재료 구해 오기
QUEST_LV_0100_20150317_006386	She needs more Yukopus leaves and Kepa Stem to make more medicine.	충분한 약을 만들기 위해 아직도 약 재료인 유코푸스의 잎과 케파 줄기가 더 필요하다고 합니다.
QUEST_LV_0100_20150317_006387	Give Yukopus leaves and Kepa stem to the Pharmacist Lady.	약사 아가씨에게 유코푸스의 잎과 케파 줄기를 건네 주세요.
QUEST_LV_0100_20150317_006388	Talk to Mr. Juan in Mine Entrance	수정광산 입구의 후안 아저씨와 대화
QUEST_LV_0100_20150317_006389	Seems like Mr. Juan has something to say. Talk to him.	수정광산 입구의 후안 아저씨가 할 말이 있는 것 같습니다. 다가가 말을 걸어 보세요.
QUEST_LV_0100_20150317_006390	Mr. Juan say he'll help you make armors. Gather the materials he asked for.	후안 아저씨는 당신을 위해 갑옷 만드는 것을 도와준다고 합니다. 후안 아저씨가 요구하는 재료들을 모아오세요.
QUEST_LV_0100_20150317_006391	Receive gift from Mr. Juan	수정광산 입구의 후안 아저씨에게 선물 받기
QUEST_LV_0100_20150317_006392	Gathered the materials for Mr. Juna. Bring it to him.	수정광산 입구의 후안 아저씨가 요구하는 재료를 모두 모았습니다. 그것들을 후안 아저씨에게 가져다 주세요.
QUEST_LV_0100_20150317_006393	Get armor parts	아머 부속 구하기
QUEST_LV_0100_20150317_006394	Get materials	재료 구하기
QUEST_LV_0100_20150317_006395	Mr. Juan asked you to bring Tough Toots of Large Red Kepa for the armor.	후안 아저씨는 갑옷의 재료로 대형 붉은 케파의 질긴 뿌리를 가져다 달라고 합니다.
QUEST_LV_0100_20150317_006396	Bring the materials	재료 가져다 주기
QUEST_LV_0100_20150317_006397	Acquired Tough Roots of Large Red Kepa. Bring it to Mr. Juan.	대형 붉은 케파의 질긴 뿌리를 구했습니다! 이제 후안 아저씨에게 가져다 주세요.
QUEST_LV_0100_20150317_006398	 Get %s from Large Red Kepa	대형 붉은 케파로부터 %s 획득
QUEST_LV_0100_20150317_006399	Mr. Juan asked you to bring him Kepa's Teeth to make the armor.	후안 아저씨는 갑옷의 재료로 붉은 케파의 이빨을 가져다 달라고 합니다.
QUEST_LV_0100_20150317_006400	Acquired enough Kepa's Teeth! Bring it to Mr. Juan.	붉은 케파의 이빨을 충분히 구했습니다! 이제 후안 아저씨에게 가져다 주세요.
QUEST_LV_0100_20150317_006401	 Get %s from Kepa	붉은 케파로부터 %s 획득
QUEST_LV_0100_20150317_006402	Mr. Juan asked you to bring him Yukopus Leather to make the armor.	후안 아저씨는 갑옷의 재료로 유코푸스의 가죽을 가져다 달라고 합니다.
QUEST_LV_0100_20150317_006403	Acquired Yukopus Leather! Bring it to Mr. Juan.	유코푸스의 가죽을 구했습니다! 이제 후안 아저씨에게 가져다 주세요.
QUEST_LV_0100_20150317_006404	Mr. Juan asked you to bring him Vubbe Thief's Leather to make the armor.	후안 아저씨는 갑옷의 재료로 부베 약탈자의 가죽을 가져다 달라고 합니다.
QUEST_LV_0100_20150317_006405	Acquired Vubbe Thief's Leather! Bring it to Mr. Juan.	부베 약탈자의 가죽을 구했습니다! 이제 후안 아저씨에게 가져다 주세요.
QUEST_LV_0100_20150323_006406	Now take the Seal Release Crystal and go to Ramstis Ridge. {nl}The Disciples of Gustas will teach you how to release the seals there. 	이제 그 봉인 해제석을 가지고 람스티스 협곡으로 가십시오.{nl}구스타스의 제자가 그 곳의 봉인을 푸는 방법을 차례대로 알려 줄 것입니다.
QUEST_LV_0100_20150323_006407	Still lost in direction?{nl}Go to the Disciples of Gustas in Ramstis Ridge.{nl}The crystal is made for the chosen one.	아직 안내 받지 못하셨나요?{nl}람스티스 협곡에 있는 구스타스의 제자 입니다.{nl}오직 선택받은 이를 들여보내기 위해 만든 것이니까요.
QUEST_LV_0100_20150323_006408	Ask the mayor of the Miners' Village for directions to Gele Plateau. {nl}I will send the message to the Paladin Master first. {nl}May the blessings of the goddess be with you.	겔리 고원으로 가는 길은 광산 마을 촌장님께 여쭈어 보십시오.{nl}저는 팔라딘 마스터께 먼저 전갈을 보내 놓도록 하지요.{nl}여신의 가호가 함께하길.
QUEST_LV_0100_20150323_006409	The high gardens mentioned by the goddess may be a place in Gele Plateau. {nl}I heard the Paladin Master is there, upholding a long term promise. 	여신께서 말씀하신 드높은 화원이란 분명 겔리 고원 일대를 뜻하는 것일 겁니다.{nl}듣자 하니 오랜 맹약을 위해 팔라딘 마스터께서 그곳으로 오셨다고 하더군요.
QUEST_LV_0100_20150323_006410	Gele Plateau.{nl}You can get to Silverstream Gorge by going down at the middle of Twin Bridge.{nl}If you go further right at Silverstream Gorge, you'll reach Gele Plateau.	겔리 고원이라.{nl}쌍둥이 다리의 중간에서 아래쪽으로 내려가면 은수 협곡이 나오지.{nl}은수 협곡에서 오른쪽으로 더 들어가면 겔리 고원으로 갈 수 있을 걸세.
QUEST_LV_0100_20150323_006411	You have to go further in from Silverstream Gorge in order to get to Gele Plateau.{nl}Go down from the middle of Twin Bridge and you'll be able to go to Silverstream Gorge.	자네가 찾는 겔리 고원은 은수 협곡에서 더 들어가야해.{nl}쌍둥이 다리의 중간에서 아래쪽으로 내려가면 은수 협곡이 나오지.
QUEST_LV_0100_20150323_006412	If you ever fight against us Rodeleros, better be careful of your legs. {nl}Swords pop out from below the shield. {nl}	우리 로델레로를 적으로 마주친다면 다리를 조심하는게 좋을 거다.{nl}방패 밑에서 검이 쑤욱 하고 튀어나온단 말이지.{nl}
QUEST_LV_0100_20150323_006413	The simplest forms are the strongest ways. {nl}If you want to study the roots of everything, take the path of Elementalist.	가장 단순한 것이 가장 강한 법입니다.{nl}모든 것의 근원을 탐구하고 싶다면 엘리멘탈리스트의 길을 걸으십시오.
QUEST_LV_0100_20150323_006414	Go straight down from the Twin Bridge and you'll arrive at Srautas Gorge.{nl}Go further right through Srautas Gorge and you'll be able to get to Gele Plateau.	겔리 고원은 쌍둥이 다리의 중간에서 아래쪽으로 내려가면 스라우타스 협곡이 나오지.{nl}스라우타스 협곡에서 오른쪽으로 더 들어가면 겔리 고원으로 갈 수 있을 걸세.
QUEST_LV_0100_20150323_006415	The Paladin Master is at Gele Plateau.{nl}You can get there by riding the cable car.	팔라딘 마스터라면 겔리 고원에 계시지.{nl}케이블카를 타면 갈 수 있어.{nl}
QUEST_LV_0100_20150323_006416	This is one of the devices the first Paladin set in preparation for the demon invasion. {nl}Nefritas Cliff is covered with several of these devices.{nl}	초대 팔라딘님께서 마족의 침공에 대비해 놓은 장치중의 하나래.{nl}네프리타스 벼랑 전체를 감쌀 수 있게 여러 개가 배치되어 있지.{nl}
QUEST_LV_0100_20150323_006417	You must find Goddess Saule...{nl}The colorful stream mentioned in the revelation may refer to the upper region of Veja Ravine. {nl}Well then, may the blessings of Goddess be with you.	사울레 여신을 찾아야 한다라.. {nl}계시가 말하는 다채로운 계곡은 여기서 위쪽의 베야 골짜기에서 시작할 게다.{nl}그럼 이만. 자네에게 여신의 가호가 깃들길 빌겠네.
QUEST_LV_0100_20150323_006418	This Divine Sphere is a holy weapon that will be used to fight against Gesti in Nefritas Cliff. {nl}It has been handed down since the times of the first Paladin.	네프리타스 벼랑에서 제스티를 상대하던 무기가 이 성구란다.{nl}초대 팔라딘님 때부터 전해져 내려온 것이지.{nl}
QUEST_LV_0100_20150323_006419	Go. the Tenet Church is located in Tenet Garden.{nl}You must prevent the revelation from falling into the hands of Gesti.	가게. 테넷 성당은 테넷 화원에 있네.{nl}반드시 제스티의 손에 계시가 들어가는 것을 막아 주게.
QUEST_LV_0100_20150323_006420	Find Gesti. {nl}The Tenet Church is located within the Tenet Garden.	어서 제스티를 쫓거라.{nl}테넷 성당은 테넷 화원에 있단다.
QUEST_LV_0100_20150323_006421	There is a way to stop it but only you can do it. {nl}Please, come to Karsta battlefield in Fedimian outskirt.	막을 방법은 있지만 네가 아니면 할 수 없어.{nl}부탁이야. 페디미안 외곽의 카르스타 전당 터로 와줘.
QUEST_LV_0100_20150323_006422	You need to use the cable car to go from Srautas Gorge to Gele Plateau. {nl}I heard people used to hang baskets on ropes in the past, and use those to traverse the gorge. {nl}Well the cable car is scary enough for me. 	스라우타스 협곡에서 너울고원으로 건너가려면 반드시 케이블카가 필요해요.{nl}옛날 사람들은 밧줄에 바구니를 걸어서 그걸 타고 넘어갔었대요.{nl}전 솔직히 케이블카도 무섭던데.
QUEST_LV_0100_20150323_006423	I came to protect this divine land from the demons. {nl}I heard that the Paladin Master is also in Gele Plateau. It must surely be a big problem. {nl}	마족들에게서 신성한 땅을 지키러 나왔어요.{nl}겔리 고원에 팔라딘 마스터께서도 오셨다니 진짜 큰일인가봐요.{nl}
QUEST_LV_0100_20150323_006424	I'm worried for my brother at Nefritas Cliff. {nl}I hope nothing happens to him.{nl}	아무래도 네프리타스 벼랑에 나가 있는 동생이 걱정되네요. {nl}아무 일 없었으면 좋으련만.{nl}
QUEST_LV_0100_20150323_006425	We'll have to make do with the remaining dolls. {nl}Everyone's lives are at stake at Nefritas Cliff so we can't complain about this, right?	남은 인형들로 어떻게든 버텨야지.{nl}다들 네프리타스 벼랑에서 목숨 걸고 있는데 불평할 순 없잖아?
QUEST_LV_0100_20150323_006426	And if you're talking about Rukas Plateau, it's been a while since we pulled out of that place as it {nl}wasn't worthy of research anymore. 	게다가 루카스 고원이라면, 이미 연구할 가치가 없어 철수한 지 오래됬어요.
QUEST_LV_0100_20150323_006427	Understanding the root of everything becomes the power of Elementalist. {nl}Wind, Water, Fire, Earth. We pull the strongest powers from the simplest forms. 	엘리멘탈리스트는 만물의 근원에 대한 이해가 곧 힘이 됩니다.{nl}바람, 물, 불, 땅. 가장 단순한 형태에서 가장 강력한 힘을 이끌어내지요.
QUEST_LV_0100_20150323_006428	Bring the Seal Release Crystal and find Disciple of Gustas in Ramstis Ridge. {nl}He will teach you about the seal. 	결정석을 가지고 람스티스 협곡의 구스타스의 제자들을 찾아주세요.{nl}봉인에 대해 가르쳐 드릴 겁니다.
QUEST_LV_0100_20150323_006429	The Netherbovines are becoming violent again? {nl}As long as us Rodeleros are standing ground, no monsters shall pass.{nl}	네더보바인이 또 난동인가?{nl}어떤 몬스터든 우리 로델레로가 버티고 있는 한 이 근방으론 한 발자국도 들어올 수 없지.{nl}
QUEST_LV_0100_20150323_006430	I used to live in the woods, but I came out here to do what I can. {nl}I will do anything that I can help with.	원래 난 숲에서 살았지만 뜻이 있어서 이쪽으로 왔어.{nl}나라도 도움이 된다면 뭐든 도와야지.
QUEST_LV_0100_20150323_006431	Physical enhancing magic is a profound and mysterious field. {nl}If you make good use of it, you can easily distinguish friends from foes. 	신체 강화 마법은 참 오묘한 영역이에요.{nl}이걸 잘 응용하면 피아의 구분도 마음대로 할 수 있지요.
QUEST_LV_0100_20150323_006432	When a seal is released, you must advance to the next seal in Ramstis Ridge.	봉인을 푸셨으면 람스티스 협곡의 다음 봉인으로 가셔야 할 겁니다.
QUEST_LV_0100_20150323_006433	Death may be the price that I pay for the sin I committed. {nl}Even if it is the curse of the demons, it is still for a sin I made.	제가 저지른 죄의 댓가는 죽음인가 봅니다.{nl}마족의 저주라 한들.. 제 스스로 저지른 것이니까요.
QUEST_LV_0100_20150323_006434	I don't want to... die like this... {nl}Mother...	이렇게.. 허무하게 죽고 싶진..{nl}어머니..
QUEST_LV_0100_20150323_006435	Wait. Aren't those Succubus Eyes? {nl}Wow. How did you get them... Can I take a look? 	잠시만요. 그건 서큐버스의 눈이 아닙니까?{nl}세상에, 그걸 어떻게.. 제가 좀 볼 수 있을까요?
QUEST_LV_0100_20150323_006436	I've heard about those eyes. {nl}A greedy Succubus tried to take one of the Great Cathedral's blessed necklaces, but ended up{nl}putting her own eyes into this one. {nl} 	이 눈에 대해서 들은 적이 있어요.{nl}대성당의 축복을 간직한 목걸이가 탐이 난 서큐버스가 자신의 눈에 넣어버렸다지요.{nl}
QUEST_LV_0100_20150323_006437	Did you know I used to be an aspiring alchemist? {nl}I can turn that back into a normal necklace. {nl}	아시다시피 전 알케미스트 지망생이잖아요?{nl}제가 그걸 다시 목걸이로 되돌릴 수 있어요.{nl}
QUEST_LV_0100_20150323_006438	Done. {nl}I suppose you know about Maven's five necklaces?{nl}	다 됐습니다.{nl}혹시 메이번의 다섯 개의 목걸이에 대해 아시나요?{nl}
QUEST_LV_0100_20150323_006439	They were created to remind people of the five sins. {nl}Naktis caused them to look like curses on the Pilgrim's Way.{nl}	인간의 다섯 개의 죄악을 늘 되새기며 살라는 의미로 만들어졌죠.{nl}나크티스 때문에 마치 순례자의 길에 내려진 저주처럼 되어버렸지만요.{nl}
QUEST_LV_0100_20150323_006440	Looks like the necklace belongs to you. {nl}If it wasn't for you, the teachings of Maven would have been left as a curse.	아무래도 이 목걸이의 주인은 당신 같네요.{nl}당신이 아니였다면 메이번님의 가르침은 끝까지 저주로 남았을테니까요.
QUEST_LV_0100_20150323_006441	To be honest, I'd like go to Kvailas Forest rather than staying here. {nl}I want to see the source of evil with my own two eyes.	사실 전 여기보단 크바일라스 숲에 가고 싶습니다.{nl}제 눈으로 꼭 사악한 기운의 근원을 보고 싶거든요.
QUEST_LV_0100_20150323_006442	Thank you. The tools are sold by the blacksmith in Klaipeda. {nl}But before that, there are stones in Stele Road that are known for their quality. Please retrieve {nl}some for me. 	고마워. 도구는 클라페다의 대장장이가 팔 거야.{nl}그 전에 비석로에 있는 바위가 품질이 좋기로 유명하니 우선 부탁할게.
QUEST_LV_0100_20150323_006443	Here you are. Please place this at the entrance of the Royal Mausoleum at Zachariel Crossroads. {nl}This should bring comfort to their souls.	완성했어. 자카리엘 교차로의 왕릉의 입구에 세워줘.{nl}이걸로 위로가 될까.
QUEST_LV_0100_20150323_006444	Hmm. You're really as good as they say. {nl}Rolandas is waiting for you in Akmens Ridge.	음. 역시 듣던 대로 대단하군.{nl}아크멘스 능선으로 가면 롤란다스님께서 널 기다리고 있을 거야. 
QUEST_LV_0100_20150323_006445	Please be careful. {nl}A dark energy similar to the voice a while ago is covering the Thorn Forest. {nl}Especially the Kvailas Forest.. I have sharp ears for things like this..	계시자님, 부디 조심하세요.{nl}아까의 불길한 목소리와 비슷한 기운이 가시숲 전체를 울리고 있는 것 같아요.{nl}특히 크바일라스 숲쪽에서요.. 전 이런 쪽으로 귀가 밝거든요..
QUEST_LV_0100_20150323_006446	The Necroventer that occupied Kule Peak is gone. {nl}Kule Peak should become peaceful again.	쿨레 고개를 점령했던 네크로벤터가 사라졌습니다.{nl}쿨레 고개는 다시 평화로워지겠죠.
QUEST_LV_0100_20150323_006447	This was prepared for releasing the seals in Tiltas Valley. {nl}The sap was collected little by little over centuries. {nl}So please handle it with care. 	틸타스 협곡의 봉인을 풀 준비입니다.{nl}몇백 년 동안 아주 조금씩 모아 온 귀중한 수액이니 조심히 다뤄주세요.
QUEST_LV_0100_20150323_006448	This is it. {nl}Bring the Seal Release Crystal to Ramstis Ridge. {nl}The Disciples of Gustas will welcome you there. 	이걸로 완성입니다.{nl}봉인해제 결정석을 가지고 람스티스 협곡으로 가세요.{nl}구스타스의 제자들이 아주 반갑게 맞아주실 겁니다.
QUEST_LV_0100_20150323_006449	The day of discovering the true owner of the Great King's inheritance has finally come. {nl}Hurry, meet the Disciples of Gustas in Ramstis Ridge.	대왕의 유산이 드디어 주인을 찾는 날이 오는군요.{nl}어서, 람스티스 협곡의 구스타스의 제자들에게 가 보세요.
QUEST_LV_0100_20150323_006450	My teacher is poisoned and cannot breathe. {nl}Please hurry and borrow an antidote from someone in Akmens Ridge. 	선생님이 독 때문에 숨을 쉬지 않아요.{nl}어서, 아크멘스 능선의 다른 분들께 해독제를 빌려 오세요.
QUEST_LV_0100_20150323_006451	I had no idea it came from Rukas Plateau. {nl}What is he trying to do by releasing the seal? {nl}	루카스 고원이라니. 생각도 못했어요.{nl}도대체 봉인을 풀어서 뭘 하겠다는 걸까요?{nl}
QUEST_LV_0100_20150323_006452	Follow the road on the right to go to Cobalt Forest. {nl}Our village priest there is waiting for you.	오른쪽으로 난 길을 따라 코발트 숲으로 가시지요.{nl}저희 마을 사제가 계시자님을 기다리고 있습니다.
QUEST_LV_0100_20150323_006453	When you have all materials ready, combine them at the Ershike Altar.	재료가 모두 모이면 에르쉬케 제단에서 합성하시면 됩니다.
QUEST_LV_0100_20150323_006454	The evil energy was first felt in Kvailas Forest. {nl}The force was very strong so it will remain this way for a while even if you defeat Bramble.	그 사악한 기운이 맨 처음 느껴진 곳이 크바일라스 숲입니다.{nl}워낙 강한 기운이라 아마 브람블을 처치한다고 해도 한동안은 계속 이런 상태일 겁니다.
QUEST_LV_0100_20150323_006455	The evil energy of Kvailas Forest is becoming stronger and our followers are becoming weak. {nl}I hope you can help us. {nl}	크바일라스 숲의 사악한 기운은 점점 거세지는데, 우리 신도들은 점점 지쳐갑니다.{nl}계시자님께서 몸소 도와주셨으면 합니다만.{nl}
QUEST_LV_0100_20150323_006456	Perhaps the source of evil in Kvailas Forest has become the forest itself? {nl}I only hope this is just an ill-founded worry.	크바일라스 숲의 사악한 근원이라는 게 이미 이 숲 전체가 되어버린 건 아닐까요?{nl}괜한 걱정이라면 좋겠습니다만.
QUEST_LV_0100_20150323_006457	Everything will be resolved when the evil energy deep inside Kvailas Forest is dealt with. {nl}It's a pity that everyone is only after what's right in front of them.	크바일라스 숲의 가장 깊은 곳에 있다는 사악한 기운을 제거해야 끝이 보일텐데요.{nl}다들 눈 앞에 있는 것만 쫓고 있는 것 같아 안타깝습니다.
QUEST_LV_0100_20150323_006458	Kvailas Forest is the worst. {nl}The evil energy is unquestionably concentrated that even your lives are at stake. 	여기 크바일라스 숲이 가장 지독한 곳입니다.{nl}사악한 기운의 농도는 물론이고 목숨도 장담할 수 없지요.
QUEST_LV_0100_20150323_006459	I miss my family in Cobalt Forest. {nl}And... I want to apologize to my brother for the fight we had.	코발트 숲에 사는 가족들이 보고 싶네요. {nl}그리고.. 오빠와 크게 다퉜던 일을 사과하고 싶어요.
QUEST_LV_0100_20150323_006460	I remember singing and soaking my feet in the stream waters with my older brother in {nl}Cobalt Forest.	코발트 숲에서 오빠랑 개울 물에 발을 담그며 노래를 불렀던 생각이 나요
QUEST_LV_0100_20150323_006461	Can you inform the elderly in Vieta Gorge about this for me? {nl}If you veer left and move up from here, you'll quickly arrive there. 	저 대신 비에타 계곡에 계신 원로님께 알려주시겠어요?{nl}여기서 왼쪽으로 올라가시면 금방이에요.
QUEST_LV_0100_20150323_006462	The most important root must be somewhere in Kvailas Forest. {nl}Cutting off the head root should reduce the evil energy in this forest.	가장 중요한 뿌리가 크바일라스 숲 어딘가에 있을 텐데 너무 들쑤시고 다녔나봐요.{nl}그것만 잘라 버리면 이 숲의 기세도 줄어들텐데.
