ITEM_20150317_000001	no_helmet
ITEM_20150317_000782	Bone Wand
ITEM_20150317_000783	Even using a bond to creat, but it is produced independantly of the soul of the bone.
ITEM_20150317_000784	Shaman Wand
ITEM_20150317_000785	Many people are misunderstanding that the night time also reflect the part of the nature of the principle. like this wand.
ITEM_20150317_000786	Altaria Wand
ITEM_20150317_000787	Don't know the name, but this wand is called creation of Bokor master which is same time with Argyll fleury.
ITEM_20150317_000788	Antique wand
ITEM_20150317_000789	The history of the wand is longer than the basic sword. and the force in the wand has become more and more strongly.
ITEM_20150317_000790	Zouo Wand
ITEM_20150317_000791	There is a doubt whether this wand has been manufacutred in the orgirinal demon place.
ITEM_20150317_000792	Dark wand
ITEM_20150317_000793	The meaning of using this wand is that the users received a strong spiritual train, and congentitally strong.
ITEM_20150317_000794	Cheminis Wand
ITEM_20150317_000795	Usually, the equipment which created by Alchemist is a problem with the durability. but in this case, it does not matter.
ITEM_20150317_000796	Grima Wand
ITEM_20150317_000797	Firstly, Necromancer has been devised, Now various people is using for the need.
ITEM_20150317_000798	Skull Wand
ITEM_20150317_000799	According to the theory, there is a word that depeding on the ability of lifetime might being able to see a great effect.
ITEM_20150317_000800	Didel Shaman Wand
ITEM_20150317_000801	Results that are displayed is different, there is a different depending on how handle the power of soul and the type.
ITEM_20150317_000802	Imperni Wand
ITEM_20150317_000803	Acutally, the order of previous master that punish the person who leaked the recipe of wand prove a dead letter.
ITEM_20150317_000804	Partymang Wand
ITEM_20150317_000805	Please be careful not to be possessed to ghost when you collect the material.
ITEM_20150317_000806	Lampa Wand
ITEM_20150317_000807	Some people call this wand like Guano. Actually, honestly it is hard to refuse the name.
ITEM_20150317_000808	Vestia Wand
ITEM_20150317_000809	If Bokor and Necromancer was served, these equipment is provided. Currently, there are people who use without associated with the kingdom army.
ITEM_20150317_000810	Serpens
ITEM_20150317_000811	The people who using this wand, it is necessary to control the darkness of their inner surface.
ITEM_20150317_000812	Levereuse
ITEM_20150317_000813	The people who have a mental strength and imtrospection of faith, they can see a big effect in the battle by handle Levereuse well.
ITEM_20150317_000814	Kyrnus
ITEM_20150317_000815	Previously plant disaster, there were no people who are using this weapon. However, It's clear that there are people who do not choose anything by current desperate circumstances after the goddess was gone.
ITEM_20150317_000816	Knife
ITEM_20150317_000817	Sub Equipment
ITEM_20150317_000818	This small knife is multipurpose such as battle, cooking and field work.
ITEM_20150317_000819	Dark Dagger
ITEM_20150317_000820	It higher strength than normal knife. somepeople use it as a weapon to throw.
ITEM_20150317_000821	Main Gauche
ITEM_20150317_000822	It is used as an sub weapon, It can defend the weapon attack of the enemy like no less to the shield, and it is also possible to flow.
ITEM_20150317_000823	It is a dagger which the blade is standing on both side. A short dagger's form that Highlander used for tool has upgraded.
ITEM_20150317_000824	This dagger was made for left hand easily. By using guard, this dagger can defend the sword of opponent. Grip is reversed to catch easily the left hand.
ITEM_20150317_000825	Chula
ITEM_20150317_000826	This dagger has a sharp point. It is good to stab with shary blade of dagger.
ITEM_20150317_000827	Pescas
ITEM_20150317_000828	A single dagger that the edge of blade is shaped. the edge of blade is curved in the S shape. the handle have made heavy, is delicately machined.
ITEM_20150317_000829	Low Wooden Staff
ITEM_20150317_000830	Staff [Blow]
ITEM_20150317_000831	The character is more stronger like the temporary equipment for trip of wizard.
ITEM_20150317_000832	Low Oak Staff
ITEM_20150317_000833	It will be selected when the wizard is to replace the wooden staff during trip in advance.
ITEM_20150317_000834	Staff
ITEM_20150317_000835	The clever wizard can defeat the weak enemy only using it without magic.
ITEM_20150317_000836	Jus Staff
ITEM_20150317_000837	Previously, it is wand form for wizard like it without antoher reason.
ITEM_20150317_000838	Ubuko Staff
ITEM_20150317_000839	It shows that the diversity of wizard.
ITEM_20150317_000840	Stag Staff
ITEM_20150317_000841	Decoration part is magice formed.
ITEM_20150317_000842	Geometry Staff
ITEM_20150317_000843	It is a combination staff to mathematically represent the legal meaning.
ITEM_20150317_000844	Demon Staff
ITEM_20150317_000845	Some of the wizard believe that It can be processed by subsumption the power of demon, and succeeded in certain parts.
ITEM_20150317_000846	Storm Staff
ITEM_20150317_000847	A staff that a cane based on the recipe have been transmitted from ancien times. Still some of the wizard, think that there is efficary hidden in this staff.
ITEM_20150317_000848	Wooden Staff
ITEM_20150317_000849	Heavy Wooden Staff
ITEM_20150317_000850	Oak Staff
ITEM_20150317_000851	Heavy Staff
ITEM_20150317_000852	Heavy Jus staff
ITEM_20150317_000853	Heavy Ubuko Staff
ITEM_20150317_000854	Dunkel Jus Staff
ITEM_20150317_000855	Dunkel Demon Staff
ITEM_20150317_000856	Dunkel Wooden Staff
ITEM_20150317_000857	Dunkel Oak Staff
ITEM_20150317_000858	Dunkel Staff
ITEM_20150317_000859	Dunkel Uboko Staff
ITEM_20150317_000860	Steel Staff
ITEM_20150317_000861	Heavy Steel Staff
ITEM_20150317_000862	Square Staff
ITEM_20150317_000863	Heavy Square Staff
ITEM_20150317_000864	Mage Staff
ITEM_20150317_000865	Arch Mage Staff
ITEM_20150317_000866	Arch Demon Staff
ITEM_20150317_000867	Melinas Staff
ITEM_20150317_000868	It is a rudimentary outcome to enhance the research by adding the equipment.
ITEM_20150317_000869	Magi Staff
ITEM_20150317_000870	Language of magic will use the staff to cool.
ITEM_20150317_000871	Ludas Staff
ITEM_20150317_000872	It will be manufactured to use the balanced receipe to have the unversality of all magic.
ITEM_20150317_000873	Saltas Staff
ITEM_20150317_000874	The previous master of Pyromanceer has studied the attributes upgrade by alchemy. But It is not sure that Goddess Gabija's burden has decreased or not.
ITEM_20150317_000875	Cheminis Staff
ITEM_20150317_000876	Cryomancer master said that this recipe was made on the basic of the ancient secrets discovered in place where this recipe was hidden highlands.
ITEM_20150317_000877	Carstow Staff
ITEM_20150317_000878	According to the report, Cryomancer master who was examined heaved a sigh after the recipe released.
ITEM_20150317_000879	Expecta Staff
ITEM_20150317_000880	Pyromancer master is able to defect it when the staff is manufactured whatever the user or manufacture is doing.
ITEM_20150317_000881	Imperni Staff
ITEM_20150317_000882	This equipment demonstrate that it is possible to expect the effect maybe used well with oridinary materials.
ITEM_20150317_000883	Welsh Staff
ITEM_20150317_000884	Black market officials should make kind of this weapon, but relatively, the Imperni Staff was successful to manufacture in recent years.
ITEM_20150317_000885	Magic Wooden Staff
ITEM_20150317_000886	There is a wizard to pursue a rich magic than strong magic in the world.
ITEM_20150317_000887	Smith Staff
ITEM_20150317_000888	It shows that there is lots of ways to put the magic in equipment.
ITEM_20150317_000889	Klavis Staff
ITEM_20150317_000890	There is no person who became famous in this equipment. and I hope you will be first.
ITEM_20150317_000891	Dio Staff
ITEM_20150317_000892	Thresh Staff
ITEM_20150317_000893	Sestas Staff
ITEM_20150317_000894	Drat Staff
ITEM_20150317_000895	Aston Staff
ITEM_20150317_000896	Debby Staff
ITEM_20150317_000897	Prima Staff
ITEM_20150317_000898	Candle Staff
ITEM_20150317_000899	The fire of top could be off. but, there is no such a case to fire the burning substance.
ITEM_20150317_000900	Audra
ITEM_20150317_000901	There are words that Cryomancer mater jocked Pyromancer master will you challange to him who has no weapon using ice magic.
ITEM_20150317_000902	Sunflower
ITEM_20150317_000903	This reciep of staff has been recording not only Goddess Gabija but also the method to get the help of the Siauliai's Goddess.
ITEM_20150317_000904	Maledic
ITEM_20150317_000905	According to legend, This staff is the form of demon place. What you see in this word is just projection.
ITEM_20150317_000906	Maledoom
ITEM_20150317_000907	Some of the wizard has successed to make a more powerful Maledoom staff under pursuing a protype of Maledick.
ITEM_20150317_000908	Chapparition Staff
ITEM_20150317_000909	Arca staff
ITEM_20150317_000910	According to the stroy, When Agailla Flurry build a tower of wizard, He used such this staff.
ITEM_20150317_000911	Raganos Horn
ITEM_20150317_000912	Howbuck who is demon king sealed a long time ago has released the demon place secret, and Agailla Flurry has invented the reicpe of staff by using the secret.
ITEM_20150317_000913	Light Glove
ITEM_20150317_000914	Gloves
ITEM_20150317_000915	It might give you a second life.
ITEM_20150317_000916	Light Boots
ITEM_20150317_000917	Shoes
ITEM_20150317_000918	A shoes that have been worn in some areas and terrain of the kingdom. If not wear anythong, it is trobule.
ITEM_20150317_000919	Light Pants
ITEM_20150317_000920	Pants
ITEM_20150317_000921	There is no adventure up to path without it.
ITEM_20150317_000922	Light Armor
ITEM_20150317_000923	Top [Leather]
ITEM_20150317_000924	As long as it protects you, it doesn't matter what kind of leather it is made form.
ITEM_20150317_000925	Quilt Gloves
ITEM_20150317_000926	Even it is light material but offers a similar defense like leather products of low price. In other words, It has an advantage with light.
ITEM_20150317_000927	Quilt Boots
ITEM_20150317_000928	It will make your feet lightly.
ITEM_20150317_000929	Quilt Pants
ITEM_20150317_000930	In the highland, Please obtain the different clothes. It's cold.
ITEM_20150317_000931	Quilt Armor
ITEM_20150317_000932	It is very hard unlike watching.
ITEM_20150317_000933	Leather Gloves
ITEM_20150317_000934	In spite rumors, the supply of leather is increasing after the plant disaster.
ITEM_20150317_000935	Leather boots
ITEM_20150317_000936	If you have a plan to be visiting the thorn forest, Please get one in advance.
ITEM_20150317_000937	Leather Pants
ITEM_20150317_000938	Even it is heave, but it gives a sense of stability ot the lower body.
ITEM_20150317_000939	Leather Armor
ITEM_20150317_000940	You can decorate depending on your preference, and it is easy to grant the attributes.
ITEM_20150317_000941	Hard Leather Gloves
ITEM_20150317_000942	We need the materials from monster to manufacture the more enhanced leather armor.
ITEM_20150317_000943	Hard Leather Boots
ITEM_20150317_000944	Due to too tightly, sometimes, wearer's foot can be hurt.
ITEM_20150317_000945	Hard Leather Pants
ITEM_20150317_000946	It will firmly support to you.
ITEM_20150317_000947	Hard Leather Armor
ITEM_20150317_000948	It does not lose its strength over the years due to the good materials.
ITEM_20150317_000949	Chain Gloves
ITEM_20150317_000950	The good thing of the material become strong that it has the chance of improvement.
ITEM_20150317_000951	Chain Boots
ITEM_20150317_000952	Unlike an idea, the permeability is not good.
ITEM_20150317_000953	Chain Pants
ITEM_20150317_000954	You do not need to relase the all parts even the middle ring was disconnected for repair.
ITEM_20150317_000955	Chain Mail
ITEM_20150317_000956	Top [Plate]
ITEM_20150317_000957	You don't need to believe all, but the manufacture says that it is providing a defense like metal.
ITEM_20150317_000958	Mark Gloves
ITEM_20150317_000959	Due to the more good materials, it has been improved the incrementality than regular chains globe.
ITEM_20150317_000960	Mark Boots
ITEM_20150317_000961	The gearing structure of ring is good than an idea, so the foot is very comfortable.
ITEM_20150317_000962	Mark Pants
ITEM_20150317_000963	In order to reduce the pain when battle, you have to endure this weight.
ITEM_20150317_000964	Mark Tunic
ITEM_20150317_000965	It boast a level of strength and armor.
ITEM_20150317_000966	Forest Leather Gloves
ITEM_20150317_000967	This equipment is same like that the materials from monsters has been used for the armor.
ITEM_20150317_000968	Forest Leather Boots
ITEM_20150317_000969	The work that was applied to armor by unveil the magic attributes from the plant monsters has improved.
ITEM_20150317_000970	Forest Leather Pants
ITEM_20150317_000971	You can obtain the leather like same animal from plant monsters and It is a result of the fruit armor.
ITEM_20150317_000972	Forest Leather Armor
ITEM_20150317_000973	It has a lightweight compared to a similar defense of shoes.
ITEM_20150317_000974	Grima Pants
ITEM_20150317_000975	The material is wood type not the fibers of plants, but the fit is not bad.
ITEM_20150317_000976	Grima Robe
ITEM_20150317_000977	Top [Cloth]
ITEM_20150317_000978	If you expect the defense of cloth, You may be surprised due to the defense more than leather.
ITEM_20150317_000979	Veris Gloves
ITEM_20150317_000980	If you don't have any aversion to insects, It is a good equipment as well as protection of the hand.
ITEM_20150317_000981	Veris Boots
ITEM_20150317_000982	The shoes of the warrior must be hard as a shoes. Only for enemy, you have to prepare the case that your weapons fall to your feet.
ITEM_20150317_000983	Veris Pants
ITEM_20150317_000984	Some warrior believe that the the material on this equipment would call the family of enemy.
ITEM_20150317_000985	Veris Tunic
ITEM_20150317_000986	The equipment has a good defense more than the plate armor by upgrading the skin of the plant type monsters.
ITEM_20150317_000987	Scale Gloves
ITEM_20150317_000988	It is believe that give an excellent hiding and quick evasion property.
ITEM_20150317_000989	Scale Boots
ITEM_20150317_000990	People would choose because of the ability of the magic evasion rather than defense.
ITEM_20150317_000991	Scale Leggings
ITEM_20150317_000992	Found the recyling method of monsters is a happy feature of msisfortune.
ITEM_20150317_000993	Scale Mail
ITEM_20150317_000994	The material of some monsters is changed to antoher material. Currnet comfortable Veris Boots has manufactured through this process.
ITEM_20150317_000995	Forest Pants
ITEM_20150317_000996	The first time you wear, make sure that the remaining visible.
ITEM_20150317_000997	Forest Robe
ITEM_20150317_000998	This lightweight leather cloth is surprisingly harder than the leather before processiong of certain animals.
ITEM_20150317_000999	Klaida Gauntlets
ITEM_20150317_001000	An equipment that warriors enjoy in real battle.
ITEM_20150317_001001	Klaida Greaves
ITEM_20150317_001002	A Shoes that improved by adding the core to scale boots through the traditional method.
ITEM_20150317_001003	Klaida Skirt
ITEM_20150317_001004	Previsouly, the name was maded because the shape of the final product. but, the situation is different as the scale leggings.
ITEM_20150317_001005	Klaida Mail
ITEM_20150317_001006	Most warriors use this armor at once due to the good things like the appearance and materials.
ITEM_20150317_001007	Hard Veris Gloves
ITEM_20150317_001008	Although no apparent evidence, the equipment that is based on the monsters seems the harder than the others.
ITEM_20150317_001009	Hard Veris Boots
ITEM_20150317_001010	Some gribar could detect the fragrace of the kin in these shoes.
ITEM_20150317_001011	Hard Veris Pants
ITEM_20150317_001012	Since the plant disaster, the new armor of material like this equipment is replacing the traditional equipment.
ITEM_20150317_001013	Hard Veris Tunic
ITEM_20150317_001014	According to the story, Vubbes foind this recipe before humans. It is light but very hard and sturdy.
ITEM_20150317_001015	Heavy Scale Gloves
ITEM_20150317_001016	Due to the good defense, warriors prefer this equipment.
ITEM_20150317_001017	Heavy Scale Boots
ITEM_20150317_001018	Occasionally entangle the wearer's foot, but it is worth the defense.
ITEM_20150317_001019	Heavy Scale Leggings
ITEM_20150317_001020	A few years ago, only the wealthy swordman were wearing the advanced weapons.
ITEM_20150317_001021	Heavy Scale Mail
ITEM_20150317_001022	It is a good armor that the role of the hard defense as well as avoiding the enemy's weapons.
ITEM_20150317_001023	Regal Pants
ITEM_20150317_001024	Even the probability is too low, there is a side effect that sometimes makes people petrified.
ITEM_20150317_001025	Regal Robe
ITEM_20150317_001026	Defense is so-so, but some people use it for its magic evasion.
ITEM_20150317_001027	Rag Pants
ITEM_20150317_001028	If you feel a stronger life breath, it is not a feeling. Yes it's true.
ITEM_20150317_001029	Rag Armor
ITEM_20150317_001030	Do not take off during the battle. your life is not only body.
ITEM_20150317_001031	Minor Gloves
ITEM_20150317_001032	Minor Boots
ITEM_20150317_001033	Minor Pants
ITEM_20150317_001034	Minor Armor
ITEM_20150317_001035	Rough Hard Leather Gloves
ITEM_20150317_001036	Rough Hard Leather Boots
ITEM_20150317_001037	Rough Hard Leather Pants
ITEM_20150317_001038	Rough Hard Leather Armor
ITEM_20150317_001039	Rough Chain Gloves
ITEM_20150317_001040	Rough Chain Boots
ITEM_20150317_001041	Rough Chain Pants
ITEM_20150317_001042	Rough Chainmail
ITEM_20150317_001043	Rough Steel Chain Gloves
ITEM_20150317_001044	Rough Steel Chain Boots
ITEM_20150317_001045	Rough Steel Chain pants
ITEM_20150317_001046	Rough Steel Chain Mail
ITEM_20150317_001047	Brigandine Gloves
ITEM_20150317_001048	The people who want to the exact behavior and agility frequently wear.
ITEM_20150317_001049	Brigandine Boots
ITEM_20150317_001050	When you wear this shoes then you can know the noise is low.
ITEM_20150317_001051	Brigandine Pants
ITEM_20150317_001052	It is an armor to utilize in various ways, if you are the person with an incrementality and well know manner.
ITEM_20150317_001053	Brigandine Armor
ITEM_20150317_001054	The defense of minibun will be a greate help even it is dead.
ITEM_20150317_001055	Plate Gauntlets
ITEM_20150317_001056	It is a best equipment among the equipments careted in a traditional method.
ITEM_20150317_001057	Plate Greaves
ITEM_20150317_001058	Recently, It improved the performance than the previous plate greave by discovering the harmony how to combine the bone and metal of monsters.
ITEM_20150317_001059	Plate Leggings
ITEM_20150317_001060	The recipe of this method is not recent. but, the supply of the material was difficult from old times.
ITEM_20150317_001061	Plate Armor
ITEM_20150317_001062	It was a basic armor of royal guard before the plant disaster.
ITEM_20150317_001063	Heavy Quilt Pants
ITEM_20150317_001064	Heavy Quilt Armor
ITEM_20150317_001065	Vubbe Pants
ITEM_20150317_001066	Vubbe Armor
ITEM_20150317_001067	Panto Pants
ITEM_20150317_001068	Panto Armor
ITEM_20150317_001069	Acolytes Gloves
ITEM_20150317_001070	There is no hardness unlike the armor, but it is comfortable and light.
ITEM_20150317_001071	Acolytes Boots
ITEM_20150317_001072	Acolytes Pants
ITEM_20150317_001073	Acolytes Robe
ITEM_20150317_001074	Steel Chain Gloves
ITEM_20150317_001075	Steel Chain Boots
ITEM_20150317_001076	Steel Chain Pants
ITEM_20150317_001077	Steel Chainmail
ITEM_20150317_001078	Enhanced Leather Armor
ITEM_20150317_001079	Dunkel Quilt Gloves
ITEM_20150317_001080	Dunkel Quilt Boots
ITEM_20150317_001081	Dunkel Quilt Pants
ITEM_20150317_001082	Dunkel Quilt Armor
ITEM_20150317_001083	Dunkel Cotton Gloves
ITEM_20150317_001084	Some class who enjoy to use the speel will wear favorite.
ITEM_20150317_001085	Dunkel Cotton Boots
ITEM_20150317_001086	Dunkel Cotton Pants
ITEM_20150317_001087	It is believed that to provide excellent magic defense attributes.
ITEM_20150317_001088	Dunkel Cotton Robe
ITEM_20150317_001089	Due to the performance of the magic defense, people is selected.
ITEM_20150317_001090	Dunkel Hard Leather Gloves
ITEM_20150317_001091	Dunkel Hard Leather Boots
ITEM_20150317_001092	Dunkel Hard Leather Pants
ITEM_20150317_001093	Dunkel Hard Leather Armor
ITEM_20150317_001094	Dunkel Ring Gloves
ITEM_20150317_001095	Dunkel Ring Boots
ITEM_20150317_001096	Dunkel Ring Pants
ITEM_20150317_001097	Dunkel Ring Mail
ITEM_20150317_001098	Ring Gloves
ITEM_20150317_001099	Ring Boots
ITEM_20150317_001100	Ring Pants
ITEM_20150317_001101	Ring Mail
ITEM_20150317_001102	Finger
ITEM_20150317_001103	Kabra Boots
ITEM_20150317_001104	Crimson Leather Armor
ITEM_20150317_001105	Pokubu Armor
ITEM_20150317_001106	Carpenter Gloves
ITEM_20150317_001107	Tenet Chain Pants
ITEM_20150317_001108	Tenet Chainmail
ITEM_20150317_001109	Zalia Leather Gloves
ITEM_20150317_001110	Zalia Leather Boots
ITEM_20150317_001111	Zalia Leather Pants
ITEM_20150317_001112	Zalia Leather Armor
ITEM_20150317_001113	Proba Gloves
ITEM_20150317_001114	Proba Robe
ITEM_20150317_001115	Studded Gloves
ITEM_20150317_001116	Studded Boots
ITEM_20150317_001117	Studded Pants
ITEM_20150317_001118	Studded Armor
ITEM_20150317_001119	Insect Gauntlets
ITEM_20150317_001120	Insect Greaves
ITEM_20150317_001121	Insect Skirt
ITEM_20150317_001122	Insect Mail
ITEM_20150317_001123	Protas Boots
ITEM_20150317_001124	Protas Trousers
ITEM_20150317_001125	Red Veris Gloves
ITEM_20150317_001126	Red Veris Tunic
ITEM_20150317_001127	Light Plate Leggings
ITEM_20150317_001128	Light Plate Armor
ITEM_20150317_001129	Heavy Grima Gloves
ITEM_20150317_001130	Heavy Grima Boots
ITEM_20150317_001131	Heavy Grima Robe
ITEM_20150317_001132	Pokubon Leather Pants
ITEM_20150317_001133	Pokubon Leather Armor
ITEM_20150317_001134	Drake Leather Gloves
ITEM_20150317_001135	Drake Leather Boots
ITEM_20150317_001136	Drake Leather Leggings
ITEM_20150317_001137	Drake Leather Tunic
ITEM_20150317_001138	Silver Plate Gauntlets
ITEM_20150317_001139	Silver Plate Greaves
ITEM_20150317_001140	Silver Plate Leggings
ITEM_20150317_001141	Silver Plate Armor
ITEM_20150317_001142	Wild Leather Gloves
ITEM_20150317_001143	Heavy Boots
ITEM_20150317_001144	Capria Gloves
ITEM_20150317_001145	Leather Armor of Followers
ITEM_20150317_001146	Mummyghast Mail
ITEM_20150317_001147	Vejo Boots
ITEM_20150317_001148	Mien Boots
ITEM_20150317_001149	Arkon Hands
ITEM_20150317_001150	It is a glove that was using the Acon.
ITEM_20150317_001151	Ravinepede Boots
ITEM_20150317_001152	This is the boots that was painted a rubber specific feed of poison. It offers a strong resistance of the poison.
ITEM_20150317_001153	Nepenthes Gloves
ITEM_20150317_001154	It is a glove that was made in the stem of Nepenthes.
ITEM_20150317_001155	Shnayim Greaves
ITEM_20150317_001156	This is the shoes piled up debris that Sina.
ITEM_20150317_001157	Cafrisun Gloves
ITEM_20150317_001158	Such unprecedented magic of the device has raised the supicion that has received the support of the powerful forces in recent years.
ITEM_20150317_001159	Cafrisun Boots
ITEM_20150317_001160	The body becomes lighter just by simply wear.
ITEM_20150317_001161	Cafrisun Pants
ITEM_20150317_001162	Please do not deb damage to test the magic defense force.
ITEM_20150317_001163	Cafrisun Armor
ITEM_20150317_001164	We can't knkow the materials of this item but it is quite useful.
ITEM_20150317_001165	Dio Gloves
ITEM_20150317_001166	Dio Sandals
ITEM_20150317_001167	Dio Pants
ITEM_20150317_001168	Dio Robe
ITEM_20150317_001169	Dio Leather Gloves
ITEM_20150317_001170	Dio Leather Boots
ITEM_20150317_001171	Dio Leather Pants
ITEM_20150317_001172	Dio Leather Armor
ITEM_20150317_001173	Dio Chain Gauntlet
ITEM_20150317_001174	Dio Chain Boots
ITEM_20150317_001175	Dio Chain Pants
ITEM_20150317_001176	Dio Chain Mail
ITEM_20150317_001177	Thresh Gloves
ITEM_20150317_001178	Thresh Sandals
ITEM_20150317_001179	Thresh Pants
ITEM_20150317_001180	Thresh Robe
ITEM_20150317_001181	Thresh Leather Gloves
ITEM_20150317_001182	Thresh Leather Boots
ITEM_20150317_001183	Thresh Leather Pants
ITEM_20150317_001184	Thresh Leather Armor
ITEM_20150317_001185	Thresh Chain Gloves
ITEM_20150317_001186	Thresh Chain Boots
ITEM_20150317_001187	Thresh Chain Pants
ITEM_20150317_001188	Thresh Chainmail
ITEM_20150317_001189	Sestas Gloves
ITEM_20150317_001190	Sestas Sandals
ITEM_20150317_001191	Sestas Pants
ITEM_20150317_001192	Sestas Greaves
ITEM_20150317_001193	Sestas Leather Gloves
ITEM_20150317_001194	Sestas Leather Boots
ITEM_20150317_001195	Sestas Leather Pants
ITEM_20150317_001196	Sestas Leather Armor
ITEM_20150317_001197	Sestas Chain Gloves
ITEM_20150317_001198	Sestas Chain Boots
ITEM_20150317_001199	Sestas Chain Pants
ITEM_20150317_001200	Sestas Chain Mail
ITEM_20150317_001201	Drat Gloves
ITEM_20150317_001202	Drat Sandals
ITEM_20150317_001203	Drat Pants
ITEM_20150317_001204	Drat Robe
ITEM_20150317_001205	Drat Leather Gloves
ITEM_20150317_001206	Drat Leather Boots
ITEM_20150317_001207	Drat Leather Pants
ITEM_20150317_001208	Drat Leather Armor
ITEM_20150317_001209	Drat Gauntlets
ITEM_20150317_001210	Drat Greaves
ITEM_20150317_001211	Drat Plate Leggings
ITEM_20150317_001212	Drat Plate Armor
ITEM_20150317_001213	Aston Gloves
ITEM_20150317_001214	Aston Sandals
ITEM_20150317_001215	Aston Pants
ITEM_20150317_001216	Aston Greaves
ITEM_20150317_001217	Aston Leather Gloves
ITEM_20150317_001218	Aston Leather Boots
ITEM_20150317_001219	Aston Leather Pants
ITEM_20150317_001220	Aston Leather Armor
ITEM_20150317_001221	Aston Gauntlets
ITEM_20150317_001222	Aston Greaves
ITEM_20150317_001223	Aston Plate Leggings
ITEM_20150317_001224	Aston Plate Armor
ITEM_20150317_001225	Devi Gloves
ITEM_20150317_001226	Devi Sandals
ITEM_20150317_001227	Devi Pants
ITEM_20150317_001228	Devi Greaves
ITEM_20150317_001229	Devi Leather Gloves
ITEM_20150317_001230	Devi Leather Boots
ITEM_20150317_001231	Devi Leather Pants
ITEM_20150317_001232	Devi Leather Armor
ITEM_20150317_001233	Devi Gauntlets
ITEM_20150317_001234	Devi Greaves
ITEM_20150317_001235	Devi Plate Leggings
ITEM_20150317_001236	Devi Plate Armor
ITEM_20150317_001237	Prima Gloves
ITEM_20150317_001238	Prima Sandals
ITEM_20150317_001239	Prima Pants
ITEM_20150317_001240	Prima Greaves
ITEM_20150317_001241	Prima Leather Gloves
ITEM_20150317_001242	Prima Leather Boots
ITEM_20150317_001243	Prima Leather Pants
ITEM_20150317_001244	Prima Leather Armor
ITEM_20150317_001245	Prima Gauntlets
ITEM_20150317_001246	Prima Greaves
ITEM_20150317_001247	Prima Plate Leggings
ITEM_20150317_001248	Prima Plate Armor
ITEM_20150317_001249	Tomb Gloves
ITEM_20150317_001250	Tomb Leather Gloves
ITEM_20150317_001251	Tomb Gauntlets
ITEM_20150317_001252	Walker
ITEM_20150317_001253	Po Mine Armor
ITEM_20150317_001254	It was made with the old receipe that experience and wisdom of the miners of several hundred years.
ITEM_20150317_001255	Riena Pants
ITEM_20150317_001256	Riena Robe
ITEM_20150317_001257	Riena Leather Pants
ITEM_20150317_001258	Riena Leather Armor
ITEM_20150317_001259	Riena Plate Leggings
ITEM_20150317_001260	Riena Plate Armor
ITEM_20150317_001261	Vubbe Fighter Gauntlets
ITEM_20150317_001262	Shield Crasher
ITEM_20150317_001263	Vine Gloves
ITEM_20150317_001264	Vine Boots
ITEM_20150317_001265	Vine Pants
ITEM_20150317_001266	Vine Greaves
ITEM_20150317_001267	Saint Robe
ITEM_20150317_001268	Soul Chaser Gloves
ITEM_20150317_001269	Soul Chaser Boots
ITEM_20150317_001270	Soul Chaser Pants
ITEM_20150317_001271	Soul Chaser Armor
ITEM_20150317_001272	Bone Gauntlets
ITEM_20150317_001273	Bone Greaves
ITEM_20150317_001274	Bone Skirt
ITEM_20150317_001275	Bone Armor
ITEM_20150317_001276	Shade Hands
ITEM_20150317_001277	Shade Runner
ITEM_20150317_001278	Shade Skirt
ITEM_20150317_001279	Shade Dancer
ITEM_20150317_001280	Rokas Leather Armor
ITEM_20150317_001281	Rokas Mail
ITEM_20150317_001282	Rokas Robe
ITEM_20150317_001283	Wind Runner
ITEM_20150317_001284	Zakariel's Heart
ITEM_20150317_001285	Hydra Trousers
ITEM_20150317_001286	Banshee Veil
ITEM_20150317_001287	Top [Ghost]
ITEM_20150317_001288	no_neck
ITEM_20150317_001289	Can be equipped by pressing the right mouse button.
ITEM_20150317_001290	HP Necklace
ITEM_20150317_001291	Necklace
ITEM_20150317_001292	SP Necklace
ITEM_20150317_001293	STA Necklace
ITEM_20150317_001294	Panto Necklace
ITEM_20150317_001295	Bone Necklace
ITEM_20150317_001296	Hogma Leather Necklace
ITEM_20150317_001297	Strange Charm
ITEM_20150317_001298	Defense Necklace
ITEM_20150317_001299	Novice Necklace
ITEM_20150317_001300	The fact that such equipment is low cost is blessing for beginners.
ITEM_20150317_001301	Vubbe Talisman
ITEM_20150317_001302	It is why some attacks on Vubbes had no effects.
ITEM_20150317_001303	Chupacabra Necklace
ITEM_20150317_001304	Teeth of Chupacabra, there are rumors that sometimes while Daruguraku, whisper to each other themselves. It is no doubt was imbued anyway it's true.
ITEM_20150317_001305	Wooden Necklace
ITEM_20150317_001306	While you have a thing, we recommend that you do not take off suddenly.
ITEM_20150317_001307	Iron Necklace
ITEM_20150317_001308	Let me give but feel lighter, thinner does not actually true.
ITEM_20150317_001309	Steel Necklace
ITEM_20150317_001310	A small difference leads to life and death in battle. You won't regret wearing this neckalce.
ITEM_20150317_001311	Talisman
ITEM_20150317_001312	It is not very useful when you study unfortunately.
ITEM_20150317_001313	Klaipeda Chain
ITEM_20150317_001314	This necklace pull power from the wearer's soul.
ITEM_20150317_001315	Might Fedimian Chain
ITEM_20150317_001316	The reputation of handwork that are produced in Fedimian have a tradition for hundreds of years. You can feel the different unlike normal city of product.
ITEM_20150317_001317	Dex Fedimian Chain
