QUEST_LV_0200_20150317_000001	$Philipas' Soldier
QUEST_LV_0200_20150317_002212	The monsters are attacking Aspas. Defeat the monsters for Aspas.
QUEST_LV_0200_20150317_002213	You've protected Soldier Aspas from the monsters. Talk to Soldier Aspas again.
QUEST_LV_0200_20150317_002214	{memo X}Defeat the Keparaiders that are attacking
QUEST_LV_0200_20150317_002215	{memo X}Enter the Square of Lamentation
QUEST_LV_0200_20150317_002216	{memo X}Enter the Square of Lamentation
QUEST_LV_0200_20150317_002217	Talk to Royal Army Guard Retia
QUEST_LV_0200_20150317_002218	{memo X}Talk to the Royal Army
QUEST_LV_0200_20150317_002219	{memo X}The Royal Army, Retia is waiting for someone's help at the Square of Lamentation
QUEST_LV_0200_20150317_002220	{memo X}The Royal Army, Retia asked you to defeat the monsters at A region.
QUEST_LV_0200_20150317_002221	You defeated the monsters as Royal Army Guard Retia requested from you. Return to Retia.
QUEST_LV_0200_20150317_002222	{memo X}Check the petrification device
QUEST_LV_0200_20150317_002223	{memo X}The Royal Army, Retia has asked you to check the petrification devices that are installed at various places in the Square of Lamentation.
QUEST_LV_0200_20150317_002224	{memo X}As the Royal Army, Retia requested to you, you checked the petrificaion devices. The reactions on the devices are abnormal. Let's go back to Retia.
QUEST_LV_0200_20150317_002225	Eliminate weak frosts
QUEST_LV_0200_20150317_002226	{memo X}The Royal Army, Retia asked you to eliminate all weak Stone Frosts at Area, A. Use the scroll to absorb Stone Frosts to eliminate weak Stone Frosts as you discover them.
QUEST_LV_0200_20150317_002227	{memo X}As the Royal Army, Retia requested to you, you eliminated all weak Stone Frosts. Return to Retia.
QUEST_LV_0200_20150317_002228	{memo X}The Royal Army, Retia requested you to defeat Sparnashorns that attack the kingdom soldiers before the Stone Frosts start. When Stone Frosts start from A area, you will be able to see Sparnashorn. Check the petrification device again to seee whether Stone Frosts started.
QUEST_LV_0200_20150317_002229	As Royal Army Guard Retia requested to you, you successfully defeated Sparnashorns before the stone frosts started. Return to Retia.
QUEST_LV_0200_20150317_002230	Talk to Graverobber Hubertas
QUEST_LV_0200_20150317_002231	{memo X}Graverobber Hubertas is waiting for someone's help at the Square of Lamentation
QUEST_LV_0200_20150317_002232	{memo X}Graverobber Hubertas asked you to defeat the monsters at A area so he can start to excavate some stuffs.
QUEST_LV_0200_20150317_002233	{memo X}As Graverobber Hubertas requested, you've defeated enough monsters at A area. Return to Hubertas.
QUEST_LV_0200_20150317_002234	{memo X}Collect the toe nails of the monsters
QUEST_LV_0200_20150317_002235	{memo X}Graverobber Benjaminas asked you to obtain the toe nails of the monsters that are being traded for high prices among the kingdom soldiers.
QUEST_LV_0200_20150317_002236	You've collected enough toe nails of the monsters as Graverobber Hubertas requested of you. Return to him.
QUEST_LV_0200_20150317_002237	Steal petrified goods
QUEST_LV_0200_20150317_002238	{memo X}Graverobber Hubertas asked you to steal petrified goods that Dico Thieves set on A area.
QUEST_LV_0200_20150317_002239	{memo X}You've stolen the petrified goods from the Dico Thieves as Graverobber Hubertas requested. Let's go back to Hubertas.
QUEST_LV_0200_20150317_002240	{memo X}Collect the petrified flowers
QUEST_LV_0200_20150317_002241	{memo X}Graverobber Hubertas asked you to collect the petrified flowers that are being traded for high prices among the aristocrats in big cities.
QUEST_LV_0200_20150317_002242	{memo X}As Graverobber Hubertas requested, you've obtained enough petrified flowers. Let's go back to Hubertas.
QUEST_LV_0200_20150317_002243	{memo X}Hand over the water jars that are engraved with passwords.
QUEST_LV_0200_20150317_002244	{memo X}Graverobber Hubertas asked you to find Graverobber Benjaminas who is hidden among the guards. When you hand over the water jars that are engraved with passwords, Benjaminas would recognize it and talk to you.
QUEST_LV_0200_20150317_002245	Talk to Graverobber Benjaminas
QUEST_LV_0200_20150317_002246	{memo X}Someone is calling you among the guards!
QUEST_LV_0200_20150317_002247	{memo X}Graverobber Benjaminas is waiting for someone's help at the Square of Lamentation.
QUEST_LV_0200_20150317_002248	Collect the fragrant stone powders
QUEST_LV_0200_20150317_002249	{memo X}Graverobber Benjaminas told you how to get past the soldiers while avoiding their eyes. Let's collect the fragrant stone powders from the monsters in area A.
QUEST_LV_0200_20150317_002250	{memo X}You've collected fragrant stone powders as Graverobber Benjaminas requested. Let's go back to Benjaminas.
QUEST_LV_0200_20150317_002251	{memo X}Rub the fragrant stone powders
QUEST_LV_0200_20150317_002252	{memo X}Graverobber Benjaminas told you to rub the fragrant stone powders on the monsters in area A to lure Saltistter.
QUEST_LV_0200_20150317_002253	{memo X}As Benjaminas suggested to you, you rubbed the powders on the monsters. Before Saltistter appears, let's go back to Benjaminas to carry on to the next plan.
QUEST_LV_0200_20150317_002254	Graverobber Benjaminas has asked you to tell that Saltistter has appeared as planned to Royal Army Guard Retia. When the soldiers go out of the camp to face Saltistter, the colleagues of Benjaminas would move safely.
QUEST_LV_0200_20150317_002255	Graverobber Benjaminas and his accomplices passed safely. Let's go back to Graverobber Benjaminas.
QUEST_LV_0200_20150317_002256	Defeat Saltistter
QUEST_LV_0200_20150317_002257	Talk to Guard Gofden
QUEST_LV_0200_20150317_002258	{memo X}Guard Gofden is waiting for someone's help at the gloomy market place in the Petrified City.
QUEST_LV_0200_20150317_002259	{memo X}Guard Gofden asked you to help here. Defeat the monsters nearby to help Gofden.
QUEST_LV_0200_20150317_002260	You've defeated all the monsters nearby as Guard Gofden requested of you. Let's go back to Gofden.
QUEST_LV_0200_20150317_002261	Destroy the records of the rebels
QUEST_LV_0200_20150317_002262	Guard Gofden asked you to destroy the records of the rebels that were left neglected for a long time. You can find the records of the rebels from the commerce district.
QUEST_LV_0200_20150317_002263	As Guard Gofden requested of you, you've destroyed most of the rebel's records. Let's go back to Gofden.
QUEST_LV_0200_20150317_002264	{memo X}Collect the belongings of the soldiers
QUEST_LV_0200_20150317_002265	{memo X}Guard Gofden asked you to get the belongings of the petrified soldiers from Paltuo Square and the commerce district.
QUEST_LV_0200_20150317_002266	{memo X}As the guard Gofden requested of you, you've collected the belongings of the petrified guards. Let's go back to Gofden.
QUEST_LV_0200_20150317_002267	Talk to Cryomancer Kostas
QUEST_LV_0200_20150317_002268	{memo X}Cryomancer Kostas is looking for someone who can help with his work at the gloomy market in the Petrified City.
QUEST_LV_0200_20150317_002269	{memo X}Cryomancer Kostas came here to look for a way to remove the curse of petrification, but he can't concentrate on his research activities due to the monsters here. Defeat the monsters around and help his research activities.
QUEST_LV_0200_20150317_002270	{memo X}You've defeated the monsters nearby as requested by Cryomancer Kostas. Let's go back to Kostas.
QUEST_LV_0200_20150317_002271	{memo X}Experiment Inferior Ice Wall Scroll
QUEST_LV_0200_20150317_002272	{memo X}Cryomancer Kostas has asked you to experiment Inferior Ice Wall Scroll at the street of masters.
QUEST_LV_0200_20150317_002273	{memo X}As Cryomancer Kostas has requested of you, you successfully completed the Ice Wall Scroll experiment. Let's go back to Kostas.
QUEST_LV_0200_20150317_002274	{memo X}Collect the shiny stones
QUEST_LV_0200_20150317_002275	{memo X}Cryomancer Kostas has asked you to collect shiny stones that may contain the symbol of silk by defeating X monsters.
QUEST_LV_0200_20150317_002276	{memo X}As Cryomancer Kostas requested, you've collected the shiny stones. Let's go back to Kostas.
QUEST_LV_0200_20150317_002277	{memo X}Cryomancer Kostas is looking for someone who can complete his experiment at the groomy market in the Petrified City.
QUEST_LV_0200_20150317_002278	{memo X}Look for Kostas who ran away
QUEST_LV_0200_20150317_002279	{memo X}Cryomancer Kostas ran away with the symbol of silk. He doesn't seem to solve the petrified curse. Let's look for Kostas.
QUEST_LV_0200_20150317_002280	{memo X}Defeat Glackuman
QUEST_LV_0200_20150317_002281	$Talk with Graverobber Rudolfas
QUEST_LV_0200_20150317_002282	{memo X}$Graverobber Rudolfas is looking for someone's help at the groomy market in the Petrified City.
QUEST_LV_0200_20150317_002283	{memo X}Defeat monsters at the workplace
QUEST_LV_0200_20150317_002284	{memo X}$The thief Rudolfas asked you to defeat monsters at the workplace.
QUEST_LV_0200_20150317_002285	{memo X}$As thief Rudolfas has requested, you've defeated the monsters at the workplace. Let's go back to Rudolfas.
QUEST_LV_0200_20150317_002286	{memo X}Help the excavation
QUEST_LV_0200_20150317_002287	{memo X}$Graverobber Rudolfas asked you to help with the excavation. As Rudolfas works on the excavation, let's face against the monsters.
QUEST_LV_0200_20150317_002288	{memo X}$For thief Rudolfas to work well enough, let's eliminate the monsters nearby. Let's go back to Rudolfas.
QUEST_LV_0200_20150317_002289	{memo X}Defeat Blue Sequoia
QUEST_LV_0200_20150317_002290	Talk to Guard Lyle
QUEST_LV_0200_20150317_002291	Guard Lyle is waiting for someone's help at Ruklys Street in the Petrified City.{nl}
QUEST_LV_0200_20150317_002292	{memo X}Guard Lyle asked you to defeat the monsters that are roaming around the checkpoint.
QUEST_LV_0200_20150317_002293	As Guard Lyle requested, you've defeated enough monsters. Return to Lyle.
QUEST_LV_0200_20150317_002294	{memo X}Protect the petrified victim
QUEST_LV_0200_20150317_002295	{memo X}Guard Lyle asked you to protect the guards that are dying due to their exposure to the Stone Frosts at the great square. Write down the wills of the guards and defeat the monsters that are attacking.
QUEST_LV_0200_20150317_002296	{memo X}As the Guard Lyle requested to you, you've protected the will and the last moment of the victims of the Stone Frosts. Let's go back to Lyle.
QUEST_LV_0200_20150317_002297	{memo X}Protect the victim
QUEST_LV_0200_20150317_002298	{memo X}Arrest the Dico Thieves
QUEST_LV_0200_20150317_002299	{memo X}Guard Lyle asked you to suppress the Dico Thieves that are stealing stuff at the commerce district. After you are done suppressing them, Lyle and Nomabis are going to arrest them.
QUEST_LV_0200_20150317_002300	{memo X}As the Guard Lyle requsted of you, you've helped the Dico Thieves. Let's go back to Lyle.
QUEST_LV_0200_20150317_002301	Talk to Guard Nomabis
QUEST_LV_0200_20150317_002302	Guard Nomabis is waiting for someone's help at Ruklys Street in the Petrified City.{nl}
QUEST_LV_0200_20150317_002303	Retrieve the items that were stolen
QUEST_LV_0200_20150317_002304	Guard Nomabis asked you to retrieve the supplies that Dico Thieves have stolen from you from the Drasa Worship Ruins.
QUEST_LV_0200_20150317_002305	You've retrieved the supplies as requested by the guard Nomabis. Return to Nomabis.
QUEST_LV_0200_20150317_002306	{memo X}Defeat Dico Thieves
QUEST_LV_0200_20150317_002307	{memo X}Guard Nomabis has asked you to fix the bad habit of the Dico Thieves. Defeat them at the Drasa Worship Ruins.
QUEST_LV_0200_20150317_002308	{memo X}As Nomabis requested of you, you've defeated the Dico Thieves. Return to Nomabis.
QUEST_LV_0200_20150317_002309	{memo X}Eliminate the trap
QUEST_LV_0200_20150317_002310	{memo X}Guard Nomabis has asked you to get rid of the traps that the Dico Thieves have installed.
QUEST_LV_0200_20150317_002311	{memo X}While you were getting rid of the traps as requested by the guard Nomabis, the Bebraspion that was caught and locked by the Dico Thieves appeared so you killed it. Let's tell this to Nomabis.
QUEST_LV_0200_20150317_002312	Talk to Chronomancer Sabina
QUEST_LV_0200_20150317_002313	Chronomancer Sabina is looking for someone's help at Ruklys Street in the Petrified City.
QUEST_LV_0200_20150317_002314	Craft the copy of the petrified book
QUEST_LV_0200_20150317_002315	Chronomancer Sabina asked you to get a copy of the petrified book near the collapsed Gate Route.
QUEST_LV_0200_20150317_002316	As Chronomancer Sabina requested of you, you crafted the copy of the petrified book. Hand it over to Sabina.
QUEST_LV_0200_20150317_002317	{memo X}Look at the past using the Time Magnifying Glass.
QUEST_LV_0200_20150317_002318	{memo X}Chronomancer Sabina told you to use the Time Magnifying Glass to look at what happened at Pergeler Highway a few hundred years ago.
QUEST_LV_0200_20150317_002319	{memo X}As Chronomancer Sabina instructed to you, you observed the disaster in the past using the magnifying glass. Return to Sabina and tell her what you just observed.
QUEST_LV_0200_20150317_002320	Look for the portal that is usable
QUEST_LV_0200_20150317_002321	{memo X}Chronomancer Sabina told you that there may be some portals of the great earth that may be still activating that are scattered across Ruklys Street.
QUEST_LV_0200_20150317_002322	As Chronomancer Sabina requested, you found the portal to the Fortress of the Land, and it seems it can be still activated. Return to Sabina.
QUEST_LV_0200_20150317_002323	Maintain the commerce district
QUEST_LV_0200_20150317_002324	Chronomancer Sabina has asked you to defeat the monsters near the portal so that he can carry on the experiment near the portal which is the only one that can be activated near the commerce district.
QUEST_LV_0200_20150317_002325	As Chronomancer Sabina requested of you, you've defeated all the monsters near the portal in the commerce district. Return to Sabina.
QUEST_LV_0200_20150317_002326	{memo X}Defeat the monsters near the portal
QUEST_LV_0200_20150317_002327	{memo X}Activate the Portal of the Fortress of the Land
QUEST_LV_0200_20150317_002328	{memo X}Chronomancer Sabina has asked you to go to the portal at the military district and carry on the experiment.
QUEST_LV_0200_20150317_002329	You observed something unexpected as you started the experiment as Chronomancer Sabina has requested from you. Let's go back to Sabina.
QUEST_LV_0200_20150317_002330	Defeat Lepus
QUEST_LV_0200_20150317_002331	Talk to Adjutant General Hans
QUEST_LV_0200_20150317_002332	Adjutant General Hans is looking for someone who could help him at the entrance of the central district of the Petrified City.
QUEST_LV_0200_20150317_002333	{memo X}The assistant commander Hans has asked you to defeat monsters that are located between the entrance of the central district and the mouth of the river.
QUEST_LV_0200_20150317_002334	Adjutant General Hans requested from you, you've defeated enough monsters. Let's go back to Hans.
QUEST_LV_0200_20150317_002335	{memo X}Rub monsters' body odor
QUEST_LV_0200_20150317_002336	{memo X}The assistant commander Hans has asked you to put the monsters' odor on the supplies that were to be provided to the guards of the kingdom to lure the boss monster.
QUEST_LV_0200_20150317_002337	{memo X}You've sent the supplies with the monsters' odor to the guards as the assistant commander Hans has requsted. Let's go back to Hans.
QUEST_LV_0200_20150317_002338	{memo X}Lure the guards
QUEST_LV_0200_20150317_002339	{memo X}The assistant commander Hans told you that the boss monster would appear soon. To help Hans cross Steponas, you've asked the soldiers to fight against the boss monster.
QUEST_LV_0200_20150317_002340	{memo X}As the assistant commander Hans requested, you've helped the thieves to cross by avoiding the eyes of the guards. Let's go back to Hans.
QUEST_LV_0200_20150317_002341	Retrieve the propaganda of the kingdom army guard
QUEST_LV_0200_20150317_002342	{memo X}The assistant commander Hans asked you to retrieve the propaganda that the kingdom soldiers spread to the thieves. The propaganda are attached to the ruins of the watermill.
QUEST_LV_0200_20150317_002343	{memo X}As Hans requested, you've retrieved all the propaganda that the soldiers spread. Return to Hans.
QUEST_LV_0200_20150317_002344	Talk with Graverobber Steponas
QUEST_LV_0200_20150317_002345	{memo X}Collect the stone gunpowders
QUEST_LV_0200_20150317_002346	{memo X}Graverobber Steponas suggested you to collect the ingredients for the bombs to awake the petrified Golem. Defeat the monsters nearby and collect the stone gun powders.
QUEST_LV_0200_20150317_002347	{memo X}As the thief Steponas requested of you, you collected enough stone gun powders. Return to Steponas.
QUEST_LV_0200_20150317_002348	Obtain a %s by defeating monsters
QUEST_LV_0200_20150317_002349	{memo X}Experiment the processed stone gun powders
QUEST_LV_0200_20150317_002350	{memo X}Graverobber Steponas has asked you to experiment the processed gun powders on the monsters before using it.
QUEST_LV_0200_20150317_002351	{memo X}As requested by the thief Steponas, you've checked how strong the stone gun powder is. You found that it is unstable to use it at the moment. Return to Steponas and let him know.
QUEST_LV_0200_20150317_002352	{memo X}Obtain the pasted mucus
QUEST_LV_0200_20150317_002353	{memo X}Graverobber Steponas asked you to stabilize the instable stone gun powders and to do so, you should defeat the monsters at Viska sanctum ruins and obtain the pasted muscus.
QUEST_LV_0200_20150317_002354	{memo X}As Steponas requested of you, you obtained enough pasted muscus. Return to Steponas.
QUEST_LV_0200_20150317_002355	Obtain %s from monsters
QUEST_LV_0200_20150317_002356	Obtain the pasted muscus
QUEST_LV_0200_20150317_002357	Obtain the nucleus of the frost
QUEST_LV_0200_20150317_002358	{memo X}Graverobber Steponas asked you to defeat Stone Frosters and obtain the nucleus of the frosts which The Knights of Kaliss has asked you.
QUEST_LV_0200_20150317_002359	{memo X}Graverobber Steponas obtained the nuclues of the frosts from Stone Frosters. Let's go back to Steponas.
QUEST_LV_0200_20150317_002360	Obtain %s from Stone Frosters
QUEST_LV_0200_20150317_002361	Talk with Royal Army Guard Rofdel
QUEST_LV_0200_20150317_002362	Royal Army Guard Rofdel is looking for someone who could help you at the main district of the Petrified City.
QUEST_LV_0200_20150317_002363	{memo X}Collect the stone powders
QUEST_LV_0200_20150317_002364	{memo X}The kingdom soldier Rofdel wants you to defeat monsters to fix the tower and also wants you to obtain some petrification powders from them.
QUEST_LV_0200_20150317_002365	{memo X}As the kingdom soldier Rofdel requested from you, you've obtained enough petrification powders. Let's go back to Rofdel.
QUEST_LV_0200_20150317_002366	Obtain %s by defeating the monsters
QUEST_LV_0200_20150317_002367	Destroy the records that are petrified
QUEST_LV_0200_20150317_002368	Royal Army Guard Rofdel has asked you to destroy the petrified records that are at the Vadova dock.
QUEST_LV_0200_20150317_002369	You've destroyed all the petrified records as the Royal Army Guard Rofdel requested to you. Return to Rofdel.
QUEST_LV_0200_20150317_002370	{memo X}Destroy the petrified monster
QUEST_LV_0200_20150317_002371	{memo X}The kingdom soldier Rofdel asked you to destroy the petrified monster at the collapsed Amosi dock.
QUEST_LV_0200_20150317_002372	{memo X}As the kingdom soldier Rofdel requested to you, you destroyed the petrified monster. Let's go back to Rofdel.
QUEST_LV_0200_20150317_002373	{memo X}Destroy the petrified monster
QUEST_LV_0200_20150317_002374	Put flyers
QUEST_LV_0200_20150317_002375	Royal Army Guard Rofdel asked you to put the flyer on the bulletin board to conciliate the thieves.
QUEST_LV_0200_20150317_002376	You've put the flyers in the various places in the main district, as Royal Army Guard Rofdel asked you to. Let's go back to Rofdel.
QUEST_LV_0200_20150317_002377	Talk to Wilhelmina Carriot
QUEST_LV_0200_20150317_002378	Wilhelmina Carriot is seeking for someone's help at the inner district of the Petrified City.
QUEST_LV_0200_20150317_002379	{memo X}Wilhelmina Carriot wants you to defeat the monsters at Kovos Hall.
QUEST_LV_0200_20150317_002380	You've defeated the monsters as Wilhelmina Carriot requested of you. Let's go back to Wilhelmina Carriot.
QUEST_LV_0200_20150317_002381	{memo X}Retrieve the refreshing candies
QUEST_LV_0200_20150317_002382	{memo X}Wilhelmina Carriot has asked you to retrieve the refreshing candies that the monsters took away from her.
QUEST_LV_0200_20150317_002383	You've defeated the monsters as requested by Wilhelmina Carriot and retrieved the refreshing candies. Let's take them back to Wilhelmina Carriot.
QUEST_LV_0200_20150317_002384	{memo X}Retrieve the refreshing candies
QUEST_LV_0200_20150317_002385	Soothe the victims
QUEST_LV_0200_20150317_002386	Wilhelmina Carriot asked you to soothe the kingdom soldiers that are dying due to the frosts at the Stalactite Square. Let's go back to Wilhelmina Carriot after receiving their wills and belongings.
QUEST_LV_0200_20150317_002387	{memo X}Look for the dead guard
QUEST_LV_0200_20150317_002388	{memo X}You've discovered a guard who is already dead due to the effect of Stone Frosts. Let's go back to the guard.
QUEST_LV_0200_20150317_002389	{memo X}As Wilhelmina Carriot requested of you, you've received the belongings and the wills from the victims. Let's go back to Wilhelmina Carriot.
QUEST_LV_0200_20150317_002390	Talk to the Bokor Master
QUEST_LV_0200_20150317_002391	Bokor Edita at the Petrified City is seeking for someone's help.
QUEST_LV_0200_20150317_002392	{memo X}Collect the ingredients for the medicine
QUEST_LV_0200_20150317_002393	{memo X}Bokor Edita asked you to defeat the host monsters and bring the ingredients for the medicine.
QUEST_LV_0200_20150317_002394	{memo X}You've collected the ingredients for the medicine as Bokor Edita requested to you. Return to Edita.
QUEST_LV_0200_20150317_002395	{memo X}Obtain the ingredients for the medicine
QUEST_LV_0200_20150317_002396	{memo X}Release the ego
QUEST_LV_0200_20150317_002397	Bokor Edita asked you to use the medicine on the petrified victims to release their egos.
QUEST_LV_0200_20150317_002398	As Bokor Edita requested of you, you've released the egos of the victims by using the medicine on them. Return to Edita.
QUEST_LV_0200_20150317_002399	{memo X}Light up the brazier
QUEST_LV_0200_20150317_002400	{memo X}Bokor Edita asked you to light up the brazier in the fortress.
QUEST_LV_0200_20150317_002401	{memo X}You've lighted up the brazier as Bokor Edita requested to you. Let's go back to Edita.
QUEST_LV_0200_20150317_002402	Talk with Alchemist Saliamonas
QUEST_LV_0200_20150317_002403	Alchemist Saliamonas is waiting for someone's help at the Petrified City.
QUEST_LV_0200_20150317_002404	{memo X}Use the melting substance
QUEST_LV_0200_20150317_002405	Alchemist Saliamonas told you to use the melting substance on the monsters
QUEST_LV_0200_20150317_002406	{memo X}You used the melting substance on the monsters as Saliamonas told you to, but you made them angry. Let's go back to Saliamonas.
QUEST_LV_0200_20150317_002407	{memo X}Collect the copies of the petrification
QUEST_LV_0200_20150317_002408	{memo X}Saliamonas asked you to obtain the petrification samples by defeating the monsters at Nebekia fortress for the experiment of the new medicine.
QUEST_LV_0200_20150317_002409	{memo X}You've collected enough petrification samples as requested by Saliamonas. Let's go back to Saliamonas.
QUEST_LV_0200_20150317_002410	Collect Petrification Samples
QUEST_LV_0200_20150317_002411	{memo X}Defeat Elite Monsters
QUEST_LV_0200_20150317_002412	{memo X}Saliamonas asked you to defeat Elite Monsters that are destroying the ruins in Nebekia fortress.
QUEST_LV_0200_20150317_002413	{memo X}You've defeated Elite Monsters as requested by Saliamonas. Let's go back to Saliamonas.
QUEST_LV_0200_20150317_002414	Talk to Graverobber Amanda
QUEST_LV_0200_20150317_002415	Graverobber Amanda is waiting for someone's help in the Petrified City.
QUEST_LV_0200_20150317_002416	Collect Documentaries of Ruklys' Era
QUEST_LV_0200_20150317_002417	{memo X}The thief, Amanda, asked you to collect the records of the era of Ruklys at the rendezvous point for the transaction with Wilhelmina Carriot.
QUEST_LV_0200_20150317_002418	You've collected the records of the era of Ruklys as requested by Amanda. Let's go back to Amanda.
QUEST_LV_0200_20150317_002419	{memo X}The thief, Amanda, asked you to hand over the records of Ruklys' era to Wilhelmina Carriot who is working at Kovos Hall. After that, you should receive a weapon from Wilhelmina Carriot which you can use to defeat Gargoyles.
QUEST_LV_0200_20150317_002420	{memo X}You've received the vacuum scroll from Wilhelmina Carriot. Let's give it to Graverobber Amanda.
QUEST_LV_0200_20150317_002421	Defeat Gargoyles
QUEST_LV_0200_20150317_002422	{memo X}The thief, Amanda, told you to destroy Gargoyles at the rendezvous point that are trying to enter the Fortress of the Land. Use the vacuum scroll that you received from Wilhelmina Carriot and defeat Gargoyles without making any sound.
QUEST_LV_0200_20150317_002423	You've defeated Gargoyles as Graverobber Amanda requested to you. Return to her and let's talk about what to do next.
QUEST_LV_0200_20150317_002424	Talk to Knight Titas
QUEST_LV_0200_20150317_002425	After reading the notice to recruit more soldiers, you feel like you should help. Talk to Knight Titas at the west forest of Siaulai.
QUEST_LV_0200_20150317_002426	{memo X}Defeat the monsters at the hills of the spirits
QUEST_LV_0200_20150317_002427	{memo X}Knight Titas told you to help Julian squad who is trying to march forward between the hills of the spirits and the gateway of great king. Destroy 100 monsters on the hills of the spirits.
QUEST_LV_0200_20150317_002428	Report to Commander Julian
QUEST_LV_0200_20150317_002429	{memo X}You've defeated many monsters on the hills of the spirits. Report to Commander Julian.
QUEST_LV_0200_20150317_002430	{memo X}Defeat the monsters at the hills of the spirits
QUEST_LV_0200_20150317_002431	$Talk to Villager Darren
QUEST_LV_0200_20150317_002432	$Darren seems to be puzzled. Listen to him.
QUEST_LV_0200_20150317_002433	$Check the beehives at Rododun Apiary
QUEST_LV_0200_20150317_002434	$Darren is worried about whether his beehives at Rododun Apiary are okay after they were attacked by monsters. Go to Rododun Apiary and check whether the beehives are okay.
QUEST_LV_0200_20150317_002435	$Fortunately, the beehives are okay. Return to Villager Darren and let him know about this.
QUEST_LV_0200_20150317_002436	$The beehives at Rododun Apiary are okay, but we should do something to them. Talk to the relieved Villager Darren.
QUEST_LV_0200_20150317_002437	$Defeat the monsters with sweet fragrance.
QUEST_LV_0200_20150317_002438	$Villager Darren told you that the monsters are going after the apiary's honey so he wants to use empty beehives to deceive the monsters. Defeat a monster with sweet fragrance and get an empty beehive.
QUEST_LV_0200_20150317_002439	$Hand over the empty beehive to Villager Darren
QUEST_LV_0200_20150317_002440	$You've obtained an empty beehive. Hand over the beehive to Villager Darren.
QUEST_LV_0200_20150317_002441	$Obtain %s from a monster with sweet fragrance
QUEST_LV_0200_20150317_002442	$Villager Darren seems to have more to say. Listen to what he has to say.
QUEST_LV_0200_20150317_002443	$Draw out the oil from the oil barrels
QUEST_LV_0200_20150317_002444	$Villager Darren suspects Brewer Dorjen is going to burn down the forest in anger towards the monsters. Before you pacify Dorjen, draw out the oil from the barrels near Micolas Brewery.
QUEST_LV_0200_20150317_002445	$Talk to Brewer Dorjen
QUEST_LV_0200_20150317_002446	$You've drawn out all the oil from the oil barrels you found. Talk to Brewer Dorjen.
QUEST_LV_0200_20150317_002447	{memo X}Remove the oil from the containers
QUEST_LV_0200_20150317_002448	{memo X}Brewer Dorjen, is angry after he found out that his plan of burning the forest was foiled. Soothe Dorjen.
QUEST_LV_0200_20150317_002449	$Bring back Dorjen's Signature Mead from the Honey Wine Warehouse
QUEST_LV_0200_20150317_002450	$Brewer Dorjen can't calm himself down and told you to bring back his signature mead from the Honey Wine Warehouse.
QUEST_LV_0200_20150317_002451	$You've brought the mead in good condition. Hand it over to Dorjen.
QUEST_LV_0200_20150317_002452	$Brewer Dorjen seems to trust you a lot now. Listen to what he has to say.
QUEST_LV_0200_20150317_002453	$Defeat the monsters who ruined Dorjen's brewery
QUEST_LV_0200_20150317_002454	$Brewer Dorjen told you that if you could defeat the monsters that ruined his brewery, his anger may subside. Exact revenge on the monsters for Dorjen.
QUEST_LV_0200_20150317_002455	$You've defeated the monsters as requested by Dorjen. Let Dorjen know about it.
QUEST_LV_0200_20150317_002456	{memo X}Defeat Chupalukas who ruined the brewery business
QUEST_LV_0200_20150317_002457	$Check the beehives at Rododun Apiary
QUEST_LV_0200_20150317_002458	$Check the beehives at Rododun Apiary
QUEST_LV_0200_20150317_002459	$Defeat Sparnas
QUEST_LV_0200_20150317_002460	$Defeat the Sparnas that occupied the Rododun Apiary
QUEST_LV_0200_20150317_002461	$Check the mead storage boxes
QUEST_LV_0200_20150317_002462	$You can smell some sweet fragrance from somewhere. Check the boxes with sweet fragrance.
QUEST_LV_0200_20150317_002463	$It seems that a Biteregina came after the smell of honey. Defeat the Biteregina.
QUEST_LV_0200_20150317_002464	Talk to Kirina
QUEST_LV_0200_20150317_002465	Kirina seems to be afraid of something. Ask her what happened.
QUEST_LV_0200_20150317_002466	Kirina is worried about the way back to the village. To make her comfortable, defeat the monsters nearby.
QUEST_LV_0200_20150317_002467	You've defeated enough monsters nearby. Return to Kirina and soothe her.
QUEST_LV_0200_20150317_002468	{memo X}Talk with Cleopas
QUEST_LV_0200_20150317_002469	{memo X}Cleopas seems to have some troubles. Listen to what happened to her.
QUEST_LV_0200_20150317_002470	{memo X}Talk with Micolas
QUEST_LV_0200_20150317_002471	{memo X}Talk with Micolas on behalf of Cleopas.
QUEST_LV_0200_20150317_002472	{memo X}You heard why Micolas is angry. Tell Cleopas about it.
QUEST_LV_0200_20150317_002473	{memo X}Check with Cleopas whether she remembers something.
QUEST_LV_0200_20150317_002474	{memo X}Obtain the brewery device from Elite Chupalukas
QUEST_LV_0200_20150317_002475	{memo X}Cleopas once saw the Elite Chupalukas licking the device recklessly. Check with the Elite Chuparuka whether it has the brewery device.
QUEST_LV_0200_20150317_002476	{memo X}Hand the brewery device to Micolas
QUEST_LV_0200_20150317_002477	{memo X}Elite Chuparuka has the brewery device. Hand it over to Micolas.
QUEST_LV_0200_20150317_002478	{memo X}Obtain %s by killing large Chupa Luca
QUEST_LV_0200_20150317_002479	{memo X}Micolas has a favor to ask of you. Listen to his story.
QUEST_LV_0200_20150317_002480	{memo X}Obtain Royal Jellies by defeating the monsters
QUEST_LV_0200_20150317_002481	{memo X}Micolas wants to give Royal Jellies to Cleopas as a way to apologize. Obtain Royal Jellies by defeating the monsters nearby.
