SKILL_20150317_000001	공격
SKILL_20150317_000989	{memo X}{#DDD300}{ol}[타격]{/}{/}{nl}힘을 모아 무기로 지면을 내려쳐 적을 공격합니다.
SKILL_20150317_000990	트롯
SKILL_20150317_000991	이동속도가 증가합니다.
SKILL_20150317_000992	{memo X}이동속도 #{CaptionRatio}#%증가{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_000993	스티드 챠지
SKILL_20150317_000994	{memo X}{#DDD300}{ol}[타격]{/}{/}{nl}전방으로 힘차게 돌진하여 대상을 밀어 내버립니다.
SKILL_20150317_000995	둠 스파이크
SKILL_20150317_000996	{memo X}{#DDD300}{ol}[타격]{/}{/}{nl}힘을 모아 적을 강하게 찌릅니다.
SKILL_20150317_000997	돌격
SKILL_20150317_000998	{memo X}{#DD5500}{ol}[베기]{/}{/}{nl}창을 머리위로 돌리면서 전방에 있는 적에게 연속된 공격을 합니다.
SKILL_20150317_000999	{memo X}공격력 #{SkillAtkAdd}#{nl}최대 지속시간 10초{nl}스플래시 #{SkillSR}#
SKILL_20150317_001000	드래깅 데쓰
SKILL_20150317_001001	{memo X}{#DDD300}{ol}[찌르기]{/}{/}{nl}전방의 적에게 연속된 공격을 합니다.
SKILL_20150317_001002	임바우얼
SKILL_20150317_001003	{memo X}{#DD5500}{ol}[찌르기]{/}{/}{nl}적을 강하게 찌른 뒤 발로 차버립니다.
SKILL_20150317_001004	프렌지
SKILL_20150317_001005	{memo X}스킬사용 후 대상을 기본 공격으로 연속 공격하면, 자신의 공격력이 증가합니다. 
SKILL_20150317_001006	{memo X}공격력 #{CaptionRatio}# 증가{nl}최대 중첩#{CaptionRatio2}#회{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001007	어그레서
SKILL_20150317_001008	{memo X}자신의 공격이 반드시 명중하지만, 자신의 치명타 발생, 치명타 회피가 감소합니다.
SKILL_20150317_001009	{memo X}치명타 발생 #{CaptionRatio}#%감소{nl}치명타 회피 #{CaptionRatio}#%감소{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001010	새비지리
SKILL_20150317_001011	{memo X}버프가 유지되는 동안 {#DD5500}{ol}[찌르기]{/}{/}속성 공격에 연타 보너스가 추가됩니다.
SKILL_20150317_001012	{#DD5500}{ol}[찌르기]{/}{/}연타 보너스{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001013	워크라이
SKILL_20150317_001014	{memo X}자신에게 근접한 대상의 방어력을 감소시키고, 감소시킨 방어력을 자신의 공격력에 추가합니다.
SKILL_20150317_001015	적용 대상 #{CaptionRatio}#명{nl} 물리 방어력 최대 #{CaptionRatio2}# 감소{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001016	스톰핑 킥
SKILL_20150317_001017	{memo X}{#DD5500}{ol}[타격]{/}{/}{nl}공중에 있을 때, 강하게 착지하여 대상에게 피해를 줍니다.
SKILL_20150317_001018	{memo X}웨폰 매인터넌스
SKILL_20150317_001019	{memo X}무기를 손질할 수 있는 상점을 개설합니다.
SKILL_20150317_001020	{memo X}아머 매인터넌스
SKILL_20150317_001021	{memo X}방어구를 손질할 수 있는 상점을 개설합니다.
SKILL_20150317_001022	리페어
SKILL_20150317_001023	{memo X}방패로 밀어서 적의 행동을 방해합니다.
SKILL_20150317_001024	포박
SKILL_20150317_001025	졸리로저
SKILL_20150317_001026	아이언 후크
SKILL_20150317_001027	킬 홀링
SKILL_20150317_001028	언락 체스트
SKILL_20150317_001029	{memo X}서브웨폰 캔슬
SKILL_20150317_001030	{memo X}{#DDD300}{ol}[버프]{/}{/}{nl}버프가 유지되는동안 {#CC3300}{ol}[찌르기]{/}{/}속성 공격에 연타 보너스가 추가됩니다.
SKILL_20150317_001031	{memo X}#{CaptionTime}#초 지속{nl}소비 SP #{SpendSP}#
SKILL_20150317_001032	컨스크립트
SKILL_20150317_001033	팔랑크스
SKILL_20150317_001034	테르시오
SKILL_20150317_001035	윙드 포메이션
SKILL_20150317_001036	웨지 포메이션
SKILL_20150317_001037	스킬트론
SKILL_20150317_001038	테스튜도
SKILL_20150317_001039	스커미셔
SKILL_20150317_001040	방향전환
SKILL_20150317_001041	디드 오브 밸러
SKILL_20150317_001042	{memo X}공격속도 증가, 피격시 공격 비율 증가, 방어력 하락
SKILL_20150317_001043	페인 배리어
SKILL_20150317_001044	{memo X}#{CaptionTime}#초간 이동속도 #{CaptionRatio}#% 증가
SKILL_20150317_001045	살격
SKILL_20150317_001046	{memo X}{#CC3300}{ol}[찌르기]{/}{/} 속성{nl}공격력 #{SkillFactor}#%{nl}스플래시 #{SkillSR}#{nl}소비 SP #{SpendSP}#
SKILL_20150317_001047	더블페이언
SKILL_20150317_001048	{memo X}맞는 대미지 3배
SKILL_20150317_001049	퍼니쉬
SKILL_20150317_001050	사이클론
SKILL_20150317_001051	{memo X}주변 적들에게 강력한 회전공격을 가합니다.
SKILL_20150317_001052	{memo X}Lv.1 공격 비율 #{SkillFactor}#, 스플래시 3Lv.2 공격 비율 #{SkillFactor}#, 스플래시 6Lv.3 공격 비율 #{SkillFactor}#, 스플래시 9Lv.4 공격 비율 #{SkillFactor}#, 스플래시 12Lv.5 공격 비율 #{SkillFactor}#, 스플래시 15
SKILL_20150317_001053	자폭
SKILL_20150317_001054	분신술
SKILL_20150317_001055	공격 준비
SKILL_20150317_001056	무르밀로1
SKILL_20150317_001057	무르밀로2
SKILL_20150317_001058	적의 공격을 방어합니다.
SKILL_20150317_001059	{memo X}버프 지속 시간 #{CaptionTime}#초{nl}패링 확률 #{CaptionRatio}#%
SKILL_20150317_001060	{memo X}어깨를 적에게 부딪쳐 밀쳐냅니다.
SKILL_20150317_001061	{memo X}{#CC3300}{ol}[타격]{/}{/} 속성{nl}공격력 #{SkillFactor}#%+#{SkillAtkAdd}#{nl}스플래시 #{SkillSR}#{nl}소비 SP #{SpendSP}#
SKILL_20150317_001062	{memo X}넉다운파워 증가
SKILL_20150317_001063	{memo X}체인을 이용하여 근처의 적을 잡아 힘껏 돌립니다.
SKILL_20150317_001064	저주
SKILL_20150317_001065	에너지 볼트
SKILL_20150317_001066	{memo X}{#993399}{ol}[마법]{/}{/}{nl}강력한 에너지로 대상을 공격합니다.
SKILL_20150317_001067	{memo X}공격력 #{SkillAtkAdd}#{nl}캐스팅 시간 1초{nl}스플래시 #{SkillSR}#
SKILL_20150317_001068	레써지
SKILL_20150317_001069	{memo X}대상을 무기력하게 만듭니다.
SKILL_20150317_001070	물리 공격력 #{CaptionRatio}# 감소{nl}마법 공격력 #{CaptionRatio}# 감소{nl}회피 #{CaptionRatio2}# 감소{nl}{#339999}{ol}[레써지]{/}{/} 지속시간 #{CaptionTime}#초
SKILL_20150317_001071	슬리프
SKILL_20150317_001072	{memo X}대상을 수면상태에 빠지게 합니다. 수면상태인 적은 공격 한계치에 도달하면 깨어납니다.
SKILL_20150317_001073	{#339999}{ol}[수면]{/}{/} 지속시간 #{SkillFactor}#초{nl}공격 한계치 #{CaptionRatio}#회
SKILL_20150317_001074	리플렉트 실드
SKILL_20150317_001075	{memo X}대상의 공격을 반사하는 보호막을 생성합니다.
SKILL_20150317_001076	대미지 반사 #{CaptionRatio}#{nl}지속시간 #{CaptionTime}#초{nl}반사 횟수 #{CaptionRatio2}#회
SKILL_20150317_001077	어스퀘이크
SKILL_20150317_001078	{#993399}{ol}[마법] - [대지]{/}{/}{nl}강력한 지진을 일으켜 대상에게 피해를 줍니다.
SKILL_20150317_001079	슈어스펠
SKILL_20150317_001080	스킬 사용 시, 공격을 당해도 캐스팅이 취소되지 않습니다.
SKILL_20150317_001081	지속시간 #{CaptionTime}#초
SKILL_20150317_001082	매직 미사일
SKILL_20150317_001083	{memo X}{#993399}{ol}[마법]{/}{/}{nl}대상에게 매직 미사일을 날립니다.
SKILL_20150317_001084	공격력 #{SkillAtkAdd}#{nl}매직 미사일 3개
SKILL_20150317_001085	퀵캐스트
SKILL_20150317_001086	{memo X}스킬의 캐스팅 시간이 감소합니다.
SKILL_20150317_001087	캐스팅 시간 #{CaptionRatio}#%감소{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001088	파이어볼
SKILL_20150317_001089	{memo X}{#993399}{ol}[마법] - [불]{/}{/}{nl}화염 구체를 소환합니다. 검 공격시 구체를 날려버릴 수 있습니다.
SKILL_20150317_001090	{memo X}공격력 #{SkillAtkAdd}#{nl}공격 횟수 #{SkillSR}#회{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001091	파이어월
SKILL_20150317_001092	{memo X}{#993399}{ol}[마법] - [불]{/}{/}{nl}화염 장벽을 만들어 근접한 적에게 피해를 줍니다.
SKILL_20150317_001093	{memo X}공격력 #{SkillAtkAdd}#{nl}파이어월 #{CaptionRatio}#개{nl}공격 횟수 #{CaptionRatio2}#회{nl}지속시간 15초
SKILL_20150317_001094	인챈트 파이어
SKILL_20150317_001095	{memo X}대상에게 불 속성 공격력을 부여합니다. 기본 공격시 추가대미지가 적용됩니다.
SKILL_20150317_001096	불 속성 공격력 #{CaptionRatio}# 증가{nl}추가대미지 +#{CaptionRatio2}#{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001097	플레어
SKILL_20150317_001098	{memo X}{#993399}{ol}[마법] - [불]{/}{/}{nl}상태이상에 걸린 적을 폭발시켜 피해를 줍니다. 석화와 결빙상태는 제외합니다.
SKILL_20150317_001099	공격력 #{SkillAtkAdd}#
SKILL_20150317_001100	파이어 필라
SKILL_20150317_001101	{memo X}{#993399}{ol}[마법] - [불]{/}{/}{nl}불기둥을 소환해 대상에게 피해를 줍니다.
SKILL_20150317_001102	{memo X}공격력 #{SkillAtkAdd}#{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001103	헬브레스
SKILL_20150317_001104	{memo X}{#993399}{ol}[마법] - [불]{/}{/}{nl}전방을 향해 지속적으로 불을 뿜어냅니다.
SKILL_20150317_001105	{memo X}공격력 #{SkillAtkAdd}#{nl}0.5초 당 SP #{CaptionRatio}#%소비
SKILL_20150317_001106	아이스볼트
SKILL_20150317_001107	{memo X}{#993399}{ol}[마법] - [얼음] - [찌르기]{/}{/}{nl}얼음 포스를 날려 대상에게 피해를 주고 일정 확률로 결빙 상태에 걸리게 합니다.
SKILL_20150317_001108	{memo X}공격력 #{SkillAtkAdd}#{nl}{#339999}{ol}[결빙]{/}{/} 지속시간 3초
SKILL_20150317_001109	아이스파이크
SKILL_20150317_001110	{memo X}{#993399}{ol}[마법] - [얼음] - [찌르기]{/}{/}}{nl}얼음 파도를 일으켜 전방의 대상에게 피해를 주고 일정 확률로 결빙 상태에 걸리게 합니다.
SKILL_20150317_001111	{memo X}공격력 #{SkillAtkAdd}#{nl}{#339999}{ol}[결빙]{/}{/} 지속시간 4초
SKILL_20150317_001112	{memo X}얼음 장벽을 만들어 대상을 일정 확률로 결빙 상태에 걸리게 합니다.
SKILL_20150317_001113	{memo X}아이스월 #{CaptionRatio}#개{nl}{#339999}{ol}[결빙]{/}{/} 지속시간 3초{nl}아이스월 지속시간 10초
SKILL_20150317_001114	아이스 블래스트
SKILL_20150317_001115	{memo X}{#993399}{ol}[마법] - [얼음]{/}{/}{nl}전방 일직선상에 결빙된 대상을 폭발시켜 피해를 줍니다.
SKILL_20150317_001116	{#339999}{ol}[결빙]{/}{/} 대상에게 공격력 #{SkillAtkAdd}#
SKILL_20150317_001117	{memo X}잠시동안 얼음벽을 만들어 적의 공격을 방어합니다.
SKILL_20150317_001118	{memo X}공격한 적 {#339999}{ol}[결빙]{/}{/}확률 50%{nl}{#339999}{ol}[결빙]{/}{/} 지속시간 3초
SKILL_20150317_001119	거스트
SKILL_20150317_001120	{memo X}강풍을 일으켜 대상을 밀쳐냅니다. 결빙 상태거나 아이스월 근처의 대상에게는 피해를 줍니다.
SKILL_20150317_001121	프로스트필라
SKILL_20150317_001122	지면에 얼음 나무를 소환하여 주변의 대상을 끌어당깁니다.
SKILL_20150317_001123	{#339999}{ol}[결빙]{/}{/}확률 #{CaptionRatio}#%{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001124	사이킥 프레셔
SKILL_20150317_001125	{memo X}{#993399}{ol}[마법]{/}{/}{nl}전방에 있는 대상에게 지속적인 피해를 줍니다.
SKILL_20150317_001126	{memo X}공격력 #{SkillAtkAdd}#{nl}스플래시 #{CaptionRatio}#{nl}1초 당 SP #{CaptionRatio2}#%소비
SKILL_20150317_001127	텔레키네시스
SKILL_20150317_001128	{memo X}{#993399}{ol}[마법]{/}{/}{nl}전방의 대상을 염력으로 붙잡습니다.{nl}붙잡은 뒤 방향키 입력 방향으로 대상을 던지고 피해를 줍니다.
SKILL_20150317_001129	{memo X}공격력 #{SkillAtkAdd}#{nl}공격 횟수 #{CaptionRatio}#회{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001130	스왑
SKILL_20150317_001131	{memo X}지정한 위치의 적과 자신의 위치를 바꿉니다.
SKILL_20150317_001132	적용 대상 #{CaptionRatio}#{nl}제한 거리 20{nl}
SKILL_20150317_001133	텔레포테이션
SKILL_20150317_001134	{memo X}임의 위치로 순간이동합니다.
SKILL_20150317_001135	순간이동 최대거리 #{CaptionRatio}#
SKILL_20150317_001136	마그네틱 포스
SKILL_20150317_001137	{memo X}{#993399}{ol}[마법]{/}{/}{nl}지정한 위치의 대상을 빨아들여 피해를 줍니다.
SKILL_20150317_001138	레이즈
SKILL_20150317_001139	{memo X}자신 주변의 대상을 공중으로 들어올립니다.
SKILL_20150317_001140	적용 대상 #{CaptionRatio}#{nl}지속시간 #{CaptionRatio2}#초
SKILL_20150317_001141	그라비티 폴
SKILL_20150317_001142	{memo X}일자 형태의 중력장을 생성하여 대상을 끌어당깁니다.
SKILL_20150317_001143	{memo X}적용 대상 #{CaptionRatio}#{nl}최대 지속시간 5초
SKILL_20150317_001144	언바인드
SKILL_20150317_001145	연결된 모든 링크를 해제합니다.
SKILL_20150317_001146	모든 링크를 한번에 끊음{nl}1레벨 마스터
SKILL_20150317_001147	피지컬링크
SKILL_20150317_001148	파티원에게 링크를 걸어 피해를 나눠 받습니다.
SKILL_20150317_001149	{memo X}링크수가 많으면 피해가 적어짐{nl}최대 링크 수 #{CaptionRatio}#개{nl}지속시간 #{CaptionTime}#초{nl}스태미나 16% 소비
SKILL_20150317_001150	조인트 페널티
SKILL_20150317_001151	{memo X}적에게 링크를 겁니다. 링크에 걸린 적들은 피해를 동시에 입습니다.
SKILL_20150317_001152	최대 링크 수 #{SkillFactor}#개{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001153	행맨스 낫
SKILL_20150317_001154	{memo X}링크에 걸린 적을 한지점으로 모읍니다.
SKILL_20150317_001155	{memo X}모이는 시간 0.3초
SKILL_20150317_001156	스피리추얼 체인
SKILL_20150317_001157	{memo X}파티원에게 링크를 걸어 버프효과를 공유합니다.
SKILL_20150317_001158	{memo X}탯줄
SKILL_20150317_001159	{memo X}자신의 방어력과 HP 회복력을 링크된 대상에게 나눠줍니다.
SKILL_20150317_001160	{memo X}전달되는 물리 방어력 #{CaptionRatio}#{nl}전달되는 HP 회복력 #{CaptionRatio2}#{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001161	왼팔 강화
SKILL_20150317_001162	{memo X}대상의 왼손을 크게하여 공격력을 상승시킵니다.
SKILL_20150317_001163	물리 공격력 #{CaptionRatio}# 증가{nl}마법 공격력 #{CaptionRatio}# 증가{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001164	크기 축소
SKILL_20150317_001165	대상의 몸 크기를 작게합니다.
SKILL_20150317_001166	대형->중형->소형{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001167	크기 확대
SKILL_20150317_001168	{memo X}대상의 몸 크기를 크게합니다.
SKILL_20150317_001169	{memo X}소형->중형->대형{nl}지속시간 #{CaptionTime}#초
SKILL_20150317_001170	트랜스포스
SKILL_20150317_001171	{memo X}자신의 지능과 체력을 잠시동안 바꿉니다.
SKILL_20150317_001172	리버시
SKILL_20150317_001173	{memo X}적의 마법진을 아군의 마법진으로 변경합니다.
SKILL_20150317_001174	지정한 위치의 적 마법진 변경{nl}1레벨 마스터
SKILL_20150317_001175	오른팔 강화
SKILL_20150317_001176	{memo X}대상의 오른손을 크게하여 공격력을 상승시킵니다.
SKILL_20150317_001177	{memo X}두뇌 풀가동
SKILL_20150317_001178	{memo X}머리가 커졌다.
SKILL_20150317_001179	일렉트로큐트
SKILL_20150317_001180	{memo X}{#993399}{ol}[마법] - [전기]{/}{/}{nl}전기체인을 발사하여 전방의 대상을 차례대로 공격합니다.
SKILL_20150317_001181	{memo X}공격력 #{SkillAtkAdd}#{nl}적용 대상 #{CaptionRatio}#
SKILL_20150317_001182	스톤커스
SKILL_20150317_001183	{memo X}대상을 석화 상태로 만듭니다.
SKILL_20150317_001184	{memo X}지속시간 #{CaptionTime}#초{nl}스플래시 #{CaptionRatio}#
SKILL_20150317_001185	헤일
SKILL_20150317_001186	{memo X}{#993399}{ol}[마법] - [얼음]{/}{/}{nl}지정한 위치에 얼음 조각을 무수히 떨어뜨려 대상에게 피해를 줍니다.
SKILL_20150317_001187	홍염
SKILL_20150317_001188	{memo X}{#993399}{ol}[마법] - [불]{/}{/}{nl}주변에 홍염을 풀어놓습니다. 홍염은 임의의 위치를 오고가면서 대상에게 피해를 입힙니다.
SKILL_20150317_001189	{memo X}공격력 #{SkillAtkAdd}#{nl}지속시간 15초
SKILL_20150317_001190	메테오
SKILL_20150317_001191	{memo X}{#993399}{ol}[마법] - [불]{/}{/}{nl}지정한 위치에 운석을 떨어뜨려 대상에게 피해를 줍니다.
SKILL_20150317_001192	{memo X}공격력 #{SkillAtkAdd}#{nl}캐스팅 시간 #{CaptionTime}#초{nl}스플래시 #{SkillSR}#
SKILL_20150317_001193	서모닝
SKILL_20150317_001194	{memo X}자신을 따르는 정령을 소환합니다.
SKILL_20150317_001195	지정 공격
SKILL_20150317_001196	{memo X}정령이 소환자가 지정한 위치로 이동하면서 가까운 적을 공격합니다.
SKILL_20150317_001197	탑승
SKILL_20150317_001198	{memo X}소환자가 정령위에 탑승합니다.
SKILL_20150317_001199	변이
SKILL_20150317_001200	퀴큰
SKILL_20150317_001201	{memo X}아군 1인에게 공격 속도를 올려주는 버프를 부여합니다.
SKILL_20150317_001202	환생
SKILL_20150317_001203	{memo X}해당 버프를 걸고 몬스터를 죽이면, 죽기 직전의 몬스터가 다시 나타난다.
SKILL_20150317_001204	{memo X}{#6644FF}{ol}[화염]{/}{/} 속성{nl}0.5초마다 공격력 #{SkillFactor}#%+#{SkillAtkAdd}# 피해{nl}10초 지속{nl}소비 SP #{SpendSP}#
SKILL_20150317_001205	스톱
SKILL_20150317_001206	{memo X}몬스터 홀드상태 해당지역내 몬스터 모든행동 stop
SKILL_20150317_001207	슬로우
SKILL_20150317_001208	{memo X}이동 속도 #{CaptionRatio}#% 감소{nl}둔화 지속시간 5초{nl}소비 SP #{SpendSP}#
SKILL_20150317_001209	헤이스트
SKILL_20150317_001210	백마스킹
SKILL_20150317_001211	{memo X}해당지역내 시간을 모두 스킬사용 이전의 상태로 되돌린다.
SKILL_20150317_001212	게더 콥스
SKILL_20150317_001213	{memo X}이 스킬로 몬스터를 잡으면 데드파츠가 쌓입니다.
SKILL_20150317_001214	쇼고스 만들기
SKILL_20150317_001215	{memo X}데드파츠를 이용하여, 괴생명체 쇼고스를 소환합니다.
SKILL_20150317_001216	{memo X}플레쉬 캐논
SKILL_20150317_001217	{memo X}데드파츠를 한 지점에 발사합니다.
SKILL_20150317_001218	{memo X}플레쉬 후프
SKILL_20150317_001219	{memo X}자신 주위에 데드파츠 벽을 둘러, 반경에 들어오는 몬스터들에게 대미지를 입힙니다.
SKILL_20150317_001220	더티 월
SKILL_20150317_001221	디신터
SKILL_20150317_001222	컴버스천
SKILL_20150317_001223	{memo X}마법 파비스
SKILL_20150317_001224	디그
SKILL_20150317_001225	{memo X}로스팅
SKILL_20150317_001226	브리케팅
SKILL_20150317_001227	팅크쳐링
SKILL_20150317_001228	마그눔 오푸스
SKILL_20150317_001229	{memo X}지정된 범위에 적들의 공격을 막아주는 마법 결계를 형성합니다.
SKILL_20150317_001230	{memo X}Lv.1 #{CaptionTime}#초 지속, 6회 방어, 최대#{CaptionRatio}#명 적용Lv.2 #{CaptionTime}#초 지속, 6회 방어, 최대#{CaptionRatio}#명 적용Lv.3 #{CaptionTime}#초 지속, 6회 방어, 최대#{CaptionRatio}#명 적용
SKILL_20150317_001231	{memo X}자신의 전방에 안개로 덮인 결계지역을 만듭니다. 안개 속에 있는 적들은 명중률이 떨어집니다
SKILL_20150317_001232	{memo X}#{CaptionTime}#초 지속, 명중률 #{CaptionRatio}#% 하향{nl}소비 SP #{SpendSP}#
SKILL_20150317_001233	{memo X}시전자의 주변에 [결빙]된 적들에게 충격을 가하여 피해를 입힙니다.
SKILL_20150317_001234	{memo X}Lv.1 공격 비율 #{SkillFactor}#, 스플래시 #{SkillSR}#Lv.2 공격 비율 #{SkillFactor}#, 스플래시 #{SkillSR}#Lv.3 공격 비율 #{SkillFactor}#, 스플래시 #{SkillSR}#Lv.4 공격 비율 #{SkillFactor}#, 스플래시 #{SkillSR}#Lv.5 공격 비율 #{SkillFactor}#, 스플래시 #{SkillSR}#
SKILL_20150317_001235	{memo X}지정한 대상에게 [저주]를 걸어 방어능력치를 떨어 트립니다.
SKILL_20150317_001236	{memo X}Lv.1 방어력, 마법저항력 #{CaptionRatio}#% 감소{nl}#{CaptionTime}#초 지속Lv.2 방어력, 마법저항력 #{CaptionRatio}#% 감소{nl}#{CaptionTime}#초 지속Lv.3 방어력, 마법저항력 #{CaptionRatio}#% 감소{nl}#{CaptionTime}#초 지속Lv.4 방어력, 마법저항력 #{CaptionRatio}#% 감소{nl}#{CaptionTime}#초 지속Lv.5 방어력, 마법저항력 #{CaptionRatio}#% 감소{nl}#{CaptionTime}#초 지속
SKILL_20150317_001237	{memo X}[저주]에 걸린 대상에게 데미지를 입힙니다. 매 3회째 공격마다 더 큰 피해를 입힙니다.
SKILL_20150317_001238	{memo X}Lv.1 공격 비율 #{SkillFactor}#, 매 3회째 공격 비율 #{CaptionRatio}#{nl}유효거리 #{Arg1}#Lv.2 공격 비율 #{SkillFactor}#, 매 3회째 공격 비율 #{CaptionRatio}#{nl}유효거리 #{Arg1}#Lv.3 공격 비율 #{SkillFactor}#, 매 3회째 공격 비율 #{CaptionRatio}#{nl}유효거리 #{Arg1}#Lv.4 공격 비율 #{SkillFactor}#, 매 3회째 공격 비율 #{CaptionRatio}#{nl}유효거리 #{Arg1}#Lv.5 공격 비율 #{SkillFactor}#, 매 3회째 공격 비율 #{CaptionRatio}#{nl}유효거리 #{Arg1}#
SKILL_20150317_001239	{memo X}사용자에게 [중독]의 오오라를 소환하여 주변적들에게 피해를 입힙니다.
SKILL_20150317_001240	{memo X}Lv.1 0.5초 마다 공격 비율 #{SkillFactor}#의 피해{nl}#{CaptionTime}#초 지속Lv.2 0.5초 마다 공격 비율 #{SkillFactor}#의 피해{nl}#{CaptionTime}#초 지속Lv.3 0.5초 마다 공격 비율 #{SkillFactor}#의 피해{nl}#{CaptionTime}#초 지속Lv.4 0.5초 마다 공격 비율 #{SkillFactor}#의 피해{nl}#{CaptionTime}#초 지속Lv.5 0.5초 마다 공격 비율 #{SkillFactor}#의 피해{nl}#{CaptionTime}#초 지속
SKILL_20150317_001241	{memo X}바닥에 전쟁의 르와를 그립니다. 해당 액티브를 적용받은 아군은 힘과 지능이 강화됩니다.
SKILL_20150317_001242	{memo X}Lv.1 힘, 지능 증가 #{CaptionRatio2}#, 최대#{CaptionRatio}#명 적용{nl}스킬 #{CaptionTime}#초 지속, 버프 2분 지속Lv.2 힘, 지능 증가 #{CaptionRatio2}#, 최대#{CaptionRatio}#명 적용{nl}스킬 #{CaptionTime}#초 지속, 버프 2분 지속Lv.3 힘, 지능 증가 #{CaptionRatio2}#, 최대#{CaptionRatio}#명 적용{nl}스킬 #{CaptionTime}#초 지속, 버프 2분 지속Lv.4 힘, 지능 증가 #{CaptionRatio2}#, 최대#{CaptionRatio}#명 적용{nl}스킬 #{CaptionTime}#초 지속, 버프 2분 지속Lv.5 힘, 지능 증가 #{CaptionRatio2}#, 최대#{CaptionRatio}#명 적용{nl}스킬 #{CaptionTime}#초 지속, 버프 2분 지속
SKILL_20150317_001243	{memo X}바닥에 죽음의 르와를 그립니다. 해당 액티브를 적용받은 아군은 체력과 민첩이 강화됩니다.
SKILL_20150317_001244	{memo X}Lv.1 체력, 민첩 증가 #{CaptionRatio2}#, 최대#{CaptionRatio}#명 적용{nl}스킬 #{CaptionTime}#초 지속, 버프 2분 지속Lv.2 체력, 민첩 증가 #{CaptionRatio2}#, 최대#{CaptionRatio}#명 적용{nl}스킬 #{CaptionTime}#초 지속, 버프 2분 지속Lv.3 체력, 민첩 증가 #{CaptionRatio2}#, 최대#{CaptionRatio}#명 적용{nl}스킬 #{CaptionTime}#초 지속, 버프 2분 지속Lv.4 체력, 민첩 증가 #{CaptionRatio2}#, 최대#{CaptionRatio}#명 적용{nl}스킬 #{CaptionTime}#초 지속, 버프 2분 지속Lv.5 체력, 민첩 증가 #{CaptionRatio2}#, 최대#{CaptionRatio}#명 적용{nl}스킬 #{CaptionTime}#초 지속, 버프 2분 지속
SKILL_20150317_001245	{memo X}현재 개발 중
SKILL_20150317_001246	{memo X}아군을 회복 시켜주는 마법진을 소환합니다.
SKILL_20150317_001247	{memo X}마블
SKILL_20150317_001248	{memo X}블랙홀
SKILL_20150317_001249	{memo X}HP와 SP를 뒤바꾸고 방어막 생성합니다.
SKILL_20150317_001250	{memo X}HP 와 SP 를 뒤바꾸기, #{CaptionTime}#초간 MHP의 #{CaptionRatio}#% 방어막 생성
SKILL_20150317_001251	{memo X}일시적으로 공격력을 향상 시키고 모든 스킬의 소비 SP를 증가시킵니다.
SKILL_20150317_001252	{memo X}공격력 #{CaptionRatio}#%증가{nl}소비 SP 50% 증가{nl}지속시간 30초{nl}소비 SP #{SpendSP}#
SKILL_20150317_001253	{memo X}타겟지역의 모든적을 한곳에 모으며 피해를 입힙니다.
SKILL_20150317_001254	{memo X}#{CaptionTime}#초 지속, 6회 방어, 최대#{CaptionRatio}#명 적용
SKILL_20150317_001255	{memo X}타겟을 강력한 에너지로 둘러쌈. 타겟제외한 타겟주변은 초당 피해를 입힙니다.
SKILL_20150317_001256	{memo X}공격 비율 #{SkillFactor}#, 스플래시 #{SkillSR}#
SKILL_20150317_001257	{memo X}자신의 주위의 적에게 유성을 낙하시켜 [화염]피해를 입힙니다.
SKILL_20150317_001258	{memo X}[화염][타격] 피해 +#{SkillFactor}#{nl}유성 개수 #{CaptionRatio}#개{nl}스플래시 #{SkillSR}#{nl}소비 SP #{SpendSP}#
SKILL_20150317_001259	{memo X}적을 얼려버립니다.
SKILL_20150317_001260	카운트다운
SKILL_20150317_001261	{memo X}아군의 시간을 되돌린다. HP,SP,STA,스킬쿨
SKILL_20150317_001262	{memo X}이동하며 타격을 주는 정령을 소환합니다.
SKILL_20150317_001263	{memo X}자신의 데몬을 희생시켜 주변적에게 타격을 줍니다.
SKILL_20150317_001264	{memo X}소환자가 받는 모든타격을 정령이 대신 받게됩니다.
SKILL_20150317_001265	{memo X}자신의 자리에 분신을 복제시킴, 스킬 사용후 자신은 해당 지역에서 이탈
SKILL_20150317_001266	{memo X}공속올려주는 버프
SKILL_20150317_001267	{memo X}적이 사용한 장판계 스킬을 아군이 사용할수 있게 바꿈
SKILL_20150317_001268	{memo X}테슷흐
SKILL_20150317_001269	멀티샷
SKILL_20150317_001270	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}지정한 위치에 여러발의 화살을 빠르게 발사합니다.
