QUEST_LV_0100_20150317_000001	Sentinel
QUEST_LV_0100_20150317_000500	You must be brave in order to protect the kingdom. {nl} But for that bravery to be different from recklessness, your skills should be good enough.
QUEST_LV_0100_20150317_000501	The Goddesses may be all gone but my powers are still doing fine, right? {nl} I'm sure it must be proof that Goddess Gabija is at least safe somewhere.
QUEST_LV_0100_20150317_000502	Master Elementalist
QUEST_LV_0100_20150317_000503	The simplest things are the strongest.{nl}If you want to find out the root of everything, take the path of Elementalist.
QUEST_LV_0100_20150317_000504	Master Quarrelshooter
QUEST_LV_0100_20150317_000505	It's painful to see people who come to Klaipeda seeking refuge from the monsters. {nl} That wouldn't have been necessary if you were a Quarrelshooter.
QUEST_LV_0100_20150317_000506	Master Ranger
QUEST_LV_0100_20150317_000507	I heard monsters swarm in flocks outside of Klaipeda.{nl} It would be better to learn/train my skill rather than foolishly attack them one by one.
QUEST_LV_0100_20150317_000508	Sapper Master
QUEST_LV_0100_20150317_000509	People shouldn't do things they'll regret. {nl} I lost even the ones whom I want to ask for forgiveness on the Divine Day four years ago. {nl}
QUEST_LV_0100_20150317_000510	Master Archer
QUEST_LV_0100_20150317_000511	Killing enemies one by one from a distance is the beauty of the bow and arrow. {nl} No matter how many shots you make, it's the actual shots that count, isn't it?
QUEST_LV_0100_20150317_000512	Master Priest 
QUEST_LV_0100_20150317_000513	Priest does not suspect the Goddess. {nl} Only faith can support the priest.
QUEST_LV_0100_20150317_000514	Sadhu Master
QUEST_LV_0100_20150317_000515	
QUEST_LV_0100_20150317_000516	Rexipher
QUEST_LV_0100_20150317_000517	You're late . {Nl} Want to save a woman?
QUEST_LV_0100_20150317_000518	
QUEST_LV_0100_20150317_000519	
QUEST_LV_0100_20150317_000520	
QUEST_LV_0100_20150317_000521	
QUEST_LV_0100_20150317_000522	
QUEST_LV_0100_20150317_000523	
QUEST_LV_0100_20150317_000524	
QUEST_LV_0100_20150317_000525	
QUEST_LV_0100_20150317_000526	
QUEST_LV_0100_20150317_000527	
QUEST_LV_0100_20150317_000528	
QUEST_LV_0100_20150317_000529	
QUEST_LV_0100_20150317_000530	
QUEST_LV_0100_20150317_000531	
QUEST_LV_0100_20150317_000532	
QUEST_LV_0100_20150317_000533	When you level up, you can increase a status of your choice and become stronger. {nl} Would you like to check it now?
QUEST_LV_0100_20150317_000534	It's important to think ahead about what you would want to be. {nl} It's never an easy thing.
QUEST_LV_0100_20150317_000535	Yes. That's how you do it. {nl} Pretty simple, huh?
QUEST_LV_0100_20150317_000536	Sir Aras is in the center area of the Woods. {nl} But there has been a tremendous increase in monsters around here so I suggest you don't go in.
QUEST_LV_0100_20150317_000537	The monster that somehow coming into the Klaipeda but has received. {Nl} If you do not want to delete monster increases were due to Locate and it will be a difficult. {Nl}
QUEST_LV_0100_20150317_000538	The strange feeling I had in the Crystal Mine 3rd Gallery, {nl} it keeps occurring to me that it might be related to the girl that town people are talking about. {nl}
QUEST_LV_0100_20150317_000539	I just feel bad that I wasn't able to meet 
QUEST_LV_0100_20150317_000540	Thank you for saving the villagers but, {nl} you're not going to the Closed Area, are you?
QUEST_LV_0100_20150317_000541	
QUEST_LV_0100_20150317_000542	
QUEST_LV_0100_20150317_000543	I smell was BiteRegina I underwriting. and {nl} It was good because as not hurt.
QUEST_LV_0100_20150317_000544	
QUEST_LV_0100_20150317_000545	
QUEST_LV_0100_20150317_000546	
QUEST_LV_0100_20150317_000547	
QUEST_LV_0100_20150317_000548	
QUEST_LV_0100_20150317_000549	
QUEST_LV_0100_20150317_000550	
QUEST_LV_0100_20150317_000551	
QUEST_LV_0100_20150317_000552	
QUEST_LV_0100_20150317_000553	
QUEST_LV_0100_20150317_000554	
QUEST_LV_0100_20150317_000555	
QUEST_LV_0100_20150317_000556	
QUEST_LV_0100_20150317_000557	
QUEST_LV_0100_20150317_000558	
QUEST_LV_0100_20150317_000559	
QUEST_LV_0100_20150317_000560	
QUEST_LV_0100_20150317_000561	
QUEST_LV_0100_20150317_000562	
QUEST_LV_0100_20150317_000563	
QUEST_LV_0100_20150317_000564	
QUEST_LV_0100_20150317_000565	
QUEST_LV_0100_20150317_000566	
QUEST_LV_0100_20150317_000567	
QUEST_LV_0100_20150317_000568	
QUEST_LV_0100_20150317_000569	
QUEST_LV_0100_20150317_000570	
QUEST_LV_0100_20150317_000571	
QUEST_LV_0100_20150317_000572	
QUEST_LV_0100_20150317_000573	
QUEST_LV_0100_20150317_000574	
QUEST_LV_0100_20150317_000575	
QUEST_LV_0100_20150317_000576	Belief in yourself. Endless confidence. {nl} These are the most important things when projecting yourself in reality. {nl} That is the nature of Psychokino and the power that moves the world. 
QUEST_LV_0100_20150317_000577	Linker is someone who connects people with the rope of Mana. {nl} How strong the connection is depends on the quality of Mana. 
QUEST_LV_0100_20150317_000578	Cataphract master
QUEST_LV_0100_20150317_000579	Cataphract program, has the power to proceed through all the enemies that confront before. {Nl} and brave warriors to fight on the front lines.
QUEST_LV_0100_20150317_000580	May I help you? Fortunately, we have some potions left in stock.
QUEST_LV_0100_20150317_000581	Looking for some good equipment? {nl} I have prepared the best ones available. {nl} Look around, the prices aren't bad either.
QUEST_LV_0100_20150317_000582	Oh, this anvil is my small gift to you for saving me. {nl} It's a useful item that can upgrade your equipment. {nl}
QUEST_LV_0100_20150317_000583	Well then, see you in the mines.
QUEST_LV_0100_20150317_000584	
QUEST_LV_0100_20150317_000585	
QUEST_LV_0100_20150317_000586	
QUEST_LV_0100_20150317_000587	
QUEST_LV_0100_20150317_000588	
QUEST_LV_0100_20150317_000589	
QUEST_LV_0100_20150317_000590	
QUEST_LV_0100_20150317_000591	
QUEST_LV_0100_20150317_000592	
QUEST_LV_0100_20150317_000593	
QUEST_LV_0100_20150317_000594	
QUEST_LV_0100_20150317_000595	
QUEST_LV_0100_20150317_000596	
QUEST_LV_0100_20150317_000597	
QUEST_LV_0100_20150317_000598	
QUEST_LV_0100_20150317_000599	
QUEST_LV_0100_20150317_000600	
QUEST_LV_0100_20150317_000601	
QUEST_LV_0100_20150317_000602	
QUEST_LV_0100_20150317_000603	
QUEST_LV_0100_20150317_000604	
QUEST_LV_0100_20150317_000605	
QUEST_LV_0100_20150317_000606	
QUEST_LV_0100_20150317_000607	
QUEST_LV_0100_20150317_000608	
QUEST_LV_0100_20150317_000609	
QUEST_LV_0100_20150317_000610	
QUEST_LV_0100_20150317_000611	
QUEST_LV_0100_20150317_000612	
QUEST_LV_0100_20150317_000613	
QUEST_LV_0100_20150317_000614	
QUEST_LV_0100_20150317_000615	
QUEST_LV_0100_20150317_000616	
QUEST_LV_0100_20150317_000617	
QUEST_LV_0100_20150317_000618	
QUEST_LV_0100_20150317_000619	
QUEST_LV_0100_20150317_000620	
QUEST_LV_0100_20150317_000621	
QUEST_LV_0100_20150317_000622	
QUEST_LV_0100_20150317_000623	
QUEST_LV_0100_20150317_000624	
QUEST_LV_0100_20150317_000625	
QUEST_LV_0100_20150317_000626	
QUEST_LV_0100_20150317_000627	
QUEST_LV_0100_20150317_000628	
QUEST_LV_0100_20150317_000629	
QUEST_LV_0100_20150317_000630	
QUEST_LV_0100_20150317_000631	
QUEST_LV_0100_20150317_000632	
QUEST_LV_0100_20150317_000633	
QUEST_LV_0100_20150317_000634	
QUEST_LV_0100_20150317_000635	
QUEST_LV_0100_20150317_000636	
QUEST_LV_0100_20150317_000637	
QUEST_LV_0100_20150317_000638	
QUEST_LV_0100_20150317_000639	
QUEST_LV_0100_20150317_000640	
QUEST_LV_0100_20150317_000641	
QUEST_LV_0100_20150317_000642	
QUEST_LV_0100_20150317_000643	
QUEST_LV_0100_20150317_000644	
QUEST_LV_0100_20150317_000645	
QUEST_LV_0100_20150317_000646	
QUEST_LV_0100_20150317_000647	
QUEST_LV_0100_20150317_000648	
QUEST_LV_0100_20150317_000649	
QUEST_LV_0100_20150317_000650	
QUEST_LV_0100_20150317_000651	
QUEST_LV_0100_20150317_000652	
QUEST_LV_0100_20150317_000653	
QUEST_LV_0100_20150317_000654	
QUEST_LV_0100_20150317_000655	
QUEST_LV_0100_20150317_000656	
QUEST_LV_0100_20150317_000657	
QUEST_LV_0100_20150317_000658	
QUEST_LV_0100_20150317_000659	
QUEST_LV_0100_20150317_000660	
QUEST_LV_0100_20150317_000661	
QUEST_LV_0100_20150317_000662	
QUEST_LV_0100_20150317_000663	
QUEST_LV_0100_20150317_000664	
QUEST_LV_0100_20150317_000665	
QUEST_LV_0100_20150317_000666	
QUEST_LV_0100_20150317_000667	
QUEST_LV_0100_20150317_000668	
QUEST_LV_0100_20150317_000669	
QUEST_LV_0100_20150317_000670	
QUEST_LV_0100_20150317_000671	
QUEST_LV_0100_20150317_000672	
QUEST_LV_0100_20150317_000673	
QUEST_LV_0100_20150317_000674	
QUEST_LV_0100_20150317_000675	
QUEST_LV_0100_20150317_000676	
QUEST_LV_0100_20150317_000677	
QUEST_LV_0100_20150317_000678	
QUEST_LV_0100_20150317_000679	
QUEST_LV_0100_20150317_000680	
QUEST_LV_0100_20150317_000681	
QUEST_LV_0100_20150317_000682	
QUEST_LV_0100_20150317_000683	
QUEST_LV_0100_20150317_000684	
QUEST_LV_0100_20150317_000685	
QUEST_LV_0100_20150317_000686	
QUEST_LV_0100_20150317_000687	
QUEST_LV_0100_20150317_000688	
QUEST_LV_0100_20150317_000689	
QUEST_LV_0100_20150317_000690	
QUEST_LV_0100_20150317_000691	
QUEST_LV_0100_20150317_000692	
QUEST_LV_0100_20150317_000693	
QUEST_LV_0100_20150317_000694	
QUEST_LV_0100_20150317_000695	
QUEST_LV_0100_20150317_000696	
QUEST_LV_0100_20150317_000697	
QUEST_LV_0100_20150317_000698	
QUEST_LV_0100_20150317_000699	
QUEST_LV_0100_20150317_000700	
QUEST_LV_0100_20150317_000701	
QUEST_LV_0100_20150317_000702	
QUEST_LV_0100_20150317_000703	
QUEST_LV_0100_20150317_000704	Press the {Img F1 40 40} key to use your remaining status points on the ability you want to enhance. {nl}
QUEST_LV_0100_20150317_000705	Press the {Img F10 40 40} key to open the Help menu.
QUEST_LV_0100_20150317_000706	Press the {Img F3 40 40} key to open the Skill window. Use available skill points on the skills you want to enhance, then click Apply. {nl}
QUEST_LV_0100_20150317_000707	Finding and offering a worship to all the Statues of Goddess scattered around the world while you travel,  will surely have you compensated. {nl}
QUEST_LV_0100_20150317_000708	Press the {Img F10 40 40} key to open the Help window for more information.
QUEST_LV_0100_20150317_000709	Other troops are fighting in the Miners' Village and we are blocking the monsters from here. {nl}I don't think the Vubbes are smart enough to make use of tactics... I am concerned about that.
QUEST_LV_0100_20150317_000710	We have problems here, but I'm also worried about the other troops fighting in the Miners' Village. {nl} Normally, it should have been cleared up pretty fast.
QUEST_LV_0100_20150317_000711	Guard Gilbert
QUEST_LV_0100_20150317_000712	It's the Pantos again. {nl} They even stole the working parts. {nl} Well then, we've got to take them back, right?
QUEST_LV_0100_20150317_000713	I could handle it myself. {nl}Those weaklings would come trembling on their knees to return the parts. {nl} But what if more thieves come while I'm at it?
QUEST_LV_0100_20150317_000714	Well done. {nl} Now put this on and grease it then it will work as it should. 
QUEST_LV_0100_20150317_000715	The Pantos hid some parts in the grasslands of Mieguista Hills. {nl} Try to get me those for the time being since it's urgent.
QUEST_LV_0100_20150317_000716	The Pantos think the grassland hides everything. {nl} I used to find that cute about them.
QUEST_LV_0100_20150317_000717	Guard Matthew
QUEST_LV_0100_20150317_000718	I am looking for cable car parts but nothings seems to be in sight. {nl} Maybe the Zignuts of Nepavy sun swallowed it. {nl}
QUEST_LV_0100_20150317_000719	6
QUEST_LV_0100_20150317_000720	
QUEST_LV_0100_20150317_000721	If it wasn't for me, uncle Gilbert would have been going around looking through this huge area. {nl} I'm truly worried.
QUEST_LV_0100_20150317_000722	This is a sacred place we have enshrined for generations. {nl} We used to hold prayer and important meetings whenever there was a disaster {nl}
QUEST_LV_0100_20150317_000723	But it's been like this since it fell to evil forces four years ago. {nl} I guess the elders couldn't have helped it either.
QUEST_LV_0100_20150317_000724	In the past, it was just a rope on a lax basket. {nl} You had to put your life on the line whenever you crossed it. {nl}
QUEST_LV_0100_20150317_000725	So I went to Klaipeda and learned the skills myself. {nl} I have to start looking for a successor, but Matthew doesn't seem interested.
QUEST_LV_0100_20150317_000726	Guard Basil
QUEST_LV_0100_20150317_000727	The curse doll will be filled with the mine of Mushcaria. {nl} It is in the Tustanti Plateu, can you get it for me?
QUEST_LV_0100_20150317_000728	They used to be considered mysterious creatures, worthy of respect. {nl} But nowadays you just go a few steps outside town and they are everywhere, preying on people.
QUEST_LV_0100_20150317_000729	I forgot that Mushcaria is still alive. {nl} Anyway, good job.
QUEST_LV_0100_20150317_000730	There is enough time, so visit Algis first.
QUEST_LV_0100_20150317_000731	Now I will head this way to the church. {nl} Our Paladin friend likes the word 'if' a lot. {nl}
QUEST_LV_0100_20150317_000732	If our mission goes as planned, then we will have no need to meet again. {nl} Well, it sounds like it would be unpleasant to meet you again, haha.
QUEST_LV_0100_20150317_000733	Guard Allen
QUEST_LV_0100_20150317_000734	The Mazas barrier which should the Demons have been destroyed. {nl} Would you help me repair it?
QUEST_LV_0100_20150317_000735	The barriers were made a long time ago. {nl} And now that I wasn't able to protect it well, what do I tell our ancestors?
QUEST_LV_0100_20150317_000736	I'm not smart enough to know anything about restoring the barrier so tell that to sir Kayetonas.
QUEST_LV_0100_20150317_000737	
QUEST_LV_0100_20150317_000738	No wonder. I was bewildered when the Demons suddenly appeared out of nowhere. {nl} I better let the Brothers know about this. Thank you.
QUEST_LV_0100_20150317_000739	Guard Kenneth
QUEST_LV_0100_20150317_000740	You can't let your guard down just because the Demon summoners are gone. {nl} We don't even know when this appeared in the first place. {nl}
QUEST_LV_0100_20150317_000741	Anyway, please tell Sir Kayetonas in Flower Hill about this.
QUEST_LV_0100_20150317_000742	It might be a bit extreme, but I'm thinking about getting rid of all the Demon souls.{nl}
QUEST_LV_0100_20150317_000743	Make the demons weak enough to extract the soul using the power of the barrier. {nl} Then, killing the soul afterwards. Would you give it a try?
QUEST_LV_0100_20150317_000744	You'd better get rid of the extracted souls quickly. {nl} Wouldn't it be scary to see them come back to life?
QUEST_LV_0100_20150317_000745	Actually, I had some doubts, but it seems to work? {nl} Please let Sir Kayetonas know about this. {nl} I think he will be pleased, he is in Flower Hill.
QUEST_LV_0100_20150317_000746	Now, I think I can live. {nl} We have to keep and stop the Demons. {nl} Please tell Sir Kayetonas that protecting this place isn't easy.
QUEST_LV_0100_20150317_000747	
QUEST_LV_0100_20150317_000748	Welcome, I'm glad to see that you've had a safe journey here. {nl}Before anything else, there are things about this place that the Revelator should know. {nl}
QUEST_LV_0100_20150317_000749	My old friend, Algis, will explain. Please listen to him.
QUEST_LV_0100_20150317_000750	
QUEST_LV_0100_20150317_000751	The broken barrier pieces are scattered in the Mazas shelter. {nl} Collect it and give it to sir Kayetonas in flower hill. {nl}
QUEST_LV_0100_20150317_000752	
QUEST_LV_0100_20150317_000753	
QUEST_LV_0100_20150317_000754	7
QUEST_LV_0100_20150317_000755	That's why if there are guards struggling with the barrier, I want you to help.
QUEST_LV_0100_20150317_000756	Heard the plan failed. {nl} I guess we have to do something before the Gesti recovers.
QUEST_LV_0100_20150317_000757	Guard Ella
QUEST_LV_0100_20150317_000758	
QUEST_LV_0100_20150317_000759	
QUEST_LV_0100_20150317_000760	
QUEST_LV_0100_20150317_000761	
QUEST_LV_0100_20150317_000762	
QUEST_LV_0100_20150317_000763	
QUEST_LV_0100_20150317_000764	
QUEST_LV_0100_20150317_000765	
QUEST_LV_0100_20150317_000766	
QUEST_LV_0100_20150317_000767	
QUEST_LV_0100_20150317_000768	
QUEST_LV_0100_20150317_000769	
QUEST_LV_0100_20150317_000770	
QUEST_LV_0100_20150317_000771	
QUEST_LV_0100_20150317_000772	
QUEST_LV_0100_20150317_000773	
QUEST_LV_0100_20150317_000774	
QUEST_LV_0100_20150317_000775	
QUEST_LV_0100_20150317_000776	
QUEST_LV_0100_20150317_000777	Follower Vaidas
QUEST_LV_0100_20150317_000778	It is reassuring to hear that Brother Thomas will be in charge of the altar.{nl}
QUEST_LV_0100_20150317_000779	Brother Baidutis is waiting on the 1st Floor. {nl} Barrier of Gesti is blocking the way but it can simply be put off by the power of altar so not to worry.
QUEST_LV_0100_20150317_000780	
QUEST_LV_0100_20150317_000781	
QUEST_LV_0100_20150317_000782	The altars in the church are made to stop Demons. {nl} Of course, only we, the Paladins, know how to use them.
QUEST_LV_0100_20150317_000783	Is Brother Baidutis alright?{nl} I would have been in serious trouble if not for your help.
QUEST_LV_0100_20150317_000784	
QUEST_LV_0100_20150317_000785	
QUEST_LV_0100_20150317_000786	
QUEST_LV_0100_20150317_000787	
QUEST_LV_0100_20150317_000788	
QUEST_LV_0100_20150317_000789	
QUEST_LV_0100_20150317_000790	
QUEST_LV_0100_20150317_000791	
QUEST_LV_0100_20150317_000792	
QUEST_LV_0100_20150317_000793	
QUEST_LV_0100_20150317_000794	
QUEST_LV_0100_20150317_000795	
QUEST_LV_0100_20150317_000796	
QUEST_LV_0100_20150317_000797	
QUEST_LV_0100_20150317_000798	Thank you. {nl} This is sufficient to make a transformation scroll.
QUEST_LV_0100_20150317_000799	You can transform into a Demon by using this scroll. {nl} Persuade the Demons to go to the altar on their own.
QUEST_LV_0100_20150317_000800	I get caught every time, maybe the Demons know my scent. {nl} I'm sure it'll be easier for you since you haven't been around for long.
QUEST_LV_0100_20150317_000801	Alright. {nl} I think that would be enough for you to take a grasp of it. 
QUEST_LV_0100_20150317_000802	The power of the altar makes conversion simple. {nl} First, you activate the power of Globejas altar. {nl} Then, stay within the influence of the altar and fight the Demons.
QUEST_LV_0100_20150317_000803	The Demons have stronger minds than you might think. {nl}It will take a lot of effort to make them forget Gesti.
QUEST_LV_0100_20150317_000804	
QUEST_LV_0100_20150317_000805	
QUEST_LV_0100_20150317_000806	
QUEST_LV_0100_20150317_000807	
QUEST_LV_0100_20150317_000808	Oh, they will find out if you are not confident enough. {nl}So it's better to fight the Demons to gain some self confidence before using the scroll.
QUEST_LV_0100_20150317_000809	
QUEST_LV_0100_20150317_000810	
QUEST_LV_0100_20150317_000811	
QUEST_LV_0100_20150317_000812	
QUEST_LV_0100_20150317_000813	
QUEST_LV_0100_20150317_000814	
QUEST_LV_0100_20150317_000815	
QUEST_LV_0100_20150317_000816	
QUEST_LV_0100_20150317_000817	
QUEST_LV_0100_20150317_000818	
QUEST_LV_0100_20150317_000819	
QUEST_LV_0100_20150317_000820	
QUEST_LV_0100_20150317_000821	
QUEST_LV_0100_20150317_000822	ve Collected all the debris out of the deal is over Raymond. {nl} brought back the parcel to Raymond.
QUEST_LV_0100_20150317_000823	
QUEST_LV_0100_20150317_000824	
QUEST_LV_0100_20150317_000825	
QUEST_LV_0100_20150317_000826	
QUEST_LV_0100_20150317_000827	
QUEST_LV_0100_20150317_000828	
QUEST_LV_0100_20150317_000829	
QUEST_LV_0100_20150317_000830	
QUEST_LV_0100_20150317_000831	
QUEST_LV_0100_20150317_000832	Monument of Lydia Schaffen
QUEST_LV_0100_20150317_000833	
QUEST_LV_0100_20150317_000834	
QUEST_LV_0100_20150317_000835	
QUEST_LV_0100_20150317_000836	
QUEST_LV_0100_20150317_000837	
QUEST_LV_0100_20150317_000838	
QUEST_LV_0100_20150317_000839	
QUEST_LV_0100_20150317_000840	
QUEST_LV_0100_20150317_000841	
QUEST_LV_0100_20150317_000842	
QUEST_LV_0100_20150317_000843	
QUEST_LV_0100_20150317_000844	
QUEST_LV_0100_20150317_000845	
QUEST_LV_0100_20150317_000846	
QUEST_LV_0100_20150317_000847	
QUEST_LV_0100_20150317_000848	
QUEST_LV_0100_20150317_000849	
QUEST_LV_0100_20150317_000850	
QUEST_LV_0100_20150317_000851	
QUEST_LV_0100_20150317_000852	
QUEST_LV_0100_20150317_000853	So it was terrible. {nl} I was lucky I almost get dispatches.
QUEST_LV_0100_20150317_000854	
QUEST_LV_0100_20150317_000855	
QUEST_LV_0100_20150317_000856	
QUEST_LV_0100_20150317_000857	
QUEST_LV_0100_20150317_000858	Great. {nl} Leave activating the altar to me and go to Vidas in Himnas chapel.
QUEST_LV_0100_20150317_000859	
QUEST_LV_0100_20150317_000860	
QUEST_LV_0100_20150317_000861	
QUEST_LV_0100_20150317_000862	
QUEST_LV_0100_20150317_000863	
QUEST_LV_0100_20150317_000864	
QUEST_LV_0100_20150317_000865	I came to say that the Gesti went up to the 2nd floor and let my guard down. {nl} I would have been in a big trouble if not for you.
QUEST_LV_0100_20150317_000866	I studied the barrier of the gate but power of the basement altar will not be enough. {nl} Unless you add the power of crytal held by Corylus.
QUEST_LV_0100_20150317_000867	Maybe the Goddess knew it'd fail and that's why she said wait for the Revelator. {nl} At least, we got the Gesti hurt so it can also be good.
QUEST_LV_0100_20150317_000868	Well done. {nl} Making the crystal of light with this will enough power to break the barrier.
QUEST_LV_0100_20150317_000869	Prepare yourself before bringing the crystal of light to the gate. {nl}It can attract powerful monsters.
QUEST_LV_0100_20150317_000870	I think I'll stay here to stop the Demons from entering the basement.
QUEST_LV_0100_20150317_000871	It is an honor to fight with you, Revelator. {nl} Could you drive the Demons from this area while Sir Algis investigates?
QUEST_LV_0100_20150317_000872	
QUEST_LV_0100_20150317_000873	
QUEST_LV_0100_20150317_000874	
QUEST_LV_0100_20150317_000875	
QUEST_LV_0100_20150317_000876	The barrier of main entrance in 1st floor can be offset by the power of the church so don't worry. {nl}That's what the altars are for. {nl}
QUEST_LV_0100_20150317_000877	Let's take care of the Unknocker first. {nl} I'll lead the Unknocker so you try to find a chance. 
QUEST_LV_0100_20150317_000878	
QUEST_LV_0100_20150317_000879	
QUEST_LV_0100_20150317_000880	Good job. {nl}The babbling laughter seems to have stopped.
QUEST_LV_0100_20150317_000881	I'm trying to disguise myself as a Demon to confuse them. {nl} First, can you kill the Pawnd and take their clothes?
QUEST_LV_0100_20150317_000882	It's a bit blasphemous, but we don't have much choice.
QUEST_LV_0100_20150317_000883	Well done. {nl} It will probably be difficult to trust each other from now on. {nl}
QUEST_LV_0100_20150317_000884	I'm thinking of converting the Demons using the power of the altar. {nl} The converted Demons will absorb the divine power and slowly start to die. {nl}
QUEST_LV_0100_20150317_000885	But before that, it's important to understand the Demons. {nl} Collect the souls of the Demons
QUEST_LV_0100_20150317_000886	I remember the first time I converted the Demons. {nl} I pray for their poor souls.
QUEST_LV_0100_20150317_000887	Great job. {nl} If there are any good Demons, the Goddess will look after them.
QUEST_LV_0100_20150317_000888	The Central Altar suppressing the power of the Demons suddenly stopped. {nl} Could you take a look at what's going on?
QUEST_LV_0100_20150317_000889	Strange, it was definitely working.
QUEST_LV_0100_20150317_000890	It was an ambush. {nl} We would have been in big trouble without your help.
QUEST_LV_0100_20150317_000891	You need the seal of space to enter the hidden sanctuary. {nl} It's hidden in Sventove Central Altar but i hope it's not too late. 
QUEST_LV_0100_20150317_000892	Structures in the Tenet Cathedral are placed to ward against the Demons. {nl} Each one in itself is a small barrier that contributes to a huge barrier. {nl}
QUEST_LV_0100_20150317_000893	The most powerful barrier is in the 2nd floor. {nl} I heard that it can exert the greatest force when the  divine sphere is there.
QUEST_LV_0100_20150317_000894	Gesti made the first move. {nl} It will be difficult to approach secretly.
QUEST_LV_0100_20150317_000895	I must change the plan. {nl} First you need to go watch the movement of the Gesti. {nl}
QUEST_LV_0100_20150317_000896	Let's start by occupying the bell tower.
QUEST_LV_0100_20150317_000897	From here, we can see what Gesti is going to do. 
QUEST_LV_0100_20150317_000898	Alright, bring the seal of space from Sventove Central Altar. {nl} You can do it, right?
QUEST_LV_0100_20150317_000899	You must know that the revelation is hidden in the sanctuary. {nl} The seal of the space is the only key that get you to the sanctuary. {nl}
QUEST_LV_0100_20150317_000900	It;s not just the Tenet Cathedral. {nl} You can enter all the places that the Goddess hid. 
QUEST_LV_0100_20150317_000901	The seal of space can only be used by the Revelator so you won't be able to find the revelation right away. {nl}
QUEST_LV_0100_20150317_000902	
QUEST_LV_0100_20150317_000903	We can't do anything about the destroyed altar but the fragments still have power. {nl} Gather the pieces and insert it in the 8 pillars of the Sventove Central Hall.
QUEST_LV_0100_20150317_000904	When you are done, I will be able to tie up Gesti through the power of the divine crystal and the church. {nl} It may be for a short while but that's the best option we have.
QUEST_LV_0100_20150317_000905	So you activated the Malda altar? {nl} Now it will be safe to stay here for the time being. Good work.
QUEST_LV_0100_20150317_000906	Demon are going around the second floor searching every corner. {nl} Activating the Auka altar will be able to turn their attention.
QUEST_LV_0100_20150317_000907	I'm relieved you're beside me. {nl} I think it was a good thing that Laima chose you.
QUEST_LV_0100_20150317_000908	Good job. {nl} When this is over, I should gather all brothers and drive them away at once.
QUEST_LV_0100_20150317_000909	I'll ring the bell and let you know when the Gesti show up so have a safe trip on your way.
QUEST_LV_0100_20150317_000910	So you found the seal of space. {nl}Use the seal on the pillar beside me to go to the sanctuary. {nl} It is prepared for the Revelator only.
QUEST_LV_0100_20150317_000911	May the blessings of the Goddess be with you.
QUEST_LV_0100_20150317_000912	So Gesti just ran away. {nl} Fine. Since you got the revelation, we've completed the mission. {nl}
QUEST_LV_0100_20150317_000913	To find the Salue Goddess.. {nl} The colorful valley mentioned in the revelation should start from the Grass Brook Side in the northern area. {nl} Alright then, may be blessings of the Goddess be with you.
QUEST_LV_0100_20150317_000914	When you find the revelation, tell Mater Paladin of the story you've been through so far. {nl} May the blessings of the Goddess be with you.
QUEST_LV_0100_20150317_000915	Seems like Gesti did not notice yet. {nl}Better prepare the divine crystal.
QUEST_LV_0100_20150317_000916	All the preparations made. {nl} Barriers of the church will soon weaken the Gesti. {nl}
QUEST_LV_0100_20150317_000917	The weakened Gesti will be enough for you to handle. {nl} When the Gesti is cornered, I will make the final strike with the divine sphere.
QUEST_LV_0100_20150317_000918	This is a piece of Mazas shelter barrier. {nl} Do not worry. {nl} There are ways to recover the barrier so I'm sure it will be alright.
QUEST_LV_0100_20150317_000919	I didn't know the Demons will use the summoner to come across here. {nl} Better get rid of them all before they seige us.
QUEST_LV_0100_20150317_000920	Even with so many Demons, you still managed to make it through. {nl} You may be the Revelator, but that's still impressive. {nl}
QUEST_LV_0100_20150317_000921	It's the revelation. {nl} Cherish it and do not show it to anyone else. {nl}
QUEST_LV_0100_20150317_000922	Come on. Go to Master Paladin. {nl} He will tell you the way you must go.
QUEST_LV_0100_20150317_000923	I asked my precious friend Algis for Tenet Church. {nl} I won't lose to Gesti but it is important to have some back up plan just in case.
QUEST_LV_0100_20150317_000924	8
QUEST_LV_0100_20150317_000925	In the kingdom, there are several valuable weapons aside from this divine sphere. {nl} Those weapons saved many lives on the Divine Day four years ago.
QUEST_LV_0100_20150317_000926	From now on, I will focus on the divine crystal. {nl} In the meanwhile, please use your skills so that I won't be disturbed.
QUEST_LV_0100_20150317_000927	I'm sorry. It's all my fault. {nl}The Gesti found out the divine heal is not the revelation so it will head straight to the church. {nl}
QUEST_LV_0100_20150317_000928	But his old body of mine does not follow my will anymore. {nl} Now I can only trust my old friend Algis and you. {nl}
QUEST_LV_0100_20150317_000929	9
QUEST_LV_0100_20150317_000930	It is too much for me to handle alone without any help from other brothers. {nl} I'd better run the Malda Altar. {nl}
QUEST_LV_0100_20150317_000931	Using the Malda Altar will stun any Demons nearby. {nl} You'll have to finish them off.
QUEST_LV_0100_20150317_000932	
QUEST_LV_0100_20150317_000933	The world still needs more experience. {nl} We probably wouldn't have made it this far without the help of the Goddess.
QUEST_LV_0100_20150317_000934	The activation of tree guard post is taking longer than I thought. {nl} We have no time, let's use a Demon's soul instead.
QUEST_LV_0100_20150317_000935	All souls are pure. {nl} So even if it's a Demon's soul, it can still provide some divine power.
